FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint,period,Tokens,TokensNoPunctuation
arnold-der-pfingstmontag,Johann Georg Daniel Arnold,Strasbourg,Strasbourg,Bas-Rhin,1816,Before German era,22675,19267
bastian-dr-hans-im-schnokeloch,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1903,German era,19323,15670
bastian-dr-maischter-hett-gewunne,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,French era,4563,3616
bastian-e-sportshochzitt,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,French era,3121,2457
bastian-hofnarr-heidideldum,Ferdinand Bastian,Strasbourg,Niederbronn-les-Bains,Bas-Rhin,1937,French era,12892,10147
clemens-a-latzi-visit,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era,5556,4660
clemens-charlot,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era,6930,5764
clemens-chrischtowe,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,French era,5297,4547
clemens-gift,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,French era,6183,5093
greber-d-jumpfer-prinzesse,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1899,German era,21915,17850
greber-lucie,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1896,German era,10769,8934
greber-sainte-cecile,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1897,German era,11268,9184
hart-dr-poetisch-oscar,Marie Hart,Bouxwiller,Gundershoffen,Bas-Rhin,1937,French era,4799,4010
horsch-d-madam-fahrt-velo,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1901,German era,7343,5963
jost-daa-im-narrehuss,Camille Jost,,Strasbourg,Bas-Rhin,1928,French era,4704,3840
jost-so-e-liederlicher-frack,Camille Jost,,Strasbourg,Bas-Rhin,1928,French era,6564,5456
kettner-uff-dr-hochzittsreis,Charles Frédéric Kettner,Strasbourg,Rouffach,Haut-Rhin,1924,French era,4464,3691
kuehne-bureaukrate,Fernand Kuehne,,Colmar,Haut-Rhin,1923,French era,4754,3820
riff-s-paradies,Jean Riff,,Strasbourg,Bas-Rhin,1922,French era,3174,2611
riff-sainte-barbe,Jean Riff,,Strasbourg,Bas-Rhin,1919,French era,5661,4573
schneegans-steckelburjer-universite-saaue,Heinrich Schneegans,Strasbourg,Strasbourg,Bas-Rhin,1897,German era,7371,6077
stoskopf-dr-herr-maire,Gustave Stoskopf,Brumath,Gundershoffen,Bas-Rhin,1898,German era,18553,15385
stoskopf-dr-hoflieferant,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1906,German era,20938,17216
stoskopf-ins-ropfers-apothek,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1907,German era,20485,16600
weber-yo-yo,Emile Weber,,Strasbourg,Bas-Rhin,1932,French era,4384,3129
lustig-am-letzte-maskebal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era,545,461
lustig-babette-mach-s-fenster-zue,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era,3573,3115
lustig-bi-de-wilde,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886,German era,1652,1440
lustig-d-gsellschaftere,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887,German era,8574,7686
lustig-d-huslit-vo-dr-frau-suppedunke,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882,German era,6674,5932
lustig-d-milhuser-in-paris,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era,11315,10132
lustig-d-singstund,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887,German era,6113,5289
lustig-d-tante-domino,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881,German era,3872,3464
lustig-dr-astronom,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881,German era,1541,1366
lustig-dr-chineserfranz,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891,German era,7320,6326
lustig-dr-fechtmeister,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era,2666,2358
lustig-dr-hochzitstag,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era,7840,6855
lustig-drei-schwarze-liebschafte,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879,German era,9194,8150
lustig-drizehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891,German era,1572,1410
lustig-hans-dich-hats,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879,German era,8168,7098
lustig-im-gretele-sine-kunstler,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era,7904,6899
lustig-im-julie-si-gheimniss,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era,8215,7196
lustig-in-dr-falle,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886,German era,4959,4412
lustig-milhuser-bilder,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era,3620,3121
lustig-ne-hiroth-dur-d-extrapost,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882,German era,2114,1850
lustig-ne-jumpfre-wo-nitt-hirothe-will,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era,4180,3693
lustig-ne-scandal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era,2348,2052
lustig-uf-bsuech-bi-dr-frau,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era,5949,5222
lustig-vor-un-no-dr-hochzit,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era,7459,6706
lustig-z-nacht-am-zehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era,624,536
lustig-zwei-erfindunge,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1884,German era,5865,5207
bastian-s-gaischtert-im-huss,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1930,French era,1151,870
bastian-struwelpeter,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1932,French era,12053,9277
clemens-d-brueder,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era,16759,14282
clemens-dr-amerikaner,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era,13310,11140
fuchs-heimlichi-lieb,Ernst Fuchs,,Gundershoffen,Bas-Rhin,1914,German era,15905,13154
greber-s-teschtament,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1910,German era,17209,13799
gunther-dr-cousin-refractaire,Hermann Günther,,Strasbourg,Bas-Rhin,1907,German era,15434,12372
hahn-jungi-madamme,Emilie Hahn,,Strasbourg,Bas-Rhin,1922,French era,8175,6786
horsch-neui-hosse,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1908,German era,4514,3678
huck-a-gelungener-patient,Martin Huck,,Mulhouse,Haut-Rhin,1931,French era,1423,1142
jost-d-satisfaction,Camille Jost,,Strasbourg,Bas-Rhin,1924,French era,4786,3884
jost-dr-erscht-handel,Camille Jost,,Strasbourg,Bas-Rhin,1928,French era,6470,5287
jost-e-dienschtbott-wurd-gsuecht,Camille Jost,,Strasbourg,Bas-Rhin,1928,French era,3275,2731
kleisecker-dr-schnider-von-gambse,H. Kleisecker,,Strasbourg,Bas-Rhin,1920,French era,8467,6873
lasch-dr-babbler,Gustav Lasch,Strasbourg,Strasbourg,Bas-Rhin,1911,German era,3379,2788
riff-d-schloofere,Jean Riff,,Strasbourg,Bas-Rhin,1914,German era,5614,4603
riff-dr-hasestrickler,Jean Riff,,Strasbourg,Bas-Rhin,1922,French era,6385,5069
sengelin-d-mamsell-elis,Xavier Sengelin,,Colmar,Haut-Rhin,1920,French era,17245,14013
stoskopf-e-diplomat,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1899,German era,3152,2600
stoskopf-e-mordsaffar,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1900,German era,3065,2495
stoskopf-wenn-d-fraue-wahle,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1925,French era,21886,17888
wagner-die-greifensteiner,Emile Wagner,,Rouffach,Haut-Rhin,1930,French era,13867,11389
