FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint,period
arnold-der-pfingstmontag,Johann Georg Daniel Arnold,Strasbourg,Strasbourg,Bas-Rhin,1816,Before German era
bastian-dr-hans-im-schnokeloch,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1903,German era
bastian-dr-maischter-hett-gewunne,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,French era
bastian-e-sportshochzitt,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,French era
bastian-hofnarr-heidideldum,Ferdinand Bastian,Strasbourg,Niederbronn-les-Bains,Bas-Rhin,1937,French era
clemens-a-latzi-visit,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era
clemens-charlot,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era
clemens-chrischtowe,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,French era
clemens-gift,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,French era
greber-d-jumpfer-prinzesse,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1899,German era
greber-lucie,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1896,German era
greber-sainte-cecile,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1897,German era
hart-dr-poetisch-oscar,Marie Hart,Bouxwiller,Gundershoffen,Bas-Rhin,1937,French era
horsch-d-madam-fahrt-velo,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1901,German era
jost-daa-im-narrehuss,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
jost-so-e-liederlicher-frack,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
kettner-uff-dr-hochzittsreis,Charles Frédéric Kettner,Strasbourg,Rouffach,Haut-Rhin,1924,French era
kuehne-bureaukrate,Fernand Kuehne,NaN,Colmar,Haut-Rhin,1923,French era
riff-s-paradies,Jean Riff,NaN,Strasbourg,Bas-Rhin,1922,French era
riff-sainte-barbe,Jean Riff,NaN,Strasbourg,Bas-Rhin,1919,French era
schneegans-steckelburjer-universite-saaue,Heinrich Schneegans,Strasbourg,Strasbourg,Bas-Rhin,1897,German era
stoskopf-dr-herr-maire,Gustave Stoskopf,Brumath,Gundershoffen,Bas-Rhin,1898,German era
stoskopf-dr-hoflieferant,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1906,German era
stoskopf-ins-ropfers-apothek,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1907,German era
weber-yo-yo,Emile Weber,NaN,Strasbourg,Bas-Rhin,1932,French era
lustig-am-letzte-maskebal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era
lustig-babette-mach-s-fenster-zue,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era
lustig-bi-de-wilde,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886,German era
lustig-d-gsellschaftere,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887,German era
lustig-d-huslit-vo-dr-frau-suppedunke,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882,German era
lustig-d-milhuser-in-paris,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era
lustig-d-singstund,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887,German era
lustig-d-tante-domino,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881,German era
lustig-dr-astronom,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881,German era
lustig-dr-chineserfranz,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891,German era
lustig-dr-fechtmeister,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era
lustig-dr-hochzitstag,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era
lustig-drei-schwarze-liebschafte,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879,German era
lustig-drizehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891,German era
lustig-hans-dich-hats,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879,German era
lustig-im-gretele-sine-kunstler,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era
lustig-im-julie-si-gheimniss,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era
lustig-in-dr-falle,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886,German era
lustig-milhuser-bilder,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880,German era
lustig-ne-hiroth-dur-d-extrapost,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882,German era
lustig-ne-jumpfre-wo-nitt-hirothe-will,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era
lustig-ne-scandal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era
lustig-uf-bsuech-bi-dr-frau,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,German era
lustig-vor-un-no-dr-hochzit,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885,German era
lustig-z-nacht-am-zehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,German era
lustig-zwei-erfindunge,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1884,German era
bastian-s-gaischtert-im-huss,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1930,French era
bastian-struwelpeter,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1932,French era
clemens-d-brueder,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era
clemens-dr-amerikaner,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,French era
fuchs-heimlichi-lieb,Ernst Fuchs,NaN,Gundershoffen,Bas-Rhin,1914,German era
greber-s-teschtament,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1910,German era
gunther-dr-cousin-refractaire,Hermann Günther,NaN,Strasbourg,Bas-Rhin,1907,German era
hahn-jungi-madamme,Emilie Hahn,NaN,Strasbourg,Bas-Rhin,1922,French era
horsch-neui-hosse,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1908,German era
huck-a-gelungener-patient,Martin Huck,NaN,Mulhouse,Haut-Rhin,1931,French era
jost-d-satisfaction,Camille Jost,NaN,Strasbourg,Bas-Rhin,1924,French era
jost-dr-erscht-handel,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
jost-e-dienschtbott-wurd-gsuecht,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928,French era
kleisecker-dr-schnider-von-gambse,H. Kleisecker,NaN,Strasbourg,Bas-Rhin,1920,French era
