FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint
arnold-der-pfingstmontag,Johann Georg Daniel Arnold,Strasbourg,Strasbourg,Bas-Rhin,1816
bastian-dr-hans-im-schnokeloch,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1903
bastian-dr-maischter-hett-gewunne,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937
bastian-e-sportshochzitt,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937
bastian-hofnarr-heidideldum,Ferdinand Bastian,Strasbourg,Niederbronn-les-Bains,Bas-Rhin,1937
clemens-a-latzi-visit,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
clemens-charlot,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
clemens-chrischtowe,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919
clemens-gift,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919
greber-d-jumpfer-prinzesse,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1899
greber-lucie,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1896
greber-sainte-cecile,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1897
hart-dr-poetisch-oscar,Marie Hart,Bouxwiller,Gundershoffen,Bas-Rhin,1937
horsch-d-madam-fahrt-velo,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1901
jost-daa-im-narrehuss,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
jost-so-e-liederlicher-frack,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
kettner-uff-dr-hochzittsreis,Charles Frédéric Kettner,Strasbourg,Rouffach,Haut-Rhin,1924
kuehne-bureaukrate,Fernand Kuehne,NaN,Colmar,Haut-Rhin,1923
riff-s-paradies,Jean Riff,NaN,Strasbourg,Bas-Rhin,1922
riff-sainte-barbe,Jean Riff,NaN,Strasbourg,Bas-Rhin,1919
schneegans-steckelburjer-universite-saaue,Heinrich Schneegans,Strasbourg,Strasbourg,Bas-Rhin,1897
stoskopf-dr-herr-maire,Gustave Stoskopf,Brumath,Gundershoffen,Bas-Rhin,1898
stoskopf-dr-hoflieferant,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1906
stoskopf-ins-ropfers-apothek,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1907
lustig-am-letzte-maskebal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896
lustig-babette-mach-s-fenster-zue,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895
lustig-bi-de-wilde,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886
lustig-d-gsellschaftere,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887
lustig-d-huslit-vo-dr-frau-suppedunke,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882
lustig-d-milhuser-in-paris,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880
lustig-d-singstund,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887
lustig-d-tante-domino,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881
lustig-dr-astronom,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1881
lustig-dr-chineserfranz,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891
lustig-dr-fechtmeister,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895
lustig-dr-hochzitstag,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896
lustig-drei-schwarze-liebschafte,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879
lustig-drizehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1891
lustig-hans-dich-hats,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1879
lustig-im-gretele-sine-kunstler,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880
lustig-im-julie-si-gheimniss,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885
lustig-in-dr-falle,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886
lustig-milhuser-bilder,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1880
lustig-ne-hiroth-dur-d-extrapost,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1882
lustig-ne-jumpfre-wo-nitt-hirothe-will,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895
lustig-ne-scandal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885
lustig-uf-bsuech-bi-dr-frau,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895
lustig-vor-un-no-dr-hochzit,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1885
lustig-z-nacht-am-zehne,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896
lustig-zwei-erfindunge,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1884
weber-yo-yo,Emile Weber,NaN,Strasbourg,Bas-Rhin,1932
