FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint
bastian-s-gaischtert-im-huss,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,not before 1930
bastian-struwelpeter,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1932
clemens-d-brueder,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
clemens-dr-amerikaner,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
fuchs-heimlichi-lieb,Ernst Fuchs,NaN,Gundershoffen,Bas-Rhin,1914
greber-s-teschtament,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1910
gunther-dr-cousin-refractaire,Hermann Günther,NaN,Strasbourg,Bas-Rhin,1907
hahn-jungi-madamme,Emilie Hahn,NaN,Strasbourg,Bas-Rhin,1922
horsch-neui-hosse,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1908
huck-a-gelungener-patient,Martin Huck,NaN,Mulhouse,Haut-Rhin,1931
jost-d-satisfaction,Camille Jost,NaN,Strasbourg,Bas-Rhin,1924
jost-dr-erscht-handel,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
jost-e-dienschtbott-wurd-gsuecht,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
kleisecker-dr-schnider-von-gambse,H. Kleisecker,NaN,Strasbourg,Bas-Rhin,1920
lasch-dr-babbler,Gustav Lasch,Strasbourg,Strasbourg,Bas-Rhin,1911
riff-d-schloofere,Jean Riff,NaN,Strasbourg,Bas-Rhin,1914
riff-dr-hasestrickler,Jean Riff,NaN,Strasbourg,Bas-Rhin,1922
sengelin-d-mamsell-elis,Xavier Sengelin,NaN,Colmar,Haut-Rhin,1920
stoskopf-e-diplomat,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1899
stoskopf-e-mordsaffar,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1900
stoskopf-wenn-d-fraue-wahle,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1925
wagner-die-greifensteiner,Emile Wagner,NaN,Rouffach,Haut-Rhin,1930
weber-am-wihnachtsowe-bym-e-kriejsblinde,Emile Weber,NaN,Strasbourg,Bas-Rhin,1927
weber-e-bissel-lieb,Emile Weber,NaN,Gundershoffen,Bas-Rhin,1936
weber-wihnachtsstimme,Charles Weber,NaN,Colmar,Haut-Rhin,1920
weigel-in-dr-awril-gschickt,Madeleine Weigel,NaN,Mulhouse,Haut-Rhin,1930
