forme,key1,key2
Was,VS,
dummelst,TMLST,
di,T,
denn,TN,
nit,NT,
Hest,HXT,
ess,AS,
jo,Y,
lang,LNK,
triwliert,TRVLRT,
De,T,
Babbe,PP,
-n-,N,
un,AN,
mich,M,MX
au,A,
bis,PS,
mer,MR,M
ess,AS,
resselviert,RSLFRT,RSLVRT
Hyt,HT,
nohmedaa,NMT,
mit,MT,
ych,AX,
uf,AF,
Schilke,XLK,
nus,NS,
ze,TS,
laufe,LF,
Daß,TS,
mer,MR,M
fürr,FR,
morje,MRY,
früej,FR,
die,T,
Millrumsküechle,MLRMSKRL,
kaufe,KF,
Ze,TS,
mach,MR,
denn,TN,
emol,AML,
furt,FRT,
du,T,
großi,KRS,
Hopfestang,HPFXTNK,
Loß,LS,
mier,MR,M
myn,MN,
Lissel,LSL,
gehn,KN,
’S,S,
wurd,VRT,
aim,AM,
jo,Y,
Angst,ANKXT,
e,A,
Bang,PNK,
Wemmerr,VMR,
dich,T,TX
alewyl,ALFL,ALVL
heert,HRT,
balje,PLY,
-n-,N,
un,AN,
haßliere,HSLR,
De,T,
dewwerst,TVRXT,
glych,KLX,
so,S,
wüest,VXT,
es,AS,
duet,TT,
’s,S,
nit,NT,
mellediere,MLTR,
Diß,TS,
Gschelts,KXLTS,
un,AN,
diß,TS,
Gelärms,KLRMS,
’S,S,
isch,AX,
wohr,VR,
…,,
Was,VS,
geht,KT,
’s,S,
dich,T,TX
an,AN,
ich,A,AX
bin,PN,
syn,SN,
Mueder,MTR,MT
ich,A,AX
I,A,
waiß,VS,
was,VS,
i,A,
vermaan,FRMN,VRMN
Zeiht,TST,
merr,MR,
die,T,
Maidle,MTL,
nit,NT,
duet,TT,
merr,MR,
si,S,
nit,NT,
kristiere,KRXTR,
Ze,TS,
wisse,VS,
si,S,
sich,S,SX
nie,N,
ier,AR,A
Lewesdaa,LFXT,LVXT
ze,TS,
rüere,RR,
Do,T,
were,VR,
Schlabbe,XLP,
drus,TRS,
Schlofkabbe,XLFKP,
fuli,FL,
Bamble,PMPL,
Zue,TS,
myner,MNR,MN
Mueder,MTR,MT
Zyt,TST,
henn,HN,
mier,MR,M
müen,MN,M
anderst,ANTRXT,
stramble,XTRMPL,
Poz,PS,PTS
dausig,TSK,TS
un,AN,
ken,KN,K
End,ANT,
…,,
I,A,
bin,PN,
schunn,XN,
lang,LNK,
gerüst,KRXT,
Myn,MN,
liewi,LF,LV
Mamme,MM,
’S,S,
isch,AX,
halt,HLT,
nur,NR,
i,A,
saa,S,
’s,S,
…,,
Es,AS,
wischt,VXT,
Sich,S,SX
wayer,VR,V
d’,T,
Aue,A,
-n-,N,
aa,A,
Was,VS,
hesch,HX,
de,T,
denn,TN,
ze,TS,
gryne,KRN,
Myn,MN,
liebs,LPS,
Kanästjele,KNXTYL,
Loß,LS,
dyni,TN,
Gukkle,KKL,
schyne,XN,
Recht,RXT,
hell,HL,
un,AN,
frisch,FRX,
wie,V,
d’,T,
Sunn,SN,
wisch,VX,
dyni,TN,
Bäkkle,PKL,
-n-,N,
aa,A,
De,T,
waisch,VX,
wohl,VL,
Hexebubb,HKSPP,HKSVP
daß,TS,
i,A,
di,T,
liewer,LFR,LV
haa,H,
Aß,AS,
alles,ALS,
uf,AF,
der,TR,T
Welt,VLT,
bisch,PX,
mer,MR,M
an,AN,
’s,S,
Herz,HRS,HRTS
gewachse,KFKS,KVX
Wie,V,
Ebbheu,AP,
an,AN,
e,A,
Muur,MR,
I,A,
wett,VT,
’s,S,
gitt,KT,
in,AN,
ganz,KNS,KNTS
Sachse,SKS,SX
Ken,KN,K
Maidel,MTL,
so,S,
wie,V,
du,T,
so,S,
wyß,VS,
so,S,
nettlecht,NTLXT,
