forme,key1,key2
Wenn,VN,
ich,A,AX
numme,NM,
ellaan,ALN,
uff,AF,
d'r,TR,
Welt,VLT,
wär,VR,
Ach,AR,
jetzt,YTST,
brüehlt,PRLT,
d',T,
Kueh,K,
aunoch,ANR,
Maischter,MXTR,MXT
Wass,VS,
gitt,KT,
's,S,
Casper,KXPR,KXP
Sie,S,
blongt,PLNKT,
nooch-em,NRM,
Maischter,MXTR,MXT
Ich,A,AX
hab,HP,
se,S,
schun,XN,
vielmol,FLML,VLML
brüehle,PRL,
höre,HR,
müehn,MN,
un,AN,
kann,KN,
's-,S,
ere,AR,
leider,LTR,LT
nit,NT,
verbiete,FRPT,VRPT
Wind,VNT,
sin,SN,
's,S,
Als,ALS,
nyn,NN,
mit,MT,
dem,TM,
Dreck,TRK,
de,T,
langsch,LNKX,
nit,NT,
fir,FR,
diss,TS,
was,VS,
ich,A,AX
dich,T,TX
will,VL,
Bisch,PX,
biem,PM,
Hisperle,HXPRL,
gsin,KSN,
Schätte,XT,
Was,VS,
er,AR,A
will,VL,
mer,MR,M
die,T,
Fasanehüehner,FSNHNR,FSNHN
nit,NT,
verkaufe,FRKF,VRKF
Ach,AR,
jetzt,YTST,
schient,XNT,XT
d',T,
Sunn,SN,
au,A,
noch,NR,
Bisch,PX,
de,T,
als,ALS,
noch,NR,
do,T,
Ich,A,AX
bin,PN,
schun,XN,
drüsse,TRS,
Bswbswbsw,PSVPSVPSV,
Hansel,HNSL,
min,MN,
süesser,SSR,SS
was,VS,
hesch,HX,
de,T,
denn,TN,
—,,
Bswbswbsw,PSVPSVPSV,
Minettele,MNTL,
Nix,NKS,
—,,
—,,
Wenn,VN,
alles,ALS,
wär,VR,
wie,V,
's,S,
sott,ST,
sin,SN,
awer,AVR,AY
eso,AS,
—,,
Awer,AVR,AY
Hans,HNS,
hett,HT,
mer,MR,M
dich,T,TX
denn,TN,
nit,NT,
serviert,SRFRT,SRVRT
Ei,A,
ei,A,
so,S,
isch,AX,
's,S,
mit,MT,
d'r,TR,
Dante,TNT,TT
Lehn,LN,
sie,S,
denkt,TNKT,
au,A,
gar,KR,
nit,NT,
an,AN,
dich,T,TX
awer,AVR,AY
gar,KR,
nit,NT,
Kumm,KM,
min,MN,
Hansel,HNSL,
ess,AS,
trink,TRNK,
verhungersch,FRHNKRX,VRHNKRX
jo,Y,
noch,NR,
Dü,T,
hesch,HX,
anfanges,ANFNKS,AFNKS
e,A,
Uessehns,ASNS,
dass,TS,
de,T,
ball,PL,
nim,NM,
drynsiehsch,TRNSX,
so,S,
bleich,PL,PLX
bisch,PX,
de,T,
In,AN,
dem,TM,
Rattenest,RTNXT,
kreijt,KRT,
mer,MR,M
noch,NR,
d',T,
Gälsucht,KLSRT,
E,A,
nejer,NYR,NY
Hoft,HFT,
muess,MS,
mer,MR,M
her,HR,H
—,,
awer,AVR,AY
d',T,
Füchs,FKS,FX
d',T,
Füchs,FKS,FX
wölle,VL,
nit,NT,
lange,LNK,
Jo,Y,
jo,Y,
ess,AS,
ich,A,AX
hab,HP,
nix,NKS,
d',T,
rgeje,RKY,
min,MN,
Hansel,HNSL,
D'r,TR,
Babbe,PP,
Gerôme,KRM,
hawi,HF,HV
breweniert,PRFNRT,PRVNRT
jo,Y,
Wass,VS,
bin,PN,
ich,A,AX
denn,TN,
krank,KRNK,
Er,AR,A
kummt,KMT,
doch,TR,
zue,TS,
d'r,TR,
kranke,KRNK,
Kueh,K,
no,N,
geht,KT,
's,S,
im,AM,
aim,AM,
Gschirr,KXR,
Bswbswbsw,PSVPSVPSV,
Könnt,KNT,
jetzt,YTST,
nit,NT,
d'r,TR,
Mond,MNT,
schiene,XN,
amplatz,AMPLTS,
d',T,
Sunn,SN,
die,T,
heiss,HS,
Hans,HNS,
Wenn,VN,
ich,A,AX
numme,NM,
die,T,
Kueh,K,
nim,NM,
höre,HR,
muesst,MST,
Ze,TS,
kumm,KM,
doch,TR,
sej,S,
lieb,LP,
Ich,A,AX
will,VL,
nix,NKS,
wisse,VS,
Horch,HRX,
Hansel,HNSL,
werum,VRM,
bisch,PX,
de,T,
denn,TN,
eso,AS,
müderie,MTR,
Gell,KL,
es,AS,
fehlt,FLT,
d'r,TR,
