forme,key1,key2
Mon,MN,
Dieu,T,
wie,V,
bin,PN,
ich,A,AX
unglüecklich,ANKLKL,ANKLKLX
Ken,KN,K
Mensch,MNX,
wo,V,
aane,AN,
tröscht,TRXT,
Gott,KT,
wie,V,
min,MN,
Hochzittsnastüechel,HRTSTSNXTRL,
tropft,TRPFT,
Träne,TRN,
nix,NKS,
wie,V,
Träne,TRN,
Bonjour,PNYR,
Hortense,HRTNS,
glüecklichi,KLKLX,
Hochzittere,HRTSTR,
Loss,LS,
dich,T,TX
umarme,AMRM,
Ja,Y,
was,VS,
muess,MS,
ich,A,AX
sehne,SN,
Dü,T,
griensch,KRNX,
Bonjour,PNYR,
Tante,TNT,TT
Octavie,AKTF,AKTV
Was,VS,
isch,AX,
denn,TN,
basiert,PSRT,
D'r,TR,
Camille,KML,
isch,AX,
noch,NR,
nit,NT,
do,T,
Diner,TNR,TN
Hochzitter,HRTSTR,HRTST
Ah,A,
nit,NT,
möjlich,ML,MLX
Kumm,KM,
setz,STS,
dich,T,TX
In,AN,
e're,AR,
Halbstund,HLPXTNT,
solle,SL,
mer,MR,M
uff,AF,
d',T,
Mairie,MR,
derno,TRN,
in,AN,
d',T,
Kirich,KR,KRX
Ich,A,AX
verzwiefel,FRTSVFL,VRTSVFL
noch,NR,
Na,N,
ja,Y,
er,AR,A
wurd,VRT,
schun,XN,
kumme,KM,
Tröscht,TRXT,
dich,T,TX
Viellicht,FLXT,VLXT
isch-em,AXM,
e,A,
Hosseknopf,HSKNPF,
abgschprunge,APKXPRNK,
odder,ATR,AT
er,AR,A
het,HT,
d',T,
Krawatt,KRVT,KRYT
verlajt,FRLT,VRLT
odder,ATR,AT
…,,
So,S,
ebbs,APS,
soll,SL,
am,AM,
eso,AS,
e,A,
Daa,T,
nit,NT,
vorkumme,FRKM,VRKM
Biem,PM,
e,A,
Junggsell,YNKSL,
isch,AX,
alles,ALS,
möjlich,ML,MLX
O,A,
ich,A,AX
sitz,STS,
wie,V,
uff-em,AFM,
e,A,
Kohlefyr,KLFR,
Bedenk,PTNK,
tante,TNT,TT
wenn'r,VNR,
nit,NT,
käm,KM,
Die,T,
Blamasch,PLMX,
Ich,A,AX
gäng,KNK,
direkt,TRKT,
…,,
In,AN,
's,S,
Wasser,VSR,VS
Naan,NN,
in,AN,
's,S,
Kloschter,KLXTR,KLXT
Tante,TNT,TT
Octavie,AKTF,AKTV
hirot,HRT,
nit,NT,
hirot,HRT,
nit,NT,
Betracht,PTRRT,
mich,M,MX
in,AN,
mim,MM,
grenzelose,KRNTSLS,
Ku-kummer,KKMR,KKM
Näm,NM,
dir,TR,
e,A,
lawendigs,LVNTKS,LYNTKS
Exempel,AKSMPL,
an,AN,
mir,MR,
In,AN,
die,T,
Verläjeheit,FRLYHT,VRLYHT
wurr,VR,
ich,A,AX
nie,N,
kumme,KM,
Jo,Y,
mach,MR,
Sache,SR,
Dü,T,
bisch,PX,
jo,Y,
erscht,ARXT,
in,AN,
de,T,
vierzig,FRTSK,VRTS
odder,ATR,AT
Was,VS,
waisch,VX,
denn,TN,
dü,T,
vom,FM,VM
Läwe,LF,LV
Ach,AR,
Gott,KT,
Werum,VRM,
sifzsch,SFSX,
denn,TN,
eso,AS,
Hab,HP,
ich,A,AX
gsifzt,KSFST,
Hortensele,HRTNSL,
ich,A,AX
hab,HP,
mir,MR,
gschwore,KXVR,
nie,N,
ze,TS,
hirote,HRT,
E,A,
Mann,MN,
bringt,PRNKT,
aam,AM,
nix,NKS,
wie,V,
Sorje,SRY,
un,AN,
Unglüeck,ANKLK,
Awer,AVR,AY
Tante,TNT,TT
wie,V,
reddsch,RTX,
denn,TN,
dü,T,
Bsunders,PSNTRS,
e,A,
Mann,MN,
wo,V,
Sport,XPRT,
triebt,TRPT,
Ich,A,AX
warn,VRN,
dich,T,TX
vor,FR,VR
so,S,
'me,M,
Mann,MN,
Tante,TNT,TT
er,AR,A
het,HT,
mir,MR,
awer,AVR,AY
versproche,FRXPRR,VRXPRR
dass'r,TSR,
üss,AS,
alle,AL,
Societäte,SKTT,
…,,
Bscht,PXT,
Verspreche,FRXPRX,VRXPRX
duehn,TN,
sie,S,
alli,AL,
awer,AVR,AY
nix,NKS,
halte,HLT,
Dü,T,
nadierlich,NTRL,NTRLX
mit,MT,
dine,TN,
zwanzig,TSVNTSK,TSVNTS
Johr,YR,
dü,T,
luejsch,LX,
d',T,
Männerwelt,MNRVLT,
noch,NR,
mit,MT,
unschuldige,ANXLTK,ANXLTY
Paradiesaue,PRTS,
aan,AN,
Statt,XTT,
aane,AN,
ze,TS,
tröschte,TRXT,
machsch,MRX,MXX
aam,AM,
's,S,
Herz,HRS,HRTS
noch,NR,
schwerer,XVRR,XVR
O,A,
ich,A,AX
armer,ARMR,ARM
Tropf,TRPF,
Düürsch,TRX,
mich,M,MX
Kind,KNT,
awer,AVR,AY
ich,A,AX
bin,PN,
uffrichtig,AFRXTK,AFRXT
So,S,
e,A,
Mann,MN,
het,HT,
jo,Y,
nie,N,
ken,KN,K
Zitt,TST,
for,FR,
sini,SN,
Frau,FR,
d'r,TR,
Sport,XPRT,
isch,AX,
ihm,AM,
alles,ALS,
alles,ALS,
So,S,
e,A,
Mann,MN,
isch,AX,
nie,N,
d',T,
haame,HM,
un,AN,
am,AM,
End,ANT,
vum,FM,VM
Johr,YR,
het'r,HTR,
e,A,
Korb,KRP,
voll,FL,VL
Cotisatione,KTSTN,
ze,TS,
zahle,TSL,
wo,V,
d',T,
Frau,FR,
nix,NKS,
d',T,
rvun,RFN,RVN
het,HT,
Awer,AVR,AY
d'r,TR,
Sport,XPRT,
isch,AX,
doch,TR,
ebbs,APS,
gesunds,KSNTS,
Ebbs,APS,
gsunds,KSNTS,
Mach,MR,
mich,M,MX
nit,NT,
lache,LR,
Doch,TR,
doch,TR,
Sitter,STR,ST
dass,TS,
d'r,TR,
Camille,KML,
zue,TS,
uns,ANS,
kummt,KMT,
isch,AX,
bie,P,
uns,ANS,
alles,ALS,
gsund,KSNT,
Ah,A,
do,T,
bin,PN,
ich,A,AX
awer,AVR,AY
gschbannt,KXPNT,
Im,AM,
Babbe,PP,
siner,SNR,SN
Fettbüch,FTPR,
hett-em,HTM,
Maläschte,MLXT,
gemacht,KMRT,
D'r,TR,
Camille,KML,
het,HT,
gsaat,KST,
Babbe,PP,
mache,MR,
Sie,S,
Gymnastique,KMNXTKV,
ich,A,AX
lehr,LR,
Sie,S,
Sie,S,
wäre,VR,
sehn,SN,
Sie,S,
greje,KRY,
e,A,
Taille,TL,
wie,V,
e,A,
Weschbel,VXPL,
d',T,
Mame,MM,
het,HT,
allewiel,ALFL,ALVL
weh,V,
in,AN,
de,T,
Baan,PN,
g'hett,KT,
D'r,TR,
Camille,KML,
het,HT,
sie,S,
Velo,FL,VL
fahre,FR,
lehre,LR,
Un,AN,
's,S,
Weh,V,
isch,AX,
eweck,AFK,AVK
D',T,
Grossmame,KRSMM,
wo,V,
dato,TT,
siewezig,SFTSK,SVTS
Johr,YR,
alt,ALT,
isch,AX,
die,T,
isch,AX,
allegelte,ALKLT,ALYLT
an,AN,
Kritzbuckelschmerze,KRTSPKLXMRTS,
im,AM,
Bett,PT,
geläje,KLY,
D'r,TR,
Camille,KML,
het,HT,
e're,AR,
gerote,KRT,
mit,MT,
yserige,ASRK,ASRY
Hantle,HNTL,HTL
un,AN,
an,AN,
de,T,
Ring,RNK,
ze,TS,
schaffe,XF,
Jetzt,YTST,
geht,KT,
sie,S,
kerzegrad,KRTSKRT,
un,AN,
isch,AX,
ganz,KNS,KNTS
buschberlig,PXPRLK,PXPRL
Also,ALS,
demnooch,TMNR,
het,HT,
's,S,
diner,TNR,TN
Camille,KML,
fertig,FRTK,FRT
gebrocht,KPRRT,
d',T,
ganz,KNS,KNTS
Familli,FML,
mit-em,MTM,
Sportsgaischt,XPRTSKXT,
ze,TS,
vergifte,FRKFT,VRKFT
Naan,NN,
so,S,
ebbs,APS,
Ja,Y,
un,AN,
was,VS,
het'r,HTR,
denn,TN,
dich,T,TX
gelehrt,KLRT,
Tennis,TNS,
Jesses,YSS,
Arms,ARMS,
Kind,KNT,
Um,AM,
's,S,
Gottswille,KTSVL,
Tante,TNT,TT
Tante,TNT,TT
Tennis,TNS,
Tennis,TNS,
Diss,TS,
isch,AX,
din,TN,
Unglüeck,ANKLK,
Mit,MT,
Tennis,TNS,
het,HT,
's,S,
bie,P,
mir,MR,
angfange,ANKFNK,
mit,MT,
Tennis,TNS,
het,HT,
's,S,
uffg'hört,AFKRT,
Tante,TNT,TT
ich,A,AX
versteh,FRXT,VRXT
dich,T,TX
nit,NT,
Kumm,KM,
doch,TR,
zue,TS,
dir,TR,
Soll,SL,
ich,A,AX
e,A,
Glas,KLS,
Wasser,VSR,VS
hole,HL,
Merci,MRK,
ich,A,AX
hab,HP,
mini,MN,
Ohnmacht,ANMRT,
nabgschluckt,NPKXLKT,
Oh,A,
Was,VS,
muess,MS,
ich,A,AX
sehn,SN,
D'r,TR,
Schwöjer,XVYR,XVY
hängt,HNKT,
im,AM,
Garte,KRT,
am,AM,
Reck,RK,
O,A,
jetzt,YTST,
macht'r,MRTR,
Büchwelle,PRVL,
Conrad,KNRT,
Conrad,KNRT,
dü,T,
verdräjsch,FRTRX,VRTRX
dir,TR,
jo,Y,
d'r,TR,
Blinddarm,PLNTRM,
Conrad,KNRT,
Halt,HLT,
Jetzt,YTST,
macht'r,MRTR,
d'r,TR,
Rieseschwung,RSXVNK,
Der,TR,T
brecht,PRXT,
sich,S,SX
noch,NR,
's,S,
Gnick,KNK,
Ich,A,AX
kann,KN,
's,S,
nim,NM,
sehn,SN,
Was,VS,
poltert,PLTRT,
denn,TN,
so,S,
Nix,NKS,
d',T,
Grossmame,KRSMM,
schafft,XFT,
im,AM,
Näwetszimmer,NFTSTSMR,NVTSTSM
mit,MT,
de,T,
Hantle,HNTL,HTL
Naan,NN,
so,S,
ebbs,APS,
verruckts,FRKTS,VRKTS
Saa,S,
Tante,TNT,TT
werum,VRM,
soll,SL,
Tennis,TNS,
e,A,
Unglüeck,ANKLK,
sin,SN,
Kind,KNT,
ich,A,AX
bin,PN,
uffrichtig,AFRXTK,AFRXT
Wie,V,
ich,A,AX
so,S,
