forme,key1,key2
Aha,AH,
d’r,TR,
Tisch,TX,
isch,AX,
gedeckt,KTKT,
d’r,TR,
Kinj,KNY,
wurd,VRT,
ball,PL,
kumme,KM,
Jaja,YY,
d’r,TR,
Kinj,KNY,
het,HT,
nur,NR,
Fraid,FRT,
am,AM,
Esse,AS,
O,A,
Misär,MSR,
Hab,HP,
’s,S,
ganz,KNS,KNTS
Land,LNT,
durchgereist,TRXKRXT,
un,AN,
viel,FL,VL
erlebt,ARLPT,
Prinze,PRNTS,
solle,SL,
hitt,HT,
kumme,KM,
wo,V,
—,,
ah,A,
do,T,
isch,AX,
jo,Y,
schun,XN,
aaner,ANR,AN
Dich,T,TX
sott,ST,
ich,A,AX
kenne,KN,
Dü,T,
bisch,PX,
schun,XN,
emol,AML,
im,AM,
Schloss,XLS,
gsin,KSN,
un,AN,
hesch,HX,
um,AM,
d’,T,
Hand,HNT,
vun,FN,VN
d’r,TR,
Prinzess,PRNTSS,
Yoyote,AT,
ang’halte,ANKLT,
Prinz,PRNS,PRNTS
Aristide,ARXTT,
vun,FN,VN
Sabatine,SPTN,SVTN
Dü,T,
schiensch,XNX,
vergesse,FRKS,VRKS
ze,TS,
han,HN,
dass,TS,
d’,T,
Prinzess,PRNTSS,
nix,NKS,
vum,FM,VM
Hirote,HRT,
wisse,VS,
will,VL,
am,AM,
wenigschte,VNKXT,
vun,FN,VN
dir,TR,
ja,Y,
vun,FN,VN
dir,TR,
D’,T,
Prinzess,PRNTSS,
het,HT,
sich,S,SX
e,A,
halb,HLP,
Johr,YR,
Bedenkzitt,PTNKTST,
üssbedunge,ASPTNK,
un,AN,
jetzt,YTST,
bin,PN,
ich,A,AX
widder,VTR,VT
do,T,
Haha,HH,
dummer,TMR,TM
Prinz,PRNS,PRNTS
die,T,
füehrt,FRT,
alli,AL,
an,AN,
d’r,TR,
Nas,NS,
erum,ARM,
Düürsch,TRX,
mich,M,MX
Awer,AVR,AY
Geduld,KTLT,
hesch,HX,
meh,M,
wie,V,
zeh,TS,
Essel,ASL,
Mini,MN,
Lieb,LP,
zue,TS,
d’r,TR,
Prinzess,PRNTSS,
isch,AX,
stäriker,XTRKR,XTRK
als,ALS,
Himmel,HML,
un,AN,
Erd,ART,
draaue,TR,
könne,KN,
Ich,A,AX
will,VL,
dir,TR,
verrote,FRT,VRT
dass,TS,
aaner,ANR,AN
vun,FN,VN
de,T,
richschte,RXXT,
Maharadscha,MHRTX,
üss,AS,
Indie,ANT,
sich,S,SX
präsentiere,PRSNTR,PRSTR
wurd,VRT,
ja,Y,
sogar,SKR,SYR
e,A,
Kinj,KNY,
Minischter,MNXTR,MNXT
Güggumseck,KKMSK,
e,A,
Kinj,KNY,
Ja,Y,
d’r,TR,
Kinj,KNY,
Niesatt,NST,
üss-em,ASM,
Schlaraffeland,XLRFLNT,
Ich,A,AX
wurr,VR,
sie,S,
alli,AL,
üssteche,ASTX,
ich,A,AX
wurr,VR,
sie,S,
mit,MT,
mim,MM,
Däje,TY,
ha,H,
min,MN,
Bluet,PLT,
kocht,KRT,
Halt,HLT,
Prinz,PRNS,PRNTS
nit,NT,
so,S,
wief,VF,
Loss,LS,
dir,TR,
saaue,S,
dass,TS,
d’,T,
Prinzess,PRNTSS,
noch,NR,
mit,MT,
de,T,
