forme,key1,key2
Guete,KT,
Daa,T,
Frau,FR,
Mehlstaub,MLSTP,
Ah,A,
guete,KT,
Daa,T,
Herr,HR,
Lehrer,LRR,LR
Was,VS,
verschafft,FRXFT,VRXFT
uns,ANS,
die,T,
Ehr’,AR,
Euch,AR,
in,AN,
d'r,TR,
Mühl,ML,
ze,TS,
sehn,SN,
Isch,AX,
Euch,AR,
ebbe,AP,
s’,S,
Mehl,ML,
üssgange,ASKNK,
Nix,NKS,
Mehl,ML,
Ich,A,AX
möcht,MRT,
gern,KRN,
mit-em,MTM,
Maischter,MXTR,MXT
redde,RT,
Mit-em,MTM,
Müller,MLR,ML
Soso,SS,
Könnte,KNT,
Ihr,AR,
mir,MR,
’s,S,
nit,NT,
anver,ANFR,ANV
troüje,TRY,
Doch,TR,
Awer,AVR,AY
ich,A,AX
möcht,MRT,
d'r,TR,
Maischter,MXTR,MXT
d’,T,
rbie,RP,
han,HN,
Michel,MXL,
kumm,KM,
hurtli,HRTL,
eryn,ARN,
es,AS,
isch,AX,
Bsuech,PSR,
do,T,
Kumme,KM,
Ihr,AR,
amend,AMNT,
wäje,VY,
unserem,ANSRM,
Bue,P,
Geduld,KTLT,
Frau,FR,
Mehlstaub,MLSTP,
Geduld,KTLT,
Numme,NM,
d’,T,
Ruehj,RY,
kann,KN,
’s,S,
mache,MR,
un,AN,
d’,T,
Uewerlajung,AFRLYNK,AVRLYNK
Mir,MR,
han,HN,
e,A,
Söüi,S,
gemetzt,KMTST,
un,AN,
do,T,
gibt,KPT,
's,S,
allerlei,ALRL,
gueti,KT,
Stüeckle,XTKL,
Wotte,VT,
Ihr,AR,
nit,NT,
mithalte,MTHLT,
dass,TS,
Euch,AR,
d'r,TR,
Saft,SFT,
am,AM,
Bart,PRT,
nablauft,NPLFT,
Merci,MRK,
Ich,A,AX
hab,HP,
mich,M,MX
hitt,HT,
schun,XN,
so,S,
verzüernt,FRTSRNT,VRTSRNT
dass,TS,
ich,A,AX
küm,KM,
e,A,
Bisse,PS,
nuntergebrocht,NNTRKPRRT,NTRKPRRT
hab,HP,
Ei,A,
ei,A,
was,VS,
Er,AR,A
nit,NT,
saat,ST,
Ich,A,AX
hab,HP,
gemaant,KMNT,KMT
numme,NM,
d’,T,
Ruehj,RY,
kann,KN,
’s,S,
mache,MR,
Zell,TSL,
schun,XN,
—,,
awer,AVR,AY
—,,
Setze,STS,
Euch,AR,
doch,TR,
Herr,HR,
Lehrer,LRR,LR
Guete,KT,
Daa,T,
Herr,HR,
Lehrer,LRR,LR
Was,VS,
han,HN,
Ihr,AR,
Guet,KT,
’s,S,
uff-m,AFM,
Herze,HRTS,
Guet,KT,
’s,S,
Nit,NT,
gerote,KRT,
Maischter,MXTR,MXT
Mehlstaub,MLSTP,
Ich,A,AX
kumm,KM,
waje,VY,
Euerem,ARM,
Peter,PTR,PT
Ei,A,
ei,A,
Was,VS,
hett’r,HTR,
denn,TN,
widder,VTR,VT
angschtellt,ANKXTLT,
diss,TS,
Früechtel,FRRTL,
Ei,A,
ei,A,
Früechtel,FRRTL,
ganz,KNS,KNTS
erächt,ARRT,
Früechtel,FRRTL,
Also,ALS,
Maischter,MXTR,MXT
ich,A,AX
muess,MS,
mich,M,MX
bitter,PTR,PT
beklaaue,PKL,
Ei,A,
ei,A,
Er,AR,A
kummt,KMT,
jede,YT,
Daa,T,
ungewäsche,ANKFX,ANKVX
mit,MT,
Strüewelhoor,XTRFLHR,XTRVLHR
in,AN,
d’,T,
Schuel,XL,
E,A,
Hals,HLS,
hett’r,HTR,
mer,MR,M
könnt,KNT,
Ruebsoome,RPSM,
druff,TRF,
säje,SY,
un,AN,
Fingernäjel,FNKRNYL,
dass,TS,
Gottserbarm,KTSRPRM,
wie,V,
Adlerkralle,ATLRKRL,
Es,AS,
isch,AX,
e,A,
Schand,XNT,
un,AN,
e,A,
böses,PSS,
Exempel,AKSMPL,
for,FR,
d’,T,
andere,ANTR,
Kinder,KNTR,KNT
bsunders,PSNTRS,
wenn,VN,
mer,MR,M
in,AN,
e’re,AR,
Mühl,ML,
d’,T,
haam,HM,
isch,AX,
wo,V,
soviel,SFL,SVL
Wasser,VSR,VS
lauft,LFT,
s’,S,
Verdraat,FRTRT,VRTRT
halt,HLT,
nit,NT,
e,A,
jed,YT,
’s,S,
s’,S,
Wasser,VSR,VS
Do,T,
muess,MS,
e,A,
Ross,RS,
lache,LR,
wenn,VN,
mer,MR,M
e,A,
Frau,FR,
het,HT,
wo,V,
so,S,
gscheid,KXT,
babbelt,PPLT,
Euere,AR,
Bue,P,
het,HT,
nit,NT,
umesunscht,AMSNXT,
d'r,TR,
Uewername,AFRNM,AVRNM
Strüwel,XTRFL,XTRVL
peter,PTR,PT
E,A,
böses,PSS,
Exempel,AKSMPL,
Sini,SN,
devoirs,TFRS,TVRS
sin,SN,
so,S,
schlecht,XLXT,
dass,TS,
mer,MR,M
grad,KRT,
griene,KRN,
möcht,MRT,
Schriewe,XRF,XRV
duet’r,TTR,
wie,V,
e,A,
Katz,KTS,
wo,V,
in,AN,
’s,S,
Dintefässel,TNTFSL,TTFSL
getrette,KTRT,
isch,AX,
un,AN,
derno,TRN,
uff-em,AFM,
cahier,KHR,KH
erum,ARM,
lauft,LFT,
Ei,A,
ei,A,
Mit-m,MTM,
Lese,LS,
geht,KT,
's,S,
so,S,
Geographie,KKRF,
Gschicht,KXXT,
nix,NKS,
Zeichne,TSXN,
nix,NKS,
Ei,A,
ei,A,
Sei,S,
emol,AML,
still,XTL,
mit,MT,
dim,TM,
dumme,TM,
ei-ei-ei,A,
Herr,HR,
Lehrer,LRR,LR
verzehle,FRTSL,VRTSL
mer,MR,M
alles,ALS,
was,VS,
Ihr,AR,
vun,FN,VN
dem,TM,
Galjestrick,KLYXTRK,
wisse,VS,
Wie,V,
isch,AX,
’s,S,
denn,TN,
mit-em,MTM,
Rechne,RXN,
Galjestrick,KLYXTRK,
ganz,KNS,KNTS
erächt,ARRT,
Rechne,RXN,
kann’r,KNR,
guet,KT,
Was,VS,
wobr,VPR,
isch,AX,
isch,AX,
wohr,VR,
Er,AR,A
kann,KN,
doch,TR,
ebbs,APS,
hesch,HX,
’s,S,
g'höert,KRT,
Awer,AVR,AY
Zahle,TSL,
macht’r,MRTR,
wie,V,
Fleischhooge,FLXHK,FLXHY
in,AN,
e’re,AR,
Metz,MTS,
Schön,XN,
singe,SNK,
kann’r,KNR,
au,A,
noch,NR,
Meh,M,
brüehle,PRL,
wie,V,
singe,SNK,
Frau,FR,
Mehlstaub,MLSTP,
un,AN,
sich,S,SX
mit,MT,
sine,SN,
Schuelkamerade,XLKMRT,
erumschlaaue,ARMXL,
Betrachte,PTRRT,
numme,NM,
sini,SN,
Büecher,PRR,PR
m'r,MR,
maant,MNT,MT
grad,KRT,
e,A,
Lumpejudd,LMPYT,
het,HT,
sie,S,
schun,XN,
im,AM,
Lumpesack,LMPSK,
ghett,KT,
So,S,
isch,AX,
’s,S,
Er,AR,A
isch,AX,
d'r,TR,
ältscht,ALTXT,
üss,AS,
dr,TR,
ganze,KNTS,
Klass,KLS,
un,AN,
bliebt,PLPT,
allewiel,ALFL,ALVL
sitze,STS,
Un,AN,
hitt,HT,
hitt,HT,
hett’r,HTR,
d’,T,
Schuel,XL,
