forme,key1,key2
Bscht,PXT,
—,,
bscht,PXT,
—,,
Katt,KT,
—,,
bscht,PXT,
—,,
Was,VS,
isch,AX,
schun,XN,
widder,VTR,VT
—,,
Ah,A,
dü,T,
bisch,PX,
’s,S,
—,,
’s,S,
Nochbers,NRPRS,
Mejel,MYL,
—,,
Kommsch,KMX,
nit,NT,
ering,ARNK,
Ich,A,AX
hab,HP,
gedankt,KTNKT,
ich,A,AX
will,VL,
noch,NR,
e,A,
Sprung,XPRNK,
erüewer,ARFR,ARV
—,,
—,,
So,S,
so,S,
Viel,FL,VL
Aerwet,ARVT,
—,,
Katt,KT,
E,A,
Wünder,VNTR,VNT
wann,VN,
de,T,
Bür,PR,
morn,MRN,
Hochzitt,HRTST,
mocht,MRT,
Ja,Y,
—,,
vellicht,FLXT,VLXT
brüche,PRR,
nr,NR,
noch,NR,
ebs,APS,
Mir,MR,
—,,
Nä,N,
i,A,
wisst,VST,
nit,NT,
Oder,ATR,AT
—,,
köennt,KNT,
i,A,
ebs,APS,
halfe,HLF,
Was,VS,
dann,TN,
Jetz,YTS,
—,,
nit,NT,
—,,
i,A,
hab,HP,
halt,HLT,
gemänt,KMNT,KMT
So,S,
so,S,
do,T,
hesch,HX,
halt,HLT,
latz,LTS,
gemänt,KMNT,KMT
Mejel,MYL,
Na,N,
ze,TS,
geh,K,
i,A,
halt,HLT,
wider,VTR,VT
Diss,TS,
isch,AX,
awer,AVR,AY
e,A,
schnalli,XNL,
Visit,FST,VST
gewahn,KFN,KVN
Alleh,AL,
adjeh,ATY,
Katt,KT,
Adjeh,ATY,
Mejel,MYL,
Isch,AX,
ar,AR,
schun,XN,
do,T,
Katt,KT,
So,S,
jetz,YTS,
gfall’sch,KFLX,
mr,MR,
als,ALS,
erüss,ARS,
mit,MT,
de,T,
Sproch,XPRR,
un,AN,
nit,NT,
hinderm,HNTRM,
Hüetel,HTL,
gspielt,KXPLT,
Halt’sch,HLTX,
mich,M,MX
dann,TN,
for,FR,
so,S,
dumm,TM,
Mejel,MYL,
Nä,N,
nä,N,
diss,TS,
kannsch,KNX,
de,T,
äm,AM,
vezohle,FTSL,VTSL
wo,V,
d',T,
Schüeh,X,
mit,MT,
Widde,VT,
binge,PNK,
dhüet,TT,
Verrode,FRT,VRT
mi,M,
nit,NT,
—,,
Katt,KT,
Mänsch,MNX,
ich,A,AX
hab,HP,
’s,S,
nit,NT,
schun,XN,
lang,LNK,
gsahne,KSN,
wie,V,
d',T,
als,ALS,
rot,RT,
worre,VR,
bisch,PX,
bis,PS,
hinger,HNKR,HNK
d',T,
Ohrlapple,ARLPL,
wann,VN,
de,T,
als,ALS,
mit,MT,
ünserm,ANSRM,
Jean,YN,
geredd,KRT,
hesch,HX,
Lüej,L,
Mejel,MYL,
mir,MR,
zwäj,TSV,
sin,SN,
jo,Y,
d’,T,
änziche,ANTSX,
wo,V,
an,AN,
de,T,
Jean,YN,
danke,TNK,
un,AN,
uff,AF,
ne,N,
warde,VRT,
dhüen,TN,T
De,T,
Bür,PR,
siner,SNR,SN
Vadder,FTR,VT
ar,AR,
hett,HT,
kenn,KN,
Zitt,TST,
ar,AR,
hieroot,HRT,
morn,MRN,
züem,TSM,
zwäite,TSVT,
Mol,ML,
Dar,TR,
hett,HT,
anderi,ANTR,
Sorje,SRY,
Awer,AVR,AY
mir,MR,
Ich,A,AX
Mejel,MYL,
ich,A,AX
hab,HP,
dene,TN,
Büe,P,
uffgezöje,AFKTSY,
wiel,VL,
sini,SN,
Müeder,MTR,MT
gstorwe,KXTRV,
isch,AX,
küm,KM,
isch,AX,
ar,AR,
uff,AF,
de,T,
Walt,VLT,
gewahn,KFN,KVN
—,,
—,,
Un,AN,
dü,T,
—,,
—,,
hm,M,
—,,
—,,
dü,T,
—,,
—,,
mach,MR,
jetz,YTS,
kenn,KN,
Gsicht,KSXT,
wie,V,
e,A,
Küehj,KY,
wann,VN,
mr,MR,
ere,AR,
e,A,
Vejlott,FLT,VLT
annehebbt,ANHPT,
—,,
—,,
dü,T,
wart’sch,VRTX,
halt,HLT,
uff,AF,
ne,N,
wie,V,
d’,T,
ne,N,
gare,KR,
hesch,HX,
Bscht,PXT,
—,,
Katt,KT,
—,,
bscht,PXT,
wann,VN,
’s,S,
eber,APR,AV
hoert,HRT,
Do,T,
—,,
’s,S,
sin,SN,
d',T,
letschte,LTXT,
wo,V,
ich,A,AX
im,AM,
Garde,KRT,
gfunde,KFNT,
hab,HP,
Stelle,XTL,
sie,S,
im,AM,
Jean,YN,
in,AN,
d',T,
Stubb,XTP,
Awer,AVR,AY
nit,NT,
vegasse,FKS,VYS
Katt,KT,
gall,KL,
—,,
—,,
Un,AN,
jetz,YTS,
geh,K,
i,A,
wider,VTR,VT
Adjeh,ATY,
Katt,KT,
Un,AN,
nit,NT,
vegasse,FKS,VYS
Katt,KT,
Ass,AS,
hett,HT,
ganz,KNS,KNTS
eracht,ARRT,
’s,S,
Mejel,MYL,
Mr,MR,
müess,MS,
die,T,
Manner,MNR,MN
als,ALS,
e,A,
bissel,PSL,
mit,MT,
de,T,
Nas,NS,
druffdupfe,TRFTPF,
schunsch,XNX,
merike,MRK,
se,S,
nix,NKS,
—,,
Vom,FM,VM
Batte,PT,
wurd,VRT,
de,T,
Hawere,HVR,HYR
nit,NT,
fatt,FT,
mr,MR,
müess,MS,
äui,A,
Mischt,MXT,
dron,TRN,
moche,MR,
Awer,AVR,AY
i,A,
will,VL,
doch,TR,
die,T,
Rose,RS,
glich,KL,KLX
nuff,NF,
im,AM,
Jean,YN,
sin,SN,
Stubb,XTP,
dräuje,TRY,
Do,T,
gib,KP,
mr,MR,
Achting,ARTNK,
am,AM,
Hard,HRT,
Ich,A,AX
müess,MS,
so,S,
wie,V,
so,S,
noch,NR,
’s,S,
Bluet,PLT,
hole,HL,
for,FR,
d',T,
Kuttelsupp,KTLSP,
BASCHE,PX,
KATT,KT,
Hepla,HPL,
—,,
Hepla,HPL,
—,,
Allez,ALS,ALTS
allez,ALS,ALTS
schick,XK,
di,T,
daöbs,TPS,
Kalwel,KLVL,
—,,
Katt,KT,
jetz,YTS,
Aei,A,
ze,TS,
gib,KP,
doch,TR,
Achting,ARTNK,
alter,ALTR,ALT
Schöijde,XT,
Wann,VN,
dü,T,
emol,AML,
im,AM,
Drabb,TRP,
bisch,PX,
ze,TS,
datsch,TTX,
de,T,
Hüss,HS,
un,AN,
Hoft,HFT,
zammeranne,TSMRN,
As,AS,
isch,AX,
nur,NR,
