forme,key1,key2
Dis,TS,
weiß,VS,
d'r,TR,
lieb,LP,
Herrgott,HRKT,
was,VS,
dü,T,
mit,MT,
dine,TN,
Hoor,HR,
machsch,MRX,MXX
Als,ALS,
widder,VTR,VT
verstruwwelt,FRXTRVLT,VRXTRVLT
und,ANT,
verzüst,FRTSXT,VRTSXT
For,FR,
dich,T,TX
könnt,KNT,
m'r,MR,
ellein,ALN,
e,A,
Coiffeur,KFR,
anstelle,ANXTL,
daß,TS,
de,T,
nit,NT,
alle-gelde,ALKLT,
-n-,N,
erüslüejsch,ARSLX,
wie,V,
e,A,
Ziginnersmaidel,TSKNRSMTL,TSYNRSMTL
Auah,A,
Auah,A,
De,T,
machsch,MRX,MXX
m'r,MR,
weh,V,
Mamme,MM,
Halt,HLT,
e,A,
bissele,PSL,
still,XTL,
daß,TS,
ich,A,AX
dich,T,TX
strähle,XTRL,
kann,KN,
Ropfe,RPF,
müeß,MS,
ich,A,AX
dich,T,TX
halt,HLT,
schun,XN,
bisch,PX,
ganz,KNS,KNTS
ellein,ALN,
schuld,XLT,
dran,TRN,
Wo,V,
isch,AX,
din,TN,
Zopfbendel,TSPFPNTL,
Hesch,HX,
ne,N,
'mol,ML,
widder,VTR,VT
verlore,FRLR,VRLR
Do,T,
isch,AX,
'r,R,
jo,Y,
Gib,KP,
here,HR,
Dü,T,
sottsch,STX,
viel,FL,VL
meh,M,
uff,AF,
dich,T,TX
halte,HLT,
E,A,
Maidel,MTL,
wo,V,
in,AN,
d',T,
Doctrine,TKTRN,
geht,KT,
sott,ST,
sich,S,SX
viel,FL,VL
ze,TS,
güet,KT,
sin,SN,
for,FR,
uff,AF,
d'r,TR,
Gaß,KS,
erumzespringe,ARMTSXPRNK,
daß,TS,
m'r,MR,
nit,NT,
weiß,VS,
in,AN,
wem,VM,
's,S,
g'hört,KRT,
Es,AS,
het,HT,
nit,NT,
e,A,
jeds,YTS,
die,T,
Lehr,LR,
wo,V,
dü,T,
hesch,HX,
—,,
Wie,V,
stehts,XTTS,
mit,MT,
dine,TN,
-n-,N,
Uffgawe,AFKV,AFKY
hesch,HX,
sie,S,
schun,XN,
gemacht,KMRT,
Ich,A,AX
hab,HP,
sie,S,
gemacht,KMRT,
awer,AVR,AY
's,S,
Lucie,LK,
müeß,MS,
mich,M,MX
emol,AML,
de,T,
Katechisme,KTXSM,
üwwerhöre,AVRHR,
ob,AP,
ich,A,AX
ne,N,
au,A,
güet,KT,
kann,KN,
Wurum,VRM,
kummt,KMT,
's,S,
denn,TN,
so,S,
lang,LNK,
nit,NT,
Fröuj,FR,
's,S,
doch,TR,
selbscht,SLPXT,
es,AS,
saat,ST,
m'r,MR,
's,S,
nit,NT,
was,VS,
for,FR,
Gschäfte,KXFT,
's,S,
het,HT,
Denk,TNK,
emol,AML,
grad,KRT,
ewwe,AV,
-n-,N,
isch,AX,
e,A,
Herr,HR,
do,T,
gsin,KSN,
un,AN,
het,HT,
noch,NR,
em,AM,
gfröujt,KFRT,
Wo,V,
Uff,AF,
d'r,TR,
Gaß,KS,
E,A,
Herr,HR,
Ja,Y,
e,A,
schöner,XNR,XN
großer,KRSR,KRS
Herr,HR,
isch,AX,
kumme,KM,
mit,MT,
eme,AM,
