forme,key1,key2
Gottlob,KTLP,
jetz,YTS,
bin,PN,
i,A,
ferdi,FRT,
Stuwwe,XTV,
-n-,N,
un,AN,
Better,PTR,PT
mache,MR,
uff,AF,
de,T,
Merk,MRK,
gehn,KN,
koche,KR,
wäsche,VX,
-n-,N,
un,AN,
beijle,PL,
so,S,
geht,KT,
’s,S,
jetz,YTS,
schun,XN,
ball,PL,
e,A,
Johrer,YRR,YR
fuffzeh,FFTS,
daadäjli,TTL,
in,AN,
einere,ANR,
Lier,LR,L
furt,FRT,
ohne,AN,
changement,KNKMNT,XNKMT
un,AN,
distraction,TXTRKTN,
’s,S,
isch,AX,
schier,XR,X
züem,TSM,
verzwazzle,FRTSVTSTSL,VRTSVTSTSL
Un,AN,
ich,A,AX
hab,HP,
die,T,
Nacht,NRT,
so,S,
e,A,
schöner,XNR,XN
Traum,TRM,
ghett,KT,
ich,A,AX
hab,HP,
getraimt,KTRMT,
ich,A,AX
dhädd,TT,
mich,M,MX
widder,VTR,VT
hirote,HRT,
un,AN,
sogar,SKR,SYR
mit,MT,
eme,AM,
Wittmann,VTMN,
ohne,AN,
Kinder,KNTR,KNT
nein,NN,
wär,VR,
dis,TS,
e,A,
Glück,KLK,
hinnicht,HNXT,
isch,AX,
Vollmond,FLMNT,VLMNT
gsin,KSN,
was,VS,
m’r,MR,
in,AN,
so,S,
ere,AR,
Nacht,NRT,
traimt,TRMT,
soll,SL,
in,AN,
Erfüllung,ARFLNK,
gehn,KN,
saat,ST,
m’r,MR,
Do,T,
drinne,TRN,
gehts,KTS,
schun,XN,
widder,VTR,VT
los,LS,
züe,TS,
merkwürdig,MRKVRTK,MRKVRT
züe,TS,
merkwürdig,MRKVRTK,MRKVRT
—,,
—,,
Was,VS,
d’r,TR,
Herr,HR,
Stieffatre,XTFTR,
nur,NR,
het,HT,
Jetz,YTS,
düürts,TRTS,
schun,XN,
ball,PL,
zwei,TSV,
Woche,VR,
un,AN,
’s,S,
wurd,VRT,
nit,NT,
andersch,ANTRX,
—,,
—,,
Was,VS,
wurd,VRT,
er,AR,A
jetz,YTS,
widder,VTR,VT
mache,MR,
Ich,A,AX
will,VL,
doch,TR,
emol,AML,
lüeje,LY,
Als,ALS,
noch,NR,
’s,S,
nämlich,NML,NMLX
—,,
—,,
Do,T,
drinne,TRN,
siehts,STS,
wärli,VRL,
güet,KT,
üs,AS,
Alles,ALS,
z’,S,
undersch,ANTRX,
z’,S,
öwersch,AFRX,AVRX
M’r,MR,
derf,TRF,
nit,NT,
erin,ARN,
’r,R,
will,VL,
nit,NT,
gstört,KXTRT,
sin,SN,
saat,ST,
’r,R,
het,HT,
’r,R,
gsaat,KST,
Jesses,YSS,
nein,NN,
jetz,YTS,
fangt,FNKT,
er,AR,A
widder,VTR,VT
an,AN,
ze,TS,
babble,PPL,
—,,
—,,
’s,S,
isch,AX,
züem,TSM,
lache,LR,
—,,
—,,
züe,TS,
fürios,FRS,
züe,TS,
fürios,FRS,
Nurre,NR,
Geduld,KTLT,
Ich,A,AX
komm,KM,
noch,NR,
d’,T,
rhinter,RNTR,RT
so,S,
wohr,VR,
ich,A,AX
Cécile,KKL,
heiß,HS,
un,AN,
Geduld,KTLT,
iwwerwind,AVRVNT,
au,A,
de,T,
-n-,N,
Eierküeche,ARKR,
Bonjour,PNYR,
Mamsell,MMSL,
Um,AM,
Gottswille,KTSVL,
—,,
—,,
bin,PN,
i,A,
jetz,YTS,
verschrocke,FRXRK,VRXRK
—,,
—,,
Wohnt,VNT,
do,T,
d’r,TR,
Herr,HR,
Anatole,ANTL,
Stieffatre,XTFTR,
Ganz,KNS,KNTS
erecht,ARXT,
Sie,S,
wölle,VL,
züem,TSM,
Do,T,
drinnen-isch,TRNNX,
’r,R,
Het,HT,
d’r,TR,
Herr,HR,
Stieffatre,XTFTR,
d’,T,
Sache,SR,
gerüscht,KRXT,
wo,V,
ich,A,AX
abhole,APL,
soll,SL,
Do,T,
uff,AF,
’m,M,
Canapée,KNP,
leijt,LT,
alles,ALS,
—,,
—,,
Jetz,YTS,
saaue,S,
Sie,S,
mir,MR,
doch,TR,
emol,AML,
was,VS,
dis,TS,
beditte,PTT,
soll,SL,
daß,TS,
er,AR,A
dis,TS,
Dings,TNKS,
verlehnt,FRLNT,VRLNT
’s,S,
isch,AX,
doch,TR,
züe,TS,
merkwürdig,MRKVRTK,MRKVRT
E,A,
paar,PR,
Hosse,HS,
—,,
güet,KT,
e,A,
Schilet,XLT,
—,,
do,T,
isch,AX,
’s,S,
e,A,
Rock,RK,
—,,
do,T,
hammer,HMR,HM
ne,N,
e,A,
Schibüs,XPS,XVS
—,,
do,T,
leijt,LT,
’r,R,
un,AN,
e,A,
Bombardon,PMPRTN,
—,,
do,T,
steht,XTT,
’r,R,
Helfe,HLF,
Sie,S,
m’r,MR,
e,A,
bissel,PSL,
—,,
So,S,
merci,MRK,
Ja,Y,
awer,AVR,AY
wurum,VRM,
dis,TS,
alles,ALS,
’s,S,
isch,AX,
wäje’re,VYR,
Kindtaif,KNTF,
for,FR,
e,A,
güete,KT,
Frind,FRNT,
Au,A,
dis,TS,
Bombardon,PMPRTN,
Dis,TS,
kann,KN,
doch,TR,
nit,NT,
möejli,ML,
sin,SN,
Wurum,VRM,
nit,NT,
’s,S,
wurd,VRT,
nit,NT,
’s,S,
erscht,ARXT,
Mol,ML,
sin,SN,
daß,TS,
uff,AF,
ere,AR,
Kindtaif,KNTF,
ebbs,APS,
gebloose,KPLS,
wurd,VRT,
Dis,TS,
isch,AX,
awer,AVR,AY
doch,TR,
züe,TS,
kürios,KRS,
—,,
’s,S,
geht,KT,
mich,M,MX
nix,NKS,
an,AN,
Mamsell,MMSL,
Bardon,PRTN,
m’sieur,MSR,
ich,A,AX
bin,PN,
Wittfrau,VTFR,
Macht,MRT,
nix,NKS,
madame,MTM,
ich,A,AX
bin,PN,
Wittmann,VTMN,
E,A,
Wittmann,VTMN,
—,,
Ohne,AN,
Kinder,KNTR,KNT
Ohne,AN,
Kinder,KNTR,KNT
—,,
Ich,A,AX
müeß,MS,
jetz,YTS,
gehn,KN,
Ze,TS,
bliewe,PLF,PLV
Sie,S,
doch,TR,
noch,NR,
e,A,
bissel,PSL,
—,,
—,,
Möchte,MRT,
Sie,S,
sich,S,SX
nit,NT,
noch,NR,
emol,AML,
hirote,HRT,
Merci,MRK,
bien,PN,P
hab,HP,
grad,KRT,
genüe,KN,
vum,FM,VM
erschte,ARXT,
Mol,ML,
Awer,AVR,AY
nein,NN,
—,,
—,,
Ich,A,AX
for,FR,
min,MN,
Dheil,TL,
wüßt,VST,
nit,NT,
was,VS,
dhüen,TN,T
wenn,VN,
m’r,MR,
ebber,APR,AP
dhädd,TT,
e,A,
Hirotsantraa,HRTSNTR,HRTSTR
mache,MR,
Sie,S,
wüßte,VST,
’s,S,
nit,NT,
—,,
—,,
Awer,AVR,AY
ich,A,AX
Adieu,AT,
madame,MTM,
Am,AM,
liebschte,LPXT,
hätt,HT,
ich,A,AX
e,A,
Wittmann,VTMN,
ohne,AN,
Kinder,KNTR,KNT
Eh,A,
ben,PN,P
güet,KT,
ze,TS,
will,VL,
i,A,
sehn,SN,
daß,TS,
ich,A,AX
einer,ANR,AN
find,FNT,
E,A,
warmi,VRM,
Person,PRSN,
E,A,
züe,TS,
nedder,NTR,NT
Mensch,MNX,
