forme,key1,key2
Nan,NN,
het,HT,
m'r,MR,
siner,SNR,SN
Daa,T,
des,TS,
Lewens,LFNS,LVNS
so,S,
ebs,APS,
erlebt,ARLPT,
Do,T,
hört,HRT,
sich,S,SX
jo,Y,
d',T,
Weltg'schicht,VLTKXXT,
uff,AF,
So,S,
e,A,
Impertinenz,AMPRTNNS,AMPRTNNTS
Kättel,KTL,
Hole,HL,
Sie,S,
sofort,SFRT,
miner,MNR,MN
Mann,MN,
erin,ARN,
hole,HL,
Sie,S,
miner,MNR,MN
Mann,MN,
Zu,TS,
Madam,MTM,
Ah,A,
comme,KM,
ça,,
Madam,MTM,
Kieselhagen,KSLHKN,KSLHK
do,T,
kennt,KNT,
sie,S,
mich,M,MX
letz,LTS,
Hungerliedersbataglik,HNKRLTRXPTKLK,
as,AS,
er,AR,A
sin,SN,
Uff,AF,
's,S,
Ziel,TSL,
fliejt,FLT,
sie,S,
zum,TSM,
Tempel,TMPL,
nüß,NS,
un,AN,
direkt,TRKT,
frejt,FRT,
sie,S,
jetzt,YTST,
g’schriewe,KXRF,KXRV
So,S,
e,A,
Impertinenz,AMPRTNNS,AMPRTNNTS
Wasser,VSR,VS
marsh,MRX,MRSH
Wo,V,
brennt,PRNT,
's,S,
denn,TN,
Dü,T,
weisch,VX,
ich,A,AX
kann,KN,
's,S,
nit,NT,
verbutze,FRPTS,VRPTS
wenn,VN,
ich,A,AX
derangiert,TRNKRT,
wurr,VR,
Zweitens,TSVTNS,
isch,AX,
e,A,
Härifässel,HRFSL,
gschbrunge,KXPRNK,
un,AN,
erschtens,ARXTNS,
wart,VRT,
e,A,
Clientèle,KLNTL,KLTL
uff,AF,
mich,M,MX
Besser,PSR,PS
e,A,
Härifässel,HRFSL,
als,ALS,
ich,A,AX
Do,T,
schriebsch,XRPX,
m'r,MR,
sans,SNS,
façon,FN,
ans,ANS,
Kieselhagens,KSLHKNS,KSLHYNS
locataire,LKTR,
üs,AS,
'm,M,
zweite,TSVT,
Stock,XTK,
as,AS,
sie,S,
gekündt,KKNT,
isch,AX,
uff,AF,
's,S,
Ziel,TSL,
Nußbicker,NSPKR,NSPK
Ans,ANS,
Kieselhagens,KSLHKNS,KSLHYNS
Jetz,YTS,
wo,V,
so,S,
viel,FL,VL
Wohnunge,VNNK,
leer,LR,L
stehn,XTN,
Ich,A,AX
glaab,KLP,
Dü,T,
hesch,HX,
fliegendi,FLKNT,FLYNT
Hitze,HTS,
E,A,
-n-,N,
andersmol,ANTRSML,
widder,VTR,VT
Babette,PPT,PVT
Gottfried,KTFRT,
witt,VT,
Dü,T,
Dinni,TN,
Frau,FR,
tellement,TLMNT,TLMT
beleidige,PLTK,PLTY
lon,LN,
Geh,K,
m'r,MR,
eweck,AFK,AVK
alle,AL,
gelte,KLT,
des,TS,
G'händels,KNTLS,
mit,MT,
ejch,AX,
Wibslitt,VPSLT,
ich,A,AX
kenn,KN,
Dich,T,TX
for,FR,
deß,TS,
was,VS,
de,T,
bisch,PX,
Dü,T,
tätsch,TTX,
in,AN,
alle,AL,
locataire,LKTR,
uff,AF,
’s,S,
mol,ML,
uffküende,AFKNT,
Ja,Y,
un,AN,
Dir,TR,
tät,TT,
ich,A,AX
am,AM,
allerliebschte,ALRLPXT,
z'erscht,SRXT,
uffküende,AFKNT,
Denn,TN,
Dü,T,
bisch,PX,
d'r,TR,
süferscht,SFRXT,
vun,FN,VN
alle,AL,
zamme,TSM,
Denk,TNK,
an,AN,
d'r,TR,
Cousin,KSN,
Ré,R,
fraktaire,FRKTR,
in,AN,
Paris,PRS,
Calmier,KLMR,KLM
Dich,T,TX
Diß,TS,
Zuck,TSK,
hett,HT,
's,S,
gebatt,KPT,KVT
denk,TNK,
dran,TRN,
denn,TN,
ich,A,AX
hab,HP,
meh,M,
Ambitione,AMPTN,
wie,V,
Timbresammle,TMPRSML,
un,AN,
Babbeljude,PPLYT,
uffnodle,AFNTL,
E,A,
heilig,HLK,HL
heilig,HLK,HL
Ich,A,AX
hab,HP,
nit,NT,
d'r,TR,
Zitt,TST,
Was,VS,
isch,AX,
denn,TN,
widder,VTR,VT
los,LS,
g'sin,KSN,
Was,VS,
los,LS,
isch,AX,
g'sinn,KSN,
Erscht,ARXT,
hett,HT,
sie,S,
’s,S,
Dreckkischtel,TRKKXTL,
bis,PS,
am,AM,
Middaa,MT,
im,AM,
Hüßgang,HSKNK,
stehn,XTN,
lon,LN,
no,N,
begehrt,PKRT,PYRT
sie,S,
d'r,TR,
Schlüessel,XLSL,
vun,FN,VN
d'r,TR,
Büchkiche,PRKX,
no,N,
fangt,FNKT,
sie,S,
do,T,
an,AN,
e,A,
leids,LTS,
Krach,KRR,
ze,TS,
schlauwe,XLF,XLV
wäje,VY,
unserem,ANSRM,
Bello,PL,
b'haupt,PPT,
er,AR,A
dät,TT,
iere,AR,
alle,AL,
Nacht,NRT,
uff,AF,
d',T,
Stäj,XT,
brinzle,PRNTSL,
D'r,TR,
Bello,PL,
wo,V,
ne,N,
’s,S,
Kättel,KTL,
noch,NR,
alle,AL,
-n-,N,
Owe,AF,AV
uff,AF,
d',T,
Gaß,KS,
füehre,FR,
mueß,MS,
—,,
—,,
—,,
Un,AN,
wäje,VY,
dem,TM,
witt,VT,
Dü,T,
uffküende,AFKNT,
Au,A,
unserem,ANSRM,
Bello,PL,
kann,KN,
emol,AML,
ebs,APS,
menschlichs,MNXLKS,MNXLX
vorkumme,FRKM,VRKM
Au,A,
revoir,RFR,RVR
Babett,PPT,PVT
Gottfried,KTFRT,
Nußbicker,NSPKR,NSPK
Wenn,VN,
ich,A,AX
gewißt,KFST,KVST
hät,HT,
aß,AS,
es,AS,
so,S,
lang,LNK,
dürt,TRT,
so,S,
wärd,VRT,
ich,A,AX
gescht,KXT,
schun,XN,
kumme,KM,
Frau,FR,
hesch,HX,
Dü,T,
denn,TN,
gar,KR,
kenn,KN,
Insehns,ANSNS,
Drunte,TRNT,TRT
wart,VRT,
e,A,
Härifässel,HRFSL,
e,A,
Clientele,KLNTL,KLTL
isch,AX,
gschprunge,KXPRNK,
Sie,S,
solle,SL,
warte,VRT,
un,AN,
v'rschpringe,FRXPRNK,VRXPRNK
dunderlischpel,TNTRLXPL,
noch,NR,
emol,AML,
Beleidigunge,PLTKNK,PLTYNK
loß,LS,
ich,A,AX
nit,NT,
uff,AF,
mir,MR,
sitze,STS,
Was,VS,
Dü,T,
machsch,MRX,MXX
isch,AX,
dinni,TN,
Sach,SR,
Denk,TNK,
an,AN,
de,T,
Cousin,KSN,
in,AN,
Paris,PRS,
Wo,V,
Dü,T,
ihm,AM,
jetz,YTS,
au,A,
noch,NR,
’s,S,
Hélène,HLN,
v'rkupple,FRKPL,VRKPL
witt,VT,
fur,FR,
Dini,TN,
Schlich,XL,XLX
ze,TS,
v'rsteckle,FRXTKL,VRXTKL
O,A,
heiliger,HLKR,HLY
Sebaschtian,SPXTN,SVXTN
Awer,AVR,AY
denk,TNK,
dran,TRN,
dies,TS,
reüssiert,RSRT,
Dir,TR,
nit,NT,
Wenn,VN,
Dü,T,
nit,NT,
uff,AF,
küende,KNT,
witt,VT,
mach,MR,
ich,A,AX
alles,ALS,
püblic,PPLK,
Uewers,AFRS,AVRS
Glüeck,KLK,
vun,FN,VN
de,T,
Kinder,KNTR,KNT
do,T,
wach,VR,
ich,A,AX
Jetz,YTS,
schlaat,XLT,
's,S,
drizeh,TRTS,
Vun,FN,VN
dene,TN,
Schlich,XL,XLX
profitiert,PRFTRT,
d'r,TR,
Cousin,KSN,
genau,KN,
wie,V,
ich,A,AX
c’est-à-dire,KXTTR,
vun,FN,VN
dene,TN,
Schlich,XL,XLX
Vun,FN,VN
mim,MM,
Genie,KN,
witt,VT,
sauwe,SF,SV
Min,MN,
Genie,KN,
hett,HT,
's,S,
V'rmöje,FRMY,VRMY
zammeg'scherrt,TSMKXRT,
Es,AS,
bekummt,PKMT,
emol,AML,
später,XPTR,XPT
alles,ALS,
sini,SN,
Richtigkeit,RXTKKT,
Ja,Y,
un,AN,
was,VS,
wittersch,VTRX,
Also,ALS,
Dini,TN,
adoriert,ATRRT,
Madam,MTM,
Kieselhagen,KSLHKN,KSLHK
saat,ST,
sie,S,
butzt,PTST,
's,S,
nimi,NM,
uff,AF,
Nußbicker,NSPKR,NSPK
Sie,S,
het,HT,
ganz,KNS,KNTS
erecht,ARXT,
Was,VS,
—,,
—,,
Nix,NKS,
—,,
—,,
saa,S,
ich,A,AX
zue,TS,
ihre,AR,
Sie,S,
butzt,PTST,
's,S,
nimmi,NM,
uff,AF,
Ah,A,
deß,TS,
wärd,VRT,
jo,Y,
noch,NR,
schöner,XNR,XN
Mane,MN,
Sie,S,
mir,MR,
welle,VL,
Chores,KRS,XRS
im,AM,
Hüs,HS,
han,HN,
aß,AS,
m'r,MR,
im,AM,
Dreck,TRK,
verschtickt,FRXTKT,VRXTKT
Fur,FR,
was,VS,
hett,HT,
Sie,S,
denn,TN,
Ihri,AR,
zwei,TSV,
Döchter,TRTR,TRT
die,T,
zwei,TSV,
alte,ALT,
hochg'schossene,HRKXSN,
Jumpfere,YMPFR,
Die,T,
Hopfestange,HPFXTNK,
haw-ich,HV,HVX
g'saat,KST,
Mit,MT,
de,T,
rüssische,RSX,
Grafe,KRF,
wo,V,
sie,S,
als,ALS,
noh,N,
druff,TRF,
schpanne,XPN,
isch,AX,
dato,TT,
Schätte,XT,
Es,AS,
tät,TT,
ne,N,
gar,KR,
wohl,VL,
anschtehn,ANXTN,
haw-ich,HV,HVX
g'saat,KST,
wenn,VN,
sie,S,
emol,AML,
e,A,
Lumpe,LMP,
in,AN,
d',T,
Hand,HNT,
nemme,NM,
däte,TT,
No,N,
was,VS,
maansh,MNX,MNSH
was,VS,
sie,S,
g’saat,KST,
hett,HT,
Ja,Y,
hett,HT,
sie,S,
au,A,
ebs,APS,
g'saat,KST,
Allewäj,ALF,ALV
hett,HT,
sie,S,
Na,N,
Madam,MTM,
hett,HT,
sie,S,
g'saat,KST,
Sie,S,
sind,SNT,
ja,Y,
mit,MT,
einem,ANM,
Referendar,RFRNTR,
zufrieden,TSFRTN,TSFRT
für,FR,
Ihre,AR,
Töchter,TRTR,TRT
lassen,LSN,LS
Sie,S,
uns,ANS,
die,T,
Hoffnung,HFNNK,
auf,AF,
die,T,
russischen,RSXN,RSX
Grafen,KRFN,KRF
Maansch,MNX,
fangt,FNKT,
die,T,
an,AN,
uff,AF,
unfere,ANFR,AFR
Garniherr,KRNHR,
ze,TS,
stichle,XTXL,
Ah,A,
ça,,
c'est,KXT,
fort,FRT,
Ja,Y,
gel,KL,
jetz,YTS,
ça,,
c'est,KXT,
fort,FRT,
Diß,TS,
tätsch,TTX,
Dü,T,
alles,ALS,
uff,AF,
Dir,TR,
sitze,STS,
lon,LN,
Wieviel,VFL,VVL
mol,ML,
haw,HF,HV
ich,A,AX
Dir,TR,
schun,XN,
g'saat,KST,
bring,PRNK,
m'r,MR,
ken,KN,K
Schwob,XVP,
in,AN,
de,T,
Garni,KRN,
erin,ARN,
Wie,V,
zellemols,TSLMLS,
där,TR,
Referendar,RFRNTR,
Müller,MLR,ML
hesch,HX,
jetzt,YTST,
’s,S,
Gebabbels,KPPLS,KVPLS
Un,AN,
Dü,T,
wärdsch,VRTX,
noch,NR,
im,AM,
Stand,XTNT,
fur,FR,
dem,TM,
Pfiffekopf,PFFKPF,
’s,S,
Noëmie,NM,
ze,TS,
genn,KN,
Awer,AVR,AY
do,T,
bisch,PX,
de,T,
schief,XF,
gewickelt,KFKLT,KVKLT
ich,A,AX
schaff,XF,
d',T,
rgeje,RKY,
mit,MT,
Händ,HNT,
un,AN,
Fueß,FS,
Denk,TNK,
an,AN,
de,T,
Cousin,KSN,
in,AN,
Paris,PRS,
wenn,VN,
der,TR,T
emol,AML,
zeruckkummt,TSRKKMT,
Hebb,HP,
mich,M,MX
am,AM,
Frack,FRK,
mit,MT,
dem,TM,
Cousin,KSN,
üs,AS,
Paris,PRS,
Paris,PRS,
isch,AX,
witt,VT,
Un,AN,
was,VS,
ich,A,AX
mach,MR,
isch,AX,
im,AM,
Interesse,ANTRS,ATRS
vun,FN,VN
d'r,TR,
ganze,KNTS,
Familje,FMLY,
Un,AN,
in,AN,
de,T,
Garni,KRN,
nemm,NM,
ich,A,AX
wenne,VN,
aß,AS,
mir,MR,
baßt,PST,
Entre,ANTR,ATR
autre,ATR,
ich,A,AX
hab,HP,
hitt,HT,
e,A,
Zahlmeischter,TSLMXTR,TSLMXT
vum,FM,VM
Luftschifferhafe,LFTXFRHF,
wie,V,
hie,H,
geböje,KPY,KVY
wurd,VRT,
als,ALS,
Garniherr,KRNHR,
g'schnappt,KXNPT,
Der,TR,T
b’sorit,PSRT,
mir,MR,
Militärlieferunge,MLTRLFRNK,
e,A,
klaans,KLNS,
G'schäft,KXFT,
awer,AVR,AY
propper,PRPR,PRP
Vun,FN,VN
G'schäfter,KXFTR,KXFT
v'rstehsch,FRXTX,VRXTX
Dü,T,
gar,KR,
nix,NKS,
do,T,
bisch,PX,
Dü,T,
dümmer,TMR,TM
als,ALS,
unseri,ANSR,
Katz,KTS,
Du,T,
reste,RXT,
isch,AX,
's,S,
fur,FR,
unseri,ANSR,
Maidle,MTL,
ganz,KNS,KNTS
guet,KT,
wenn,VN,
der,TR,T
Referendar,RFRNTR,
dann,TN,
un,AN,
wann,VN,
mit,MT,
ne,N,
redd,RT,
sie,S,
lehre,LR,
hochditsch,HRTTX,
uff,AF,
die,T,
Art,ART,
Un,AN,
hittzedaas,HTTSTS,
kann,KN,
m'r,MR,
gar,KR,
nit,NT,
guet,KT,
genue,KN,
hochditsch,HRTTX,
redde,RT,
Isch,AX,
d'r,TR,
Herr,HR,
Müller,MLR,ML
nit,NT,
e,A,
artlicher,ARTLXR,ARTLX
Mensch,MNX,
E,A,
Schuelkamerad,XLKMRT,
vum,FM,VM
Alfred,ALFRT,
Ererscht,ARRXT,
gescht,KXT,
hett,HT,
'r,R,
m'r,MR,
e,A,
echter,AXTR,AXT
Mauritiustimbre,MRTXTMPR,
gebroocht,KPRRT,
Ich,A,AX
blos,PLS,
Dir,TR,
uff,AF,
Diner,TNR,TN
Mauritius,MRTS,
Diß,TS,
dhür,TR,
setz,STS,
ich,A,AX
miner,MNR,MN
Kopf,KPF,
durich,TR,TRX
’s,S,
isch,AX,
m'r,MR,
ganz,KNS,KNTS
egal,AKL,AYL
ich,A,AX
loß,LS,
mir,MR,
vun,FN,VN
däre,TR,
do,T,
howe,HF,HV
’s,S,
Mül,ML,
nit,NT,
anhänke,ANNK,
Frau,FR,
Dü,T,
hesch,HX,
jo,Y,
erächt,ARRT,
awer,AVR,AY
luej,L,
de,T,
Schwowe,XVF,XVV
ihr,AR,
Geld,KLT,
isch,AX,
so,S,
rund,RNT,
wie,V,
unsers,ANSRS,
Sin,SN,
sie,S,
nit,NT,
unseri,ANSR,
Fortune,FRTN,
g'sin,KSN,
Han,HN,
m'rs,MRS,
nit,NT,
zue,TS,
ebs,APS,
gebroocht,KPRRT,
Un,AN,
sin,SN,
m'r,MR,
nit,NT,
ball,PL,
am,AM,
Ziel,TSL,
Wiewele,VFL,VVL
e,A,
Engrosg'schäft,ANKRSKXFT,
Frau,FR,
e,A,
Engrosg'schäft,ANKRSKXFT,
Nussbicker,NSPKR,NSPK
père,PR,
fils,FLS,
Vatter,FTR,VT
un,AN,
Sohn,SN,
Epicerie,APKR,
en,AN,A
gros,KRS,
c’est-à-dire,KXTTR,
wie,V,
sie,S,
m'r,MR,
d',T,
Epicerie,APKR,
v'rbotte,FRPT,VRPT
han,HN,
Kolonialwaren,KLNLVRN,KLNLVR
ins,ANS,
Große,KRS,
Hesch,HX,
denn,TN,
fur,FR,
diß,TS,
gar,KR,
ken,KN,K
G'füehl,KFL,
loß,LS,
’s,S,
Kieselhagens,KSLHKNS,KSLHYNS
beffze,PFTS,
V'rschtehsch,FRXTX,VRXTX
d',T,
Situation,STTN,
beherrsche,PHRX,
Un,AN,
d',T,
rno,RN,
die,T,
Frau,FR,
hett,HT,
Dir,TR,
jo,Y,
gar,KR,
nix,NKS,
unwäjes,ANVYS,
g'saat,KST,
Abba,AP,
Numme,NM,
nit,NT,
Un,AN,
daß,TS,
sie,S,
Dich,T,TX
vor,FR,VR
's,S,
g'schwolle,KXVL,
Kneij,KN,
bringe,PRNK,
will,VL,
isch,AX,
diß,TS,
nix,NKS,
O,A,
Dü,T,
bisch,PX,
jo,Y,
e,A,
Wunderbluem,VNTRPLM,
vun,FN,VN
Geduld,KTLT,
Mich,M,MX
vor,FR,VR
's,S,
Tribunal,TRPNL,TRVNL
Ja,Y,
wäje,VY,
was,VS,
denn,TN,
Ja,Y,
glabsch,KLPX,
ich,A,AX
hab,HP,
mir,MR,
dies,TS,
vun,FN,VN
ihre,AR,
biete,PT,
lon,LN,
Nan,NN,
Madam,MTM,
Kieselhagen,KSLHKN,KSLHK
haw-ich,HV,HVX
zue,TS,
ihre,AR,
g'saat,KST,
wenn,VN,
Sie,S,
Bildung,PLTNK,
hätte,HT,
so,S,
däte,TT,
Sie,S,
sich,S,SX
schäme,XM,
for,FR,
mine,MN,
Maidle,MTL,
so,S,
ebbs,APS,
noochzesauwe,NRTSSF,NRTSSV
Awer,AVR,AY
nadierlich,NTRL,NTRLX
haw-ich,HV,HVX
g'saat,KST,
vun,FN,VN
so,S,
Schwowepack,XVFPK,XVVPK
kann,KN,
m'r,MR,
nit,NT,
meh,M,
v'rlange,FRLNK,VRLNK
denne,TN,
g'hört,KRT,
aans,ANS,
druff,TRF,
Wasser,VSR,VS
halt,HLT,
Frau,FR,
Frau,FR,
Frau,FR,
o,A,
heilig,HLK,HL
heilig,HLK,HL
Diß,TS,
koscht,KXT,
Dich,T,TX
acht,ART,
Daa,T,
Rappele,RPL,
Wie,V,
kannsch,KNX,
nur,NR,
so,S,
ebs,APS,
sauwe,SF,SV
M'r,MR,
maant,MNT,MT
jo,Y,
Dü,T,
bisch,PX,
Serviermaidel,SRFRMTL,SRVRMTL
in,AN,
d'r,TR,
Taverne,TFRN,TVRN
g'sin,KSN,
Ich,A,AX
wurr,VR,
mich,M,MX
scheniere,XNR,
Docch,TKX,
aanoch,ANR,
Wenn,VN,
e,A,
Mamme,MM,
so,S,
beleidigt,PLTKT,
wurd,VRT,
Dü,T,
dätsch,TTX,
awer,AVR,AY
alles,ALS,
uff,AF,
Dir,TR,
sitze,STS,
lon,LN,
Denk,TNK,
an,AN,
de,T,
Cousin,KSN,
in,AN,
Paris,PRS,
wo,V,
eso,AS,
e,A,
gueti,KT,
Meinung,MNNK,
vun,FN,VN
Dir,TR,
hett,HT,
un,AN,
wo,V,
Dü,T,
im,AM,
jetz,YTS,
widder,VTR,VT
dies,TS,
Grundstueck,KRNTSTK,
vor,FR,VR
em,AM,
Spitaltor,XPTLTR,
ver,FR,V
kitsche,KTX,
witt,VT,
au,A,
noch,NR,
for,FR,
Kaserneböjte,KSRNPT,KSRNVT
D',T,
rno,RN,
hesch,HX,
grad,KRT,
genue,KN,
Oh,A,
dü,T,
liebs,LPS,
Herrgöttl,HRKTL,
Blie,PL,
stille,XTL,
mit,MT,
dem,TM,
ewige,AFK,AVY
Cousin,KSN,
in,AN,
Paris,PRS,
’s,S,
nächscht,NXXT,
Johr,YR,
wurd,VRT,
's,S,
Hélène,HLN,
mit,MT,
em,AM,
Filston,FLSTN,
vum,FM,VM
Cousin,KSN,
fianciert,FNKRT,
denn,TN,
m'r,MR,
mueß,MS,
au,A,
guet,KT,
franzeesch,FRNTSX,
sin,SN,
hyttzedaas,HTTSTS,
Un,AN,
no,N,
isch,AX,
im,AM,
Nußbicker,NSPKR,NSPK
sini,SN,
Gloire,KLR,
fertig,FRTK,FRT
d',T,
rno,RN,
sollsch,SLX,
sehn,SN,
wie,V,
mir,MR,
d'r,TR,
Cousin,KSN,
owe,AF,AV
-n-,N,
uff,AF,
dankbar,TNKPR,
isch,AX,
fur,FR,
alles,ALS,
was,VS,
ich,A,AX
gedoon,KTN,
hab,HP,
Dü,T,
Dü,T,
Brems,PRMS,
am,AM,
Rad,RT,
vun,FN,VN
mim,MM,
Glüecks,KLKS,
wauje,VY,
Babbe,PP,
ah,A,
ich,A,AX
sieh,S,
Dü,T,
bisch,PX,
occupiert,AKKPRT,
’s,S,
G'schpräch,KXPRR,
vum,FM,VM
alte,ALT,
Pontonnier,PNTNR,PTN
im,AM,
Volksbott,FLKXPT,VLKXPT
isch,AX,
do,T,
Gib,KP,
her,HR,H
Alfred,ALFRT,
Un,AN,
do,T,
’s,S,
nej,N,
Witzblättel,VTSPLTL,
vun,FN,VN
Mülhüse,MLHS,
mit,MT,
Schwowekarrikature,XVFKRKTR,XVVKRKTR
vum,FM,VM
Zislin,TSSLN,
Boes,PS,
Mehl,ML,
an,AN,
de,T,
Knöpfle,KNPFL,
Geh,K,
eweck,AFK,AVK
ich,A,AX
will,VL,
diß,TS,
Dings,TNKS,
nit,NT,
sehn,SN,
Schick,XK,
