forme,key1,key2
Oh,A,
—,,
isch,AX,
diß,TS,
awwer,AVR,AV
e,A,
scheeni,XN,
Gschicht,KXXT,
gsin,KSN,
—,,
numme,NM,
schad,XT,
daß,TS,
sie,S,
sich,S,SX
nit,NT,
kreijt,KRT,
hann,HN,
—,,
zue,TS,
schad,XT,
—,,
Die,T,
arm,ARM,
Gab,KP,
rielle,RL,
—,,
—,,
O,A,
jr,YR,
rum,RM,
—,,
schun,XN,
so,S,
spoot,XPT,
—,,
Un,AN,
ich,A,AX
bin,PN,
noch,NR,
nit,NT,
emole,AML,
mol,ML,
coiffiert,KFRT,
—,,
Sälmel,SLML,
—,,
Sälmel,SLML,
Was,VS,
beliebt,PLPT,
Madame,MTM,
Wo,V,
bliet,PLT,
denn,TN,
d’,T,
coffeuse,KFS,
hitt,HT,
Ei,A,
sie,S,
isch,AX,
jo,Y,
do,T,
gewänn,KFN,KVN
awwer,AVR,AV
d',T,
Madame,MTM,
hett,HT,
jo,Y,
gseit,KST,
sie,S,
soll,SL,
numme,NM,
widder,VTR,VT
gehn,KN,
sie,S,
hätt,HT,
kein,KN,
Zitt,TST,
Herje,HRY,
ja,Y,
—,,
‘s,S,
isch,AX,
jo,Y,
wohr,VR,
—,,
och,AR,
mit,MT,
däre,TR,
dumme,TM,
Gschicht,KXXT,
—,,
wie,V,
ischs,AXS,
mit,MT,
'm,M,
Esse,AS,
Sälmel,SLML,
jetz,YTS,
isch,AX,
's,S,
dreiviertel,TRFRTL,TRVRTL
uff,AF,
Zwelf,TSVLF,
Ich,A,AX
mein,MN,
‘s,S,
Rindfleisch,RNTFLX,
wurd,VRT,
nem,NM,
weich,V,VX
wenn,VN,
‘s,S,
schun,XN,
so,S,
spoot,XPT,
isch,AX,
—,,
ich,A,AX
hab,HP,
's,S,
erscht,ARXT,
vor,FR,VR
‘re,R,
halwe,HLV,
Stund,XTNT,
in,AN,
de,T,
Hafe,HF,
gemacht,KMRT,
—,,
Erscht,ARXT,
Ei,A,
jo,Y,
d’,T,
Madame,MTM,
hett,HT,
jo,Y,
gseit,KST,
sie,S,
bsorgt,PSRKT,
‘s,S,
—,,
I,A,
hab,HP,
halt,HLT,
d‘r,TR,
Gang,KNK,
un,AN,
d',T,
Stay,XT,
gebutzt,KPTST,KVTST
‘s,S,
isch,AX,
doch,TR,
Samschdeu,SMXT,
—,,
Herrjeses,HRYSS,
—,,
haw,HF,HV
ich,A,AX
awwer,AVR,AV
jetz,YTS,
d‘,T,
Zitt,TST,
versümt,FRSMT,VRSMT
—,,
in,AN,
‘re,R,
Stund,XTNT,
wurd,VRT,
‘s,S,
Rindfleisch,RNTFLX,
nit,NT,
weich,V,VX
hein,HN,
Ich,A,AX
glöub,KLP,
nit,NT,
Madame,MTM,
Was,VS,
mache,MR,
m'r,MR,
jetz,YTS,
I,A,
weiß,VS,
nit,NT,
Dräje,TRY,
Sie,S,
de,T,
Gas,KS,
guet,KT,
uff,AF,
daß,TS,
es,AS,
tichtig,TXTK,TXT
kocht,KRT,
villicht,FLXT,VLXT
packt,PKT,
's,S,
es,AS,
noch,NR,
—,,
ah,A,
—,,
warte,VRT,
Sie,S,
mol,ML,
—,,
ich,A,AX
hab,HP,
schun,XN,
ghört,KRT,
wenn,VN,
m‘r,MR,
Süd,ST,
an,AN,
‘s,S,
Gemues,KMS,
macht,MRT,
wurd,VRT,
's,S,
schneller,XNLR,XNL
weich,V,VX
—,,
wenn,VN,
m‘r,MR,
e,A,
bissel,PSL,
an,AN,
d‘,T,
Supp,SP,
mache,MR,
dät,TT,
—,,
ich,A,AX
mein,MN,
m'r,MR,
dät,TT,
's,S,
nit,NT,
schmecke,XMK,
—,,
daß,TS,
‘s,S,
Fleisch,FLX,
weich,V,VX
dät,TT,
wäre,VR,
—,,
I,A,
weiß,VS,
nit,NT,
Scheele,XL,
Si,S,
jetz,YTS,
emol,AML,
e,A,
Will,VL,
d‘,T,
Grum,KRM,
beere,PR,
—,,
ich,A,AX
kumm,KM,
d‘,T,
rno,RN,
Ja,Y,
Madame,MTM,
Deß,TS,
wurd,VRT,
m'r,MR,
widder,VTR,VT
e,A,
natts,NTS,
Gfraß,KFRS,
gann,KN,
Hett,HT,
Sie,S,
ebs,APS,
gsaat,KST,
Ich,A,AX
mein,MN,
d’,T,
Grumbeere,KRMPR,
hänn,HN,
noch,NR,
e,A,
bissel,PSL,
Zitt,TST,
—,,
ich,A,AX
könnt,KNT,
noch,NR,
gscwind,KSKVNT,
s‘,S,
Schloofzim,XLFTSM,
mer,MR,M
mache,MR,
—,,
d‘,T,
Madame,MTM,
hett,HT,
‘s,S,
hitt,HT,
doch,TR,
nit,NT,
ge,K,
maacht,MRT,
Was,VS,
geht,KT,
deß,TS,
Sie,S,
an,AN,
—,,
Awwer,AVR,AV
—,,
doch,TR,
—,,
mache,MR,
Sie,S,
's,S,
noch,NR,
gschwind,KXVNT,
—,,
ich,A,AX
bin,PN,
doch,TR,
arig,ARK,AR
spoot,XPT,
d‘,T,
ran,RN,
hitt,HT,
—,,
numme,NM,
wärje,VRY,
däre,TR,
dumme,TM,
Gschicht,KXXT,
—,,
och,AR,
un,AN,
sie,S,
isch,AX,
doch,TR,
e,A,
so,S,
scheen,XN,X
gsin,KSN,
—,,
‘s,S,
isch,AX,
au,A,
ebs,APS,
mit,MT,
däre,TR,
dumme,TM,
Ko,K,
cherei,KR,XR
alle,AL,
Daa,T,
—,,
—,,
—,,
Uh,A,
—,,
was,VS,
isch,AX,
jetz,YTS,
—,,
Ich,A,AX
glaub,KLP,
ich,A,AX
krej,KR,
noch,NR,
visite,FST,VST
—,,
Die,T,
kummt,KMT,
m‘r,MR,
jetz,YTS,
grad,KRT,
recht,RXT,
—,,
Sälmel,SLML,
—,,
gehn,KN,
Sie,S,
doch,TR,
—,,
‘s,S,
hett,HT,
gschellt,KXLT,
ah,A,
diß,TS,
isch,AX,
‘s,S,
Fanny,FN,
—,,
—,,
Bonjour,PNYR,
Amélie,AML,
Guete,KT,
Morje,MRY,
M'r,MR,
sin,SN,
grad,KRT,
do,T,
verbei,FRP,VRP
gange,KNK,
henn,HN,
m‘r,MR,
dir,TR,
welle,VL,
bonjour,PNYR,
sawe,SV,SY
so,S,
en,AN,A
passant,PSNT,PST
—,,
Prenez,PRNS,PRNTS
place,PLK,
ihr,AR,
muen,MN,M
excüsiere,AKSKSR,
‘s,S,
isch,AX,
noch,NR,
nit,NT,
uffgerümmt,AFKRMT,
O,A,
diß,TS,
macht,MRT,
nix,NKS,
bi,P,
mir,MR,
isch,AX,
‘s,S,
als,ALS,
manchmol,MNXML,
au,A,
nit,NT,
andersch,ANTRX,
—,,
awwer,AVR,AV
wenn,VN,
ich,A,AX
emol,AML,
verhirot,FRHRT,VRHRT
bin,PN,
—,,
—,,
Isch,AX,
's,S,
d'r,TR,
nit,NT,
guet,KT,
daß,TS,
de,T,
d‘,T,
Hoor,HR,
erab,ARP,
hänke,HNK,
hesch,HX,
Nan,NN,
—,,
deß,TS,
heißt,HST,
—,,
ja,Y,
ich,A,AX
hab,HP,
e,A,
bissel,PSL,
Kopfweh,KPFV,
—,,
A,A,
noch,NR,
—,,
kenn,KN,
Wunder,VNTR,VNT
wenn,VN,
m’r,MR,
e,A,
so,S,
schaffe,XF,
mueß,MS,
Sie,S,
hann,HN,
numme,NM,
an,AN,
Maid'l,MTL,
gelte,KLT,
Sie,S,
Jo,Y,
unn,AN,
mit,MT,
dem,TM,
isch,AX,
nit,NT,
viel,FL,VL
los,LS,
Minni,MN,
Schweschter,XVXTR,XVXT
hett,HT,
jetz,YTS,
zwei,TSV,
unn,AN,
wenn,VN,
ich,A,AX
emol,AML,
verhirot,FRHRT,VRHRT
bin,PN,
—,,
—,,
Jo,Y,
‘s,S,
isch,AX,
wohr,VR,
fer,FR,F
was,VS,
soll,SL,
m‘r,MR,
sich,S,SX
so,S,
ploeje,PLY,
uff,AF,
d’r,TR,
Welt,VLT,
Ich,A,AX
bin,PN,
noch,NR,
jung,YNK,
an,AN,
Johre,YR,
und,ANT,
will,VL,
mich,M,MX
noch,NR,
amüsiere,AMSR,
—,,
Do,T,
—,,
ich,A,AX
hab,HP,
dich,T,TX
froeje,FRY,
welle,VL,
bisch,PX,
au,A,
mit,MT,
vun,FN,VN
d'r,TR,
Partie,PRT,
M‘r,MR,
welle,VL,
morje,MRY,
früej,FR,
uff,AF,
d‘,T,
Hohkenigsburrj,HKNKXPRY,
I,A,
weiß,VS,
net,NT,
i,A,
mueß,MS,
emol,AML,
de,T,
Fernand,FRNNT,
froeje,FRY,
—,,
Dü,T,
Ich,A,AX
froej,FR,
net,NT,
lang,LNK,
—,,
ich,A,AX
saa,S,
als,ALS,
ivh,AF,AV
geh,K,
—,,
un,AN,
wenn‘r,VNR,
nit,NT,
mit,MT,
will,VL,
soll'r,SLR,
miran,MRN,
d’,T,
heim,HM,
bliewe,PLF,PLV
Wenn,VN,
ich,A,AX
emol,AML,
verhirot,FRHRT,VRHRT
bin,PN,
ich,A,AX
mach,MR,
's,S,
grad,KRT,
e,A,
so,S,
—,,
Madame,MTM,
—,,
Soll,SL,
i,A,
jetz,YTS,
d‘,T,
Süd,ST,
an,AN,
d’,T,
Supp,SP,
mache,MR,
Jo,Y,
macht,MRT,
Sie,S,
‘s,S,
numme,NM,
—,,
Sie,S,
sieht,ST,
jo,Y,
ich,A,AX
hab,HP,
jetz,YTS,
nitt,NT,
derzit,TRTST,
—,,
‘s,S,
isch,AX,
ambetant,AMPTNT,AMPTT
wenn,VN,
m‘r,MR,
sich,S,SX
um,AM,
alles,ALS,
okkupiere,AKPR,
mueß,MS,
Ich,A,AX
hab,HP,
jetz,YTS,
e,A,
Maid'l,MTL,
wo,V,
koche,KR,
kann,KN,
Ja,Y,
un,AN,
e,A,
femme,FM,
de,T,
chambre,KMPR,XMPR
—,,
Ja,Y,
wenn,VN,
m'rs,MRS,
e,A,
so,S,
mache,MR,
kennt,KNT,
—,,
awwer,AVR,AV
d'r,TR,
Fernand,FRNNT,
—,,
Geh,K,
Plän,PLN,
do,T,
—,,
Was,VS,
versteht,FRXTT,VRXTT
denn,TN,
e,A,
Mann,MN,
do,T,
dervun,TRFN,TRVN
Ich,A,AX
stell,XTL,
an,AN,
wenne,VN,
daß,TS,
ich,A,AX
will,VL,
un,AN,
minner,MNR,MN
Mann,MN,
sell,SL,
‘s,S,
bezahle,PTSL,
do,T,
d’,T,
rfer,RFR,RF
isch,AX,
er,AR,A
do,T,
Ich,A,AX
hab,HP,
mich,M,MX
doch,TR,
net,NT,
ghirote,KRT,
fer,FR,F
in,AN,
d‘,T,
Kich,K,KX
zu,TS,
stehn,XTN,
de,T,
ganze,KNTS,
Daa,T,
‘s,S,
dät,TT,
m'r,MR,
infalle,ANFL,AFL
Ja,Y,
awwer,AVR,AV
—,,
Wenn,VN,
ich,A,AX
emol,AML,
verhirot,FRHRT,VRHRT
bin,PN,
ich,A,AX
will,VL,
au,A,
nit,NT,
