forme,key1,key2
Bisch,PX,
ball,PL,
ferti,FRT,
Oscar,ASKR,
Nur,NR,
noch,NR,
en,AN,A
Auesblick,AXPLK,
Mamme,MM,
D’r,TR,
letscht,LTXT,
Reim,RM,
zue,TS,
mimm,MM,
Gedicht,KTXT,
kummt,KMT,
m’r,MR,
nit,NT,
in,AN,
In,AN,
dem,TM,
himmlischen,HMLXN,HMLX
GefildeSchwebet,KFLTXVPT,KFLTXVVT
Luna,LN,
hoch,HR,
und,ANT,
hehr,HR,
Königin,KNKN,KNYN
der,TR,T
Sterngebilde,XTRNKPLT,XTRNKVLT
….,,
Weisch,VX,
dü,T,
nix,NKS,
wie,V,
zue,TS,
hehr,HR,
passt,PST,
In,AN,
dem,TM,
himmlischen,HMLXN,HMLX
Gefilde,KFLT,
Schwebet,XVPT,XVVT
Luna,LN,
hoch,HR,
und,ANT,
hehr,HR,
Königin,KNKN,KNYN
der,TR,T
Sterngebilde,XTRNKPLT,XTRNKVLT
…,,
Hehr,HR,
Was,VS,
isch,AX,
denn,TN,
hehr,HR,
Ei,A,
hehr,HR,
isch,AX,
doch,TR,
hoch,HR,
erhawe,ARHV,ARHY
majestätisch,MYXTTX,
Kennsch,KNX,
denn,TN,
dü,T,
dies,TS,
Wort,VRT,
nit,NT,
Un,AN,
wer,VR,V
isch,AX,
denn,TN,
die,T,
Lina,LN,
wie,V,
de,T,
-n-,N,
andichtsch,ANTXTX,
Lina,LN,
nee,N,
awer,AVR,AY
Mamme,MM,
ich,A,AX
red,RT,
doch,TR,
vun,FN,VN
d’r,TR,
Luna,LN,
dies,TS,
isch,AX,
jo,Y,
d’r,TR,
Mond,MNT,
Zaij,TS,
Schakob,XKP,
bring,PRNK,
m’r,MR,
e,A,
schwarzer,XVRTSR,XVRTS
Kaffee,KF,
uf,AF,
dene,TN,
Schrecke,XRK,
Dies,TS,
haw,HF,HV
ich,A,AX
jetzt,YTST,
wieder,VTR,VT
nit,NT,
gewisst,KFST,KVST
dass,TS,
de,T,
Mond,MNT,
e,A,
su,S,
heisst,HST,
Awer,AVR,AY
Lina,LN,
oder,ATR,AT
Luna,LN,
dies,TS,
isch,AX,
g'hüpst,KPST,
wie,V,
g’sprunge,KXPRNK,
ich,A,AX
find,FNT,
Oscar,ASKR,
es,AS,
wär,VR,
besser,PSR,PS
dü,T,
dätsch,TTX,
e,A,
mol,ML,
e,A,
Gedicht,KTXT,
üwer,AFR,AV
d’,T,
Suzanne,STSN,
mache,MR,
Uewer,AFR,AV
d’,T,
Suzanne,STSN,
Do,T,
käm,KM,
ich,A,AX
schoen,XN,X
an,AN,
dies,TS,
dät,TT,
mich,M,MX
nit,NT,
üwel,AFL,AVL
üsslache,ASLR,
ebs,APS,
unpoetischeres,ANPTXRS,
als,ALS,
d’,T,
Suzanne,STSN,
git,KT,
’s,S,
üewerhaupt,AFRHPT,AVRHPT
in,AN,
d’r,TR,
ganze,KNTS,
Welt,VLT,
nit,NT,
D’,T,
Suzanne,STSN,
isch,AX,
e,A,
verständigs,FRXTNTKS,VRXTNTKS
Maidel,MTL,
un,AN,
grad,KRT,
will,VL,
’s,S,
ken,KN,K
so,S,
hochi,HR,
Gedanke,KTNK,
im,AM,
Kopf,KPF,
het,HT,
wie,V,
dü,T,
täts,TTS,
am,AM,
allerbeschte,ALRPXT,
zue,TS,
d’r,TR,
passe,PS,
Lüej,L,
Oscar,ASKR,
bim,PM,
Suzanne,STSN,
wärsch,VRX,
dü,T,
guet,KT,
uffg'hebt,AFKPT,
Es,AS,
het,HT,
Vermöje,FRMY,VRMY
es,AS,
wär,VR,
e,A,
Frau,FR,
for,FR,
’s,S,
G’schäft,KXFT,
es,AS,
versteht,FRXTT,VRXTT
d’,T,
Hüshaltung,HXLTNK,HSHLTNK
…,,
Mamme,MM,
hör,HR,
uf,AF,
oder,ATR,AT
ich,A,AX
lauf,LF,
furt,FRT,
Red,RT,
m’r,MR,
denn,TN,
in,AN,
de,T,
Lieb,LP,
vum,FM,VM
Vermöje,FRMY,VRMY
un,AN,
wenn,VN,
m’r,MR,
eini,AN,
lieb,LP,
het,HT,
denkt,TNKT,
m’r,MR,
denn,TN,
dran,TRN,
ob,AP,
se,S,
’n,N,
e,A,
G’schäftsfrau,KXFTSFR,
isch,AX,
ob,AP,
se,S,
’n,N,
ebs,APS,
vun,FN,VN
d’r,TR,
Hüshaltung,HXLTNK,HSHLTNK
versteht,FRXTT,VRXTT
Verifer,FRFR,VRF
dich,T,TX
net,NT,
Oscar,ASKR,
Dass,TS,
m’r,MR,
in,AN,
d’r,TR,
Poesie,PS,
an,AN,
e,A,
so,S,
ebs,APS,
nit,NT,
denkt,TNKT,
dis,TS,
weiss,VS,
ich,A,AX
wohl,VL,
do,T,
tuets,TTS,
e,A,
jedi,YT,
