forme,key1,key2
St,XT,
st,XT,
Mamsell,MMSL,
Colette,KLT,
Was,VS,
beliebt,PLPT,
—,,
ah,A,
Sapristi,SPRXT,
d'r,TR,
Alphonsel,ALFNSL,
isch,AX,
's,S,
Wart,VRT,
Knedes,KNTS,
ich,A,AX
will,VL,
dr,TR,
d',T,
Lytt,LT,
so,S,
verschrecke,FRXRK,VRXRK
Oho,AH,
Mamsell,MMSL,
Colette,KLT,
ich,A,AX
hab,HP,
Sie,S,
jo,Y,
noh,N,
nie,N,
verschreckt,FRXRKT,VRXRKT
wenn,VN,
i,A,
ne,N,
als,ALS,
e,A,
Briefel,PRFL,
bring,PRNK,
Dü,T,
kleiner,KLNR,KLN
Saperlot,SPRLT,
—,,
Hesch,HX,
de,T,
schun,XN,
widder,VTR,VT
eins,ANS,
Ja,Y,
do,T,
isch,AX,
's,S,
Here,HR,
mit,MT,
postillon,PXTLN,
d',T,
amour,AMR,
de,T,
mon,MN,
cœur,KR,
S',S,
isch,AX,
vun,FN,VN
mimm,MM,
Tortino,TRTN,
Ich,A,AX
ich,A,AX
kenn',KN,
ne,N,
guet,KT,
So,S,
—,,
dü,T,
kennsch,KNX,
ne,N,
guet,KT,
Heijo,HY,
bring,PRNK,
ich,A,AX
nit,NT,
allewyl,ALFL,ALVL
sinni,SN,
Briefle,PRFL,
do,T,
here,HR,
—,,
un,AN,
d',T,
rno,RN,
hawi,HF,HV
ne,N,
schun,XN,
oft,AFT,
uff,AF,
d'r,TR,
Rennbahn,RNPN,
fahre,FR,
sehn,SN,
Jo,Y,
dü,T,
hesch,HX,
erecht,ARXT,
hein,HN,
der,TR,T
kann,KN,
's,S,
E,A,
épatanter,APTNTR,APTT
Typ,TP,
De,T,
Kilometer,KLMTR,KLMT
macht,MRT,
'r,R,
in,AN,
ere,AR,
Minüt,MNT,
un,AN,
53,,
3/4,,
Sekunde,SKNT,
départ,TPRT,
lancé,LNK,
Ja,Y,
ich,A,AX
weiß,VS,
diß,TS,
letscht,LTXT,
hett,HT,
'r,R,
sogar,SKR,SYR
emol,AML,
e,A,
Weltrecord,VLTRKRT,
um,AM,
e,A,
Viertelsekund,FRTLSKNT,VRTLSKNT
verbessert,FRPSRT,VRPSRT
Isch,AX,
's,S,
nit,NT,
so,S,
Mamsell,MMSL,
Colette,KLT,
Doch,TR,
dü,T,
kleiner,KLNR,KLN
Hosselottl,HSLTL,
Fahrsch,FRX,
dü,T,
au,A,
schun,XN,
Velo,FL,VL
daß,TS,
de,T,
dich,T,TX
so,S,
interessirsch,ANTRSRX,ATRSRX
A,A,
noch,NR,
wisse,VS,
Sie,S,
ich,A,AX
helf,HLF,
als,ALS,
im,AM,
Herr,HR,
Blotzmeier,PLTSMR,PLTSM
driwwe,TRV,
d',T,
Velo,FL,VL
uffbumbe,AFPMP,
un,AN,
schmiere,XMR,
un,AN,
do,T,
lehnt,LNT,
'r,R,
m'r,MR,
als,ALS,
eine,AN,
vun,FN,VN
sinne,SN,
alte,ALT,
Kärich,KR,KRX
Sie,S,
sotte,ST,
emol,AML,
sehn,SN,
wie,V,
ich,A,AX
schun,XN,
loszeij,LSTS,
Ha,H,
ha,H,
ha,H,
do,T,
wursch,VRX,
dü,T,
halt,HLT,
au,A,
am,AM,
e,A,
schöne,XN,
Daa,T,
e,A,
Champion,KMPN,XMPN
oder,ATR,AT
e,A,
Recordman,RKRTMN,
genn,KN,
Was,VS,
witt,VT,
denn,TN,
wäre,VR,
Sie,S,
hann,HN,
's,S,
grad,KRT,
geroothe,KRTH,
—,,
Rennfahrer,RNFRR,RNFR
wurr,VR,
i,A,
sunsch,SNX,
nix,NKS,
Voyons,FNS,VNS
was,VS,
schriebt,XRPT,
m'r,MR,
min,MN,
Shatz,XTS,SHTS
—,,
Was,VS,
er,AR,A
will,VL,
m'r,MR,
hitt,HT,
e,A,
Visit,FST,VST
mache,MR,
un,AN,
denne,TN,
Morje,MRY,
noch,NR,
I,A,
