forme,key1,key2
Was,VS,
schun,XN,
halwer,HLVR,HLV
Vier,FR,V
—,,
Eh,A,
bien,PN,P
Salome,SLM,
i,A,
mueß,MS,
dr,TR,
saa,S,
daß,TS,
der,TR,T
Herr,HR,
uff,AF,
sich,S,SX
warte,VRT,
loßt,LST,
Jetzt,YTST,
sitze,STS,
mer,MR,M
schun,XN,
zitter,TSTR,TST
de,T,
dreie,TR,
do,T,
un,AN,
erwarte,ARVRT,
dinne,TN,
prétendu,PRTNT,
halt,HLT,
diß,TS,
er,AR,A
wills,VLS,
au,A,
moins,MNS,
wäre,VR,
denn,TN,
er,AR,A
het,HT,
uns,ANS,
sauwe,SF,SV
lonn,LN,
daß,TS,
er,AR,A
hitt,HT,
kummt,KMT,
am,AM,
dreie,TR,
fur,FR,
sinni,SN,
demande,TMNT,
persöhnli,PRSNL,
ze,TS,
mache,MR,
Ja,Y,
diß,TS,
isch,AX,
nit,NT,
alles,ALS,
mer,MR,M
kann,KN,
doch,TR,
au,A,
üßgemacht,ASKMRT,
ghett,KT,
daß,TS,
mer,MR,M
geje,KY,
de,T,
Viere,FR,VR
zues,TSS,
Kretschelmeyers,KRTXLMRS,
gehn,KN,
un,AN,
die,T,
Gschicht,KXXT,
vun,FN,VN
denne,TN,
drei,TR,
Stühle,XTL,
wo,V,
sie,S,
noch,NR,
vun,FN,VN
mir,MR,
hann,HN,
in,AN,
Richtigkeit,RXTKKT,
ze,TS,
bringe,PRNK,
Dini,TN,
Stühle,XTL,
wie,V,
wenn,VN,
de,T,
nit,NT,
wisse,VS,
dätsch,TTX,
daß,TS,
sie,S,
vun,FN,VN
mir,MR,
herestamme,HRXTM,
Oh,A,
oh,A,
madame,MTM,
Ziwelbloos,TSFLPLS,TSVLPLS
duen,TN,T
Sie,S,
nit,NT,
so,S,
dick,TK,
die,T,
drei,TR,
Stühle,XTL,
sin,SN,
au,A,
de,T,
Péru,PR,
nit,NT,
Na,N,
’s,S,
nächst,NKST,NXT
Mool,ML,
saa,S,
i,A,
dini,TN,
Stühle,XTL,
Awer,AVR,AY
Babbe,PP,
Du,T,
bisch,PX,
widder,VTR,VT
emol,AML,
gifti,KFT,
hitt,HT,
Ich,A,AX
will,VL,
ewe,AF,AV
au,A,
mini,MN,
Rechte,RXT,
kann,KN,
min,MN,
Sach,SR,
isch,AX,
so,S,
guet,KT,
wie,V,
dins,TNS,
un,AN,
’s,S,
ghört,KRT,
üwerhaupt,AFRHPT,AVRHPT
ganz,KNS,KNTS
min,MN,
Witt,VT,
e,A,
Sü,S,
Wer,VR,V
weiß,VS,
es,AS,
jo,Y,
un,AN,
i,A,
weiß,VS,
es,AS,
jo,Y,
au,A,
de,T,
heschs,HXS,
mer,MR,M
schun,XN,
oft,AFT,
genue,KN,
ze,TS,
schmecke,XMK,
genn,KN,
un,AN,
jetz,YTS,
hawis,HFS,HVS
ball,PL,
dick,TK,
Oh,A,
gehn,KN,
doch,TR,
—,,
wenn,VN,
jezt,YST,
der,TR,T
Herr,HR,
do,T,
rin,RN,
kumme,KM,
dät,TT,
un,AN,
dät,TT,
euch,AR,
so,S,
sehn,SN,
Hesch,HX,
recht,RXT,
ma,M,
Figle,FKL,
—,,
denne,TN,
hät,HT,
i,A,
jezt,YST,
falscht,FLXT,
vergesse,FRKS,VRKS
der,TR,T
isch,AX,
als,ALS,
noch,NR,
nit,NT,
do,T,
Zuem,TSM,
Glück,KLK,
Was,VS,
falscht,FLXT,
—,,
Jezt,YST,
ward,VRT,
i,A,
awer,AVR,AY
nimm,NM,
länger,LNKR,LNK
Zeij,TS,
due,T,
dich,T,TX
an,AN,
Salome,SLM,
un,AN,
du,T,
au,A,
Rickele,RKL,
Ja,Y,
wenn,VN,
der,TR,T
awer,AVR,AY
derwnlisch,TRVNLX,
kummt,KMT,
Nur,NR,
stäht,XTT,
Rosalie,RSL,
—,,
’s,S,
hört,HRT,
guet,KT,
unser,ANSR,ANS
Maidel,MTL,
Ro-sa-lie,RSL,
Denn,TN,
sie,S,
geruefe,KRF,
I,A,
habs,HPS,
grad,KRT,
welle,VL,
duen,TN,T
—,,
Rosalie,RSL,
mer,MR,M
gehn,KN,
furd,FRT,
un,AN,
wenn,VN,
e,A,
Herr,HR,
kummt,KMT,
un,AN,
fröjt,FRT,
noch,NR,
uns,ANS,
ze,TS,
saat,ST,
sie,S,
er,AR,A
soll,SL,
e,A,
bissel,PSL,
warte,VRT,
oder,ATR,AT
soll,SL,
so,S,
guet,KT,
sin,SN,
un,AN,
mache,MR,
daß,TS,
er,AR,A
im,AM,
e,A,
halb,HLP,
Stündel,XTNTL,
widder,VTR,VT
do,T,
isch,AX,
i,A,
denk,TNK,
mer,MR,M
sin,SN,
derno,TRN,
widder,VTR,VT
zeruck,TSRK,
Mer,MR,M
brüche,PRR,
jo,Y,
zwanzig,TSVNTSK,TSVNTS
Minüte,MNT,
fur,FR,
hin,HN,
un,AN,
her,HR,H
ze,TS,
gehn,KN,
i,A,
will,VL,
nit,NT,
renne,RN,
wie,V,
naasblueti,NXPLT,
Jezt,YST,
loß,LS,
mi,M,
gehn,KN,
—,,
ihr,AR,
meine,MN,
glauwi,KLF,KLV
i,A,
bli,PL,
am,AM,
e,A,
jede,YT,
Zeijlade,TSLT,
stehn,XTN,
un,AN,
schlür,XLR,
derno,TRN,
so,S,
furt,FRT,
wie,V,
—,,
wie,V,
e,A,
Schneck,XNK,
im,AM,
lange,LNK,
Gras,KRS,
Rickele,RKL,
A,A,
mon,MN,
Dieu,T,
—,,
So,S,
gehn,KN,
doch,TR,
emol,AML,
furt,FRT,
Sie,S,
het,HT,
also,ALS,
ghört,KRT,
Gibt,KPT,
sie,S,
awer,AVR,AY
acht,ART,
nitt,NT,
daß,TS,
re,R,
d',T,
Katz,KTS,
widder,VTR,VT
’s,S,
Biffele,PFL,
mod,MT,
wo,V,
fur,FR,
z',S,
Nacht,NRT,
gerischt,KRXT,
isch,AX,
üß,AS,
der,TR,T
Plat,PLT,
holt,HLT,
Gibt,KPT,
sie,S,
au,A,
im,AM,
Carnailleföjel,KRNLFYL,
frisch,FRX,
Wasser,VSR,VS
un,AN,
trett,TRT,
sie,S,
im,AM,
Hundel,HNTL,
wo,V,
wirkli,VRKL,
in,AN,
der,TR,T
Küche,KR,
leijt,LT,
un,AN,
Jungi,YNK,
hett,HT,
nitt,NT,
uff-m,AFM,
Weddele,VTL,
erum,ARM,
Sie,S,
kann,KN,
au,A,
denne,TN,
Salat,SLT,
reine,RN,
wo,V,
drüsse,TRS,
—,,
I,A,
ward,VRT,
—,,
heschs,HXS,
ball,PL,
wo,V,
drüsse,TRS,
uff-m,AFM,
Küchedisch,KRTX,
leijt,LT,
sie,S,
kann,KN,
au,A,
Krumbeere,KRMPR,
schele,XL,
un,AN,
in,AN,
de,T,
Keller,KLR,KL
gehn,KN,
lueje,LY,
ob,AP,
kein,KN,
fremdi,FRMT,
Kat,KT,
drunte,TRNT,TRT
-n-,N,
isch,AX,
’s,S,
isch,AX,
mer,MR,M
weje,VY,
dem,TM,
ingebeizte,ANKPST,ANKVST
Kienjele,KNYL,
wo,V,
i,A,
drunte,TRNT,TRT
stehn,XTN,
hab,HP,
un,AN,
—,,
Mach,MR,
nur,NR,
wittersch,VTRX,
i,A,
bin,PN,
nit,NT,
pressiert,PRSRT,
Wenn,VN,
mer,MR,M
uff,AF,
