forme,key1,key2
Myni,MN,
lieb,LP,
Carline,KRLN,
dü,T,
kannsch,KNX,
d'r,TR,
gar,KR,
nitt,NT,
vor,FR,VR
stelle,XTL,
wie,V,
ich,A,AX
mich,M,MX
uff,AF,
unseri,ANSR,
Hyroot,HRT,
fraij,FR,
Weisch,VX,
wemm’r,VMR,
syn,SN,
Læbdesdaa,LPTXT,
Jungg’sell,YNKSL,
isch,AX,
g’sinn,KSN,
no,N,
brücht,PRRT,
m'r,MR,
numme,NM,
ze,TS,
lueje,LY,
wieviel,VFL,VVL
Knepf,KNPF,
ass,AS,
eim,AM,
am,AM,
Kleid,KLT,
fæhle,FL,
fur,FR,
jügiere,YKR,YYR
ze,TS,
kenne,KN,
was,VS,
e,A,
flyssigi,FLSK,FLSY
Hüssfrau,HSFR,
wært,VRT,
isch,AX,
Warum,VRM,
hesch,HX,
de,T,
denn,TN,
no,N,
nitt,NT,
schun,XN,
længscht,LNKXT,
g’hyroot,KRT,
liewer,LFR,LV
Alois,ALS,
Alois,ALS,
Wyll,VL,
ich,A,AX
noch,NR,
Geld,KLT,
habb,HP,
g’hett,KT,
Ho,H,
worum,VRM,
Wyll,VL,
ich,A,AX
arich,AR,ARX
vorsichtig,FRSXTK,VRSXT
bin,PN,
g’sinn,KSN,
E,A,
Frau,FR,
hett,HT,
m'r,MR,
ball,PL,
awer,AVR,AY
m'r,MR,
weiss,VS,
nie,N,
was,VS,
fur,FR,
aani,AN,
Waije,VY,
dem,TM,
haw-ich,HV,HVX
mir,MR,
au,A,
bis,PS,
jetzt,YTST,
allewyll,ALFL,ALVL
mit,MT,
Patentknepf,PTNTKNPF,PTTKNPF
üss,AS,
d'r,TR,
Not,NT,
g’holfe,KLF,
In,AN,
dir,TR,
awer,AVR,AY
chère,KR,XR
Caroline,KRLN,
haw-ich,HV,HVX
enfin,ANFN,AFN
e,A,
Frau,FR,
g’funde,KFNT,
wo,V,
mich,M,MX
glicklich,KLKL,KLKLX
mache,MR,
kann,KN,
Dü,T,
witt,VT,
saawe,SV,SY
wo,V,
dich,T,TX
vun,FN,VN
de,T,
Patentknepf,PTNTKNPF,PTTKNPF
erleest,ARLXT,
Gell,KL,
jetzert,YTSRT,
witt,VT,
dü,T,
mich,M,MX
au,A,
noch,NR,
ütze,ATS,
Awer,AVR,AY
wart,VRT,
numme,NM,
wenn,VN,
mir,MR,
zwei,TSV,
erscht,ARXT,
emool,AML,
im,AM,
Kæschtel,KXTL,
hænge,HNK,
Drej,TR,
Wuche,VR,
sinn,SN,
by,P,
de,T,
hytti,HT,
moderne,MTRN,
Verkehrsmiddel,FRKRSMTL,VRKRSMTL
schnell,XNL,
erum,ARM,
Ich,A,AX
will,VL,
d'r,TR,
no,N,
schun,XN,
zeije,TSY,
ass,AS,
ich,A,AX
d’,T,
Hosse,HS,
-n-,N,
an,AN,
habb,HP,
Unn,AN,
ich,A,AX
dir,TR,
au,A,
Très,TRS,
bien,PN,P
G’sundheit,KSNTHT,
Liewi,LF,LV
Uff,AF,
e,A,
gueti,KT,
Zuekunft,TSKNFT,TSKFT
im,AM,
heiliche,HLX,
-n-,N,
Ehstand,ASTNT,
Numme,NM,
nitt,NT,
so,S,
gepressiert,KPRSRT,
Aloisel,ALSL,
Zuem,TSM,
Ins-Kæschtel-hænge,ANSKXTLNK,
haw-ich,HV,HVX
bis,PS,
jetzt,YTST,
myni,MN,
Per,PR,P
mission,MSN,
noch,NR,
nitt,NT,
gænn,KN,
Wa-a-as,VS,
Hesch,HX,
de,T,
dir,TR,
’s,S,
am,AM,
End,ANT,
widder,VTR,VT
an,AN,
dersch,TRX,
iwerleijt,AFRLT,AVRLT
Diss,TS,
nitt,NT,
grad,KRT,
Odder,ATR,AT
hesch,HX,
de,T,
-n-,N,
am,AM,
End,ANT,
ebbs,APS,
üsszesetze,ASTSSTS,
-n-,N,
an,AN,
mir,MR,
Hm,M,
was,VS,
soll,SL,
ich,A,AX
do,T,
saawe,SV,SY
Oho,AH,
Ich,A,AX
proteschtier,PRTXTR,PRTXT
Dü,T,
krejsch,KRX,
mir,MR,
ma,M,
foi,F,
kaan,KN,
Trepfele,TRPFL,
Wyn,VN,
meh,M,
—,,
Ja,Y,
g’fallt,KFLT,
d'r,TR,
denn,TN,
ebbs,APS,
nitt,NT,
an,AN,
mir,MR,
Ich,A,AX
habb,HP,
doch,TR,
par,PR,
exemple,AKSMPL,
kaan,KN,
Romanbaan,RMNPN,
Was,VS,
sinn,SN,
denn,TN,
diss,TS,
fur,FR,
Baan,PN,
So,S,
wie,V,
im-e,AM,
Roman,RMN,
’s,S,
erscht,ARXT,
gehn,KN,
s’,S,
e-n,AN,
üssenander,ASNNTR,ASNNT
unn,AN,
no,N,
kriegen,KRKN,KRK
s’,S,
e,A,
sich,S,SX
