forme,key1,key2
Wenn,VN,
ich,A,AX
mich,M,MX
nitt,NT,
drumbier,TRMPR,TRMP
ze,TS,
muess,MS,
’s,S,
Narrehüss,NRHS,
do,T,
in,AN,
d’r,TR,
Gejed,KYT,
sinn,SN,
Ah,A,
do,T,
kummt,KMT,
jo,Y,
ebber,APR,AP
Pardon,PRTN,
kenne,KN,
Sie,S,
mir,MR,
saawe,SV,SY
wo,V,
d’,T,
Irre-Anstalt,ARNXTLT,
isch,AX,
Nein,NN,
leider,LTR,LT
nitt,NT,
Awer,AVR,AY
’s,S,
nächscht,NXXT,
Wirtshüss,VRTXS,VRTSHS
diss,TS,
dhät’r,TTR,
wisse,VS,
Monsieur,MNSR,
meine,MN,
Sie,S,
am,AM,
End,ANT,
’s,S,
Narrehüss,NRHS,
Gewiss,KFS,KVS
diss,TS,
suech,SR,
ich,A,AX
jo,Y,
Ja,Y,
wo,V,
diss,TS,
isch,AX,
weiss,VS,
ich,A,AX
nämlich,NML,NMLX
au,A,
nitt,NT,
Awer,AVR,AY
zyttig,TSTK,TST
sinn,SN,
Sie,S,
fur,FR,
’s,S,
ball,PL,
ze,TS,
wisse,VS,
Na,N,
ich,A,AX
wurr,VR,
’s,S,
schun,XN,
finde,FNT,
No,N,
will,VL,
ich,A,AX
awer,AVR,AY
im,AM,
Monsieur,MNSR,
Nervich,NRF,NRVX
wo,V,
Dokter,TKTR,TKT
drinne,TRN,
-n-,N,
isch,AX,
schun,XN,
de,T,
Marsch,MRX,
bloose,PLS,
Nitt,NT,
nummen-ass’r,NMNSR,
hinter,HNTR,HT
mym,MM,
Buckel,PKL,
mit,MT,
mynere,MNR,
Dochter,TRTR,TRT
e,A,
Techtelmechtel,TXTLMXTL,
ang’fange,ANKFNK,
hett,HT,
nein,NN,
jetzt,YTST,
fröjt’r,FRTR,
mich,M,MX
au,A,
noch,NR,
do,T,
in,AN,
dem,TM,
Brief,PRF,
um,AM,
d’,T,
Hand,HNT,
vum,FM,VM
Octavie,AKTF,AKTV
Schamä,XM,
E,A,
Narredokter,NRTKTR,NRTKT
kummt,KMT,
nitt,NT,
in,AN,
d’,T,
Famili,FML,
Brummer,PRMR,PRM
Ihnne,AN,
mache,MR,
d’,T,
Kranke,KRNK,
verruckt,FRKT,VRKT
er,AR,A
macht,MRT,
no,N,
myni,MN,
Dochter,TRTR,TRT
verruckt,FRKT,VRKT
unn,AN,
die,T,
schliesslich,XLSL,XLSLX
noch,NR,
mich,M,MX
—,,
nein,NN,
so,S,
verruckt,FRKT,VRKT
bin,PN,
ich,A,AX
jetzt,YTST,
doch,TR,
nitt,NT,
Warte,VRT,
Sie,S,
Herr,HR,
Dokter,TKTR,TKT
ich,A,AX
kenn,KN,
Sie,S,
zwar,TSVR,
noch,NR,
nitt,NT,
awer,AVR,AY
hytt,HT,
solle,SL,
Sie,S,
mich,M,MX
kenne,KN,
lehre,LR,
selbscht,SLPXT,
wenn,VN,
’s,S,
Octavie,AKTF,AKTV
noch,NR,
so,S,
verruckt,FRKT,VRKT
in,AN,
Sie,S,
isch,AX,
unn,AN,
Sie,S,
noch,NR,
so,S,
narrächt,NRRT,
ins,ANS,
Octavie,AKTF,AKTV
sinn,SN,
E,A,
Narredokter,NRTKTR,NRTKT
M’r,MR,
saat,ST,
nitt,NT,
umesunscht,AMSNXT,
Sage,SK,SY
mir,MR,
mit,MT,
wem,VM,
du,T,
umgehst,AMKST,
und,ANT,
ich,A,AX
will,VL,
dir,TR,
sagen,SKN,SK
wer,VR,V
du,T,
bist,PXT,
Iwerhaupt,AFRHPT,AVRHPT
was,VS,
verstehn,FRXTN,VRXTN
d’,T,
junge,YNK,
Lytt,LT,
vun,FN,VN
d’r,TR,
Lieb,LP,
Do,T,
g’heert,KRT,
Erfahrung,ARFRNK,
dezue,TTS,
Ich,A,AX
habb,HP,
d’,T,
Lieb,LP,
au,A,
erscht,ARXT,
g’funde,KFNT,
wo,V,
myni,MN,
erscht,ARXT,
Frau,FR,
dood,TT,
isch,AX,
g’sinn,KSN,
In,AN,
d’r,TR,
Biwel,PFL,PVL
steht,XTT,
bekanntlich,PKNTL,PKNTLX
Wen,VN,V
Gott,KT,
liebt,LPT,
den,TN,T
