forme,key1,key2
Nein,NN,
diss,TS,
iwerläw,AFRLF,AVRLV
ich,A,AX
nitt,NT,
Myn,MN,
ganz,KNS,KNTS
Vermeje,FRMY,VRMY
haw,HF,HV
ich,A,AX
verlore,FRLR,VRLR
E,A,
ganzi,KNTS,
Million,MLN,
isch,AX,
füddi,FT,
wo,V,
ich,A,AX
in,AN,
Aktie,AKT,
vun,FN,VN
d'r,TR,
Australisch,AXTRLX,
Auschterebank,AXTRPNK,AXTRVNK
g’steckt,KSTKT,
habb,HP,
unn,AN,
jetzt,YTST,
isch,AX,
diss,TS,
ganz,KNS,KNTS
Unternemme,ANTRNM,ATRNM
iwer,AFR,AV
Nacht,NRT,
verkracht,FRKRRT,VRKRRT
Do,T,
steht,XTT,
’s,S,
im,AM,
Blättel,PLTL,
Unn,AN,
do,T,
bisch,PX,
numme,NM,
dü,T,
dran,TRN,
schuld,XLT,
Jean,YN,
Na,N,
ja,Y,
Patron,PTRN,
ich,A,AX
will,VL,
jo,Y,
gern,KRN,
zuegänn,TSKN,TSYN
ass,AS,
ich,A,AX
denne,TN,
Morje,MRY,
Ihri,AR,
Café-Schissel,KFXSL,
verhejt,FRHT,VRHT
habb,HP,
awer,AVR,AY
…,,
Ach,AR,
was,VS,
die,T,
mein,MN,
ich,A,AX
nitt,NT,
Vun,FN,VN
mir,MR,
üss,AS,
hättsch,HTX,
d',T,
ganz,KNS,KNTS
G’schirrabteilung,KXRPTLNK,
vum,FM,VM
Magmod,MKMT,
kapütt,KPT,
dengle,TNKL,
kenne,KN,
Ich,A,AX
mein,MN,
d’,T,
Australisch,AXTRLX,
Auschterebank,AXTRPNK,AXTRVNK
Ah,A,
Isch,AX,
s’,S,
e,A,
üss,AS,
’m,M,
Lym,LM,
gange,KNK,
Unn,AN,
ich,A,AX
soll,SL,
schuld,XLT,
sinn,SN,
Ich,A,AX
habb,HP,
mich,M,MX
nitt,NT,
druff,TRF,
g’setzt,KSTST,
Monsieur,MNSR,
Meyer,MR,M
Babbel,PPL,
kein,KN,
Mischt,MXT,
Jean,YN,
Ass,AS,
s',S,
e,A,
schiewes,XFS,XVS
isch,AX,
gange,KNK,
isch,AX,
nitt,NT,
dyni,TN,
Schuld,XLT,
awer,AVR,AY
ass,AS,
ich,A,AX
myn,MN,
ganz,KNS,KNTS
Geld,KLT,
nyng’steckt,NNKSTKT,
habb,HP,
Jetzt,YTST,
wurd,VRT,
’s,S,
Daa,T,
Ja,Y,
Patron,PTRN,
saawe,SV,SY
emool,AML,
Sinn,SN,
Sie,S,
d'r,TR,
Herr,HR,
odder,ATR,AT
ich,A,AX
Kenne,KN,
Sie,S,
nitt,NT,
mache,MR,
was,VS,
Sie,S,
welle,VL,
Doch,TR,
awer,AVR,AY
wo,V,
ich,A,AX
dich,T,TX
angaschiert,ANKXRT,
habb,HP,
hesch,HX,
dü,T,
mir,MR,
versichert,FRSXRT,VRSXRT
ass,AS,
dü,T,
dich,T,TX
uff,AF,
alles,ALS,
verstehsch,FRXTX,VRXTX
Sell,SL,
isch,AX,
wohr,VR,
wenn,VN,
sich,S,SX
's,S,
um,AM,
’s,S,
Koche,KR,
Butze,PTS,
Nähje,NY,
unn,AN,
so,S,
wyddersch,VTRX,
handelt,HNTLT,
ass,AS,
ich,A,AX
awer,AVR,AY
au,A,
noch,NR,
Ihre,AR,
Finanzrat,FNNSRT,
soll,SL,
sinn,SN,
diss,TS,
isch,AX,
nitt,NT,
im,AM,
Kontrakt,KNTRKT,KTRKT
vor,FR,VR
g’sähn,KSN,
Egal,AKL,AYL
dü,T,
hesch,HX,
mir,MR,
awer,AVR,AY
geroote,KRT,
ass,AS,
ich,A,AX
’s,S,
riskiere,RSKR,
kennt,KNT,
myn,MN,
Vermeje,FRMY,VRMY
in,AN,
dem,TM,
Unternemme,ANTRNM,ATRNM
anzeleije,ANTSLY,
Unn,AN,
ich,A,AX
dhät,TT,
’s,S,
noch,NR,
emool,AML,
mache,MR,
Monsieur,MNSR,
Meyer,MR,M
Ich,A,AX
bin,PN,
in,AN,
dem,TM,
Dings,TNKS,
guet,KT,
renseigniert,RNSKNRT,
…,,
myner,MNR,MN
bescht,PXT,
Frind,FRNT,
hett,HT,
jo,Y,
e,A,
Liebschti,LPXT,
wo,V,
d’,T,
Schweschter,XVXTR,XVXT
vun,FN,VN
d'r,TR,
Butzfrau,PTSFR,
vum,FM,VM
Gouverneur,KFRNR,KVRNR
vun,FN,VN
d'r,TR,
Banque,PNKV,
de,T,
France,FRNK,
isch,AX,
Non,NN,
non,NN,
ich,A,AX
loss,LS,
mir,MR,
’s,S,
nitt,NT,
üssredde,ASRT,
…,,
die,T,
Ba,P,
bierle,PRL,
sinn,SN,
so,S,
sicher,SXR,SX
wie,V,
Zuchthüssmüre,TSRTHSMR,
Ich,A,AX
habb,HP,
jo,Y,
’s,S,
Konträr,KNTRR,KTRR
devun,TFN,TVN
schwarz,XVRS,XVRTS
uff,AF,
wyss,VS,
Füddi,FT,
isch,AX,
füddi,FT,
Unn,AN,
fur,FR,
ass,AS,
ich,A,AX
an,AN,
die,T,
unglieckselig,ANKLKSLK,ANKLKSL
Affär,AFR,
gar,KR,
nimm,NM,
ze,TS,
denke,TNK,
brüch,PRR,
ze,TS,
will,VL,
ich,A,AX
mir,MR,
die,T,
Aktie-Babierer,AKTPPRR,AKTPVR
do,T,
üss,AS,
de,T,
Aue,A,
schaffe,XF,
Wo,V,
sinn,SN,
denn,TN,
Schwäwehelzle,XVFHLTSL,XVVHLTSL
…,,
ich,A,AX
will,VL,
s’,S,
e,A,
verbrenne,FRPRN,VRPRN
JEAN,YN,
Ich,A,AX
glaub,KLP,
als,ALS,
noch,NR,
nitt,NT,
an,AN,
denne,TN,
Bankkrach,PNKRR,
unn,AN,
waje,VY,
dem,TM,
will,VL,
ich,A,AX
die,T,
Babierle,PPRL,PVRL
do,T,
in,AN,
Sicherheit,SXRHT,
bringe,PRNK,
…,,
nutzt,NTST,
’s,S,
nix,NKS,
ze,TS,
schad,XT,
’s,S,
nix,NKS,
Ah,A,
do,T,
sinn,SN,
jo,Y,
Schwäwes,XVFS,XVVS
Diss,TS,
isch,AX,
ma,M,
foi,F,
e,A,
dyer,TR,T
’s,S,
Fyer,FR,F
werik,VRK,
wo,V,
mich,M,MX
e,A,
bari,PR,
Million,MLN,
koschte,KXT,
dhuet,TT,
Ich,A,AX
Ar,AR,
mer,MR,M
Wenn,VN,
diss,TS,
numme,NM,
kein,KN,
Dummheit,TMHT,
isch,AX,
Patron,PTRN,
Was,VS,
Dummheit,TMHT,
Was,VS,
erlaubsch,ARLPX,
dü,T,
dir,TR,
iwerhaupt,AFRHPT,AVRHPT
mich,M,MX
dumm,TM,
zu,TS,
heisse,HS,
Dü,T,
kummseh,KMS,
mir,MR,
iwerhaupt,AFRHPT,AVRHPT
in,AN,
letschter,LTXTR,LTXT
Zytt,TST,
allewyll,ALFL,ALVL
so,S,
frech,FRX,
Uff,AF,
jede,YT,
Fall,FL,
ich,A,AX
hätt,HT,
’s,S,
nitt,NT,
gemacht,KMRT,
Ich,A,AX
will,VL,
einfach,ANFR,AFR
nimmi,NM,
an,AN,
denne,TN,
Fehlschlaa,FLXL,
ge,K,
mahnt,MNT,
wäre,VR,
unn,AN,
waje,VY,
dem,TM,
kannsch,KNX,
au,A,
dü,T,
sofort,SFRT,
dyne,TN,
Ranze,RNTS,
packe,PK,
unn,AN,
dich,T,TX
um,AM,
e,A,
neje,NY,
Platz,PLTS,
umsähn,AMSN,
denn,TN,
wenn,VN,
ich,A,AX
nitt,NT,
uff,AF,
dich,T,TX
g’horicht,KRXT,
hätt,HT,
ze,TS,
wär,VR,
ich,A,AX
hytt,HT,
nitt,NT,
am,AM,
Bettelstab,PTLSTP,
Was,VS,
Unn,AN,
waje,VY,
dem,TM,
welle,VL,
Sie,S,
mich,M,MX
schasse,XS,
Oh,A,
nitt,NT,
numme,NM,
waje,VY,
dem,TM,
Dü,T,
bisch,PX,
mir,MR,
in,AN,
letsch,LTX,
ter,TR,T
Zytt,TST,
au,A,
