forme,key1,key2
Ze,TS,
bass,PS,
doch,TR,
uff,AF,
Michel,MXL,
Dü,T,
verdrucksch,FRTRKX,VRTRKX
mir,MR,
jo,Y,
de,T,
Büch,PR,
Ei,A,
's,S,
isch,AX,
au,A,
so,S,
arich,AR,ARX
eng,ANK,
do,T,
hinne,HN,
Enfin,ANFN,AFN
hätte,HT,
mir'ne,MRN,
so,S,
wytt,VT,
Ich,A,AX
schwitz,XVTS,
wajer,VYR,VY
wie,V,
e,A,
Daadieb,TTP,
wo,V,
in're,ANR,
Arweit,ARVT,
züegückt,TSKKT,TSYKT
Diss,TS,
soll,SL,
mir,MR,
kein,KN,
unb'holfes,ANPLFS,
Stickel,XTKL,
Meewel,MFL,MVL
sinn,SN,
Diss,TS,
isch,AX,
jo,Y,
d'r,TR,
reinscht,RNXT,
Sarich,SR,SRX
Was,VS,
witt,VT,
de,T,
denn,TN,
mit,MT,
anfange,ANFNK,AFNK
Schorsch,XRX,
Ei,A,
liewer,LFR,LV
Brueder,PRTR,PRT
dü,T,
weisch,VX,
doch,TR,
ass,AS,
ich,A,AX
demnächscht,TMNXXT,
e,A,
paar,PR,
Wuche,VR,
in,AN,
d',T,
Vakanze,FKNTS,VKNTS
will,VL,
Wyll,VL,
awer,AVR,AY
e,A,
nejer,NYR,NY
Kuffer,KFR,KF
hyttzedaas,HTTSTS,
e,A,
Hüffe,HF,
Geld,KLT,
koscht,KXT,
ze,TS,
loss,LS,
ich,A,AX
mir,MR,
einfach,ANFR,AFR
in,AN,
denne,TN,
alt,ALT,
Kaschte,KXT,
wo,V,
schunscht,XNXT,
noch,NR,
ganz,KNS,KNTS
guet,KT,
isch,AX,
e,A,
neje,NY,
Bodde,PT,
nynmache,NNMR,NMR
wyll,VL,
d'r,TR,
alt,ALT,
füddi,FT,
isch,AX,
D'r,TR,
Schrynner,XRNR,XRN
losst'ne,LSTN,
hytt,HT,
noch,NR,
abhole,APL,
Do,T,
hesch,HX,
de,T,
rächt,RRT,
Brueder,PRTR,PRT
als,ALS,
spare,XPR,
Awer,AVR,AY
was,VS,
isch,AX,
hesch,HX,
de,T,
schun,XN,
mit,MT,
unsrem,ANSRM,
Neveu,NF,NV
geredd,KRT,
Nein,NN,
Michel,MXL,
ich,A,AX
habb,HP,
hytt,HT,
noch,NR,
gar,KR,
kein,KN,
Zytt,TST,
g'hett,KT,
fur,FR,
mit,MT,
'm,M,
Robert,RPRT,RVRT
e'n,AN,
ernscht,ARNXT,
's,S,
Wertel,VRTL,
ze,TS,
redde,RT,
's,S,
muess,MS,
awer,AVR,AY
partout,PRTT,
sinn,SN,
Schorsch,XRX,
Als,ALS,
syne,SN,
Unkel,ANKL,
isch,AX,
diss,TS,
au,A,
dyni,TN,
Sach,SR,
…,,
ich,A,AX
habb,HP,
myn,MN,
Deil,TL,
gemacht,KMRT,
Ich,A,AX
habb,HP,
