forme,key1,key2
I.,A,
Sunn,SN,
und,ANT,
Mond,MNT,
gehn,KN,
täglich,TKL,TKLX
uff,AF,
und,ANT,
unter,ANTR,AT
Und,ANT,
das,TS,
Wasser,VSR,VS
lauft,LFT,
den,TN,T
Berg,PRK,
hinunter,HNNTR,HNT
Viele,FL,VL
Bäume,PM,
machen,MRN,MR
einen,ANN,AN
Wald,VLT,
Und,ANT,
im,AM,
Winter,VNTR,VT
isch,AX,
's,S,
gewöhnlich,KFNL,KVNLX
kalt,KLT,
Was,VS,
nit,NT,
wohr,VR,
isch,AX,
nennt,NNT,
m'r,MR,
eine,AN,
Fabel,FPL,FVL
Alle,AL,
Vögel,FKL,VYL
haben,HPN,HV
einen,ANN,AN
Schnabel,XNPL,XNVL
Das,TS,
Bier,PR,P
üs,AS,
Bayern,PRN,
nennt,NNT,
m'r,MR,
bayrisch,PRX,
Bier,PR,P
Do,T,
kann,KN,
unsereins,ANSRNS,
halt,HLT,
nix,NKS,
derfür,TRFR,
Refrain,RFRN,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Ursach,ARSR,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Grund,KRNT,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Zitt,TST,
und,ANT,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Stund,XTNT,
II.,A,
In,AN,
der,TR,T
Welt,VLT,
passiere,PSR,
doch,TR,
au,A,
Sache,SR,
’s,S,
isch,AX,
wahrhafti,VRHFT,
schier,XR,X
zum,TSM,
Bucklichlache,PKLXLR,
Nimmt,NMT,
m'r,MR,
nur,NR,
e,A,
Zittung,TSTNK,
jetzt,YTST,
in,AN,
d',T,
Hand,HNT,
List,LXT,
mr,MR,
Dings,TNKS,
’s,S,
isch,AX,
gar,KR,
ze,TS,
intressant,ANTRSNT,ATRST
B'sunders,PSNTRS,
hinte,HNT,HT
les',LS,
i,A,
gern,KRN,
d',T,
Annonce,ANNK,
Do,T,
wurd,VRT,
herzhaft,HRSFT,
in,AN,
d',T,
Trumpet,TRMPT,
geblose,KPLS,
Alles,ALS,
durchenand,TRXNNT,
in,AN,
einre,ANR,
Pfann,PFN,
Was,VS,
nur,NR,
's,S,
Menscheherz,MNXHRS,MNXHRTS
begehre,PKR,PYR
kann,KN,
Refrain,RFRN,
's,S,
het,HT,
alles,ALS,
sin,SN,
Ursach,ARSR,
usw,ASV,
III.,A,
Wenn,VN,
m'r,MR,
Nummer,NMR,NM
left,LFT,
vom,FM,VM
Samstag,SMSTK,SMST
Owe,AF,AV
Lieber,LPR,LV
Vadder,FTR,VT
dü,T,
im,AM,
Himmel,HML,
drowe,TRF,TRV
Fresse,FRS,
süffe,SF,
Festlichkeit,FXTLXKT,
und,ANT,
Tanz,TNS,TNTS
Fülle,FL,
schier,XR,X
gar,KR,
alli,AL,
Sitte,ST,
ganz,KNS,KNTS
Wie,V,
do,T,
d',T,
Wirt,VRT,
sich,S,SX
d',T,
Gäst,KXT,
ze,TS,
angle,ANKL,
sueche,SR,
Mit,MT,
Sürkrütt,SRKRT,
Lewerwurst,LFRVRXT,LVRVRXT
un,AN,
Pfannekueche,PFNKR,
Gebach'ni,KPRN,KVRN
Eier,AR,A
Hasepfeffer,HSPFFR,HSPFF
hei,H,
Hahne,HN,
Spate,XPT,
Bschorr,PXR,
un,AN,
Löwebräu,LFPR,LVPR
Refrain,RFRN,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Ursach,ARSR,
usw,ASV,
…,,
Ja,Y,
Jo,Y,
jo,Y,
’s,S,
het,HT,
alles,ALS,
sin,SN,
Ursach,ARSR,
sell,SL,
isch,AX,
jetzt,YTST,
wohr,VR,
Dü,T,
kannsch,KNX,
jo,Y,
nix,NKS,
derfür,TRFR,
daß,TS,
’s,S,
Pulver,PLFR,PLV
erfunde,ARFNT,
isch,AX,
worre,VR,
Dü,T,
dummer,TMR,TM
Bebelenz,PPLNS,PVLNTS
daß,TS,
d',T,
bisch,PX,
sunsch,SNX,
kenntschte,KNTXT,
nit,NT,
helluff,HLF,
singe,SNK,
am,AM,
nämliche,NMLX,
Tag,TK,T
wo,V,
m'r,MR,
jede,YT,
Aueblick,APLK,
ze,TS,
erwarte,ARVRT,
het,HT,
üs,AS,
em,AM,
Hisel,HSL,
nüs,NS,
g'schmisse,KXMS,
ze,TS,
wäre,VR,
un,AN,
am,AM,
End,ANT,
gar,KR,
noch,NR,
in,AN,
’s,S,
Rappele,RPL,
ze,TS,
kumme,KM,
Was,VS,
nit,NT,
wohr,VR,
isch,AX,
saat,ST,
m'r,MR,
isch,AX,
e,A,
Fabel,FPL,FVL
Alli,AL,
Wibslitt,VPSLT,
han,HN,
e,A,
scharfe,XRF,
Schnabel,XNPL,XNVL
Jo,Y,
’s,S,
isch,AX,
währli,VRL,
au,A,
nothwendi,NTHVNT,
wenn,VN,
m'r,MR,
so,S,
e,A,
glich,KL,KLX
gildicher,KLTXR,KLTX
Mann,MN,
het,HT,
wo,V,
als,ALS,
furt,FRT,
’s,S,
nemli,NML,
G'sicht,KSXT,
macht,MRT,
ob,AP,
d',T,
Sunn,SN,
schinnt,XNT,
odder,ATR,AT
ebs,APS,
Katze,KTS,
hagelt,HKLT,HYLT
ob,AP,
’s,S,
guet,KT,
geht,KT,
oder,ATR,AT
schlecht,XLXT,
Zuefriddeheit,TSFRTHT,
macht,MRT,
’s,S,
Glück,KLK,
vum,FM,VM
Mensche,MNX,
üs,AS,
mit,MT,
Brummle,PRML,
un,AN,
Muere,MR,
macht,MRT,
mr,MR,
nix,NKS,
besser,PSR,PS
Jo,Y,
wenn,VN,
m'r,MR,
durch,TRX,
sini,SN,
