forme,key1,key2
Versüere,FRSR,VRSR
möcht,MRT,
mer,MR,M
im,AM,
Essikrüj,ASKR,
Jetz,YTS,
isch,AX,
’s,S,
nine,NN,
zmorjes,SMRYS,
un,AN,
der,TR,T
Meischter,MXTR,MXT
isch,AX,
schun,XN,
wider,VTR,VT
furt,FRT,
Küm,KM,
het,HT,
er,AR,A
de,T,
Café,KF,
getrunke,KTRNK,
macht,MRT,
er,AR,A
sich,S,SX
uf,AF,
d',T,
Reis,RS,
un,AN,
geht,KT,
mit,MT,
sine,SN,
Neüigkeite,NKKT,
un,AN,
dauwe,TF,TV
Blän,PLN,
hüsiere,HSR,
Ja,Y,
wenns,VNS,
noch,NR,
fürs,FRS,
Gschäft,KXFT,
wär,VR,
des,TS,
dhät,TT,
mer,MR,M
sich,S,SX
gfalle,KFL,
Ion,AN,
Awer,AVR,AY
naan,NN,
—,,
nur,NR,
fraubase,FRPS,FRVS
will,VL,
er,AR,A
un,AN,
sich,S,SX
wichti,VXT,
mache,MR,
mit,MT,
sine,SN,
Gschichtle,KXXTL,
üwer,AFR,AV
dene,TN,
un,AN,
zelle,TSL,
No,N,
wurd,VRT,
ball,PL,
do,T,
e,A,
Schöppele,XPL,
gepfetzt,KPFTST,
dort,TRT,
e,A,
bissel,PSL,
Babbel,PPL,
waffer,VFR,VF
getrunke,KTRNK,
am,AM,
zwölfe,TSVLF,
kommt,KMT,
er,AR,A
haam,HM,
mit,MT,
em,AM,
e,A,
klaane,KLN,
Dembes,TMPS,
un,AN,
unsereins,ANSRNS,
kann,KN,
von,FN,VN
Morjes,MRYS,
bis,PS,
z’,S,
Owes,AFS,AVS
schaffe,XF,
un,AN,
sich,S,SX
blöje,PLY,
Dürts,TRTS,
Na,N,
der,TR,T
Client,KLNT,KLT
kommt,KMT,
bezidde,PTST,
Entrez,ANTRS,ATRTS
Bonjour,PNYR,
kann,KN,
ich,A,AX
mit,MT,
em,AM,
Meischter,MXTR,MXT
redde,RT,
Ewe,AF,AV
isch,AX,
er,AR,A
üsgange,ASKNK,
Ze,TS,
ward,VRT,
i,A,
e,A,
Auesblick,AXPLK,
Des,TS,
kennt,KNT,
am,AM,
End,ANT,
e,A,
langer,LNKR,LNK
Auesblick,AXPLK,
wäre,VR,
Wieso,VS,
Ihr,AR,
Meischter,MXTR,MXT
isch,AX,
doch,TR,
bi,P,
kaanre,KNR,
Licht,LXT,
Zell,TSL,
nit,NT,
grad,KRT,
Awer,AVR,AY
er,AR,A
isch,AX,
hit,HT,
güet,KT,
uffgelajt,AFKLT,
un,AN,
do,T,
dürts,TRTS,
immer,AMR,AM
e,A,
Paar,PR,
Stündle,XTNTL,
bis,PS,
er,AR,A
widder,VTR,VT
kummt,KMT,
Na,N,
dis,TS,
schint,XNT,XT
mer,MR,M
e,A,
netti,NT,
Hüshaltung,HXLTNK,HSHLTNK
ze,TS,
sin,SN,
Awer,AVR,AY
saue,S,
sie,S,
emol,AML,
wie,V,
rauchts,RRTS,
denn,TN,
mit,MT,
mim,MM,
neue,N,
Frack,FRK,
Am,AM,
Dienschdaa,TNXT,
isch,AX,
mini,MN,
Hoch,HR,
zit,TST,
hit,HT,
isch,AX,
Samschdaa,SMXT,
Er,AR,A
het,HT,
mer,MR,M
versproche,FRXPRR,VRXPRR
ne,N,
unfehlbar,ANFLPR,AFLPR
uf,AF,
hit,HT,
ferti,FRT,
ze,TS,
mache,MR,
Ihre,AR,
Frack,FRK,
Pardon,PRTN,
do,T,
derdun,TRTN,
weiß,VS,
i,A,
nix,NKS,
Kaan,KN,
Wörtel,VRTL,
het,HT,
d’r,TR,
Meischter,MXTR,MXT
gsaat,KST,
daß,TS,
ebs,APS,
pressiert,PRSRT,
Was,VS,
Sie,S,
wisse,VS,
nix,NKS,
Jetz,YTS,
wurd,VRT,
’s,S,
mer,MR,M
nimmi,NM,
besser,PSR,PS
Ja,Y,
maant,MNT,MT
denn,TN,
der,TR,T
gebickt,KPKT,KVKT
Geisbock,KXPK,
ich,A,AX
loß,LS,
mich,M,MX
von,FN,VN
im,AM,
an,AN,
d’r,TR,
Nas,NS,
erumfüere,ARMFR,
Süeche,SR,
Sie,S,
numme,NM,
wenns,VNS,
beliebt,PLPT,
Des,TS,
Staatshawit,XTTXFT,XTTSHVT
hängt,HNKT,
sicher,SXR,SX
irix,ARKS,
Fritz,FRTS,
S’,S,
dhüet,TT,
mer,MR,M
leid,LT,
Herr,HR,
Müller,MLR,ML
ich,A,AX
kann,KN,
nix,NKS,
finde,FNT,
Nur,NR,
do,T,
isch,AX,
e,A,
Päckel,PKL,
pour,PR,
Monsieur,MNSR,
Müller,MLR,ML
Villicht,FLXT,VLXT
daß,TS,
do,T,
ebbs,APS,
drinne,TRN,
isch,AX,
Ich,A,AX
will,VL,
doch,TR,
lüeje,LY,
soll,SL,
des,TS,
ebbe,AP,
der,TR,T
Frack,FRK,
sin,SN,
Ich,A,AX
glaub,KLP,
Sie,S,
welle,VL,
ütze,ATS,
Des,TS,
isch,AX,
e,A,
Frechheit,FRXHT,
e,A,
Niederträchtigkeit,NTRTRRTKKT,
von,FN,VN
Ihrem,ARM,
Meischter,MXTR,MXT
mich,M,MX
so,S,
sitze,STS,
ze,TS,
lon,LN,
Here,HR,
mit,MT,
dem,TM,
Päckel,PKL,
ich,A,AX
find,FNT,
e,A,
andere,ANTR,
Schnider,XNTR,XNT
Aber,APR,AV
Ihrem,ARM,
Herre,HR,
soll,SL,
des,TS,
gedenke,KTNK,
so,S,
schnell,XNL,
nemmt,NMT,
er,AR,A
nieme,NM,
meh,M,
ins,ANS,
Gschirr,KXR,
Berühige,PRHK,PRHY
Sie,S,
sich,S,SX
doch,TR,
Herr,HR,
Müller,MLR,ML
D’r,TR,
Meischter,MXTR,MXT
het,HT,
villicht,FLXT,VLXT
d’,T,
Wuch,VR,
von,FN,VN
Ihre,AR,
hochzit,HRTST,
verwechselt,FRVKSLT,VRVXLT
Dhät,TT,
der,TR,T
sine,SN,
Strohkopf,XTRKPF,
emol,AML,
wechsle,VKSL,VXL
lon,LN,
Fritz,FRTS,
Es,AS,
loßt,LST,
sich,S,SX
jo,Y,
noch,NR,
alles,ALS,
guet,KT,
rangire,RNKR,
Do,T,
het,HT,
er,AR,A
mer,MR,M
vorgebabbelt,FRKPPLT,VRKVPLT
daß,TS,
niemes,NMS,
e,A,
so,S,
schöne,XN,
schicke,XK,
Frack,FRK,
han,HN,
soll,SL,
wie,V,
ich,A,AX
Selwer,SLVR,SLV
will,VL,
er,AR,A
ne,N,
mache,MR,
un,AN,
em,AM,
e,A,
Façon,FN,
gen,KN,K
numero,NMR,
Pfiff,PFF,
Der,TR,T
saad,ST,
vil,FL,VL
wenn,VN,
der,TR,T
Daa,T,
lang,LNK,
isch,AX,
Wie,V,
wärs,VRS,
Herr,HR,
Müller,MLR,ML
wenn,VN,
ich,A,AX
