forme,key1,key2
—,,
—,,
—,,
Mey-Katt,MKT,
—,,
—,,
—,,
heersch,HRX,
dü,T,
ebs,APS,
Nee,N,
—,,
—,,
bis,PS,
dato,TT,
noch,NR,
nit,NT,
Kansch,KNX,
de,T,
Paragraph,PRKRF,
Elf,ALF,
Ja,Y,
loß,LS,
dich,T,TX
nit,NT,
v'rwitsche,FRVTX,VRVTX
—,,
Ha,H,
hahahahaha,HHHHH,
Zem,TSM,
Dejhanker,THNKR,THNK
noch,NR,
emol,AML,
ning,NNK,
laach,LR,
doch,TR,
nit,NT,
eso,AS,
stiermaaßi,XTRMS,
Dü,T,
hesch,HX,
e-n,AN,
Angscht,ANKXT,
War,VR,
het,HT,
e-n,AN,
Angscht,ANKXT,
Hahaha,HHH,
Wenn,VN,
Alles,ALS,
erüskaamt,ARSKMT,
—,,
—,,
—,,
dies,TS,
gabt,KPT,
m‘r,MR,
e,A,
scheeni,XN,
Gschieht,KXT,
—,,
—,,
—,,
e,A,
häilichee,HLX,
—,,
m‘r,MR,
kamte,KMT,
uf,AF,
Anze,ANTS,
—,,
Alli,AL,
mitnöönd,MTNNT,
kamte,KMT,
m‘r,MR,
uf,AF,
Anze,ANTS,
Zem,TSM,
Dejhanker,THNKR,THNK
noch,NR,
emol,AML,
briell,PRL,
doch,TR,
nit,NT,
eso,AS,
stiermaaßi,XTRMS,
Aha,AH,
war,VR,
het,HT,
jetzt,YTST,
Angscht,ANKXT,
Ich,A,AX
uf,AF,
kene,KN,
Fall,FL,
Nee,N,
dü,T,
nit,NT,
aw‘r,AVR,
din,TN,
schlaacht,XLRT,
Gewisse,KFS,KVS
„,,
Gewisse,KFS,KVS
“,,
—,,
Pah,P,
‘s,S,
„,,
selaacht,SLRT,
Gewisse,KFS,KVS
“,,
—,,
Min,MN,
Gewisse,KFS,KVS
wurd,VRT,
eso,AS,
pro,PR,
per,PR,P
sin,SN,
wie,V,
Dins,TNS,
V'rstange,FRXTNK,VRXTNK
däuwi,TF,TV
Gäusch,KX,
Maach,MR,
din,TN,
däub,TP,
Mül,ML,
jetz,YTS,
emol,AML,
zü,TS,
—,,
un,AN,
dert,TRT,
driewe,TRF,TRV
d’,T,
Kiehedhüer,KHTHR,KHTH
Miteß,MTS,
dann,TN,
d‘r,TR,
Läum,LM,
im,AM,
göönze,KNTS,
Hüs,HS,
erumziche,ARMTSX,
Loß,LS,
‘s,S,
doch,TR,
läume,LM,
Bis,PS,
drüsse,TRS,
-n-,N,
uf,AF,
d‘r,TR,
Strooß,XTRS,
riecht,RXT,
m'r,MR,
‘s,S,
was,VS,
in,AN,
d'r,TR,
Pfann,PFN,
broodelt,PRTLT,
Däuwer,TFR,TV
Käib,KP,
Kannsch,KNX,
ken,KN,K
größerer,KRSRR,KRSR
La,L,
wesdäuj,VXT,
meh,M,
mache,MR,
Gäuekelhirn,KKLHRN,
iewerzwarchs,AFRTSVRKS,AVRTSVRX
Exküseh,AKSKS,
Herrjesses,HRYSS,
Ah,A,
dü,T,
bisehs,PSS,
Chrischtoph,KRXTF,XRXTF
Kraizdünderwadder,KRSTNTRVTR,KRSTNTRVT
—,,
Ah,A,
d'r,TR,
