forme,key1,key2
Jaja,YY,
Madam,MTM,
—,,
's,S,
isch,AX,
guet,KT,
Madam,MTM,
—,,
's,S,
wurd,VRT,
bsorjt,PSRYT,
Madam,MTM,
Wenn,VN,
unseri,ANSR,
Madam,MTM,
bekumme,PKM,
däet,TT,
was,VS,
ich,A,AX
ere,AR,
wünsch,VNX,
no,N,
müeßt,MST,
se,S,
emol,AML,
vor,FR,VR
alle,AL,
Dinge,TNK,
jede,YT,
Daa,T,
e,A,
Kilo,KL,
zünämme,TSNM,
bis,PS,
se,S,
am,AM,
e,A,
schöene,XN,
Daa,T,
v'rknelle,FRKNL,VRKNL
däet,TT,
wie,V,
e,A,
gebrooteni,KPRTN,
Bluetwurscht,PLTVRXT,
Die,T,
Hawwergais,HVRKS,
die,T,
Häriseel,HRSL,
die,T,
Linsespaltere,LNSXPLTR,
und,ANT,
Pfennifuchsere,PFNFKSR,PFNFXR
die,T,
—,,
—,,
die,T,
gifti,KFT,
Krott,KRT,
die,T,
miserawel,MSRVL,MSRYL
—,,
Pardon,PRTN,
—,,
Wenn,VN,
ich,A,AX
mich,M,MX
v'rzürne,FRTSRN,VRTSRN
wott,VT,
ze,TS,
däet,TT,
ich,A,AX
ere,AR,
noch,NR,
ebs,APS,
ganz,KNS,KNTS
anderschs,ANTRXS,
v'rzähle,FRTSL,VRTSL
Aw'r,AVR,
naan,NN,
ich,A,AX
will,VL,
mir,MR,
mini,MN,
Ruehj,RY,
reserviere,RSRFR,RSRVR
Nit,NT,
daß,TS,
ich,A,AX
mir,MR,
wäeje,VY,
Dere,TR,
's,S,
Läwe,LF,LV
süür,SR,
mach,MR,
—,,
's,S,
falt,FLT,
m'r,MR,
in,AN,
—,,
So,S,
ebs,APS,
daet,TT,
ere,AR,
jo,Y,
basse,PS,
—,,
Denn,TN,
uff,AF,
dies,TS,
geht,KT,
se,S,
üs,AS,
Daa,T,
fer,FR,F
Daa,T,
kann,KN,
ich,A,AX
ebs,APS,
d',T,
rfür,RFR,
daß,TS,
ich,A,AX
numme,NM,
valet,FLT,VLT
de,T,
chambre,KMPR,XMPR
bin,PN,
kann,KN,
sie,S,
ebs,APS,
d',T,
rfür,RFR,
daß,TS,
sie,S,
Madam,MTM,
isch,AX,
worre,VR,
—,,
Worum,VRM,
isch,AX,
's,S,
nit,NT,
umgekehrt,AMKKRT,
—,,
Worum,VRM,
ich,A,AX
sie,S,
nit,NT,
valet,FLT,VLT
de,T,
chambre,KMPR,XMPR
und,ANT,
ich,A,AX
d',T,
Madam,MTM,
Aha,AH,
—,,
Sie,S,
schellt,XLT,
wid'r,VTR,
emol,AML,
e,A,
Düür,TR,
unseri,ANSR,
Madam,MTM,
—,,
Die,T,
lebt,LPT,
jo,Y,
nit,NT,
ruehji,RY,
wenn,VN,
se,S,
merkt,MRKT,
daß,TS,
Unseraans,ANSRNS,
emol,AML,
e,A,
bissel,PSL,
schnüüfe,XNF,
köent,KNT,KT
Jo,Y,
riß,RS,
d'r,TR,
e,A,
Arm,ARM,
erüs,ARS,
alt,ALT,
's,S,
Rüppeyse,RPS,
Oh,A,
dies,TS,
schöene,XN,
Rösele,RSL,
Gescht,KXT,
noch,NR,
so,S,
nätt,NT,
geblüejt,KPLT,
und,ANT,
hyt,HT,
schun,XN,
welk,VLK,
—,,
—,,
O,A,
ja,Y,
so,S,
isch,AX,
's,S,
halt,HLT,
emol,AML,
uff,AF,
d'r,TR,
Welt,VLT,
—,,
So,S,
geht,KT,
's,S,
mit,MT,
