forme,key1,key2
voilà,FL,VL
loon,LN,
's,S,
Uch,AR,
gschmecke,KXMK,
Andrees,ANTRS,
Haltela,HLTL,
's,S,
Glaasel,KLSL,
isch,AX,
jo,Y,
noch,NR,
nit,NT,
göönz,KNS,KNTS
voll,FL,VL
—,,
—,,
's,S,
räicht,RXT,
Lissel,LSL,
's,S,
räicht,RXT,
—,,
Wäisch,VX,
so,S,
genäuej,KN,
nimmt,NMT,
's,S,
Uenseräiner,ANSRNR,ANSRN
doch,TR,
juscht,YXT,
nit,NT,
grood,KRT,
am,AM,
e,A,
Feschtdäuej,FXTT,
—,,
—,,
Sainte-Barbe,SNTPRP,STPRP
Lissel,LSL,
d',T,
erscht,ARXT,
Sainte-Barbe,SNTPRP,STPRP
wied'r,VTR,
nooch,NR,
lange,LNK,
bange,PNK,
Zytte,TST,
—,,
Daß,TS,
ich,A,AX
dieß,TS,
noch,NR,
erlawe,ARLV,ARLY
hab,HP,
derfe,TRF,
in,AN,
mine,MN,
alte,ALT,
Daaj,T,
daß,TS,
mir,MR,
ünseri,ANSR,
Casque,KSKV,
un,AN,
Kepi,KP,
wied'r,VTR,
hingeviri,HNKFR,HNKVR
höön,HN,
derfe,TRF,
hole,HL,
De,T,
Franzose,FRNTSS,
höön,HN,
m'r,MR,
's,S,
ze,TS,
v'rdanke,FRTNK,VRTNK
Vive,FF,VV
la,L,
France,FRNK,
—,,
Lissel,LSL,
ich,A,AX
könnt,KNT,
grood,KRT,
hyle,HL,
vor,FR,VR
lütter,LTR,LT
Fräid,FRT,
Ich,A,AX
kann,KN,
's,S,
guet,KT,
v'rstehn,FRXTN,VRXTN
Andrees,ANTRS,
Nee,N,
Mäide,MT,
dies,TS,
v'rstehsch,FRXTX,VRXTX
Dü,T,
juschtemand,YXTMNT,
lang,LNK,
nit,NT,
so,S,
wie,V,
Uenseräiner,ANSRNR,ANSRN
Do,T,
mueß,MS,
m'r,MR,
anno,AN,
71,,
d',T,
rbie,RP,
sin,SN,
gewahn,KFN,KVN
un,AN,
mueß,MS,
gsahne,KSN,
höön,HN,
wie,V,
d',T,
Franzose,FRNTSS,
ze,TS,
Strooßburri,XTRSPR,
nüsgezöije,NSKTSY,
sin,SN,
—,,
—,,
—,,
—,,
—,,
nom,NM,
de,T,
pipe,PP,
—,,
—,,
wenn,VN,
ich,A,AX
droon,TRN,
zeruck,TSRK,
denk',TNK,
wie,V,
d',T,
Flintekolwe,FLNTKLV,FLTKLV
uffem,AFM,
Gelander,KLNTR,KLNT
vun,FN,VN
d'r,TR,
Wyßdurmbruck,VSTRMPRK,
ze,TS,
Krütt,KRT,
un,AN,
Fatze,FTS,
gschläueje,KXLY,
un,AN,
d',T,
Sticker,XTKR,XTK
'noo,N,
ins,ANS,
Waaser,VSR,VS
ning,NNK,
gschmisse,KXMS,
sin,SN,
worre,VR,
wie,V,
m'r,MR,
Alli,AL,
lüt,LT,
uff,AF,
ghylt,KLT,
höön,HN,
vor,FR,VR
Harzeläid,HRTSLT,
Jammer,YMR,YM
un,AN,
Elang,ALNK,
ghylt,KLT,
wie,V,
d',T,
kläine,KLN,
King,KNK,
d',T,
Burjerslytt,PRYRSLT,
un,AN,
d',T,
Saldote,SLTT,
un,AN,
wie,V,
d',T,
rnoo,RN,
—,,
—,,
—,,
o,A,
pauvre,PFR,PVR
pauvre,PFR,PVR
Alsace,ALSK,
Kalmiere,KLMR,
-n-,N,
Uch,AR,
Andrees,ANTRS,
D',T,
Franzose,FRNTSS,
sin,SN,
jo,Y,
jetz,YTS,
wied'r,VTR,
do,T,
Gott,KT,
sej,S,
Dank,TNK,
Lissel,LSL,
Gott,KT,
sej,S,
Dank,TNK,
Guete,KT,
-n-,N,
Owe,AF,AV
Harr,HR,
Brandmäischter,PRNTMXTR,PRNTMXT
—,,
Guete,KT,
-n-,N,
Owe,AF,AV
Andrees,ANTRS,
—,,
Au,A,
schun,XN,
do,T,
—,,
Ja,Y,
Harr,HR,
Brandmäischter,PRNTMXTR,PRNTMXT
Raacht,RRT,
so,S,
Andrees,ANTRS,
raacht,RRT,
so,S,
—,,
Setze,STS,
-n-,N,
Uch,AR,
numme,NM,
—,,
Aha,AH,
un,AN,
öijeri,AYR,
nöj,N,
Dienschtkapp,TNXTKP,
höön'r,HNR,
äu,A,
schun,XN,
uff,AF,
—,,
M'r,MR,
sin,SN,
jo,Y,
jetz,YTS,
franzeesch,FRNTSX,
Harr,HR,
Brandmäischter,PRNTMXTR,PRNTMXT
—,,
Raacht,RRT,
so,S,
Andrees,ANTRS,
raacht,RRT,
so,S,
—,,
Uff,AF,
dane,TN,
Momant,MMNT,MMT
het'r,HTR,
schun,XN,
lang,LNK,
gewoort,KFRT,KVRT
Galte,KLT,
Andrees,ANTRS,
Jo,Y,
wajer,VYR,VY
Aw'r,AVR,
mit,MT,
ere,AR,
Engelsgeduld,ANKLSKTLT,
galte,KLT,
Andrees,ANTRS,
—,,
In,AN,
de,T,
letschte,LTXT,
Johre,YR,
nimmi,NM,
Harr,HR,
Brandmäischter,PRNTMXTR,PRNTMXT
denn,TN,
do,T,
hawi,HF,HV
d',T,
Stung,XTNK,
nimmi,NM,
v'rwoorte,FRVRT,VRVRT
könne,KN,
Harr,HR,
Brandmäischter,PRNTMXTR,PRNTMXT
—,,
—,,
—,,
—,,
—,,
Bliewe,PLF,PLV
doch,TR,
emol,AML,
sitze,STS,
Andrees,ANTRS,
m'r,MR,
sin,SN,
jo,Y,
jetz,YTS,
franzeesch,FRNTSX,
Zall,TSL,
mäin,MN,
ich,A,AX
doch,TR,
äu,A,
