forme,key1,key2
I,A,
saa,S,
der,TR,T
Eugène,AKN,AYN
geh,K,
nit,NT,
witersch,VTRX,
Dü,T,
sisch,SX,
jo,Y,
's,S,
isch,AX,
g'schlosseni,KXLSN,
G'sellschaft,KSLXFT,
Mer,MR,M
derf,TRF,
nit,NT,
nin,NN,
Un,AN,
wenn,VN,
ich,A,AX
bis,PS,
do,T,
her,HR,H
kumme,KM,
bin,PN,
so,S,
geh,K,
ich,A,AX
a,A,
ganz,KNS,KNTS
nin,NN,
—,,
deß,TS,
loß,LS,
ich,A,AX
m'r,MR,
nit,NT,
g'falle,KFL,
daß,TS,
m'r,MR,
d',T,
Orangerie,ARNKR,
absperrt,APXPRT,
Di,T,
isch,AX,
für,FR,
Jedermann,YTRMN,
do,T,
Un,AN,
wenn,VN,
ich,A,AX
do,T,
e,A,
Scheppel,XPL,
trinke,TRNK,
will,VL,
so,S,
kann,KN,
mers,MRS,
ken,KN,K
Mensch,MNX,
verwehre,FRVR,VRVR
Awer,AVR,AY
Eugène,AKN,AYN
j't'en,YTN,YT
prie,PR,
Dü,T,
sisch,SX,
jo,Y,
's,S,
isch,AX,
e,A,
Concert,KNKRT,
oder,ATR,AT
e,A,
Hochzitt,HRTST,
—,,
Gehn,KN,
mer,MR,M
liewer,LFR,LV
ins,ANS,
Bäckehiesel,PKHSL,
Nein,NN,
Sophie,SF,
—,,
Wenn,VN,
's,S,
e,A,
Concert,KNKRT,
isch,AX,
un,AN,
wenn,VN,
's,S,
eb,AP,
's,S,
koscht,KXT,
so,S,
bezahl',PTSL,
ich,A,AX
schun,XN,
Ich,A,AX
bin,PN,
nit,NT,
e',A,
so,S,
daß,TS,
ich,A,AX
uf,AF,
's,S,
Geld,KLT,
lüej,L,
Deß,TS,
weisch,VX,
dü,T,
schun,XN,
Sophie,SF,
Je,Y,
ne,N,
suis,SS,
pas,PS,
commeça,KM,
que,KV,
je,Y,
regarde,RKRT,RYRT
à,A,
l'argent,LRKNT,LRKT
Zell,TSL,
weiß,VS,
ich,A,AX
schun,XN,
Ça,,
je,Y,
le,L,
sais,SS,
bien,PN,P
—,,
awer,AVR,AY
du,T,
machsch',MRX,MXX
d'r,TR,
noch,NR,
e,A,
mauvaise,MFS,MVS
affaire,AFR,
—,,
Kumm,KM,
d',T,
Lytt,LT,
lüejen,LYN,LY
alli,AL,
so,S,
Un,AN,
do,T,
kummt,KMT,
schun,XN,
e,A,
Herr,HR,
uf,AF,
uns,ANS,
zü,TS,
O,A,
i,A,
müß,MS,
mich,M,MX
schemme,XM,
Entschuldigen,ANTXLTKN,ATXLTK
Sie,S,
mein,MN,
Herr,HR,
ich,A,AX
muß,MS,
Sie,S,
darauf,TRF,
aufmerksam,AFMRKSM,
machen,MRN,MR
daß,TS,
es,AS,
hier,HR,H
geschlossene,KXLSN,
Gesellschaft,KSLXFT,
ist,AXT,
und,ANT,
der,TR,T
Saal,SL,
abgesperrt,APKXPRT,
ist,AXT,
Oder,ATR,AT
haben,HPN,HV
Sie,S,
etwa,ATV,
eine,AN,
Einladungskarte,ANLTNKSKRT,
erhalten,ARHLTN,ARHLT
Haw',HV,
ich,A,AX
's,S,
d'r,TR,
nit,NT,
gsaat,KST,
Allez,ALS,ALTS
kumm,KM,
—,,
J't'en,YTN,YT
prie,PR,
Eugène,AKN,AYN
Nein,NN,
mein,MN,
Herr,HR,
ich,A,AX
habe,HP,HV
keine,KN,
Einladungskarte,ANLTNKSKRT,
—,,
aber,APR,AV
ich,A,AX
muß,MS,
doch,TR,
sagen,SKN,SK
—,,
die,T,
Orangerie,ARNKR,
ist,AXT,
für,FR,
Jedermann,YTRMN,
da,T,
und,ANT,
ich,A,AX
seh,S,
nicht,NXT,
ein,AN,
warum,VRM,
man,MN,
sie,S,
absperren,APXPRN,APXPR
sollte,SLT,
an,AN,
einem,ANM,
so,S,
schönen,XNN,XN
Abend,APNT,AVNT
wie,V,
heute,HT,
ganz,KNS,KNTS
besonders,PSNTRS,
Entschuldigen,ANTXLTKN,ATXLTK
Sie,S,
vielmals,FLMLS,VLMLS
—,,
aber,APR,AV
die,T,
Stadt,XTT,
ist,AXT,
so,S,
freundlich,FRNTL,FRNTLX
gewesen,KFSN,KVS
uns,ANS,
das,TS,
Lokal,LKL,
zu,TS,
überlassen,APRLSN,AVRLS
um,AM,
unser,ANSR,ANS
Fest,FXT,
darin,TRN,
abzuhalten,APTSHLTN,APTSHLT
So,S,
gern,KRN,
ich,A,AX
Ihnen,ANN,AN
das,TS,
Vergnügen,FRKNKN,VRKNK
machen,MRN,MR
würde,VRT,
Awer,AVR,AY
