forme,key1,key2
S',S,
isch,AX,
m'r,MR,
ganz,KNS,KNTS
e,A,
Kriz,KRS,KRTS
alle,AL,
-n-,N,
Äujeblick,AYPLK,
muess,MS,
d'r,TR,
Herr,HR,
Dr.,TR,
Freundlich,FRNTL,FRNTLX
kumme,KM,
-n-,N,
üs,AS,
d'r,TR,
Stadt,XTT,
um,AM,
bim,PM,
Vater,FTR,VT
um,AM,
mini,MN,
Hand,HNT,
anzehalte,ANTSHLT,
in,AN,
d'r,TR,
guete,KT,
Meinung,MNNK,
d'r,TR,
Vater,FTR,VT
weiss,VS,
alles,ALS,
Diss,TS,
wurd,VRT,
m'r,MR,
e,A,
süfere,SFR,
G'schicht,KXXT,
gän,KN,
…,,
d'r,TR,
Vater,FTR,VT
wie,V,
pardü,PRT,
nix,NKS,
vum,FM,VM
e,A,
Stadtherr,XTTHR,
wisse,VS,
will,VL,
Wenn,VN,
d'r,TR,
Vater,FTR,VT
numme,NM,
nit,NT,
so,S,
böes,PS,
gelünt,KLNT,KLT
wär,VR,
…,,
Jo,Y,
zitter,TSTR,TST
e,A,
Paar,PR,
Daj,T,
isch,AX,
gar,KR,
nimm,NM,
mit,MT,
'm,M,
üszekumme,ASTSKM,
Die,T,
Malchance,MLXNK,
Z'erscht,SRXT,
krejt'r,KRTR,
sini,SN,
Rhümatisse,RMTS,
no,N,
wurd,VRT,
d'r,TR,
Adjunt,ATYNT,ATYT
Meischter,MXTR,MXT
im,AM,
Gemänerath,KMNRTH,
…,,
Jo,Y,
un,AN,
was,VS,
ne,N,
ganz,KNS,KNTS
üsser,ASR,AS
Rand,RNT,
und,ANT,
Band,PNT,
gebrocht,KPRRT,
hett,HT,
diss,TS,
isch,AX,
dass,TS,
d'r,TR,
Schulzebür,XLTSPR,XLTSVR
vun,FN,VN
Ziwelse,TSFLS,TSVLS
de,T,
Kronen,KRNN,KRN
Ordre,ARTR,
IV.,AF,AV
Class,KLS,
krejt,KRT,
hett,HT,
un,AN,
er,AR,A
hett,HT,
ne,N,
noch,NR,
nit,NT,
Jesses,YSS,
Maria,MR,
Grethl,KRTHL,
hörsch,HRX,
S',S,
isch,AX,
d'r,TR,
Vater,FTR,VT
wie,V,
wid'r,VTR,
Händel,HNTL,
hett,HT,
mit,MT,
d'r,TR,
Fränz,FRNS,FRNTS
—,,
Mach,MR,
g'schwind,KXVNT,
denne,TN,
Roman,RMN,
weck,VK,
schunscht,XNXT,
schilt,XLT,
'r,R,
wid'r,VTR,
Ja,Y,
un,AN,
dass,TS,
'r,R,
's,S,
wisse,VS,
ich,A,AX
hab,HP,
's,S,
satt,ST,
mit-i,MT,
satt,ST,
hawi,HF,HV
's,S,
mit-i,MT,
uff,AF,
Wihnachte,VNRT,
kind,KNT,
ich,A,AX
ejch,AX,
uff,AF,
Ich,A,AX
hab,HP,
mi,M,
jetzt,YTST,
schun,XN,
ball,PL,
vierzig,FRTSK,VRTS
Johr,YR,
vun-i,FN,VN
kummedeere,KMTR,
lon,LN,
awer,AVR,AY
jetzt,YTST,
isch,AX,
m'r,MR,
d'r,TR,
Geduldfade,KTLTFT,
verrisse,FRS,VRS
—,,
Ei,A,
mini,MN,
Rhümatisse,RMTS,
—,,
Ja,Y,
was,VS,
isch,AX,
denn,TN,
schun,XN,
wid'r,VTR,
passeert,PSRT,
Vater,FTR,VT
Was,VS,
paaseert,PSRT,
isch,AX,
Was,VS,
—,,
Zuem,TSM,
Hüs,HS,
nüs,NS,
muess,MS,
se,S,
s',S,
isch,AX,
nix,NKS,
meh,M,
mit,MT,
ere,AR,
anzefange,ANTSFNK,
Sie,S,
isch,AX,
allewyl,ALFL,ALVL
ihr,AR,
Kopfs,KPFS,
—,,
Ich,A,AX
hab,HP,
welle,VL,
han,HN,
dass,TS,
se,S,
wie,V,
gewöhnli,KFNL,KVNL
am,AM,
Massti,MST,
Suppepastetle,SPPXTTL,
macht,MRT,
un,AN,
Marikknöpfle,MRKNPFL,
in,AN,
d',T,
Supp,SP,
—,,
Jetzt,YTST,
was,VS,
mäne,MN,
-n-,N,
ihr,AR,
Nix,NKS,
vun,FN,VN
dem,TM,
het,HT,
se,S,
gemacht,KMRT,
Isch,AX,
diss,TS,
äu,A,
e,A,
-n-,N,
Asse,AS,
for,FR,
e,A,
Massti,MST,
—,,
E,A,
Masstiasse,MSTS,
ohne,AN,
Suppepastetle,SPPXTTL,
un,AN,
Marikknöpfle,MRKNPFL,
in,AN,
d'r,TR,
Supp,SP,
was,VS,
wäre,VR,
do,T,
unseri,ANSR,
Visite,FST,VST
säuje,SY,
Die,T,
wäre,VR,
mäne,MN,
sie,S,
sin,SN,
anstatt,ANXTT,
bim,PM,
Herr,HR,
Maire,MR,
bie,P,
Lumpevolik,LMPFLK,LMPVLK
bie,P,
Korbmacher,KRPMRR,KRPMR
bie,P,
Kesselflicker,KSLFLKR,KSLFLK
ingelade,ANKLT,
E,A,
Massti,MST,
ohne,AN,
Suppepastetle,SPPXTTL,
un,AN,
Marikknöpfle,MRKNPFL,
ob,AP,
diss,TS,
gepermetteert,KPRMTRT,
isch,AX,
—,,
Ebb,AP,
diss,TS,
schun,XN,
än,AN,
Mensch,MNX,
erlebt,ARLPT,
hett,HT,
Alle,AL,
Vater,FTR,VT
verzirne,FRTSRN,VRTSRN
-n-,N,
ejch,AX,
nit,NT,
eso,AS,
ihr,AR,
wisse,VS,
jo,Y,
's,S,
macht,MRT,
ejch,AX,
nit,NT,
guet,KT,
D',T,
Fränz,FRNS,FRNTS
isch,AX,
e,A,
-n-,N,
alti,ALT,
wunderlichi,VNTRLX,
Fräuj,FR,
Sie,S,
isch,AX,
jetzt,YTST,
schun,XN,
noht,NT,
an,AN,
veerzig,FRTSK,VRTS
Johr,YR,
im,AM,
Hüs,HS,
do,T,
muess,MS,
m'r,MR,
e,A,
bissel,PSL,
Nochsahns,NKSNS,NXNS
han,HN,
Kenn,KN,
Mensch,MNX,
isch,AX,
perfekt,PRFKT,
Alti,ALT,
Fräuj,FR,
hin,HN,
od'r,ATR,
here,HR,
—,,
Wenn,VN,
diss,TS,
alles,ALS,
wär,VR,
mit,MT,
de,T,
Pastetle,PXTTL,
und,ANT,
Marikknöpfle,MRKNPFL,
wott,VT,
i,A,
nit,NT,
emol,AML,
nix,NKS,
säuje,SY,
sie,S,
hett,HT,
awer,AVR,AY
äu,A,
numme,NM,
20,,
Kuejellupfe,KYLPF,
gebache,KPR,KVR
anstatt,ANXTT,
veerzig,FRTSK,VRTS
un,AN,
numme,NM,
än,AN,
Pfund,PFNT,
Brotwurscht,PRTVRXT,
iwwer,AVR,AV
gemacht,KMRT,
uff,AF,
d',T,
Person,PRSN,
Diss,TS,
wurd,VRT,
doch,TR,
reiche,RX,
än,AN,
Pfund,PFNT,
uff,AF,
d',T,
Person,PRSN,
Natierli,NTRL,
for,FR,
so,S,
e,A,
Siedebibb'l,STPPL,STVPL
wie,V,
in,AN,
d'r,TR,
Pension,PNSN,
isch,AX,
gewahn,KFN,KVN
wie,V,
dü,T,
un,AN,
wie,V,
d',T,
fin,FN,
Mamsell,MMSL,
speele,XPL,
will,VL,
ze,TS,
kann,KN,
's,S,
reiche,RX,
awer,AVR,AY
for,FR,
ünsereins,ANSRNS,
reichts,RXTS,
nit,NT,
Und,ANT,
do,T,
d',T,
rmit,RMT,
baschta,PXT,
—,,
D',T,
Fränz,FRNS,FRNTS
muess,MS,
zuem,TSM,
Hüs,HS,
nüs,NS,
sie,S,
hett,HT,
m'r,MR,
de,T,
ganze,KNTS,
Masti,MXT,
verdorwe,FRTRV,VRTRV
Kenn,KN,
Suppepastetle,SPPXTTL,
kenn,KN,
Marikknöpfle,MRKNPFL,
ze,TS,
weni,VN,
Kuejllupfe,KLPF,
un,AN,
Brotwuerscht,PRTVRXT,
do,T,
müesst,MST,
äner,ANR,AN
schun,XN,
e,A,
geduldigs,KTLTKS,
Kalb,KLP,
Moses,MSS,
sin,SN,
wenn'r,VNR,
sich,S,SX
do,T,
nit,NT,
verzirne,FRTSRN,VRTSRN
thät,TT,
un,AN,
do,T,
d',T,
rbie,RP,
ze,TS,
will,VL,
se,S,
-n-,N,
äu,A,
noch,NR,
allewyl,ALFL,ALVL
kummedeere,KMTR,
Was,VS,
in,AN,
d'r,TR,
Gemän,KMN,
vorgeht,FRKT,VRKT
steckt,XTKT,
sie,S,
d',T,
Nas,NS,
ning,NNK,
un,AN,
saöt,ST,
e,A,
so,S,
oder,ATR,AT
so,S,
muehn'r,MNR,
's,S,
mache,MR,
Wenn,VN,
ihr,AR,
se,S,
nit,NT,
iwwer,AVR,AV
ihri,AR,
Mänung,MNNK,
fröuje,FRY,
täte,TT,
…,,
Fröüje,FRY,
täte,TT,
—,,
Fröüje,FRY,
täte,TT,
—,,
Än,AN,
for,FR,
allemol,ALML,
ich,A,AX
will,VL,
nemmi,NM,
kummedeert,KMTRT,
sin,SN,
Bin,PN,
ich,A,AX
d'r,TR,
Herr,HR,
Maire,MR,
od'r,ATR,
isch,AX,
sie,S,
d'r,TR,
Herr,HR,
Maire,MR,
—,,
Ich,A,AX
habs,HPS,
satt,ST,
sie,S,
muess,MS,
zuem,TSM,
Hüs,HS,
nüs,NS,
Wie,V,
viel,FL,VL
Mol,ML,
han'r,HNR,
jetzt,YTST,
diss,TS,
schun,XN,
g'säit,KST,
Zett'r,TSTR,
dass,TS,
mir,MR,
's,S,
gedenkt,KTNKT,
ze,TS,
han'r,HNR,
ere,AR,
alle,AL,
acht,ART,
Daj,T,
wenigstens,VNKXTNS,
zwanzig,TSVNTSK,TSVNTS
Mol,ML,
uffgekind,AFKKNT,
Jetzt,YTST,
wurd,VRT,
's,S,
m'r,MR,
nit,NT,
besser,PSR,PS
Wenn,VN,
m'r,MR,
nit,NT,
emol,AML,
vun,FN,VN
sine,SN,
ejene,AYN,
King,KNK,
meh,M,
recht,RXT,
bekummt,PKMT,
Statt,XTT,
mir,MR,
recht,RXT,
ze,TS,
gän,KN,
ze,TS,
gän,KN,
se,S,
d'r,TR,
Fränz,FRNS,FRNTS
recht,RXT,
Wenn,VN,
's,S,
e,A,
so,S,
furt,FRT,
geht,KT,
ze,TS,
gän,KN,
'r,R,
am,AM,
End,ANT,
vum,FM,VM
Leed,LT,
noch,NR,
im,AM,
Adjund,ATYNT,
recht,RXT,
wenn,VN,
'r,R,
mir,MR,
e,A,
Stecke,XTK,
in,AN,
's,S,
Rad,RT,
steckt,XTKT,
un,AN,
gäbte,KPT,
im,AM,
Gouverlement,KFRLMNT,KVRLMT
recht,RXT,
wenn,VN,
d'r,TR,
Adjund,ATYNT,
e,A,
-n-,N,
Ordre,ARTR,
bekämt,PKMT,
anstatt,ANXTT,
ich,A,AX
—,,
Fahnebibbl,FNPPL,FNVPL
nochemol,NRML,
S',S,
isch,AX,
Zytt,TST,
dass,TS,
de,T,
hieroth'sch,HRTHX,
un,AN,
zuem,TSM,
Hüs,HS,
nüs,NS,
kummsch,KMX,
Grethl,KRTHL,
denn,TN,
apparti,APRT,
dü,T,
muesch,MX,
m'r,MR,
allewyl,ALFL,ALVL
s',S,
Mül,ML,
anhenke,ANNK,
Grosser,KRSR,KRS
Gott,KT,
kenn,KN,
Chance,KNK,XNK
s',S,
isch,AX,
widd'r,VTR,
d'r,TR,
Moment,MMNT,MMT
nit,NT,
for,FR,
ze,TS,
säuje,SY,
dass,TS,
e,A,
Herr,HR,
üs,AS,
d'r,TR,
Stadt,XTT,
kumme,KM,
sell,SL,
for,FR,
mich,M,MX
Wenn,VN,
hytt,HT,
d'r,TR,
Seppl,SPL,
vun,FN,VN
Dingelse,TNKLS,
kummt,KMT,
un,AN,
er,AR,A
dich,T,TX
will,VL,
un,AN,
dü,T,
im,AM,
g'fälsch,KFLX,
ze,TS,
muess,MS,
'r,R,
dich,T,TX
hierothe,HRTH,
so,S,
ball,PL,
dass,TS,
möjli,ML,
dass,TS,
de,T,
zuem,TSM,
Tempel,TMPL,
nüs,NS,
kummsch,KMX,
Wenn,VN,
ich,A,AX
'm,M,
g'fäll,KFL,
—,,
Z'erscht,SRXT,
muess,MS,
'r,R,
awer,AVR,AY
äu,A,
mir,MR,
g'fälle,KFL,
Vater,FTR,VT
dass,TS,
'r,R,
's,S,
wisse,VS,
Was,VS,
dir,TR,
muess,MS,
'r,R,
äu,A,
noch,NR,
g'fälle,KFL,
—,,
Schunsch,XNX,
nix,NKS,
s',S,
wurd,VRT,
als,ALS,
besser,PSR,PS
Ah,A,
er,AR,A
muess,MS,
dir,TR,
g'fälle,KFL,
Was,VS,
diss,TS,
for,FR,
Idee,AT,
sin,SN,
uff,AF,
änmol,ANML,AML
—,,
So,S,
het,HT,
m'r,MR,
jo,Y,
noch,NR,
gar,KR,
nix,NKS,
erlebt,ARLPT,
Allewäj,ALF,ALV
z'erscht,SRXT,
muess,MS,
i,A,
ne,N,
doch,TR,
sahn,SN,
M'r,MR,
kann,KN,
doch,TR,
nit,NT,
mir,MR,
nix,NKS,
dir,TR,
nix,NKS,
säuje,SY,
dass,TS,
m'r,MR,
e,A,
Mensche,MNX,
hieroth,HRTH,
wie,V,
m'r,MR,
von,FN,VN
Hütt,HT,
un,AN,
Hoor,HR,
nit,NT,
kennt,KNT,
un,AN,
wie,V,
m'r,MR,
noch,NR,
nie,N,
g'sahn,KSN,
hett,HT,
Hör,HR,
jetzt,YTST,
än,AN,
Mensch,MNX,
die,T,
