forme,key1,key2
Sagittalumfang,SKTLMFNK,SYTLMFNK
fünfunddreissig,FNFNTRSK,FFNTRS
Centimeter,KNTMTR,KTMT
Stimmt,XTMT,
ganz,KNS,KNTS
genau,KN,
mit,MT,
d’r,TR,
Uffzeichnung,AFTSXNNK,
wie,V,
m’r,MR,
’s,S,
letscht,LTXT,
schun,XN,
gemacht,KMRT,
han,HN,
Sagittalumfang,SKTLMFNK,SYTLMFNK
fünfunddreissig,FNFNTRSK,FFNTRS
Centimeter,KNTMTR,KTMT
Jetzt,YTST,
welle,VL,
m’r,MR,
doch,TR,
noch,NR,
emol,AML,
d’,T,
Breite,PRT,
nochmesse,NRMS,
m’r,MR,
kann,KN,
nit,NT,
exakt,AKSKT,
genue,KN,
sin,SN,
wäje,VY,
de,T,
Berechnunge,PRXNNK,
Breite,PRT,
vierzehn,FRTSN,VRTSN
Komma,KM,
sieben,SPN,SV
Breite,PRT,
vierzehn,FRTSN,VRTSN
Komma,KM,
sieben,SPN,SV
M’r,MR,
kann,KN,
saaue,S,
was,VS,
m’r,MR,
will,VL,
die,T,
anthropologisch,ANTHRPLKX,ATHRPLYX
Wisseschaft,VSXFT,
isch,AX,
eini,AN,
vun,FN,VN
de,T,
-n-,N,
interessantschte,ANTRSNTXT,ATRSTXT
wie,V,
’s,S,
giebt,KPT,
C’est,KXT,
vrai,FR,VR
ohne,AN,
die,T,
Untersuechunge,ANTRSRNK,ATRSRNK
vun,FN,VN
de,T,
Köpf,KPF,
vun,FN,VN
unserer,ANSRR,ANSR
Fameli,FML,
ze,TS,
wüsste,VST,
mir,MR,
’s,S,
hytt,HT,
noch,NR,
nit,NT,
wie,V,
d’,T,
Fameli,FML,
Grinsinger,KRNSNKR,KRNSNK
herestammt,HRXTMT,
E,A,
grossi,KRS,
Fraid,FRT,
wurd,VRT,
d’r,TR,
papa,PP,
küm,KM,
han,HN,
wenn’r,VNR,
vun,FN,VN
sinere,SNR,
Reis,RS,
nooch,NR,
Paris,PRS,
zeruckkummt,TSRKKMT,
unn,AN,
mir,MR,
ihm,AM,
saaue,S,
wäre,VR,
dass,TS,
d’r,TR,
Professor,PRFSR,
Kneppchen,KNPXN,KNPX
erüsgedüeftelt,ARSKTFTLT,
hett,HT,
dass,TS,
im,AM,
papa,PP,
sini,SN,
Eltre,ALTR,
üs,AS,
Sachse,SKS,SX
sin,SN,
gsin,KSN,
Fraid,FRT,
hin,HN,
oder,ATR,AT
Fraid,FRT,
here,HR,
In,AN,
d’r,TR,
Wisseschaft,VSXFT,
kann,KN,
m’r,MR,
uff,AF,
so,S,
Kleinigkeite,KLNKKT,
kenn,KN,
Rucksicht,RKSXT,
nemme,NM,
—,,
So,S,
unn,AN,
jetzt,YTST,
welle,VL,
m’r,MR,
noch,NR,
emol,AML,
genau,KN,
d’,T,
Länge,LNK,
revidiere,RFTR,RVTR
Länge,LNK,
sechzehn,SXTSN,
Komma,KM,
zwei,TSV,
Länge,LNK,
sechzehn,SXTSN,
Komma,KM,
zwei,TSV,
So,S,
nun,NN,
jetzt,YTST,
noch,NR,
d',T,
Jochbreite,YRPRT,
Nom,NM,
d',T,
un,AN,
petit,PTT,
