forme,key1,key2
Bon,PN,
diß,TS,
isch,AX,
wid’r,VTR,
e,A,
Leitskrambol,LTSKRMPL,
was,VS,
mueß,MS,
jetz,YTS,
do,T,
schun,XN,
wid’r,VTR,
los,LS,
sin,SN,
Natierli,NTRL,
—,,
ich,A,AX
hab,HP,
m’r,MR,
’s,S,
doch,TR,
glich,KL,KLX
gedenkt,KTNKT,
—,,
S’,S,
isch,AX,
mini,MN,
Fräu,FR,
wie,V,
mit,MT,
ihrer,ARR,AR
Schweschter,XVXTR,XVXT
mit,MT,
'm,M,
Tant’l,TNTL,TTL
Händel,HNTL,
hett,HT,
—,,
Wenn,VN,
äner,ANR,AN
än,AN,
Fräu,FR,
hett,HT,
ze,TS,
reichts,RXTS,
als,ALS,
for,FR,
gewöhnli,KFNL,KVNL
grad,KRT,
wenn,VN,
äner,ANR,AN
awer,AVR,AY
zwei,TSV,
um,AM,
sich,S,SX
erum,ARM,
mueß,MS,
han,HN,
wie,V,
ich,A,AX
brücht,PRRT,
er,AR,A
nit,NT,
ze,TS,
säuje,SY,
„,,
Gott,KT,
strof,XTRF,
mi,M,
“,,
er,AR,A
isch,AX,
g’stroft,KSTRFT,
genue,KN,
—,,
Jetzt,YTST,
’s,S,
Tantel,TNTL,TTL
diß,TS,
erwe,ARV,
m’r,MR,
emol,AML,
oder,ATR,AT
au,A,
moins,MNS,
unsri,ANSR,
King,KNK,
un,AN,
do,T,
kann,KN,
m’r,MR,
sich,S,SX
halt,HLT,
so,S,
e,A,
manches,MNXS,
g’falle,KFL,
Ion,AN,
—,,
’s,S,
hett,HT,
iwrigens,AVRKNS,AVRYNS
Hitz,HTS,
koscht,KXT,
bis,PS,
m’r,MR,
so,S,
witt,VT,
gewahn,KFN,KVN
sin,SN,
ich,A,AX
hab,HP,
alli,AL,
Ränk,RNK,
und,ANT,
Schlich,XL,XLX
an,AN,
muehn,MN,
wende,VNT,
um,AM,
se,S,
vum,FM,VM
Hierothe,HRTH,
ab,AP,
wendisch,VNTX,
ze,TS,
mache,MR,
Meh,M,
wi,V,
zeh,TS,
Mol,ML,
hawi,HF,HV
se,S,
reujes,RYS,
gemacht,KMRT,
un,AN,
wie,V,
es,AS,
isch,AX,
als,ALS,
nit,NT,
so,S,
licht,LXT,
gewahn,KFN,KVN
—,,
Jetz,YTS,
isch,AX,
d’,T,
Partie,PRT,
Gott,KT,
sej,S,
Dank,TNK,
gewunne,KFN,KVN
sie,S,
isch,AX,
iwwer,AVR,AV
'm,M,
Alter,ALTR,ALT
drüsse,TRS,
sie,S,
isch,AX,
e,A,
-n-,N,
alti,ALT,
Schachtel,XRTL,
un,AN,
vom,FM,VM
Hierothe,HRTH,
kann,KN,
kenn,KN,
Redd,RT,
meh,M,
sin,SN,
Siehsch,SX,
ich,A,AX
hab,HP,
noch,NR,
allewyl,ALFL,ALVL
gsäit,KST,
sie,S,
macht,MRT,
noch,NR,
emol,AML,
e,A,
Dummheit,TMHT,
s’,S,
isch,AX,
wäjer,VYR,VY
d’,T,
rwert,RVRT,
daß,TS,
m’r,MR,
sich,S,SX
so,S,
veel,FL,VL
hett,HT,
g’falle,KFL,
Ion,AN,
um,AM,
se,S,
Ja,Y,
was,VS,
Deifels,TFLS,
isch,AX,
denn,TN,
do,T,
schun,XN,
wid’r,VTR,
los,LS,
Was,VS,
los,LS,
isch,AX,
—,,
Diß,TS,
Mensch,MNX,
isch,AX,
verruckt,FRKT,VRKT
säuj,S,
i,A,
d'r,TR,
verruckt,FRKT,VRKT
—,,
Hierothe,HRTH,
wills,VLS,
Hierothe,HRTH,
’s,S,
Tantel,TNTL,TTL
hierothe,HRTH,
—,,
’s,S,
Babette,PPT,PVT
hierothe,HRTH,
Ja,Y,
hierothe,HRTH,
Ich,A,AX
gläub,KLP,
dü,T,
bisch,PX,
maschokke,MXK,
do,T,
möcht,MRT,
i,A,
awer,AVR,AY
äu,A,
d',T,
rbie,RP,
sin,SN,
Ja,Y,
ewe,AF,AV
grad,KRT,
im,AM,
Läuf,LF,
vun-ere,FNR,VNR
Dischküssion,TXKSN,
hett,HT,
se,S,
m’r,MR,
's,S,
uff,AF,
de,T,
Flade,FLT,
g’striche,KSTRX,
un,AN,
wie,V,
morje,MRY,
hett,HT,
se,S,
schun,XN,
Verschriewung,FRXRFNK,VRXRVNK
Alles,ALS,
hett,HT,
se,S,
diß,TS,
Dür,TR,
hinger,HNKR,HNK
ünserm,ANSRM,
Rücke,RK,
gemacht,KMRT,
alles,ALS,
Diß,TS,
mol,ML,
hett,HT,
se,S,
gsäit,KST,
macht,MRT,
se,S,
neemes,NMS,
meh,M,
röujies,RYS,
Numme,NM,
ruehig,RHK,RH
Bluet,PLT,
—,,
’s,S,
Tantel,TNTL,TTL
hierothe,HRTH,
l,L,
Nee,N,
—,,
—,,
loß,LS,
mich,M,MX
numme,NM,
mache,MR,
’s,S,
wurd,VRT,
kenn,KN,
Bruehj,PRY,
so,S,
heiß,HS,
gesse,KS,
wie,V,
se,S,
kocht,KRT,
wurd,VRT,
—,,
Do,T,
isch,AX,
neemes,NMS,
shuldi,XLT,SHLT
dran,TRN,
wie,V,
d’,T,
Ammej,AM,
die,T,
alt,ALT,
Stündlere,XTNTLR,
wie,V,
zue,TS,
minere,MNR,
Schweschter,XVXTR,XVXT
allewyl,ALFL,ALVL
säit,ST,
daß,TS,
se,S,
-n-,N,
in,AN,
kem,KM,
chrischtliche,KRXTLX,XRXTLX
Hüs,HS,
Iebt,APT,
Do,T,
hesch,HX,
’s,S,
jetzt,YTST,
—,,
Marx,MRKS,
So,S,
g'schwind,KXVNT,
scheese,XS,
d’,T,
Preiße,PRS,
nit,NT,
Ja,Y,
un,AN,
weisch,VX,
äu,A,
wer,VR,V
’s,S,
isch,AX,
Ja,Y,
—,,
denne,TN,
möcht,MRT,
i,A,
kenne,KN,
wie,V,
so,S,
e,A,
G’schmack,KXMK,
hett,HT,
’s,S,
Lutze,LTS,
Schlosser,XLSR,XLS
d'r,TR,
Stündler,XTNTLR,XTNTL
Marx,MRKS,
Was,VS,
der,TR,T
alt,ALT,
Bluttkopf,PLTKPF,
denkt,TNKT,
noch,NR,
an,AN,
’s,S,
Hierothe,HRTH,
—,,
Na,N,
die,T,
täte,TT,
jetzt,YTST,
zamme,TSM,
passe,PS,
wie,V,
e,A,
Füscht,FXT,
uffe-n,AFN,
Au,A,
Diß,TS,
gäb,KP,
e,A,
Päärl,PRL,
Denne,TN,
Charivari,KRFR,XRVR
möcht,MRT,
ich,A,AX
sehn,SN,
Brüchsch,PRXX,
äu,A,
noch,NR,
ze,TS,
lache,LR,
’s,S,
isch,AX,
ari,AR,
genue,KN,
Dü,T,
wäisch,VX,
daß,TS,
wenn,VN,
emol,AML,
e,A,
-n-,N,
alti,ALT,
Schier,XR,X
Fier,FR,F
fangt,FNKT,
se,S,
nimmi,NM,
ze,TS,
lösche,LX,
n-,N,
isch,AX,
Loß,LS,
mi,M,
numme,NM,
mache,MR,
do,T,
wurd,VRT,
nix,NKS,
drüs,TRS,
—,,
Tiens,TNS,
do,T,
kommt,KMT,
grad,KRT,
’s,S,
Tantel,TNTL,TTL
jetzt,YTST,
nit,NT,
gemückst,KMKST,
Ioß,AS,
mi,M,
mache,MR,
un,AN,
speel,XPL,
dini,TN,
Roll,RL,
guet,KT,
ich,A,AX
mach,MR,
jetzt,YTST,
wie,V,
wenn,VN,
i,A,
mit,MT,
d'r,TR,
Händel,HNTL,
hätt,HT,
—,,
Ich,A,AX
hab,HP,
d’r,TR,
’s,S,
schun,XN,
hundert,HNTRT,
Mol,ML,
g'säit,KST,
diß,TS,
Läwe,LF,LV
hawi,HF,HV
satt,ST,
mit,MT,
ejerm,AYRM,
ewige,AFK,AVY
rum,RM,
un,AN,
num,NM,
Händle,HNTL,
ich,A,AX
will,VL,
min,MN,
Läwe,LF,LV
in,AN,
Fredde,FRT,
b’schließe,PXLS,
un,AN,
nit,NT,
alle,AL,
Daö,T,
de,T,
Derikekrej,TRKKR,
im,AM,
Hüs,HS,
han,HN,
—,,
Dü,T,
muesch,MX,
äu,A,
allewyl,ALFL,ALVL
dini,TN,
Schweschter,XVXTR,XVXT
chikaneere,KKNR,XKNR
Nit,NT,
emol,AML,
von,FN,VN
sim,SM,
Mann,MN,
wurd,VRT,
m’r,MR,
meh,M,
souteneert,STNRT,
dü,T,
hesch,HX,
noch,NR,
allewyl,ALFL,ALVL
minere,MNR,
Schweschter,XVXTR,XVXT
recht,RXT,
gen,KN,K
Marx,MRKS,
G’schwej,KXV,
diß,TS,
Ding,TNK,
kann,KN,
un,AN,
derf,TRF,
nimm,NM,
so,S,
furt,FRT,
gehn,KN,
Früehjer,FRYR,FRY
wie,V,
i,A,
jünger,YNKR,YNK
gewahn,KFN,KVN
bin,PN,
hett,HT,
’s,S,
m’r,MR,
wenjer,VNYR,VNY
gemacht,KMRT,
wenn,VN,
er,AR,A
de,T,
ganze,KNTS,
Daö,T,
mitander,MTNTR,MTNT
erumdeschpeteert,ARMTXPTRT,
han,HN,
awer,AVR,AY
jetzt,YTST,
wie,V,
i,A,
älter,ALTR,ALT
wurr,VR,
möcht,MRT,
i,A,
mini,MN,
Ruehj,RY,
han,HN,
un,AN,
do,T,
gitts,KTS,
numme,NM,
-n-,N,
än,AN,
Mittel,MTL,
Babette,PPT,PVT
ihr,AR,
muehn,MN,
hierothe,HRTH,
un,AN,
for,FR,
’s,S,
i,A,
frank,FRNK,
erüs,ARS,
ze,TS,
säuje,SY,
ich,A,AX
hab,HP,
e,A,
famosi,FMS,
Partie,PRT,
in,AN,
Üssicht,ASXT,
e,A,
junger,YNKR,YNK
Wittmann,VTMN,
ohne,AN,
King,KNK,
Ere,AR,
hett,HT,
ejch,AX,
g’sahn,KSN,
un,AN,
ihr,AR,
täte,TT,
sini,SN,
Affär,AFR,
mache,MR,
Babette,PPT,PVT
Am,AM,
so,S,
besser,PSR,PS
wenn’r,VNR,
