forme,key1,key2
In,AN,
ere,AR,
halwe,HLV,
Stund,XTNT,
könne,KN,
-n-,N,
’r,R,
Ejeri,AYR,
Arzneje,ARSNY,
hole,HL,
Vater,FTR,VT
Chrischtel,KRXTL,XRXTL
Jo,Y,
Herr,HR,
Ropfer,RPFR,RPF
„,,
merci,MRK,
“,,
Herr,HR,
Ropfer,RPFR,RPF
Monsieur,MNSR,
Jules,YLS,
mache,MR,
Sie,S,
die,T,
zwei,TSV,
Rezepter,RTSPTR,RTSPT
glich,KL,KLX
Es,AS,
isch,AX,
e,A,
Pulver,PLFR,PLV
un,AN,
e,A,
g’kochti,KKRT,
„,,
Oui,A,
patron,PTRN,
“,,
Papa,PP,
d’,T,
Mamme,MM,
losst,LST,
fröuje,FRY,
worum,VRM,
d’r,TR,
Schampetiss,XMPTS,
denn,TN,
nit,NT,
nuffkummt,NFKMT,
um,AM,
d’,T,
Köffer,KFR,KF
erunterzehole,ARNTRTSHL,ARTRTSHL
Herr,HR,
d’,T,
Madam,MTM,
losst,LST,
fröuje,FRY,
wo,V,
d’r,TR,
Schampetiss,XMPTS,
blieht,PLT,
Ei,A,
ich,A,AX
hab,HP,
…,,
Wo,V,
isch,AX,
denn,TN,
d’r,TR,
Schampetiss,XMPTS,
Hawich,HF,HVX
d’r,TR,
nit,NT,
schun,XN,
vor,FR,VR
ere,AR,
Stund,XTNT,
g’saat,KST,
dü,T,
sollsch,SLX,
m’r,MR,
de,T,
Schampetiss,XMPTS,
nuffschicke,NFXK,
wenn,VN,
die,T,
Köffer,KFR,KF
gepackt,KPKT,
sin,SN,
Numme,NM,
nit,NT,
so,S,
gejäscht,KYXT,
Do,T,
hätte,HT,
-n-,N,
’r,R,
jetzt,YTST,
nit,NT,
ze,TS,
dritt,TRT,
d’,T,
rwäje,RVY,
kumme,KM,
brüche,PRR,
’s,S,
isch,AX,
noch,NR,
alli,AL,
Zytt,TST,
ich,A,AX
hab,HP,
de,T,
Schampetiss,XMPTS,
numme,NM,
furtg’schickt,FRTKXKT,
e,A,
Arznej,ARSN,
wie,V,
arig,ARK,AR
pressiert,PRSRT,
het,HT,
zuem,TSM,
Ochsewirth,AKSFRTH,AXVRTH
traue,TR,
Ob,AP,
m’r,MR,
schun,XN,
emol,AML,
so,S,
ebbs,APS,
erlebt,ARLPT,
hett,HT,
—,,
In,AN,
ere,AR,
Stund,XTNT,
welle,VL,
m’r,MR,
uff,AF,
Bade-Bade,PTPT,
verreise,FRS,VRS
’s,S,
Jeanne,YN,
un,AN,
ich,A,AX
d’,T,
Köffer,KFR,KF
solle,SL,
-n-,N,
an,AN,
de,T,
Isebahn,ASPN,ASVN
un,AN,
m’r,MR,
schickt,XKT,
de,T,
„,,
domestique,TMXTKV,
“,,
furt,FRT,
Kummissione,KMSN,
mache,MR,
Ammej,AM,
Lauft,LFT,
Sie,S,
g’schwind,KXVNT,
ins,ANS,
Ochsewirths,AKSFRTHS,AXVRTHS
un,AN,
saat,ST,
Sie,S,
im,AM,
Schampetiss,XMPTS,
er,AR,A
soll,SL,
so,S,
schnell,XNL,
ass,AS,
möjlich,ML,MLX
heimkumme,HMKM,
Ja,Y,
Herr,HR,
ich,A,AX
läuf,LF,
awer,AVR,AY
z’,S,
erscht,ARXT,
muesch,MX,
hesch,HX,
Wenn’r,VNR,
noch,NR,
dort,TRT,
isch,AX,
Nee,N,
so,S,
e,A,
Mann,MN,
Nee,N,
so,S,
e,A,
Mann,MN,
„,,
Mais,MS,
maman,MMN,
“,,
Ze,TS,
jäscht,YXT,
doch,TR,
nit,NT,
eso,AS,
sin,SN,
d’,T,
Köffer,KFR,KF
uewerhaupt,AFRHPT,AVRHPT
schun,XN,
fertig,FRTK,FRT
gepackt,KPKT,
Nein,NN,
noch,NR,
nit,NT,
ganz,KNS,KNTS
m’r,MR,
han,HN,
eine,AN,
wieder,VTR,VT
üspacke,AXPK,
muehn,MN,
„,,
mais,MS,
c’est,KXT,
l’affaire,LFR,
d’,T,
une,AN,
minute,MNT,
“,,
Jeanne,YN,
geh,K,
nuff,NF,
wittersch,VTRX,
packe,PK,
ich,A,AX
kumm,KM,
grad,KRT,
nooch,NR,
„,,
Oui,A,
maman,MMN,
“,,
„,,
Eh,A,
bien,PN,P
c’est,KXT,
aussi,AS,
l’affaire,LFR,
d’,T,
une,AN,
minute,MNT,
“,,
un,AN,
d’r,TR,
Schampetiss,XMPTS,
wär,VR,
do,T,
gsin,KSN,
au,A,
ohne,AN,
dass,TS,
ich,A,AX
ne,N,
durich,TR,TRX
sini,SN,
Frau,FR,
hätt,HT,
hole,HL,
lon,LN,
„,,
L’affaire,LFR,
d’,T,
une,AN,
minute,MNT,
“,,
―,,
Es,AS,
hätt,HT,
numme,NM,
-n-,N,
einer,ANR,AN
de,T,
Schampetiss,XMPTS,
brüche-nantreffe,PRRNNTRF,PRRNTRF
und,ANT,
zuem,TSM,
saaue,S,
brüche,PRR,
„,,
Salut,SLT,
général,KNRL,
comment,KMNT,KMT
vas-tu,FST,VST
général,KNRL,
“,,
—,,
D’,T,
rno,RN,
hätt’r,HTR,
wie,V,
gewöhnlich,KFNL,KVNLX
anfange,ANFNK,AFNK
sini,SN,
Kriejscampagne,KRSKMPKN,
wie’r,VR,
nie,N,
gemacht,KMRT,
hett,HT,
ze,TS,
verzähle,FRTSL,VRTSL
un,AN,
wär,VR,
uewerhaupt,AFRHPT,AVRHPT
vor,FR,VR
Nacht,NRT,
nimmi,NM,
heim,HM,
kumme,KM,
Un,AN,
noch,NR,
in,AN,
was,VS,
for,FR,
’m,M,
e,A,
Zuestand,TSXTNT,
Ze,TS,
reij,R,
dich,T,TX
doch,TR,
nit,NT,
unnöthig,ANTHK,ANTH
uff,AF,
Ei,A,
na,N,
’s,S,
isch,AX,
au,A,
wohr,VR,
„,,
Mon,MN,
Dieu,T,
“,,
D’r,TR,
Unkel,ANKL,
Anatol,ANTL,
kummt,KMT,
Heiliger,HLKR,HLY
Strohsack,XTRSK,
