forme,key1,key2
Grand’meman,KRNTMMN,
gäll,KL,
hyt,HT,
Owe,AF,AV
kummt,KMT,
’s,S,
Wer,VR,V
denn,TN,
Charele,KRL,XRL
Ei,A,
s’,S,
Chrischtkindel,KRXTKNTL,XRXTKNTL
Grand’meman,KRNTMMN,
Ja,Y,
min,MN,
Liewer,LFR,LV
Awer,AVR,AY
der,TR,T
Hanstrapp,HNXTRP,
kummt,KMT,
awer,AVR,AY
au,A,
mit,MT,
Grand’,KRNT,
meman,MMN,
zue,TS,
uns,ANS,
brüecht,PRRT,
jo,Y,
de,T,
Hanstrapp,HNXTRP,
nit,NT,
zu,TS,
kumme,KM,
ich,A,AX
bin,PN,
jo,Y,
immer,AMR,AM
brav,PRF,PRV
Grand’mère,KRNTMR,
Ich,A,AX
weiss,VS,
nit,NT,
ich,A,AX
weiss,VS,
nit,NT,
Am,AM,
End,ANT,
kummt,KMT,
de,T,
Hanstrapp,HNXTRP,
doch,TR,
zue,TS,
uns,ANS,
Zeij,TS,
lüej,L,
mich,M,MX
emol,AML,
aan,AN,
Charele,KRL,XRL
Bisch,PX,
düe,T,
immer,AMR,AM
brav,PRF,PRV
g'sinn,KSN,
Ja,Y,
ja,Y,
Grand'meman,KRNTMMN,
ich,A,AX
immer,AMR,AM
awer,AVR,AY
s’,S,
Jeanne,YN,
als,ALS,
nit,NT,
Ah,A,
düe,T,
immer,AMR,AM
awer,AVR,AY
s’,S,
Jeanne,YN,
als,ALS,
nit,NT,
Ja,Y,
ja,Y,
Grand’meman,KRNTMMN,
Ich,A,AX
glaub,KLP,
düe,T,
bisch,PX,
als,ALS,
au,A,
bœss,PS,
g’sin,KSN,
Ein,AN,
Mol,ML,
e,A,
kleins,KLNS,
bissele,PSL,
Awer,AVR,AY
düe,T,
müesch,MX,
dess,TS,
nit,NT,
im,AM,
Hanstrapp,HNXTRP,
saawe,SV,SY
Grand’mère,KRNTMR,
Ja,Y,
der,TR,T
weiss,VS,
alles,ALS,
dem,TM,
brüecht,PRRT,
m'r,MR,
nix,NKS,
ze,TS,
saawe,SV,SY
Ich,A,AX
schliess,XLS,
einfach,ANFR,AFR
Tüer,TR,T
zu,TS,
wenns,VNS,
Chrischtkindel,KRXTKNTL,XRXTKNTL
hinne,HN,
isch,AX,
no,N,
kummt,KMT,
er,AR,A
nit,NT,
erin,ARN,
Grand’mère,KRNTMR,
Ja,Y,
no,N,
kummt,KMT,
er,AR,A
züem,TSM,
Fenschter,FNXTR,FNXT
erin,ARN,
No,N,
versteckel,FRXTKL,VRXTKL
ich,A,AX
mich,M,MX
un,AN,
ich,A,AX
kann,KN,
jo,Y,
bete,PT,
un,AN,
de,T,
Babe,PP,PV
hilft,HLFT,
mir,MR,
un,AN,
ich,A,AX
will,VL,
jo,Y,
nix,NKS,
vum,FM,VM
Hanstrapp,HNXTRP,
Wie,V,
düe,T,
jetzt,YTST,
awer,AVR,AY
uff,AF,
einmol,ANML,AML
e,A,
grosses,KRSS,
Mül,ML,
hesch,HX,
Ich,A,AX
will,VL,
numme,NM,
sähn,SN,
was,VS,
düe,T,
machsch,MRX,MXX
wenn,VN,
de,T,
Hanstrapp,HNXTRP,
kummt,KMT,
6,,
Grand’,KRNT,
meman,MMN,
kummt,KMT,
s’,S,
Chrischtkindel,KRXTKNTL,XRXTKNTL
bal,PL,
Es,AS,
isch,AX,
jo,Y,
schun,XN,
ganz,KNS,KNTS
finschter,FNXTR,FNXT
drüsse,TRS,
Es,AS,
kummt,KMT,
wie,V,
de,T,
Babe,PP,PV
un,AN,
s’,S,
Jeanne,YN,
d’,T,
heime,HM,
sin,SN,
Kummt,KMT,
de,T,
Babe,PP,PV
uns,ANS,
Jeanne,YN,
bal,PL,
Grand’meman,KRNTMMN,
Ich,A,AX
weiss,VS,
nit,NT,
awer,AVR,AY
ich,A,AX
denk,TNK,
sie,S,
wäre,VR,
bal,PL,
kumme,KM,
Weisch,VX,
was,VS,
Grand’meman,KRNTMMN,
wenn,VN,
de,T,
Hanstrapp,HNXTRP,
do,T,
erin-kumme,ARNKM,
will,VL,
no,N,
saasch,SX,
düe,T,
züem,TSM,
es,AS,
sin,SN,
kein,KN,
Kinder,KNTR,KNT
do,T,
Werum,VRM,
nit,NT,
gar,KR,
M’r,MR,
derf,TRF,
doch,TR,
nit,NT,
lüeje,LY,
Un,AN,
de,T,
Hanstrapp,HNXTRP,
weiss,VS,
doch,TR,
wo,V,
alli,AL,
Kinder,KNTR,KNT
wohne,VN,
Ich,A,AX
will,VL,
awer,AVR,AY
nit,NT,
dass,TS,
er,AR,A
züe,TS,
uns,ANS,
kummt,KMT,
Grand’möre,KRNTMR,
Gäll,KL,
düe,T,
hesch,HX,
jetzt,YTST,
schon,XN,
Angscht,ANKXT,
Wer,VR,V
weiss,VS,
viellicht,FLXT,VLXT
kummt,KMT,
s’,S,
Chrischtkindel,KRXTKNTL,XRXTKNTL
au,A,
gar,KR,
nit,NT,
zu,TS,
uns,ANS,
wenn,VN,
’s,S,
so,S,
schnejt,XNT,
kann,KN,
’s,S,
nit,NT,
zu,TS,
alle,AL,
Lyt,LT,
kumme,KM,
—,,
Zeij,TS,
ich,A,AX
hœr,HR,
jemand,YMNT,
an,AN,
de,T,
Tüer,TR,T
am,AM,
End,ANT,
isch’r,AXR,
dess,TS,
schun,XN,
Entrez,ANTRS,ATRTS
Bonsoir,PNSR,
Madame,MTM,
Braun,PRN,
Sie,S,
wundere,VNTR,
sich,S,SX
viellicht,FLXT,VLXT
will,VL,
ich,A,AX
noch,NR,
um,AM,
dess,TS,
Zyt,TST,
züe,TS,
ihne,AN,
kumm,KM,
awer,AVR,AY
ihr,AR,
Sohn,SN,
het,HT,
mir,MR,
versproche,FRXPRR,VRXPRR
hyt,HT,
Owe,AF,AV
Antwort,ANTVRT,ATVRT
zu,TS,
gän,KN,
weje,VY,
de,T,
Wohnung,VNNK,
Ich,A,AX
bin,PN,
dodeweje,TTFY,TTVY
kumme,KM,
Het,HT,
er,AR,A
jetzt,YTST,
e,A,
Wohnung,VNNK,
gfunde,KFNT,
Sie,S,
wisse,VS,
nit,NT,
Güet,KT,
ich,A,AX
wart,VRT,
bis,PS,
er,AR,A
kummt,KMT,
Han,HN,
sie,S,
sich,S,SX
e,A,
bissel,PSL,
setze,STS,
wœlle,VL,
Merci,MRK,
ich,A,AX
will,VL,
nit,NT,
sitze,STS,
Also,ALS,
sie,S,
wisse,VS,
nit,NT,
ob,AP,
er,AR,A
e,A,
Wohnung,VNNK,
g’funde,KFNT,
het,HT,
Nein,NN,
Herr,HR,
Hol,HL,
Sicher,SXR,SX
nit,NT,
denn,TN,
sunscht,SNXT,
het,HT,
er,AR,A
’s,S,
ihne,AN,
g’saat,KST,
Mini,MN,
Geduld,KTLT,
het,HT,
awer,AVR,AY
jetzt,YTST,
e,A,
End,ANT,
Ich,A,AX
müess,MS,
die,T,
Woh,V,
nung,NNK,
do,T,
han,HN,
miner,MNR,MN
Sohn,SN,
will,VL,
hyrode,HRT,
Ich,A,AX
hab,HP,
lang,LNK,
genüej,KN,
Rucksicht,RKSXT,
uff,AF,
sie,S,
g’het,KT,
will,VL,
ihre,AR,
Sohn,SN,
e,A,
Kriejs,KRS,
blinder,PLNTR,PLNT
isch,AX,
D’r,TR,
Staat,XTT,
soll,SL,
sich,S,SX
um,AM,
d’,T,
Kriejsblinde,KRXPLNT,
annehme,ANM,
Mir,MR,
Hüessherre,HSR,
han,HN,
numme,NM,
Unangenehms,ANNKNMS,
…,,
Do,T,
wäre,VR,
einfach,ANFR,AFR
500,,
Mietsg’setzer,MTSKSTSR,MTSKSTS
votiert,FTRT,VTRT
un,AN,
unsereins,ANSRNS,
het,HT,
no,N,
die,T,
Scherereje,XRRY,
mit,MT,
…,,
Ich,A,AX
bin,PN,
jo,Y,
gar,KR,
net,NT,
ver,FR,V
pflicht,PFLXT,
g’sin,KSN,
euch,AR,
so,S,
lang,LNK,
do,T,
wohne,VN,
ze,TS,
lonn,LN,
awer,AVR,AY
was,VS,
macht,MRT,
m'r,MR,
nit,NT,
alles,ALS,
üess,AS,
Mitleid,MTLT,
Also,ALS,
saawe,SV,SY
sie,S,
ihrem,ARM,
Sohn,SN,
dass,TS,
ich,A,AX
am,AM,
erschte,ARXT,
Jänner,YNR,YN
die,T,
Woh,V,
nung,NNK,
müess,MS,
han,HN,
sunscht,SNXT,
bin,PN,
ich,A,AX
gezwunge,KTSVNK,
de,T,
Hüessjé,HSY,
kumme,KM,
ze,TS,
lonn,LN,
…,,
Nix,NKS,
wie,V,
Unkœschte,ANKXT,
het,HT,
m'r,MR,
hyt,HT,
zedaas,TSTS,
mit,MT,
sine,SN,
Locataires,LKTRS,
…,,
Es,AS,
wurd,VRT,
doch,TR,
au,A,
emol,AML,
wieder,VTR,VT
andersch,ANTRX,
kumme,KM,
Herr,HR,
Hol,HL,
ich,A,AX
glaub,KLP,
nit,NT,
dass,TS,
miner,MNR,MN
Sohn,SN,
e,A,
Wohnung,VNNK,
g’funde,KFNT,
het,HT,
awer,AVR,AY
es,AS,
vergeht,FRKT,VRKT
kein,KN,
Daa,T,
wo,V,
er,AR,A
nit,NT,
süecht,SRT,
Mini,MN,
Geduld,KTLT,
isch,AX,
züe,TS,
End,ANT,
ich,A,AX
saa,S,
’s,S,
ihne,AN,
züem,TSM,
letschde,LTXT,
Mol,ML,
Am,AM,
erschte,ARXT,
Jänner,YNR,YN
miess,MS,
die,T,
Woh,V,
nung,NNK,
gerümt,KRMT,
sin,SN,
Bedänke,PTNK,
sie,S,
doch,TR,
es,AS,
sin,SN,
zwei,TSV,
Kinder,KNTR,KNT
do,T,
Ich,A,AX
weiss,VS,
dess,TS,
alles,ALS,
alles,ALS,
weiss,VS,
ich,A,AX
Ihre,AR,
Sohn,SN,
het,HT,
üewerhaupt,AFRHPT,AVRHPT
gar,KR,
kein,KN,
Recht,RXT,
do,T,
in,AN,
dere,TR,
Wohnung,VNNK,
er,AR,A
het,HT,
jo,Y,
by,P,
mir,MR,
gar,KR,
nit,NT,
gelehnt,KLNT,
sie,S,
sin,SN,
jo,Y,
Locataire,LKTR,
Er,AR,A
wohnt,VNT,
jo,Y,
by,P,
ihne,AN,
Ja,Y,
werum,VRM,
wœlle,VL,
sie,S,
denn,TN,
mim,MM,
Sohn,SN,
die,T,
Wohnung,VNNK,
nit,NT,
gänn,KN,
Will,VL,
ich,A,AX
nit,NT,
kann,KN,
ich,A,AX
müess,MS,
sie,S,
füer,FR,F
miner,MNR,MN
Sohn,SN,
han,HN,
Grand’were,KRNTVR,
Sie,S,
wisse,VS,
ganz,KNS,KNTS
genau,KN,
