forme,key1,key2
Mame,MM,
Was,VS,
denn,TN,
Babe,PP,PV
Kum,KM,
setz,STS,
dich,T,TX
…,,
e,A,
bissel,PSL,
…,,
züe,TS,
mir,MR,
Was,VS,
soll,SL,
denn,TN,
sin,SN,
Mame,MM,
—,,
Made,MT,
leine,LN,
Pierre,PR,
Pierre,PR,
was,VS,
isch,AX,
denn,TN,
Gäll,KL,
mir,MR,
zwei,TSV,
…,,
sin,SN,
doch,TR,
immer,AMR,AM
…,,
glücklich,KLKL,KLKLX
g’sin,KSN,
Nadierlich,NTRL,NTRLX
sin,SN,
mir,MR,
glücklich,KLKL,KLKLX
g’sin,KSN,
Wie,V,
kummsch,KMX,
düe,T,
jetzt,YTST,
awer,AVR,AY
grad,KRT,
uff,AF,
diss,TS,
ze,TS,
redde,RT,
Noch,NR,
nie,N,
hesch,HX,
düe,T,
mich,M,MX
e,A,
so,S,
ebs,APS,
g’fröjt,KFRT,
Ich,A,AX
hab,HP,
dir,TR,
’s,S,
jo,Y,
immer,AMR,AM
ang’sähn,ANKSN,
dass,TS,
düe,T,
…,,
glücklich,KLKL,KLKLX
bisch,PX,
awer,AVR,AY
…,,
ich,A,AX
hab,HP,
’s,S,
jetzt,YTST,
au,A,
vun,FN,VN
dir,TR,
wölle,VL,
höre,HR,
Düe,T,
hesch,HX,
jo,Y,
hyt,HT,
ganz,KNS,KNTS
sunderbari,SNTRPR,
Gedanke,KTNK,
un,AN,
Wünsch,VNX,
Schun,XN,
e,A,
paar,PR,
Dääj,T,
…,,
hab,HP,
ich,A,AX
üwer,AFR,AV
unser,ANSR,ANS
Läwe,LF,LV
noch,NR,
simeliert,SMLRT,
…,,
un,AN,
au,A,
an,AN,
diss,TS,
gedänkt,KTNKT,
…,,
was,VS,
noch,NR,
kumme,KM,
kann,KN,
Diss,TS,
sollsch,SLX,
düe,T,
gar,KR,
nit,NT,
denn,TN,
es,AS,
isch,AX,
nit,NT,
güet,KT,
für,FR,
dich,T,TX
Un,AN,
doch,TR,
…,,
un,AN,
doch,TR,
Was,VS,
denn,TN,
Mame,MM,
Mame,MM,
…,,
Madleine,MTLN,
Wer,VR,V
weiss,VS,
…,,
wie,V,
lang,LNK,
ich,A,AX
noch,NR,
do,T,
bin,PN,
Red,RT,
…,,
nit,NT,
…,,
devun,TFN,TVN
Pierre,PR,
Werum,VRM,
denn,TN,
nit,NT,
Mame,MM,
Madleine,MTLN,
Mame,MM,
Babe,PP,PV
Mame,MM,
Mame,MM,
…,,
d',T,
Medizin,MTTSN,
wenn,VN,
’s,S,
beliebt,PLPT,
Mame,MM,
Ich,A,AX
weiss,VS,
nit,NT,
…,,
ich,A,AX
weiss,VS,
nit,NT,
Düe,T,
weisch,VX,
jo,Y,
was’r,VSR,
d'r,TR,
Dokter,TKTR,TKT
immer,AMR,AM
saat,ST,
wenn,VN,
’s,S,
Früehjohr,FRYR,
kummt,KMT,
geht,KT,
’s,S,
wieder,VTR,VT
besser,PSR,PS
Wenn,VN,
’s,S,
Früehjohr,FRYR,
kummt,KMT,
…,,
ja,Y,
wenn,VN,
’s,S,
kummt,KMT,
Wotsch,VTX,
denn,TN,
nit,NT,
wie,V,
der,TR,T
in,AN,
’s,S,
Bett,PT,
Wart,VRT,
noch,NR,
…,,
wöll,VL,
Zyt,TST,
isch,AX,
denn,TN,
Glich,KL,KLX
sechs,SKS,SX
Schun,XN,
Kummt,KMT,
denn,TN,
…,,
de,T,
Jean,YN,
bal,PL,
Er,AR,A
isch,AX,
sicher,SXR,SX
noch,NR,
züem,TSM,
Henri,HNR,
gange,KNK,
Düe,T,
weisch,VX,
es,AS,
geht,KT,
uff,AF,
de,T,
Exame,AKSM,
De,T,
Henri,HNR,
un,AN,
er,AR,A
schaffe,XF,
mitnander,MTNNTR,MTNNT
Ja,Y,
ich,A,AX
weiss,VS,
…,,
Mame,MM,
gib,KP,
mir,MR,
doch,TR,
Tropfe,TRPF,
Ich,A,AX
hab,HP,
dir,TR,
jo,Y,
grad,KRT,
ewe,AF,AV
gän,KN,
Ja,Y,
…,,
awer,AVR,AY
ich,A,AX
g’spier,KXPR,KXP
…,,
dass,TS,
sie,S,
mir,MR,
güet,KT,
mache,MR,
Düe,T,
sollsch,SLX,
awer,AVR,AY
nit,NT,
züviel,TSFL,TSVL
vun,FN,VN
däm,TM,
Gift,KFT,
nämme,NM,
Gib,KP,
mir,MR,
Frau,FR,
Mame,MM,
Merci,MRK,
Mame,MM,
Düe,T,
schwitsch,XVTX,
hyt,HT,
awer,AVR,AY
arich,AR,ARX
Merci,MRK,
Mame,MM,
Bonjour,PNYR,
bonjour,PNYR,
Babe,PP,PV
düe,T,
bisch,PX,
hyt,HT,
uff,AF,
Diss,TS,
isch,AX,
jo,Y,
e,A,
güets,KTS,
Zeiche,TSX,
ellein,ALN,
viel,FL,VL
meh,M,
wert,VRT,
ass,AS,
wie,V,
100,,
ja,Y,
sogar,SKR,SYR
1000,,
anderi,ANTR,
wo,V,
Gnad,KNT,
un,AN,
Barmherzigkeit,PRMHRTSKKT,
im,AM,
Weiler,VLR,VL
vun,FN,VN
de,T,
Hand,HNT,
ab,AP,
schlecke,XLK,
müehn,MN,
Was,VS,
mache,MR,
die,T,
alli,AL,
emol,AML,
wenn,VN,
er,AR,A
am,AM,
e,A,
scheene,XN,
Daa,T,
sini,SN,
Hand,HNT,
zeruckzejt,TSRKTST,
Doch,TR,
doch,TR,
ich,A,AX
seh,S,
’s,S,
an,AN,
eujre,AR,
G’sichter,KSXTR,KSXT
aan,AN,
…,,
Was,VS,
hätte,HT,
mir,MR,
drej,TR,
noch,NR,
meh,M,
könnte,KNT,
han,HN,
uff,AF,
dere,TR,
Welt,VLT,
als,ALS,
glück,KLK,
lich,L,LX
sin,SN,
…,,
Ich,A,AX
weiss,VS,
nit,NT,
…,,
Halt,HLT,
d',T,
Ehr,AR,
noch,NR,
ja,Y,
Un,AN,
au,A,
die,T,
han,HN,
mir,MR,
g’het,KT,
Alles,ALS,
andere,ANTR,
geht,KT,
numme,NM,
ums,AMS,
Geld,KLT,
un,AN,
immer,AMR,AM
wieder,VTR,VT
ums,AMS,
Geld,KLT,
Babe,PP,PV
legt,LKT,
eine,AN,
Hand,HNT,
auf,AF,
die,T,
Hände,HNT,
von,FN,VN
Mame,MM,
die,T,
andere,ANTR,
sin,SN,
Stunde,XTNT,
wo,V,
düe,T,
kämpfe,KMPF,
müesch,MX,
un,AN,
doch,TR,
grossi,KRS,
Enttäuschunge,ANTXNK,ATXNK
erläwe,ARLF,ARLV
wursch,VRX,
No,N,
müesch,MX,
düe,T,
starik,XTRK,
sin,SN,
un,AN,
starik,XTRK,
isch,AX,
m'r,MR,
numme,NM,
wenn,VN,
m'r,MR,
ellein,ALN,
isch,AX,
Wer,VR,V
stän,XTN,
dig,TK,T
by,P,
andere,ANTR,
isch,AX,
isch,AX,
wie,V,
die,T,
gross,KRS,
Mass,MS,
e,A,
Schwäch,XVR,
ling,LNK,
gross,KRS,
isch,AX,
g’sin,KSN,
…,,
doch,TR,
arich,AR,ARX
wenni,VN,
…,,
het,HT,
g’het,KT,
Un,AN,
jetzt,YTST,
Mame,MM,
rischt,RXT,
mir,MR,
schnell,XNL,
Tropfe,TRPF,
Ja,Y,
Jean,YN,
Geht,KT,
’s,S,
denn,TN,
güet,KT,
noch,NR,
so,S,
langer,LNKR,LNK
Zyt,TST,
Do,T,
wurd,VRT,
jo,Y,
de,T,
Dokter,TKTR,TKT
lüeje,LY,
wenn,VN,
er,AR,A
dis,TS,
hört,HRT,
Düe,T,
wursch,VRX,
sicher,SXR,SX
müed,MT,
sin,SN,
Schwäche,XVR,
…,,
nix,NKS,
als,ALS,
Schwäche,XVR,
Ich,A,AX
hab,HP,
schun,XN,
lang,LNK,
wölle,VL,
han,HN,
dass,TS,
de,T,
Babe,PP,PV
wieder,VTR,VT
in,AN,
’s,S,
Bett,PT,
geht,KT,
awer,AVR,AY
wohrschints,VRXNTS,VRXTS
isch,AX,
er,AR,A
wäje,VY,
dir,TR,
uffge,AFK,
bliewe,PLF,PLV
Jean,YN,
Loss,LS,
ne,N,
doch,TR,
Mamele,MML,
Es,AS,
isch,AX,
awer,AVR,AY
schun,XN,
züe,TS,
viel,FL,VL
für,FR,
’s,S,
erschte,ARXT,
Mol,ML,
Ich,A,AX
hab,HP,
mich,M,MX
e,A,
bissel,PSL,
uffg’halte,AFKLT,
länger,LNKR,LNK
ass,AS,
wie,V,
ich,A,AX
gedänkt,KTNKT,
hab,HP,
Un,AN,
ich,A,AX
bin,PN,
froh,FR,
…,,
dass,TS,
düe,T,
wieder,VTR,VT
kumme,KM,
bisch,PX,
…,,
Ich,A,AX
hab,HP,
schun,XN,
gemeint,KMNT,KMT
düe,T,
kummsch,KMX,
nimmi,NM,
…,,
all,AL,
wie,V,
ich,A,AX
uff,AF,
bin,PN,
Mame,MM,
Ich,A,AX
hab,HP,
doch,TR,
Geld,KLT,
verdient,FRTNT,VRTT
Babe,PP,PV
Schun,XN,
wieder,VTR,VT
50,,
Franke,FRNK,
Was,VS,
50,,
Franke,FRNK,
hesch,HX,
düe,T,
schun,XN,
wieder,VTR,VT
verdient,FRTNT,VRTT
Vun,FN,VN
wem,VM,
isch,AX,
diss,TS,
Geld,KLT,
Jean,YN,
Ich,A,AX
hab,HP,
e,A,
Zeichnung,TSXNNK,
füer,FR,F
de,T,
Herr,HR,
Weiler,VLR,VL
gemacht,KMRT,
Er,AR,A
isch,AX,
arich,AR,ARX
nät,NT,
züe,TS,
mir,MR,
Vum,FM,VM
Weiler,VLR,VL
sin,SN,
die,T,
50,,
Franke,FRNK,
Ja,Y,
Babe,PP,PV
Er,AR,A
het,HT,
mir,MR,
hyt,HT,
wieder,VTR,VT
versproche,FRXPRR,VRXPRR
dass,TS,
er,AR,A
mich,M,MX
in,AN,
d',T,
Fawrik,FVRK,
nämmt,NMT,
wenn,VN,
ich,A,AX
’s,S,
Diplom,TPLM,
hab,HP,
Glaub,KLP,
düe,T,
doch,TR,
hyt,HT,
noch,NR,
nit,NT,
an,AN,
so,S,
Sache,SR,
Jean,YN,
…,,
Er,AR,A
verzählt,FRTSLT,VRTSLT
dir,TR,
diss,TS,
hyt,HT,
…,,
will,VL,
er,AR,A
dich,T,TX
im,AM,
Moment,MMNT,MMT
brücht,PRRT,
…,,
un,AN,
düe,T,
ihm,AM,
billig,PLK,PL
schaffsch,XFX,
Ich,A,AX
glaub,KLP,
nit,NT,
dass,TS,
de,T,
Herr,HR,
Weiler,VLR,VL
so,S,
isch,AX,
wie,V,
düe,T,
immer,AMR,AM
saasch,SX,
Er,AR,A
isch,AX,
e,A,
Ehremann,ARMN,
E,A,
Ehremann,ARMN,
e,A,
Ehremann,ARMN,
Jean,YN,
o,A,
düe,T,
Dummer,TMR,TM
Er,AR,A
süecht,SRT,
by,P,
allem,ALM,
was,VS,
er,AR,A
macht,MRT,
siner,SNR,SN
Vorteil,FRTL,VRTL
Er,AR,A
isch,AX,
wie,V,
alli,AL,
e,A,
Lyt,LT,
schinder,XNTR,XNT
wo,V,
numme,NM,
sich,S,SX
kennt,KNT,
un,AN,
füer,FR,F
die,T,
arme,ARM,
Schluk,XLK,
ker,KR,K
nix,NKS,
üwrie,AVR,
het,HT,
Jean,YN,
nimm,NM,
dich,T,TX
in,AN,
acht,ART,
Düe,T,
wursch,VRX,
späder,XPTR,XPT
mir,MR,
nochemol,NRML,
Recht,RXT,
gänn,KN,
wenn,VN,
düe,T,
’s,S,
Weilers,VLRS,
besser,PSR,PS
kennsch,KNX,
Düe,T,
reddsch,RTX,
immer,AMR,AM
so,S,
schlecht,XLXT,
vun,FN,VN
de,T,
riche,RX,
Lyt,LT,
Babe,PP,PV
Babe,PP,PV
Ich,A,AX
redd,RT,
üss,AS,
Erfahrung,ARFRNK,
liewer,LFR,LV
Büe,P,
Ich,A,AX
hab,HP,
sie,S,
kenne,KN,
lehre,LR,
nit,NT,
numme,NM,
einer,ANR,AN
nein,NN,
e,A,
paar,PR,
viel,FL,VL
sogar,SKR,SYR
Un,AN,
im,AM,
Grund,KRNT,
genumme,KNM,
gliche,KLX,
sie,S,
sich,S,SX
alli,AL,
wie,V,
