forme,key1,key2
Prinz,PRNS,PRNTS
Yo-Yo,A,
Wie,V,
eine,AN,
Epidemie,APTM,
hast,HXT,
du,T,
die,T,
neue,N,
und,ANT,
die,T,
alte,ALT,
Welt,VLT,
angefallen,ANKFLN,ANKFL
Yo-Yo,A,
ist,AXT,
Trumpf,TRMPF,
Nit,NT,
ellein,ALN,
die,T,
nej,N,
und,ANT,
d',T,
alt,ALT,
Welt,VLT,
het,HT,
diss,TS,
verruckte,FRKT,VRKT
Ding,TNK,
üwerfalle,AFRFL,AVRFL
nein,NN,
au,A,
in,AN,
mini,MN,
ménage,MNK,MNY
het,HT,
sich,S,SX
diss,TS,
Lumpeding,LMPTNK,
iing'schlieche,ANKXLX,
Un,AN,
wer,VR,V
het,HT,
's,S,
eringebrocht,ARNKPRRT,
Mini,MN,
lieb,LP,
un,AN,
herzensgüet,HRTSNSKT,
Schwejeres,XVYRS,
Uessgerechent,ASKRXNT,ASKRXT
sie,S,
prowiert,PRFRT,PRVRT
schunzitter,XNTSTR,XNTST
3,,
Wuche,VR,
do,T,
in,AN,
minere,MNR,
ménage,MNK,MNY
Yo-Yo,A,
Sie,S,
spielt,XPLT,
am,AM,
Morje,MRY,
wenn,VN,
sie,S,
uffsteht,AFXTT,
am,AM,
Middaa,MT,
wärenem,VRNM,
Esse,AS,
de,T,
ganze,KNTS,
Middaa,MT,
ja,Y,
viellicht,FLXT,VLXT
noch,NR,
sogar,SKR,SYR
z',S,
Nacht-s,NRTS,
im,AM,
Bett,PT,
Un,AN,
do,T,
solle,SL,
eim,AM,
nit,NT,
d',T,
Nerfe,NRF,
durichgehn,TRXKN,
s',S,
Galee,KL,
hab,HP,
ich,A,AX
in,AN,
minere,MNR,
Wohnung,VNNK,
un,AN,
dis,TS,
alles,ALS,
numme,NM,
will,VL,
mini,MN,
lieb,LP,
un,AN,
herzensgüet,HRTSNSKT,
Schwejermamme,XVYRMM,
Yo-Yo,A,
spiele,XPL,
will,VL,
Entrez,ANTRS,ATRTS
De,T,
Herr,HR,
Dokter,TKTR,TKT
Schmitt,XMT,
isch,AX,
do,T,
un,AN,
will,VL,
mit,MT,
Ihne,AN,
redde,RT,
Er,AR,A
soll,SL,
glich,KL,KLX
do,T,
eriin,ARN,
kumme,KM,
Güet,KT,
Mösjö,MSY,
Sälüt,SLT,
Jules,YLS,
Was,VS,
isch,AX,
denn,TN,
passiert,PSRT,
Roby,RP,RV
düe,T,
bisch,PX,
mini,MN,
letscht,LTXT,
Hoffnung,HFNNK,
düe,T,
müesch,MX,
mir,MR,
helfe,HLF,
Wo,V,
fehlt,FLT,
's,S,
denn,TN,
Bisch,PX,
krank,KRNK,
Krank,KRNK,
Aba,AP,AV
Ja,Y,
was,VS,
isch,AX,
denn,TN,
no,N,
los,LS,
Setz,STS,
dich,T,TX
emol,AML,
Jo-jo,YY,
Jules,YLS,
was,VS,
hesch,HX,
denn,TN,
düe,T,
…,,
Was,VS,
Yo-Yo,A,
Kennsch,KNX,
düe,T,
's,S,
denn,TN,
au,A,
schun,XN,
Was,VS,
denn,TN,
Ei,A,
diss,TS,
neuje,NY,
verruckte,FRKT,VRKT
Spiel,XPL,
Ich,A,AX
weiss,VS,
nit,NT,
was,VS,
düe,T,
meinsch,MNX,
ich,A,AX
möcht,MRT,
numme,NM,
gern,KRN,
wisse,VS,
werum,VRM,
düe,T,
mich,M,MX
rüefe,RF,
hesch,HX,
lonn,LN,
Güet,KT,
ich,A,AX
will,VL,
dir,TR,
's,S,
saawe,SV,SY
Roby,RP,RV
liewer,LFR,LV
Frind,FRNT,
ich,A,AX
bin,PN,
arich,AR,ARX
unglücklich,ANKLKL,ANKLKLX
Unglücklich,ANKLKL,ANKLKLX
Ja,Y,
werum,VRM,
denn,TN,
Mini,MN,
Schwejeres,XVYRS,
spielt,XPLT,
Yo,A,
-Yo,,
Sie,S,
spielt,XPLT,
Yo-Yo,A,
Ja,Y,
un,AN,
weje,VY,
dem,TM,
losch,LX,
düe,T,
mich,M,MX
hole,HL,
Ja,Y,
findsch,FNTX,
düe,T,
dass,TS,
diss,TS,
nix,NKS,
isch,AX,
wenn,VN,
eim,AM,
jemand,YMNT,
de,T,
ganze,KNTS,
Daa,T,
in,AN,
d'r,TR,
ménage,MNK,MNY
Yo-Yo,A,
spielt,XPLT,
Yo-Yo,A,
Was,VS,
isch,AX,
denn,TN,
diss,TS,
eigentlich,AKNTL,AYTLX
Diss,TS,
weisch,VX,
düe,T,
nit,NT,
Ah,A,
düe,T,
weisch,VX,
nit,NT,
was,VS,
Yo-Yo,A,
isch,AX,
Glücklicher,KLKLXR,KLKLX
Mensch,MNX,
Nein,NN,
ich,A,AX
weiss,VS,
es,AS,
nit,NT,
D',T,
ganz,KNS,KNTS
Welt,VLT,
spielt,XPLT,
doch,TR,
Yo-Yo,A,
Alli,AL,
Kini,KN,
un,AN,
Kaiser,KSR,KS
alli,AL,
Kinostar,KNXTR,
alli,AL,
Köche,KR,
alli,AL,
Kinder,KNTR,KNT
alli,AL,
Kindermaidle,KNTRMTL,
un,AN,
au,A,
mini,MN,
Schwejermamme,XVYRMM,
spielt,XPLT,
Yo-Yo,A,
Awer,AVR,AY
jetzt,YTST,
weiss,VS,
ich,A,AX
's,S,
jo,Y,
als,ALS,
noch,NR,
nit,NT,
Alli,AL,
Zytunge,TSTNK,
schriewe,XRF,XRV
devun,TFN,TVN
un,AN,
d',T,
Illustrierte,ALXTRRT,
bringe,PRNK,
Bilder,PLTR,PLT
Yo-Yo,A,
isch,AX,
Trumpf,TRMPF,
Yo-Yo,A,
isch,AX,
e,A,
Epidemie,APTM,
E,A,
Eipidemie,APTM,
Ja,Y,
no,N,
isch,AX,
's,S,
jo,Y,
e,A,
Krankheit,KRNKHT,
Zäll,TSL,
nit,NT,
awer,AVR,AY
die,T,
wo,V,
züelüeje,TSLY,
kenne,KN,
krank,KRNK,
devun,TFN,TVN
wäre,VR,
Es,AS,
isch,AX,
e,A,
Spiel,XPL,
E,A,
Spiel,XPL,
Wurd,VRT,
's,S,
getrette,KTRT,
od'r,ATR,
g'stosse,KSTS,
Isch,AX,
's,S,
e,A,
Balle,PL,
od'r,ATR,
e,A,
Art,ART,
Domino,TMN,
Od'r,ATR,
setzt,STST,
m'r,MR,
sich,S,SX
druff,TRF,
un,AN,
fahrt,FRT,
furt,FRT,
mit,MT,
M'r,MR,
merigt,MRKT,
dass,TS,
noch,NR,
nit,NT,
verhyrot,FRHRT,VRHRT
bisch,PX,
Werum,VRM,
wieso,VS,
Wenn,VN,
düe,T,
e,A,
Schwejeres,XVYRS,
hättsch,HTX,
wo,V,
au,A,
de,T,
ganze,KNTS,
Daa,T,
Yo-Yo,A,
spiele,XPL,
dät,TT,
no,N,
wischt,VXT,
düe,T,
's,S,
au,A,
was,VS,
es,AS,
isch,AX,
Ja,Y,
no,N,
saa,S,
mir,MR,
's,S,
doch,TR,
jetzt,YTST,
emol,AML,
was,VS,
es,AS,
isch,AX,
So,S,
do,T,
isch,AX,
jetzt,YTST,
emol,AML,
e,A,
Yo-Yo,A,
Do,T,
isch,AX,
noch,NR,
eins,ANS,
un,AN,
do,T,
noch,NR,
eins,ANS,
un,AN,
do,T,
noch,NR,
eins,ANS,
Düe,T,
hesch,HX,
jo,Y,
alli,AL,
Säck,SK,
voll,FL,VL
Die,T,
hab,HP,
ich,A,AX
alli,AL,
minere,MNR,
Schwejeres,XVYRS,
eweggeputzt,AFKPTST,AVKPTST
will,VL,
ich,A,AX
gedänkt,KTNKT,
hab,HP,
sie,S,
spielt,XPLT,
no,N,
nimi,NM,
Ja,Y,
do,T,
sie,S,
het,HT,
sich,S,SX
no,N,
immer,AMR,AM
e,A,
anders,ANTRS,
kauft,KFT,
Also,ALS,
diss,TS,
isch,AX,
jetzt,YTST,
e,A,
so,S,
e,A,
Yo-Yo,A,
Diss,TS,
sin,SN,
sogar,SKR,SYR
e,A,
paar,PR,
Yo-Yo,A,
Un,AN,
mit,MT,
so,S,
eme,AM,
Ding,TNK,
spielt,XPLT,
dini,TN,
belle-mère,PLMR,
Sie,S,
nit,NT,
ellein,ALN,
au,A,
mini,MN,
Frau,FR,
fangt,FNKT,
so,S,
langsam,LNKSM,
aan,AN,
un,AN,
s',S,
Dienschtmaidel,TNXTMTL,
hett,HT,
au,A,
schun,XN,
eins,ANS,
g'schenkt,KXNKT,
bekumme,PKM,
Ja,Y,
wie,V,
geht,KT,
denn,TN,
diss,TS,
Ding,TNK,
eigentlich,AKNTL,AYTLX
Nan,NN,
dir,TR,
zeij,TS,
ich,A,AX
diss,TS,
nit,NT,
Ja,Y,
un,AN,
werum,VRM,
denn,TN,
nit,NT,
Am,AM,
End,ANT,
spielsch,XPLX,
düe,T,
mir,MR,
no,N,
au,A,
Diss,TS,
isch,AX,
doch,TR,
sicher,SXR,SX
ebs,APS,
harmloses,HRMLSS,
Ebs,APS,
harmloses,HRMLSS,
Eh,A,
bien,PN,P
merci,MRK,
3,,
Vase,FS,VS
e,A,
Suppeschüssel,SPXSL,
un,AN,
2,,
Spiejel,XPYL,
un,AN,
sogar,SKR,SYR
min,MN,
Radio,RT,
sin,SN,
dodurich,TTR,TTRX
kapütt,KPT,
gange,KNK,
Wieso,VS,
denn,TN,
Ei,A,
will,VL,
mini,MN,
Schwejeres,XVYRS,
nit,NT,
acht,ART,
gibt,KPT,
wenn,VN,
sie,S,
yoyotiert,ATRT,
Sie,S,
rennt,RNT,
emol,AML,
do,T,
un,AN,
emol,AML,
dert,TRT,
debie,TP,TV
an,AN,
No,N,
isch,AX,
do,T,
ebs,APS,
füti,FT,
un,AN,
dert,TRT,
au,A,
Ja,Y,
isch,AX,
denn,TN,
diss,TS,
Spiel,XPL,
so,S,
arich,AR,ARX
kumpliziert,KMPLTSRT,
Ewe,AF,AV
nit,NT,
awer,AVR,AY
sie,S,
schickt,XKT,
sich,S,SX
so,S,
arich,AR,ARX
daub,TP,
debie,TP,TV
Jules,YLS,
zeij,TS,
mir,MR,
doch,TR,
emol,AML,
so,S,
e,A,
Yo-Yo,A,
Nix,NKS,
ze,TS,
mache,MR,
Es,AS,
isch,AX,
e,A,
Schnürele,XNRL,
dran,TRN,
un,AN,
mit,MT,
dem,TM,
macht,MRT,
m'rs,MRS,
danze,TNTS,
Siehsch,SX,
eso,AS,
Als,ALS,
uff,AF,
un,AN,
nab,NP,
hüpst,HPST,
diss,TS,
Yo-Yo,A,
Ja,Y,
un,AN,
weje,VY,
dem,TM,
hesch,HX,
düe,T,
mich,M,MX
rüefe,RF,
lonn,LN,
Ja,Y,
denn,TN,
düe,T,
müesch,MX,
mir,MR,
helfe,HLF,
mini,MN,
Schwejeres,XVYRS,
küriere,KRR,
Sie,S,
müess,MS,
uffhöre,AFHR,
mit,MT,
dem,TM,
Spiel,XPL,
Am,AM,
liebschte,LPXT,
wär,VR,
mir,MR,
's,S,
jo,Y,
wenn,VN,
sie,S,
wieder,VTR,VT
ganz,KNS,KNTS
heime,HM,
züe,TS,
sich,S,SX
gehn,KN,
dät,TT,
Na,N,
na,N,
Jules,YLS,
Ich,A,AX
hab,HP,
jo,Y,
noch,NR,
nie,N,
ebs,APS,
degeje,TKY,TYY
g'het,KT,
wenn,VN,
sie,S,
kumme,KM,
isch,AX,
Was,VS,
awer,AVR,AY
züe,TS,
viel,FL,VL
isch,AX,
isch,AX,
ewe,AF,AV
züe,TS,
viel,FL,VL
's,S,
letscht,LTXT,
Johr,YR,
wo,V,
mir,MR,
doch,TR,
küm,KM,
g'hyrot,KRT,
sin,SN,
g'sin,KSN,
het,HT,
sie,S,
14,,
Daa,T,
bliewe,PLF,PLV
wöelle,VL,
Ja,Y,
un,AN,
No,N,
sin,SN,
nummme,NMM,
14,,
Wuche,VR,
drüss,TRS,
worre,VR,
Düe,T,
weisch,VX,
's,S,
jo,Y,
noch,NR,
gäll,KL,
Ja,Y,
Allerdings,ALRTNKS,
isch,AX,
diss,TS,
jo,Y,
e,A,
bissel,PSL,
arich,AR,ARX
viel,FL,VL
g'sinn,KSN,
Güet,KT,
Ich,A,AX
hab,HP,
nix,NKS,
g'saat,KST,
g'het,KT,
will,VL,
ich,A,AX
gern,KRN,
de,T,
Friedde,FRT,
im,AM,
Hüss,HS,
hab,HP,
Diss,TS,
Johr,YR,
isch,AX,
sie,S,
jetzt,YTST,
awer,AVR,AY
au,A,
schun,XN,
wieder,VTR,VT
fascht,FXT,
10,,
Wuche,VR,
do,T,
Ja,Y,
un,AN,
diss,TS,
nit,NT,
ellein,ALN,
sie,S,
kummediert,KMTRT,
hyt,HT,
schun,XN,
s',S,
ganze,KNTS,
Hüss,HS,
Jo,Y,
allewej,ALF,ALV
Ich,A,AX
kann,KN,
dir,TR,
e,A,
Liedel,LTL,
singe,SNK,
Roby,RP,RV
Ich,A,AX
derf,TRF,
nimmi,NM,
ellein,ALN,
furt,FRT,
will,VL,
sie,S,
's,S,
nit,NT,
will,VL,
han,HN,
mir,MR,
müen,MN,M
alli,AL,
esse,AS,
was,VS,
ihre,AR,
schmeckt,XMKT,
mini,MN,
Frau,FR,
het,HT,
sie,S,
geje,KY,
mich,M,MX
uffg'stupft,AFKSTPFT,
sie,S,
macht,MRT,
was,VS,
sie,S,
einfach,ANFR,AFR
will,VL,
turnt,TRNT,
sogar,SKR,SYR
un,AN,
spielt,XPLT,
jetzt,YTST,
zitter,TSTR,TST
3,,
Wuche,VR,
de,T,
ganze,KNTS,
liewe,LF,LV
lange,LNK,
Daa,T,
Yo-Yo,A,
Ah,A,
no,N,
noch,NR,
ebs,APS,
Sie,S,
het,HT,
mini,MN,
Frau,FR,
üwerredd,AFRT,AVRT
sich,S,SX
e,A,
nejs,NS,
Kleid,KLT,
mache,MR,
zu,TS,
lonn,LN,
wo,V,
Yo-Yo,A,
heisst,HST,
Was,VS,
saasch,SX,
