forme,key1,key2
Do,T,
Patron,PTRN,
sinn,SN,
d',T,
Schueh,X,
Jetz,YTS,
isch,AX,
schun,XN,
nien,NN,N
Ühre,AR,
un,AN,
Der,TR,T
steht,XTT,
endli,ANTL,
uf,AF,
—,,
wenn,VN,
dis,TS,
dr,TR,
Diener,TNR,TN
tät,TT,
mach,MR,
no,N,
wär,VR,
's,S,
e,A,
füler,FLR,FL
Kaib,KP,
awer,AVR,AY
dr,TR,
Herr,HR,
—,,
hahaha,HHH,
Der,TR,T
soll,SL,
nächt,NRT,
kenni,KN,
heime,HM,
g'schleift,KXLFT,
hann,HN,
D',T,
Stäj,XT,
isch-r,AXR,
uf,AF,
Händ,HNT,
un,AN,
Fües,FS,
eruf,ARF,
gegrobelt,KKRPLT,KKRVLT
Er,AR,A
wurd,VRT,
e,A,
schöner,XNR,XN
Katzejammer,KTSYMR,KTSYM
hann,HN,
Jetzt,YTST,
isch-r,AXR,
widder,VTR,VT
verschläckt,FRXLKT,VRXLKT
un,AN,
weiss,VS,
nit,NT,
wass-r,VSR,
esse,AS,
un,AN,
drinke,TRNK,
will,VL,
Na,N,
do,T,
hett-r,HTR,
jo,Y,
d',T,
Üswahl,ASVL,
Rollmops,RLMPS,
Sardinle,SRTNL,
Häri,HR,
Servilasalädel,SRFLSLTL,SRVLSLTL
Schwitzerkäs,XVTSRKS,
—,,
Härz,HRS,HRTS
was,VS,
begährsch,PKRX,PYRX
Stäcke,XTK,
wo,V,
bisch,PX,
Uutsch,ATX,
—,,
ah,A,
min-r,MNR,
Kopf,KPF,
min-r,MNR,
Kopf,KPF,
Do,T,
hinne,HN,
brummt,PRMT,
's,S,
grad,KRT,
as,AS,
wenn,VN,
lütter,LTR,LT
Maikafer,MKFR,MKF
drinne,TRN,
rum,RM,
däte,TT,
surre,SR,
Hattsch,HTX,
weniger,VNKR,VNY
gedrunke,KTRNK,
Guete,KT,
Morje,MRY,
Herr,HR,
Meyer,MR,M
—,,
Do,T,
sitze,STS,
se,S,
anne,AN,
un,AN,
esse,AS,
se,S,
emol,AML,
e,A,
Mumpfel,MMPFL,
no,N,
wurd,VRT,
's,S,
ne,N,
schun,XN,
besser,PSR,PS
wäre,VR,
Was,VS,
hesch,HX,
dänn,TN,
Guet,KT,
's,S,
Häri,HR,
—,,
brr,PR,
—,,
nein,NN,
—,,
ich,A,AX
kann,KN,
nix,NKS,
esse,AS,
Schänk,XNK,
mr,MR,
emol,AML,
e,A,
Glas,KLS,
Soda,ST,
in,AN,
ich,A,AX
hab,HP,
e,A,
