forme,key1,key2
Maiatzel,MTSL,
Dräckspatzel,TRKXPTSL,
drej,TR,
Elle,AL,
Güggück,KKK,
es,AS,
kumme,KM,
drej,TR,
Wiewer,VFR,VV
un,AN,
esse,AS,
Sürkrüt,SRKRT,
—,,
Drej,TR,
Maiatzle,MTSL,
haw,HF,HV
i,A,
gedüscht,KTXT,
für,FR,
e,A,
Stüeckel,XTKL,
Bäredräck,PRTRK,
—,,
Was,VS,
kennt,KNT,
m'r,MR,
mit,MT,
dene,TN,
jetz,YTS,
anstelle,ANXTL,
Lüej,L,
do,T,
steht,XTT,
jo,Y,
dr,TR,
Meischtere,MXTR,
ihri,AR,
Schnupftüwaksbüchs,XNPFTFKXPKS,XNPFTVKXPX
Wartich,VRT,VRTX
setz-ere,STSR,
Maiatzle,MTSL,
drin,TRN,
—,,
Höhöhöhö,HHHH,
Wurd,VRT,
die,T,
e,A,
Schrecke,XRK,
bekumme,PKM,
wenn,VN,
se,S,
e,A,
Bries,PRS,
nämmt,NMT,
Awer,AVR,AY
sie,S,
hett,HT,
's,S,
verdient,FRTNT,VRTT
—,,
diss,TS,
isch,AX,
derfüer,TRFR,TRF
will,VL,
se,S,
dene,TN,
Middaa,MT,
am,AM,
Esse,AS,
so,S,
wüescht,VXT,
geje,KY,
mich,M,MX
isch,AX,
gsinn,KSN,
—,,
die,T,
Madülle,MTL,
die,T,
alt,ALT,
Kratzbüerscht,KRTSPRXT,
die,T,
Linsespaltere,LNSXPLTR,
Dene,TN,
Middaa,MT,
hett,HT,
's,S,
min,MN,
Leibgericht,LPKRXT,
gänn,KN,
Dampfnüdle,TMPFNTL,
—,,
hmm,M,
—,,
diss,TS,
müess,MS,
mr,MR,
ganz,KNS,KNTS
langsam,LNKSM,
saue,S,
—,,
Dampfnüdle,TMPFNTL,
Jetzt,YTST,
müess,MS,
i,A,
schlucke,XLK,
ich,A,AX
hab,HP,
ganz,KNS,KNTS
Wasser,VSR,VS
im,AM,
Müll,ML,
—,,
un,AN,
wie,V,
ich,A,AX
s',S,
vierzeht,FRTST,VRTST
Dampfnüdel,TMPFNTL,
lange,LNK,
will,VL,
ze,TS,
macht,MRT,
se,S,
Kurzschluss,KRSXLS,
un,AN,
nimmt,NMT,
d',T,
Platt,PLT,
ewäck,AFK,AVK
un,AN,
wie,V,
ich,A,AX
hab,HP,
gsaat,KST,
Ich,A,AX
hab,HP,
noch,NR,
Hunger,HNKR,HNK
—,,
no,N,
hett,HT,
se,S,
de,T,
Deppiklopfer,TPKLPFR,TPKLPF
gelangt,KLNKT,
un,AN,
hett,HT,
gsaat,KST,
Do,T,
isch,AX,
noch,NR,
Hewwelandiffi,HVLNTF,
un,AN,
Stocksalad,XTKSLT,
un,AN,
dr,TR,
Meischter,MXTR,MXT
hett,HT,
dezü,TTS,
gelacht,KLRT,
der,TR,T
Knüppelüj,KNPL,
der,TR,T
hett,HT,
jo,Y,
nix,NKS,
ze,TS,
saue,S,
denn,TN,
in,AN,
dem,TM,
Hüss,HS,
hett,HT,
d',T,
Meischtere,MXTR,
d',T,
Hose,HS,
an,AN,
Awer,AVR,AY
ich,A,AX
hab,HP,
dr,TR,
Meischtere,MXTR,
ewichi,AFX,AVX
Rache,RR,
gschwore,KXVR,
Ich,A,AX
dr,TR,
Charlot,KRLT,XRLT
der,TR,T
König,KNK,KN
des,TS,
Kino,KN,
So,S,
diss,TS,
isch,AX,
füer,FR,F
Dampfnüdle,TMPFNTL,
Madame,MTM,
Knüppe,KNP,
Jetzt,YTST,
haw,HF,HV
i,A,
noch,NR,
