forme,key1,key2
Äins,ANS,
zwäi,TSV,
drey,TR,
vier,FR,V
fünef,FNF,
sechs,SKS,SX
Schun,XN,
sechs,SKS,SX
—,,
Jetz,YTS,
isch,AX,
’s,S,
ganz,KNS,KNTS
finschter,FNXTR,FNXT
drüsse,TRS,
un,AN,
der,TR,T
käiwe,KF,KV
Xaverel,KSFRL,KSVRL
isch,AX,
noch,NR,
nitt,NT,
do,T,
Wie,V,
der,TR,T
widder,VTR,VT
erumspangelt,ARMXPNKLT,
wann,VN,
ne,N,
numme,NM,
dr,TR,
Hanstrapp,HNXTRP,
verwitsche,FRVTX,VRVTX
dät,TT,
Grossbabbe,KRSPP,
ich,A,AX
bin,PN,
glich,KL,KLX
erin,ARN,
wie,V,
’s,S,
finschter,FNXTR,FNXT
isch,AX,
worre,VR,
Ich,A,AX
hab,HP,
Angscht,ANKXT,
dr,TR,
Hanstrapp,HNXTRP,
kummt,KMT,
So,S,
jetz,YTS,
welle-mr,VLMR,
z’,S,
nacht,NRT,
asse,AS,
Marikel,MRKL,
gib,KP,
mr,MR,
d’,T,
Hütt,HT,
vun,FN,VN
dr,TR,
Millich,ML,MLX
Dü,T,
wäisch,VX,
ass,AS,
d’,T,
Hütt,HT,
füer,FR,F
de,T,
Grossbabbe,KRSPP,
isch,AX,
Gib,KP,
’s,S,
em,AM,
numme,NM,
wann-r,VNR,
se,S,
garn,KRN,
hett,HT,
—,,
Awer,AVR,AY
der,TR,T
Bohnekaffe,PNKF,
schmeckt,XMKT,
so,S,
guet,KT,
diss,TS,
esch,AX,
doch,TR,
kenn,KN,
Ersatz,ARSTS,
meh,M,
diss,TS,
schmeckt,XMKT,
ganz,KNS,KNTS
andersch,ANTRX,
ass,AS,
wie,V,
der,TR,T
Wiedegrund,VTKRNT,
Ich,A,AX
hab,HP,
ne,N,
bekumme,PKM,
vun,FN,VN
dr,TR,
Madam,MTM,
Lefèvre,LFFR,LFVR
sie,S,
hett,HT,
mr,MR,
äu,A,
schöens,XNS,
Wissmahl,VSML,
gann,KN,
Ich,A,AX
hab,HP,
e,A,
natt,NT,
’s,S,
Küechel,KRL,
gebache,KPR,KVR
Uuh,A,
—,,
Kueche,KR,
Marikel,MRKL,
gäb,KP,
mr,MR,
e,A,
Stückel,XTKL,
Kueche,KR,
Näin,NN,
näin,NN,
Buwele,PFL,PVL
—,,
der,TR,T
isch,AX,
fuer,FR,F
morje,MRY,
Wäisch,VX,
morje,MRY,
-n-,N,
isch,AX,
Wihnachte,VNRT,
un,AN,
do,T,
hett,HT,
uns,ANS,
d’,T,
Mamme,MM,
als,ALS,
äu,A,
Kueche,KR,
gebache,KPR,KVR
Mäinsch,MNX,
kummt,KMT,
hitt,HT,
Owe,AF,AV
äu,A,
s’,S,
Chrischtkindel,KRXTKNTL,XRXTKNTL
zue,TS,
uns,ANS,
Ich,A,AX
hab,HP,
alle,AL,
Nacht,NRT,
gebatt,KPT,KVT
ass-es,ASS,
mir,MR,
ebs,APS,
Schöens,XNS,
bringe,PRNK,
