forme,key1,key2
Ööha,AH,
—,,
dü,T,
Käib,KP,
dü,T,
kinitzischer,KNTSXR,KNTSX
—,,
rum,RM,
Bless,PLS,
—,,
Satan,STN,
Wie,V,
dar,TR,
widder,VTR,VT
’s,S,
Vieh,F,V
schinde,XNT,
duet,TT,
dar,TR,
Mummel,MML,
—,,
Jetz,YTS,
haw-i,HV,
ball,PL,
alli,AL,
Babierlotarne,PPRLTRN,PVRLTRN
branne,PRN,
—,,
as,AS,
macht,MRT,
sich,S,SX
erscht,ARXT,
noch,NR,
natt,NT,
Do,T,
ware,VR,
d’,T,
Schimnässler,XMNSLR,XMNSL
spanne,XPN,
Aah,A,
—,,
aah,A,
—,,
aah,A,
Kuenz,KNS,KNTS
un,AN,
Franc,FRNK,
Was,VS,
isch,AX,
dann,TN,
bassiert,PSRT,
Aah,A,
—,,
aah,A,
—,,
aah,A,
—,,
aah,A,
Franç,FRN,
Jetz,YTS,
redd,RT,
doch,TR,
emol,AML,
was,VS,
hesch,HX,
Ich,A,AX
bin,PN,
ohne,AN,
―,,
ich,A,AX
mi,M,
ghebbt,KPT,
hab,HP,
vun,FN,VN
dr,TR,
Läiter,LTR,LT
era,AR,
kejt,KT,
Nä,N,
—,,
so,S,
e,A,
Dolle,TL,
Sisch,SX,
guet,KT,
so,S,
Doni,TN,
—,,
züendt,TSNT,
Lampions,LMPNS,
volls,FLS,VLS
an,AN,
Es,AS,
hett,HT,
Nachtglock,NRTKLK,
gelitte,KLT,
jetz,YTS,
wäre,VR,
se,S,
glich,KL,KLX
kumme,KM,
Dü,T,
François,FRNS,
hilfsch,HLFX,
im,AM,
Doni,TN,
serviere,SRFR,SRVR
—,,
as,AS,
gitt,KT,
nurre,NR,
Win,VN,
un,AN,
am,AM,
zehne,TSN,
gitts,KTS,
Grumbeeresalat,KRMPRSLT,
un,AN,
Würschtle,VRXTL,
ass,AS,
se,S,
widder,VTR,VT
besser,PSR,PS
drinke,TRNK,
kenne,KN,
Es,AS,
sell,SL,
hitt,HT,
Owe,AF,AV
luschti,LXT,
ware,VR,
as,AS,
sell,SL,
ebs,APS,
druff,TRF,
gehn,KN,
an,AN,
mim,MM,
50.,,
Geburtsdäuj,KPRTST,KVRTST
Waje,VY,
dam,TM,
kumme,KM,
se,S,
jo,Y,
numme,NM,
Uns,ANS,
Räppels,RPLS,
Mäud,MT,
hett,HT,
mr,MR,
verzehlt,FRTSLT,VRTSLT
de,T,
Mäischter,MXTR,MXT
hett,HT,
sich,S,SX
de,T,
ganze,KNTS,
Däuj,T,
ingbschlosse,ANKPXLS,
ar,AR,
lehrt,LRT,
ebs,APS,
üsewandi,ASFNT,ASVNT
wie-r,VR,
dene,TN,
n-,N,
Owe,AF,AV
ufsäue,AFS,
will,VL,
Diss,TS,
kann,KN,
jo,Y,
guet,KT,
wäre,VR,
Ju,Y,
ju,Y,
—,,
gar,KR,
wann,VN,
se,S,
emol,AML,
Hawere,HVR,HYR
hann,HN,
Un,AN,
dr,TR,
verruckt,FRKT,VRKT
Sässelmacher,SSLMRR,SSLMR
dr,TR,
alt,ALT,
Sauvinger,SFNKR,SVNK
kummt,KMT,
äu,A,
—,,
do,T,
gitt,KT,
’s,S,
ebs,APS,
ze,TS,
lache,LR,
wann,VN,
dar,TR,
se,S,
widder,VTR,VT
fahre,FR,
losst,LST,
Jetz,YTS,
babbel,PPL,
nitt,NT,
als,ALS,
un,AN,
schaff,XF,
dini,TN,
Arwet,ARVT,
Was,VS,
luejt,LT,
dr,TR,
dann,TN,
züem,TSM,
Hossesack,HSSK,
erüss,ARS,
Was,VS,
las,LS,
i,A,
do,T,
„,,
Mini,MN,
Häimet,HMT,
“,,
Mäischter,MXTR,MXT
as,AS,
Sinn,SN,
Varsle,FRSL,VRSL
vum,FM,VM
Lücien,LKN,LK
wie,V,
ar,AR,
salwer,SLVR,SLV
ufgsetzt,AFKSTST,
hett,HT,
üss-em,ASM,
Kopf,KPF,
—,,
un,AN,
schöen,XN,X
„,,
Am,AM,
goldiche,KLTX,
Ahrefald,ARFLT,
do,T,
steht,XTT,
e,A,
Hiesel,HSL,
“,,
Geh,K,
geh,K,
steck,XTK,
’s,S,
uf,AF,
Halt,HLT,
’s,S,
Müll,ML,
—,,
datsch,TTX,
besser,PSR,PS
dran,TRN,
duen,TN,T
im,AM,
Gebattbüechel,KPTPRL,KVTPRL
ze,TS,
lase,LS,
Jetz,YTS,
hann,HN,
mr,MR,
äu,A,
noch,NR,
e,A,
Dichter,TXTR,TXT
in,AN,
dr,TR,
Familie,FML,
Diss,TS,
haw-i,HV,
gar,KR,
nitt,NT,
gewüesst,KFST,KVST
ass,AS,
dr,TR,
Harr,HR,
Kunst,KNXT,
moler,MLR,ML
äu,A,
noch,NR,
Varsle,FRSL,VRSL
macht,MRT,
Salü,SL,
François,FRNS,
ich,A,AX
hab,HP,
ebs,APS,
mit,MT,
dr,TR,
ze,TS,
redde,RT,
Doni,TN,
zäj,TS,
luej,L,
was,VS,
d’,T,
Rotschack,RTXK,
als,ALS,
furt,FRT,
ze,TS,
brüele,PRL,
hett,HT,
kej-ere,KR,
emol,AML,
e,A,
Hampfel,HMPFL,
Häj,H,
ning,NNK,
Ich,A,AX
schmeck,XMK,
de,T,
Büschon,PXN,
—,,
do,T,
sell,SL,
ich,A,AX
ebs,APS,
nitt,NT,
höere,HR,
Was,VS,
isch,AX,
Kohler,KLR,KL
ass-r,ASR,
so,S,
arnscht,ARNXT,
lueje,LY,
's,S,
François,FRNS,
ich,A,AX
mues,MS,
diss,TS,
Gald,KLT,
hann,HN,
wie,V,
de,T,
mr,MR,
schuldi,XLT,
bisch,PX,
—,,
as,AS,
macht,MRT,
jetz,YTS,
üewer,AFR,AV
200,,
Mk,MK,
—,,
ich,A,AX
mües-es,MSS,
hann,HN,
—,,
Ich,A,AX
hab,HP,
e,A,
Termin,TRMN,
zu,TS,
bezahle,PTSL,
Ho,H,
säue,S,
numme,NM,
nitt,NT,
schuldi,XLT,
—,,
ich,A,AX
hab,HP,
verlore,FRLR,VRLR
an,AN,
Ejch,AX,
üewerem,AFRM,AVRM
Karte,KRT,
spiele,XPL,
—,,
Ich,A,AX
hätt,HT,
nitt,NT,
Bäädle,PTL,
sotte,ST,
mit,MT,
Ejch,AX,
Dü,T,
wursch,VRX,
doch,TR,
nitt,NT,
säue,S,
welle,VL,
ass,AS,
ich,A,AX
bschisse,PXS,
hab,HP,
Hesch,HX,
mr,MR,
jo,Y,
kenn,KN,
Ruehj,RY,
gelonn,KLN,
oder,ATR,AT
ich,A,AX
hab,HP,
mit,MT,
dr,TR,
gspielt,KXPLT,
halwi,HLV,
Nächt,NRT,
—,,
jetz,YTS,
hesch,HX,
e,A,
Hüffe,HF,
ver,FR,V
lore,LR,
jetz,YTS,
kejt,KT,
’s,S,
di,T,
gall,KL,
Wie,V,
soll,SL,
i,A,
jetz,YTS,
awer,AVR,AY
so,S,
schnell,XNL,
100,,
Mk,MK,
häre,HR,
nämme,NM,
200,,
kenn,KN,
100,,
Mk,MK,
—,,
—,,
Diner,TNR,TN
Vater,FTR,VT
hett,HT,
Ihr,AR,
sinn,SN,
richi,RX,
Litt,LT,
un,AN,
ich,A,AX
bin,PN,
e,A,
armer,ARMR,ARM
garde-chasse,KRTXS,
Geh,K,
emol,AML,
im,AM,
Vater,FTR,VT
an,AN,
d’,T,
Kass,KS,
do,T,
isch,AX,
Glüwes,KLFS,KLVS
Stahle,XTL,
sell,SL,
i,A,
Zuem,TSM,
Dieb,TP,
sell,SL,
i,A,
wäre,VR,
A,A,
—,,
babbel,PPL,
Dieb,TP,
Nimm,NM,
doch,TR,
kenn,KN,
so,S,
Wort,VRT,
in,AN,
’s,S,
Müll,ML,
—,,
—,,
Dieb,TP,
Wann,VN,
dir,TR,
de,T,
Vater,FTR,VT
meh,M,
Gald,KLT,
dat,TT,
gann,KN,
kennsch,KNX,
dr,TR,
äu,A,
meh,M,
gunne,KN,
awer,AVR,AY
ar,AR,
halt,HLT,
dich,T,TX
jo,Y,
so,S,
knapp,KNP,
—,,
no,N,
holt,HLT,
mr,MR,
sich,S,SX
ewe,AF,AV
wan-r,VNR,
nix,NKS,
erüss,ARS,
wichst,VKST,VXT
—,,
diss,TS,
isch,AX,
doch,TR,
kenn,KN,
Diebstahl,TPXTL,
—,,
e,A,
paar,PR,
Märikle,MRKL,
Dü,T,
kännsch,KNX,
mine,MN,
Vater,FTR,VT
wie,V,
arich,AR,ARX
ass-er,ASR,AS
isch,AX,
gar,KR,
in,AN,
Galdsache,KLTSR,
un,AN,
noch,NR,
wann,VN,
i,A,
stahle,XTL,
dat,TT,
—,,
ich,A,AX
gläub,KLP,
ar,AR,
dat,TT,
mi,M,
racta,RKT,
zamme,TSM,
schiese,XS,
Ar,AR,
brücht,PRRT,
jo,Y,
nitt,NT,
drhinter,TRHNTR,TRHT
ze,TS,
kumme,KM,
ass,AS,
dü,T,
’s,S,
bisch,PX,
gewann,KFN,KVN
—,,
ar,AR,
wäis,VS,
jo,Y,
äu,A,
nix,NKS,
drvun,TRFN,TRVN
ass,AS,
de,T,
als,ALS,
braconie,PRKN,
rsch,RX,
Mäinsch,MNX,
wann,VN,
ich-m,AXM,
diss,TS,
dät,TT,
säue,S,
Bscht,PXT,
—,,
ums,AMS,
Himmelswille,HMLSVL,
seje,SY,
stille,XTL,
Ja,Y,
jetz,YTS,
redd,RT,
—,,
wie,V,
isch,AX,
’s,S,
mit-em,MTM,
Gald,KLT,
ich,A,AX
mues-es,MSS,
hann,HN,
un,AN,
wann,VN,
de,T,
mich,M,MX
drum,TRM,
bschumle,PXML,
witt,VT,
no,N,
wurr,VR,
ich,A,AX
wisse,VS,
was,VS,
i,A,
ze,TS,
mache,MR,
hab,HP,
Dü,T,
hesch,HX,
’s,S,
an,AN,
mich,M,MX
verspielt,FRXPLT,VRXPLT
no,N,
will,VL,
is,AS,
äu,A,
—,,
wann,VN,
ich,A,AX
’s,S,
an,AN,
dich,T,TX
verspielt,FRXPLT,VRXPLT
hatt,HT,
müest,MXT,
ich,A,AX
dr,TR,
’s,S,
äu,A,
gann,KN,
Diner,TNR,TN
Vater,FTR,VT
hett,HT,
doch,TR,
immer,AMR,AM
Gald,KLT,
genuej,KN,
d',T,
häim,HM,
leje,LY,
Wann,VN,
d’,T,
s,S,
schlöj,XL,
anpaksch,ANPKX,
kummt,KMT,
gar,KR,
kenn,KN,
Verdacht,FRTRT,VRTRT
uf,AF,
dich,T,TX
Ich,A,AX
wäis,VS,
nitt,NT,
wie,V,
ich,A,AX
diss,TS,
anstelle,ANXTL,
sell,SL,
Ar,AR,
hett,HT,
dato,TT,
grad,KRT,
’s,S,
Gald,KLT,
vun,FN,VN
dr,TR,
Starwekass,XTRVKS,
im,AM,
Sekretär,SKRTR,
leje,LY,
awer,AVR,AY
in,AN,
die,T,
Stub,XTP,
kummt,KMT,
nieme,NM,
as,AS,
wie,V,
dr,TR,
Vater,FTR,VT
un,AN,
ich,A,AX
un,AN,
dr,TR,
Lücien,LKN,LK
Diss,TS,
trifft,TRFT,
sich,S,SX
jo,Y,
famos,FMS,
Höer,HR,H
mine,MN,
Plan,PLN,
Hit,HT,
Nacht,NRT,
am,AM,
elf,ALF,
wann,VN,
Fierowe,FRF,FRV
isch,AX,
no,N,
bschliesch,PXLX,
doch,TR,
dü,T,
als,ALS,
d’,T,
Wirtschaft,VRTXFT,
—,,
na,N,
no,N,
duesch,TX,
dene,TN,
Fänschter,FNXTR,FNXT
lade,LT,
wie,V,
hinte,HNT,HT
nüss,NS,
geht,KT,
nitt,NT,
inhänke,ANNK,
ass,AS,
ich,A,AX
erin,ARN,
kann,KN,
un,AN,
no,N,
langsch,LNKX,
mr,MR,
diss,TS,
Gald,KLT,
im,AM,
Sekretär,SKRTR,
wass-es,VSS,
meh,M,
isch,AX,
ass,AS,
de,T,
mr,MR,
schuldi,XLT,
bisch,PX,
gib,KP,
ich,A,AX
dir,TR,
zeruck,TSRK,
no,N,
hesch,HX,
äu,A,
e,A,
paar,PR,
Livres,LFRS,LVRS
Gald,KLT,
im,AM,
Sack,SK,
Un,AN,
jetz,YTS,
kummt,KMT,
d’,T,
Häubtsach,HPTSR,
—,,
In,AN,
de,T,
Sekretär,SKRTR,
läje,LY,
mr,MR,
do,T,
diss,TS,
Notizbüechel,NTSPRL,
ich,A,AX
hab,HP,
’s,S,
do,T,
im,AM,
Hoft,HFT,
gfunge,KFNK,
’s,S,
isch,AX,
im,AM,
Lücien,LKN,LK
laje,LY,
noch,NR,
diss,TS,
Visitekärtel,FSTKRTL,VSTKRTL
nin,NN,
„,,
Mademoiselle,MTMSL,
Fifi,FF,
Krall,KRL,
“,,
—,,
no,N,
kummt,KMT,
kenn,KN,
Mensch,MNX,
druff,TRF,
as,AS,
dü,T,
diss,TS,
Gald,KLT,
genumme,KNM,
hesch,HX,
Kohler,KLR,KL
—,,
diss,TS,
sell,SL,
ich,A,AX
mache,MR,
dr,TR,
Lücien,LKN,LK
in,AN,
de,T,
Verdacht,FRTRT,VRTRT
bringe,PRNK,
Jesses,YSS,
näin,NN,
alles,ALS,
numme,NM,
diss,TS,
nitt,NT,
numme,NM,
nix,NKS,
eso,AS,
Dr,TR,
Vater,FTR,VT
hett,HT,
schun,XN,
e,A,
Bicker,PKR,PK
üewer,AFR,AV
ne,N,
un,AN,
kann,KN,
ne,N,
nitt,NT,
liede,LT,
will-r,VLR,
als,ALS,
Kunschtmoler,KNXTMLR,KNXTML
will,VL,
ware,VR,
—,,
näin,NN,
näin,NN,
Kohler,KLR,KL
seje,SY,
doch,TR,
verstandi,FRXTNT,VRXTNT
—,,
Ich,A,AX
gib,KP,
Ejch,AX,
jo,Y,
’s,S,
Gald,KLT,
—,,
warte,VRT,
noch,NR,
e,A,
weng,VNK,
—,,
ich,A,AX
—,,
ich,A,AX
—,,
—,,
Was,VS,
—,,
ich,A,AX
—,,
ich,A,AX
Wann,VN,
witt,VT,
mr,MR,
’s,S,
dann,TN,
gann,KN,
Vun,FN,VN
dim,TM,
Sunndigald,SNTKLT,SNTYLT
Diss,TS,
isch,AX,
dr,TR,
bescht,PXT,
Momant,MMNT,MMT
jetz,YTS,
—,,
un,AN,
ich,A,AX
mues,MS,
Gald,KLT,
hann,HN,
Wann,VN,
de,T,
nitt,NT,
machsch,MRX,MXX
wie,V,
ich,A,AX
dr,TR,
gsäit,KST,
hab,HP,
no,N,
sinn,SN,
mr,MR,
gschiedene,KXTN,
Litt,LT,
un,AN,
ich,A,AX
wurr,VR,
wisse,VS,
was,VS,
ich,A,AX
ze,TS,
mache,MR,
hab,HP,
—,,
coute,KT,
que,KV,
coute,KT,
Mäinsch,MNX,
wann,VN,
de,T,
waje-nem,VYNM,
braconniere,PRKNR,
in,AN,
’s,S,
Giggerle,KKRL,
kämsch,KMX,
—,,
hahaha,HHH,
Näin,NN,
die,T,
Schand,XNT,
—,,
ich,A,AX
im,AM,
Durn,TRN,
Ich,A,AX
wäis,VS,
wie,V,
’s,S,
drinne,TRN,
üssieht,AST,
—,,
ich,A,AX
hab,HP,
äu,A,
schun,XN,
3,,
Monet,MNT,
gebrummt,KPRMT,
wäje-nem,VYNM,
braconniere,PRKNR,
un,AN,
diner,TNR,TN
äje,AY,
Vater,FTR,VT
hett,HT,
mich,M,MX
ning,NNK,
gebrocht,KPRRT,
Miner,MNR,MN
Vater,FTR,VT
Jo,Y,
do,T,
dank,TNK,
ich,A,AX
nimi,NM,
dran,TRN,
ar,AR,
hett,HT,
mi,M,
angezäijt,ANKTST,
will,VL,
i,A,
braconniert,PRKNRT,
hab,HP,
diss,TS,
isch,AX,
schun,XN,
längscht,LNKXT,
ver,FR,V
gasse,KS,
—,,
un,AN,
ar,AR,
hett,HT,
’s,S,
widder,VTR,VT
guet,KT,
gemacht,KMRT,
geje,KY,
mi,M,
—,,
ar,AR,
hett,HT,
mich,M,MX
salwer,SLVR,SLV
vorgschläue,FRKXL,VRKXL
als,ALS,
garde-chasse,KRTXS,
im,AM,
Gmäinroot,KMNRT,
—,,
un,AN,
ar,AR,
gitt,KT,
mr,MR,
e,A,
manichs,MNKS,MNX
ze,TS,
verdiene,FRTN,VRTN
näwes,NFS,NVS
bi,P,
Was,VS,
will,VL,
i,A,
mache,MR,
—,,
Ihr,AR,
hann,HN,
mi,M,
im,AM,
Säckel,SKL,
—,,
Awer,AVR,AY
der,TR,T
Vater,FTR,VT
isch,AX,
so,S,
gähwidi,KVT,
—,,
„,,
Guet,KT,
Nacht,NRT,
“,,
im,AM,
Lücien,LKN,LK
ar,AR,
bringt,PRNKT,
ne,N,
um,AM,
O,A,
du,T,
Hosselottel,HSLTL,
—,,
as,AS,
wurd,VRT,
nitt,NT,
so,S,
gfährli,KFRL,
ware,VR,
un,AN,
dr,TR,
Lücien,LKN,LK
isch,AX,
dr,TR,
jo,Y,
schun,XN,
lang,LNK,
e,A,
Dorn,TRN,
im,AM,
Äuj,A,
—,,
dar,TR,
Aff,AF,
luejt,LT,
äine,AN,
jo,Y,
küm,KM,
un,AN,
küm,KM,
an,AN,
mit,MT,
sinne,SN,
Spinne,XPN,
im,AM,
Hirn,HRN,
—,,
Also,ALS,
dü,T,
machsch,MRX,MXX
’s,S,
gall,KL,
„,,
Frau,FR,
welle-nr,VLNR,
Bäse,PS,
jo,Y,
kumme,KM,
erin,ARN,
Hann’r,HNR,
schun,XN,
z’,S,
morje,MRY,
gasse,KS,
ja,Y,
schun,XN,
e,A,
Will,VL,
“,,
—,,
Bonjour,PNYR,
la,L,
compagnie,KMPKN,
Vingt-cinq,FNKTKNK,VNKTKNK
Pfiffedeckel,PFFTKL,
was,VS,
e,A,
Hitz,HTS,
—,,
hitt,HT,
gitt,KT,
’s,S,
noch,NR,
e,A,
Dunderwatter,TNTRVTR,TNTRVT
c'est,KXT,
la,L,
pure,PR,
vérité,FRT,VRT
Do,T,
haw-i,HV,
dene,TN,
Stuehl,XTL,
Luej,L,
do,T,
dr,TR,
Sässelmacher,SSLMRR,SSLMR
gall,KL,
schmecksch,XMKX,
ass-es,ASS,
ebs,APS,
ze,TS,
häbbe,HP,
gitt,KT,
bim,PM,
Kuentz,KNTS,KTS
hä,H,
I,A,
läigs,LKS,
nitt,NT,
ass,AS,
i,A,
gare,KR,
äins,ANS,
düdel,TTL,
wäisch,VX,
Roter,RTR,RT
dis,TS,
isch,AX,
kenn,KN,
Schand,XNT,
—,,
als,ALS,
bin,PN,
i,A,
noch,NR,
nitt,NT,
im,AM,
Gig,KK,K
gerle,KRL,
g’huckt,KKT,
wie,V,
verschiedeni,FRXTN,VRXTN
Ihr,AR,
hann,HN,
widder,VTR,VT
e,A,
böeses,PSS,
Müll,ML,
hitt,HT,
I,A,
läigs,LKS,
nitt,NT,
—,,
all,AL,
sell,SL,
d’,T,
rachte,RRT,
Litt,LT,
gehn,KN,
lonn,LN,
—,,
wann,VN,
i,A,
äu,A,
e,A,
-n-,N,
armer,ARMR,ARM
Zickel,TSKL,
bin,PN,
awer,AVR,AY
dar,TR,
Mann,MN,
isch,AX,
ehrli,ARL,
un,AN,
ehrli,ARL,
wahrt,VRT,
’s,S,
am,AM,
längschte,LNKXT,
—,,
bis,PS,
mrs,MRS,
züe,TS,
ebs,APS,
bringt,PRNKT,
Un,AN,
dir,TR,
François,FRNS,
möecht,MXT,
i,A,
als,ALS,
wittläificher,VTLFXR,VTLFX
Verwandter,FRVNTR,VRVNT
vun,FN,VN
dr,TR,
Familie,FML,
Kuenz,KNS,KNTS
de,T,
Roht,RT,
gahn,KN,
dr,TR,
rot,RT,
garde-chasse,KRTXS,
isch,AX,
kenn,KN,
Kamerad,KMRT,
füer,FR,F
dich,T,TX
Was,VS,
witt,VT,
dü,T,
do,T,
mit,MT,
säue,S,
Sauv,SF,SV
Do,T,
dr,TR,
mit,MT,
will,VL,
ich,A,AX
numme,NM,
säue,S,
ass,AS,
ich,A,AX
dr,TR,
Fran,FRN,
çois,S,
schun,XN,
manich,MN,MNX
mol,ML,
noch,NR,
de,T,
12,,
z’,S,
nachts,NRTS,
zue,TS,
dir,TR,
hab,HP,
sahn,SN,
