forme,key1,key2
Aloys,ALS,
ihr,AR,
hann,HN,
doch,TR,
d’,T,
Ge,K,
mäinderotsharre,MNTRTXR,MNTRTSHR
uf,AF,
6,,
Ühre,AR,
do,T,
häre,HR,
b’stellt,PSTLT,
—,,
—,,
Es,AS,
isch,AX,
jetz,YTS,
schun,XN,
20,,
Minüte,MNT,
üewer,AFR,AV
sechs,SKS,SX
un,AN,
noch,NR,
nieme,NM,
losst,LST,
sich,S,SX
sahn,SN,
Ich,A,AX
hab,HP,
's,S,
alle,AL,
g’säit,KST,
…,,
Awer,AVR,AY
bi,P,
danne,TN,
häisst,HST,
’s,S,
äu,A,
„,,
Kumm,KM,
i,A,
hitt,HT,
nit,NT,
ze,TS,
kumm,KM,
i,A,
mor’n,MRN,
“,,
wie,V,
zaller,TSLR,TSL
g'säit,KST,
hett,HT,
…,,
Noch,NR,
kener,KNR,KN
do,T,
Müess,MS,
dann,TN,
ich,A,AX
allewill,ALFL,ALVL
d'r,TR,
erscht,ARXT,
sinn,SN,
—,,
Wann,VN,
i,A,
diss,TS,
gewisst,KFST,KVST
hatt,HT,
ze,TS,
wärt,VRT,
ich,A,AX
nit,NT,
so,S,
geloffe,KLF,
Guete,KT,
-n-,N,
Owe,AF,AV
Matter,MTR,MT
Äner,ANR,AN
muess,MS,
d'r,TR,
erscht,ARXT,
sinn,SN,
d',T,
andere,ANTR,
wäre,VR,
äu,A,
glich,KL,KLX
kumme,KM,
—,,
Was,VS,
gitt,KT,
’s,S,
Neij,N,
’s,S,
Matter,MTR,MT
Neij,N,
’s,S,
Ich,A,AX
hab,HP,
noch,NR,
genuej,KN,
am,AM,
Alte,ALT,
…,,
Guete,KT,
-n-,N,
Owe,AF,AV
bienand,PNNT,
—,,
Do,T,
wärde,VRT,
m'r,MR,
…,,
Ju,Y,
ju,Y,
—,,
hitt,HT,
wärmt,VRMT,
’s,S,
famos,FMS,
Ja,Y,
es,AS,
macht,MRT,
warm,VRM,
schun,XN,
ebbene,APN,
14,,
Däj,T,
häre,HR,
Numme,NM,
zü,TS,
warm,VRM,
as,AS,
isch,AX,
viel,FL,VL
ze,TS,
drucket,TRKT,
drüsse,TRS,
im,AM,
Fald,FLT,
—,,
d'r,TR,
Büür,PR,
derf,TRF,
halt,HLT,
ken,KN,K
Glüeck,KLK,
hann,HN,
—,,
—,,
Jo,Y,
hiele,HL,
nurre,NR,
nit,NT,
eb’r,APR,
d',T,
’,,
Schläj,XL,
hann,HN,
wie,V,
zaller,TSLR,TSL
g'säit,KST,
hett,HT,
—,,
As,AS,
isch,AX,
guet,KT,
füer,FR,F
d’,T,
Rawe,RV,RY
diss,TS,
Watter,VTR,VT
Schollesepp,XLSP,
und,ANT,
Groshans,KRXNS,KRSHNS
Salü,SL,
biesamme,PSM,
Guete,KT,
-n-,N,
Owe,AF,AV
Herr,HR,
Maire,MR,
Guete,KT,
-n-,N,
Ovre,AFR,AVR
Schierejerry,XRYR,
—,,
Bonjour,PNYR,
Mat,MT,
ter,TR,T
wie,V,
geht,KT,
’s,S,
allewill,ALFL,ALVL
Poh,P,
—,,
wie,V,
mr,MR,
’s,S,
triebt,TRPT,
Bisch,PX,
kurz,KRS,KRTS
angebunge,ANKPNK,ANKVNK
hitt,HT,
—,,
Wie,V,
fahlt,FLT,
’s,S,
Ar,AR,
isch,AX,
mitm,MTM,
linke,LNK,
Fuess,FS,
z’,S,
erscht,ARXT,
’s,S,
Bett,PT,
ra,R,
wie,V,
zaller,TSLR,TSL
g’säit,KST,
hett,HT,
Ich,A,AX
kann,KN,
zuem,TSM,
Bett,PT,
ra,R,
mit,MT,
well,VL,
'm,M,
Fuess,FS,
ass,AS,
ich,A,AX
will,VL,
ze,TS,
gitt,KT,
’s,S,
dich,T,TX
nix,NKS,
an,AN,
verstange,FRXTNK,VRXTNK
—,,
Un,AN,
ich,A,AX
mäin,MN,
mir,MR,
kennte,KNT,
anfange,ANFNK,AFNK
Herr,HR,
Maire,MR,
uf,AF,
d’,T,
andere,ANTR,
brüche,PRR,
m'r,MR,
nit,NT,
ze,TS,
warte,VRT,
e,A,
Nuntebuckel,NNTPKL,NTVKL
noch-emol,NRML,
Un,AN,
ich,A,AX
möecht,MXT,
gar,KR,
wisse,VS,
wäje,VY,
was,VS,
ass,AS,
m'r,MR,
z',S,
samme,SM,
müen,MN,M
kumme,KM,
Jo,Y,
—,,
warte,VRT,
m'r,MR,
nimm,NM,
länger,LNKR,LNK
fange,FNK,
m'r,MR,
an,AN,
D’r,TR,
Sohler,SLR,SL
kummt,KMT,
noch,NR,
dar,TR,
isch,AX,
allewill,ALFL,ALVL
d'r,TR,
letscht,LTXT,
dann,TN,
von,FN,VN
sim,SM,
Hüs,HS,
do,T,
hare,HR,
sin,SN,
zwäij,TSV,
Wurtshieser,VRTXSR,VRTSHS
un,AN,
do,T,
kann’r,KNR,
nit,NT,
d’,T,
ran,RN,
verbie,FRP,VRP
Ju,Y,
ju,Y,
ar,AR,
meint,MNT,MT
ar,AR,
kummt,KMT,
in,AN,
d’,T,
Höll,HL,
wann’r,VNR,
am,AM,
e,A,
Wurtshüs,VRTXS,VRTSHS
verbie,FRP,VRP
geht,KT,
Wie,V,
m'r,MR,
d'r,TR,
Esel,ASL,
nannt,NNT,
ze,TS,
kummt’r,KMTR,
gerannt,KRNT,
wie,V,
zaller,TSLR,TSL
g’säit,KST,
hett,HT,
Salü,SL,
bien,PN,P
de,T,
Herrschafte,HRXFT,
Oho,AH,
sinn’r,SNR,
schun,XN,
alli,AL,
do,T,
Alle,AL,
alle,AL,
Sohler,SLR,SL
As,AS,
isch,AX,
ken,KN,K
Plan,PLN,
diss,TS,
am,AM,
halwer,HLVR,HLV
siewe,SF,SV
ze,TS,
kumme,KM,
wann,VN,
m'r,MR,
uf,AF,
sechts,SXTS,
b’stellt,PSTLT,
wurd,VRT,
M’r,MR,
kummt,KMT,
jo,Y,
an,AN,
ken,KN,K
And,ANT,
Exküse,AKSKS,
Herr,HR,
Maire,MR,
—,,
ich,A,AX
hab,HP,
noch,NR,
schnell,XNL,
e,A,
Paar,PR,
Schueh,X,
ferti,FRT,
muen,MN,M
mache,MR,
Ju,Y,
ju,Y,
—,,
war,VR,
’s,S,
gläubt,KLPT,
Biem,PM,
Kronewirt,KRNFRT,KRNVRT
isch’r,AXR,
g’huckt,KKT,
Rühe,RH,
Ihr,AR,
Harre,HR,
mir,MR,
fange,FNK,
an,AN,
as,AS,
sinn,SN,
alli,AL,
do,T,
—,,
D’r,TR,
Adjunkt,ATYNKT,
Sürkopf,SRKPF,
isch,AX,
entschuldigt,ANTXLTKT,ATXLTKT
ar,AR,
isch,AX,
uf,AF,
’m,M,
Gericht,KRXT,
waje,VY,
simm,SM,
Prozass,PRTSS,
mit,MT,
’m,M,
Wewerlanz,VFRLNS,VVRLNTS
D’r,TR,
Greffier,KRFR,KRF
dem,TM,
isch,AX,
so,S,
arich,AR,ARX
huttlächt,HTLRT,
—,,
ar,AR,
hetts,HTS,
hingerschi,HNKRX,
un,AN,
vierschi,FRX,VRX
…,,
Dar,TR,
hett,HT,
äu,A,
alle,AL,
bezitte,PTST,
ebs,APS,
Na,N,
—,,
ich,A,AX
üewernimm,AFRNM,AVRNM
sin,SN,
Ämtel,AMTL,
einschtwille,ANXTVL,
Was,VS,
isch,AX,
Schollesepp,XLSP,
was,VS,
mache,MR,
eijeri,AYR,
Söij,S,
duen-r-se,TNRS,
ball,PL,
metze,MTS,
Wie,V,
sell,SL,
ich,A,AX
mich,M,MX
ane,AN,
setze,STS,
Naan,NN,
bliewe,PLF,PLV
doch,TR,
Ich,A,AX
maan,MN,
—,,
wenn’r,VNR,
d’,T,
Söij,S,
metze,MTS,
metze,MTS,
Galle,KL,
ihr,AR,
basse,PS,
uf,AF,
d’,T,
Kuttelsupp,KTLSP,
Am,AM,
nächschte,NXXT,
Samschti,SMXT,
Do,T,
sotte,ST,
ihr,AR,
emol,AML,
mini,MN,
Kalwe,KLV,
sahn,SN,
—,,
die,T,
macht,MRT,
sich,S,SX
—,,
e,A,
Ütter,ATR,AT
hett-se,HTS,
ich,A,AX
lüej,L,
nit,NT,
wie,V,
e,A,
Küewel,KFL,KVL
Wenn,VN,
ich,A,AX
die,T,
uf,AF,
d’,T,
Üsstellung,ASTLNK,
mach,MR,
be,P,
kumm,KM,
ich,A,AX
sicher,SXR,SX
de,T,
erschte,ARXT,
Pris,PRS,
’s,S,
wurd,VRT,
nit,NT,
so,S,
g’fährli,KFRL,
sinn,SN,
dinni,TN,
Eier,AR,A
hann,HN,
äu,A,
alli,AL,
zwäi,TSV,
Dutter,TTR,TT
Wäisch,VX,
Matter,MTR,MT
mini,MN,
Küehj,KY,
gehn,KN,
nit,NT,
an,AN,
de,T,
Krucke,KRK,
—,,
bie,P,
mir,MR,
wurd,VRT,
nit,NT,
g’spart,KXPRT,
am,AM,
Fue,F,
der,TR,T
galle,KL,
Schierejerry,XRYR,
Ju,Y,
ju,Y,
—,,
ich,A,AX
sää,S,
a,A,
soviel,SFL,SVL
—,,
un,AN,
a,A,
soviel,SFL,SVL
derf,TRF,
m'r,MR,
säuje,SY,
…,,
Zür,TSR,
Sache,SR,
Ihr,AR,
Harre,HR,
ich,A,AX
hab,HP,
ejch,AX,
z',S,
samme,SM,
kumme,KM,
lonn,LN,
„,,
betreffs,PTRFS,
Besprechüng,PXPRXNK,
wegen,VKN,VK
Einführung,ANFRNK,AFRNK
des,TS,
elektrischen,ALKTRXN,ALKTRX
Licht,LXT,
’s,S,
“,,
—,,
Hann’r,HNR,
mich,M,MX
verstange,FRXTNK,VRXTNK
Schollesepp,XLSP,
Ja,Y,
ja,Y,
ganz,KNS,KNTS
genäu,KN,
—,,
ich,A,AX
höer,HR,H
schun,XN,
e,A,
Zitt,TST,
hare,HR,
wieder,VTR,VT
ganz,KNS,KNTS
guet,KT,
—,,
Ja,Y,
was,VS,
füer,FR,F
e,A,
Licht,LXT,
isch,AX,
War,VR,
isch,AX,
g’schtorwe,KXTRV,
Vun-ere,FNR,VNR
Licht,LXT,
hett,HT,
nieme,NM,
geredt,KRT,
…,,
Doch,TR,
—,,
ihr,AR,
hann,HN,
’s,S,
jo,Y,
