forme,key1,key2
Die,T,
Gesundheit,KSNTHT,
ist,AXT,
des,TS,
Menschen,MNXN,MNX
höchstes,HKSTS,HXTS
und,ANT,
teuerstes,TRXTS,
Gut,KT,
Stimmt,XTMT,
diss,TS,
Buch,PR,
red't,RTT,
d',T,
Wohrheit,VRHT,
denn,TN,
e,A,
kranker,KRNKR,KRNK
Mensch,MNX,
isch,AX,
niemols,NMLS,
g'sund,KSNT,
un,AN,
wie,V,
d'r,TR,
Mensch,MNX,
nit,NT,
füer,FR,F
sini,SN,
G'sundheit,KSNTHT,
sorit,SRT,
no,N,
hett,HT,
's,S,
…,,
g'schellt,KXLT,
…,,
stimmt,XTMT,
no,N,
hett,HT,
's,S,
g'schellt,KXLT,
Daniel,TNL,
Daniel,TNL,
Daniel,TNL,
Mei,M,
Meischter,MXTR,MXT
es,AS,
hett,HT,
g'schellt,KXLT,
Diss,TS,
haw-ich,HV,HVX
au,A,
g'höert,KRT,
worum,VRM,
kumme-nr,KMNR,
denn,TN,
nit,NT,
wenn-mr,VNMR,
ruft,RFT,
I-ich,A,AX
hab,HP,
grad,KRT,
d',T,
Müsfall,MSFL,
g'stellt,KSTLT,
no,N,
haw-ich,HV,HVX
mr,MR,
noch,NR,
d'r,TR,
Finger,FNKR,FNK
verquetscht,FRKVTXT,VRKVTXT
's,S,
wurd,VRT,
nit,NT,
g'fährli,KFRL,
sinn,SN,
—,,
gehn,KN,
un,AN,
mache,MR,
-n-,N,
uff,AF,
Wer,VR,V
wurd,VRT,
diss,TS,
sinn,SN,
wo,V,
jetzt,YTST,
kummt,KMT,
allewäj,ALF,ALV
d'r,TR,
Barickes,PRKS,
Buschur,PXR,
Herr,HR,
Steinle,XTNL,
ich,A,AX
will,VL,
fröje,FRY,
ob,AP,
ich,A,AX
Eich,A,AX
ebs,APS,
mit,MT,
soll,SL,
bringe,PRNK,
üs,AS,
d'r,TR,
Stadt,XTT,
ich,A,AX
fahr,FR,
doch,TR,
grad,KRT,
nin,NN,
mit-em,MTM,
Tram,TRM,
e,A,
Kommission,KMSN,
mache,MR,
Doch,TR,
Anselm,ANSLM,
diss,TS,
isch,AX,
grad,KRT,
recht,RXT,
ass-r,ASR,
fröje,FRY,
…,,
Ihr,AR,
kennte,KNT,
m'r,MR,
üs,AS,
d'r,TR,
Drogerie,TRKR,TRYR
von,FN,VN
dem,TM,
Gift,KFT,
Ratten,RTN,RT
und,ANT,
Mäusetod,MSTT,
mitbringe,MTPRNK,
Ich,A,AX
hab,HP,
in,AN,
letschter,LTXTR,LTXT
Zitt,TST,
so,S,
schrecklich,XRKL,XRKLX
viel,FL,VL
Mies,MS,
in,AN,
mim,MM,
Hüss,HS,
bis,PS,
in,AN,
d',T,
Stubb,XTP,
kumme,KM,
se,S,
m'r,MR,
sogar,SKR,SYR
es,AS,
isch,AX,
vun,FN,VN
nix,NKS,
andersch,ANTRX,
als,ALS,
vun,FN,VN
d'r,TR,
Mälzerei,MLTSR,
do,T,
newe,NF,NV
-n-,N,
uns,ANS,
Mir,MR,
hann,HN,
au,A,
soviel,SFL,SVL
Mies,MS,
g'hett,KT,
awer,AVR,AY
