forme,key1,key2
E,A,
Doktr,TKTR,
isch,AX,
wer,VR,V
hett,HT,
Idée,AT,
Zwiewele,TSVFL,TSVVL
wie,V,
Bum-Bum,PMPM,
E,A,
vielgeblöjtes,FLKPLTS,VLKPLTS
Menschekind,MNXKNT,
Zwiewele,TSVFL,TSVVL
wie,V,
Bum-Bum,PMPM,
Ihm,AM,
kläut'mr,KLTMR,
alles,ALS,
Leid,LT,
un,AN,
Weh,V,
Wenn,VN,
irgend,ARKNT,
’s,S,
Mensche,MNX,
unwohl,ANVL,
sinn,SN,
In,AN,
’s,S,
Innere,ANR,
kann,KN,
er,AR,A
zwar,TSVR,
nit,NT,
sähn,SN,
Zwiewele,TSVFL,TSVVL
wie,V,
Bum-Bum,PMPM,
Un,AN,
bstimme,PXTM,
wo,V,
die,T,
Krankheit,KRNKHT,
sitzt,STST,
Zwiewele,TSVFL,TSVVL
wie,V,
Bum-Bum,PMPM,
Doch,TR,
ich,A,AX
ich,A,AX
gläub,KLP,
s’,S,
isch,AX,
zu,TS,
versteh’n,FRXTN,VRXTN
Mach’,MR,
immer,AMR,AM
daß,TS,
d'r,TR,
Kranke,KRNK,
schwitzt,XVTST,
Ja,Y,
schwitze,XVTS,
isch,AX,
e,A,
prachtvolls,PRRTFLS,PRRTVLS
Universalmittel,ANFRSLMTL,ANVRSLMTL
bie'n,PN,
alle,AL,
Kranke,KRNK,
un,AN,
hilft,HLFT,
manchem,MNXM,
Verzwiefelte,FRTSVFLT,VRTSVFLT
widdr,VTR,
uff,AF,
d’,T,
Bein,PN,
Leider,LTR,LT
gibt,KPT,
’s,S,
awr,AVR,
e,A,
so,S,
viel,FL,VL
wo,V,
d',T,
Schwitzkürfür,XVTSKRFR,
ebs,APS,
ganz,KNS,KNTS
Gräßlichs,KRSLKS,KRSLX
halte,HLT,
biem,PM,
e,A,
Kranke,KRNK,
un,AN,
uewwer,AVR,AV
em,AM,
Schaffe,XF,
heißt,HST,
’s,S,
nur,NR,
nit,NT,
schwitze,XVTS,
awr,AVR,
biem,PM,
Keijle,KL,
Esse,AS,
un,AN,
Trinke,TRNK,
isch,AX,
’s,S,
kenn,KN,
Blöj,PL,
do,T,
geht,KT,
’s,S,
Ja,Y,
mit,MT,
de,T,
Patiente,PTNT,PTT
hett,HT,
m'r,MR,
sini,SN,
lieb,LP,
Not,NT,
e,A,
jeder,YTR,YT
möcht,MRT,
ander’sch,ANTRX,
b’han,PN,
delt,TLT,
sin,SN,
Einer,ANR,AN
mit,MT,
Mitleid,MTLT,
dr,TR,
ander,ANTR,ANT
mit,MT,
Grobheit,KRPT,
jener,YNR,YN
mit,MT,
Medezin,MTTSN,
zäller,TSLR,TSL
mit,MT,
Wasser,VSR,VS
oder,ATR,AT
heißi,HS,
Um,AM,
schläj,XL,
widdr,VTR,
anderi,ANTR,
mit,MT,
Iss,AS,
oder,ATR,AT
Unterhaltung,ANTRHLTNK,ATRHLTNK
un,AN,
no,N,
sin,SN,
noch,NR,
do,T,
die,T,
welle,VL,
mit,MT,
Ruej,R,
b’handelt,PNTLT,
sin,SN,
un,AN,
mir,MR,
Doktr,TKTR,
muen,MN,M
uns,ANS,
immer,AMR,AM
noch,NR,
de,T,
Lünne,LN,
von,FN,VN
de,T,
Kranke,KRNK,
richte,RXT,
des,TS,
heißt,HST,
also,ALS,
Geduld,KTLT,
han,HN,
Es,AS,
klopft,KLPFT,
gewiß,KFS,KVS
e,A,
Patient,PTNT,PTT
Entré,ANTR,ATR
Guete,KT,
Morje,MRY,
Herr,HR,
Doktr,TKTR,
Guete,KT,
Morje,MRY,
min,MN,
Liewer,LFR,LV
na,N,
sin,SN,
Ihr,AR,
krank,KRNK,
