forme,key1,key2
Schlächti,XLRT,
Zitte,TST,
schlächti,XLRT,
Gschäfter,KXFTR,KXFT
Kenn,KN,
Trinkgälder,TRNKKLTR,TRNKKLT
Schun,XN,
de,T,
ganz,KNS,KNTS
Döj,T,
wart,VRT,
ich,A,AX
uff,AF,
Gäscht,KXT,
wie,V,
d'r,TR,
Teijfel,TFL,
uff-e,AF,
-n-,N,
armi,ARM,
Seel,SL,
Andli,ANTL,
hitt,HT,
owe,AF,AV
hett,HT,
d'r,TR,
Facteur,FKTR,
e,A,
Depesch,TPX,
gebrocht,KPRRT,
Ersuche,ARSR,
um,AM,
ein,AN,
ruhiges,RHKS,RHYS
Zimmer,TSMR,TSM
nach,NR,
hinten,HNTN,HT
heraus,HRS,
Diss,TS,
känne,KN,
m'r,MR,
wenn,VN,
diss,TS,
Zimmer,TSMR,TSM
bstellt,PXTLT,
wurd,VRT,
nach,NR,
hinten,HNTN,HT
heräus,HRS,
no,N,
sinn,SN,
's,S,
als,ALS,
Hochzittspäärle,HRTSTXPRL,
die,T,
welle,VL,
nit,NT,
gstört,KXTRT,
sinn,SN,
drum,TRM,
welle,VL,
sie,S,
nach,NR,
hinten,HNTN,HT
heräus,HRS,
Do,T,
gitt,KT,
's,S,
Trinkgelder,TRNKKLTR,TRNKKLT
by,P,
de,T,
Hochzittspäärle,HRTSTXPRL,
m'r,MR,
muess,MS,
's,S,
numme,NM,
v'rstehn,FRXTN,VRXTN
un,AN,
ich,A,AX
v'rsteh,FRXT,VRXT
mich,M,MX
druff,TRF,
uffs,AFS,
Trinkgeld,TRNKKLT,
nämme,NM,
wie,V,
kenn,KN,
zwäiter,TSVTR,TSVT
Bie,P,
de,T,
Hochzittspäärle,HRTSTXPRL,
mach,MR,
ich,A,AX
mir,MR,
alle,AL,
gälte,KLT,
ebs,APS,
im,AM,
Zimmer,TSMR,TSM
ze,TS,
schaffe,XF,
no,N,
gitt,KT,
's,S,
Trinkgäld,TRNKKLT,
ass,AS,
ich,A,AX
widder,VTR,VT
nüss,NS,
geh,K,
denn,TN,
sie,S,
welle,VL,
alläin,ALN,
sinn,SN,
—,,
hehehe,HHH,
—,,
ich,A,AX
wäiss,VS,
worum,VRM,
Ich,A,AX
gickel,KKL,
als,ALS,
durch,TRX,
's,S,
Schlüsselloch,XLSLR,
D',T,
Poschtkütch,PXTKTX,
wurd,VRT,
jetz,YTS,
glich,KL,KLX
kumme,KM,
do,T,
wäre,VR,
sie,S,
drinne,TRN,
sinn,SN,
Alles,ALS,
in,AN,
schöenschter,XNXTR,XNXT
Ordnung,ARTNNK,
Blüeme,PLM,
uff'em,AFM,
Tisch,TX,
diss,TS,
macht,MRT,
e,A,
gueter,KTR,KT
Indruck,ANTRK,
do,T,
gitt,KT,
's,S,
Trinkgälder,TRNKKLTR,TRNKKLT
Jetz,YTS,
will,VL,
ich,A,AX
noch,NR,
niwwer,NVR,NV
un,AN,
zäll,TSL,
Zimmer,TSMR,TSM
abschliesse,APXLS,
Do,T,
soll,SL,
mr,MR,
nitt,NT,
wüeti,VT,
wäre,VR,
Endlich,ANTL,ANTLX
allein,ALN,
Endlich,ANTL,ANTLX
allein,ALN,
endlich,ANTL,ANTLX
allein,ALN,
Wenn,VN,
ich,A,AX
nurre,NR,
emol,AML,
endlich,ANTL,ANTLX
allein,ALN,
wär,VR,
Wenn,VN,
mr,MR,
sich,S,SX
uff,AF,
eijch,AX,
Wibslitt,VPSLT,
vrlosst,FRLST,VRLST
no,N,
isch,AX,
me,M,
vrlonn,FRLN,VRLN
Ich,A,AX
hab,HP,
d'r,TR,
noch,NR,
extra,AKSTR,
gsaat,KST,
dü,T,
sollsch,SLX,
im,AM,
Güschtäffel,KXTFL,
jo,Y,
saue,S,
er,AR,A
soll,SL,
d'r,TR,
Kinjelestall,KNYLXTL,
bschliesse,PXLS,
—,,
awer,AVR,AY
vrgässe,FRKS,VRKS
—,,
Un,AN,
wär,VR,
Minni,MN,
Frau,FR,
—,,
Un,AN,
die,T,
Moor,MR,
het,HT,
au,A,
noch,NR,
Jungi,YNK,
Awer,AVR,AY
Felix,FLKS,
sej,S,
doch,TR,
nit,NT,
so,S,
hitt,HT,
D'r,TR,
Güschtäffel,KXTFL,
wurd,VRT,
schun,XN,
dran,TRN,
dänke,TNK,
Dran,TRN,
dänke,TNK,
Hättsch,HTX,
dü,T,
dran,TRN,
gedänkt,KTNKT,
O,A,
Wiewer,VFR,VV
wenn,VN,
ihr,AR,
halt,HLT,
alt,ALT,
wäre,VR,
Jo,Y,
natirli,NTRL,
jetz,YTS,
wur,VR,
