forme,key1,key2
Ninevierzig,NNFRTSK,NNVRTS
noch,NR,
emol,AML,
Jetz,YTS,
stecke,XTK,
mr,MR,
emol,AML,
die,T,
Fisik,FSK,
uff,AF,
Babbe,PP,
Dindeschlecker,TNTXLKR,TNTXLK
Nit,NT,
emol,AML,
riehwig,RVK,RV
sinne,SN,
Zitung,TSTNK,
lase,LS,
ka,K,
mr,MR,
im,AM,
Dienscht,TNXT,
Allons,ALNS,
allons,ALNS,
Allons,ALNS,
allons,ALNS,
Herr,HR,
Frisch,FRX,
wenn,VN,
Sie,S,
's,S,
salwer,SLVR,SLV
nit,NT,
verputze,FRPTS,VRPTS
kenne,KN,
wurum,VRM,
warfe,VRF,
Sie,S,
mir,MR,
so,S,
Dings,TNKS,
a,A,
Was,VS,
Ich,A,AX
Wer,VR,V
sunscht,SNXT,
denn,TN,
Am,AM,
And,ANT,
gar,KR,
ich,A,AX
hm,M,
Egal,AKL,AYL
wer,VR,V
Ich,A,AX
will,VL,
minne,MN,
Rüehj,RY,
ha,H,
Einer,ANR,AN
von,FN,VN
Euich,A,AX
isch,AX,
's,S,
sicher,SXR,SX
wu,V,
so,S,
Fisik,FSK,
tribt,TRPT,
wenn,VN,
's,S,
jetz,YTS,
nit,NT,
uffheert,AFHRT,
pack,PK,
i,A,
eifach,AFR,
dr,TR,
eint,ANT,AT
un,AN,
verhaui,FRH,VRH
dr,TR,
ander,ANTR,ANT
drmit,TRMT,
drno,TRN,
isch,AX,
dr,TR,
Richtig,RXTK,RXT
scho,X,
drbi,TRP,
soviel,SFL,SVL
weiss,VS,
i,A,
drno,TRN,
wenigschtens,VNKXTNS,
Dü,T,
verstehsch,FRXTX,VRXTX
awer,AVR,AY
o,A,
gar,KR,
kä,K,
Spass,XPS,
Spass,XPS,
hin,HN,
Spass,XPS,
har,HR,
Ich,A,AX
bin,PN,
gwis,KVS,
e,A,
dummer,TMR,TM
Teuifel,TFL,
awer,AVR,AY
alles,ALS,
wird,VRT,
eim,AM,
emol,AML,
z',S,
güet,KT,
halt,HLT,
nei,N,
E,A,
gueter,KTR,KT
Teuifel,TFL,
awer,AVR,AY
alles,ALS,
wird,VRT,
eim,AM,
z',S,
dumm,TM,
mit,MT,
dr,TR,
Zit,TST,
Wenn,VN,
i,A,
schaff,XF,
hann,HN,
i,A,
nix,NKS,
drgege,TRKK,TRKY
wenn,VN,
Dummheite,TMHT,
g'macht,KMRT,
ware,VR,
awer,AVR,AY
wenn,VN,
i,A,
Zittung,TSTNK,
lies,LS,
drno,TRN,
mecht,MXT,
i,A,
minne,MN,
Rüehj,RY,
ha,H,
Messieurs,MSRS,
jetz,YTS,
awer,AVR,AY
gmietlig,KMTLK,KMTL
dr,TR,
Alt,ALT,
müess,MS,
glich,KL,KLX
kumme,KM,
ich,A,AX
mein,MN,
ich,A,AX
heer,HR,H
ne,N,
scho,X,
Bonjour,PNYR,
Messieurs,MSRS,
Tout,TT,
le,L,
monde,MNT,
est,AXT,
là,L,
personne,PRSN,
ne,N,
manque,MNKV,
Bonjour,PNYR,
Monsieur,MNSR,
Linsespalter,LNSXPLTR,LNSXPLT
So,S,
ne,N,
Hanswurscht,HNSVRXT,
E,A,
so,S,
ne,N,
Kamel,KML,
Alle,AL,
Morge,MRK,
d',T,
gliche,KLX,
Fisik,FSK,
im,AM,
Schadel,XTL,
Un,AN,
alle,AL,
Morge,MRK,
falle,FL,
Ihr,AR,
prompt,PRMPT,
uff,AF,
dr,TR,
gliche,KLX,
Schwindel,XVNTL,
inne,AN,
C'est,KXT,
vraiment,FRMNT,VRMT
étonnant,ATNNT,ATNT
Toujours,TYRS,
quand,KVNT,
je,Y,
suis,SS,
là,L,
il,AL,
n',N,
est,AXT,
pas,PS,
ici,AK,
et,AT,
quand,KVNT,
je,Y,
suis,SS,
ici,AK,
il,AL,
n',N,
est,AXT,
pas,PS,
là,L,
C'est,KXT,
pourtant,PRTNT,PRTT
déjà,TY,
8,,
heures,HRS,
40,,
Achtung,ARTNK,
Ihr,AR,
Herre,HR,
Jetz,YTS,
kummtr,KMTR,
wirklig,VRKLK,VRKL
Bonjour,PNYR,
Messieurs,MSRS,
Tout,TT,
le,L,
monde,MNT,
est,AXT,
là,L,
personne,PRSN,
ne,N,
manque,MNKV,
Bonjour,PNYR,
Monsieur,MNSR,
Linsespalter,LNSXPLTR,LNSXPLT
Sie,S,
hann,HN,
jo,Y,
dr,TR,
Mantel,MNTL,MTL
noch,NR,
a,A,
Monsieur,MNSR,
Fröhlich,FRL,FRLX
Sinn,SN,
Sie,S,
jetzt,YTST,
erscht,ARXT,
kumme,KM,
Nei,N,
nei,N,
Monsieur,MNSR,
Linsespalter,LNSXPLTR,LNSXPLT
ich,A,AX
bin,PN,
scho,X,
sitter,STR,ST
am,AM,
achte,ART,
do,T,
S',S,
isch,AX,
m'r,MR,
numme,NM,
e,A,
bizzi,PTSTS,
z',S,
frisch,FRX,
gsi,KS,
do,T,
inne,AN,
Was,VS,
Im,AM,
Jüli,YL,
Doch,TR,
doch,TR,
s',S,
isch,AX,
so,S,
Lüege,LK,LY
Se,S,
ich,A,AX
schrieb,XRP,
jo,Y,
scho'ne,XN,
ganze,KNTS,
Zit,TST,
lang,LNK,
S',S,
isch,AX,
jo,Y,
noch,NR,
nass,NS,
sahn,SN,
Se,S,
Ich,A,AX
weiss,VS,
Bscheid,PXT,
Sage,SK,SY
Sie,S,
mir,MR,
kurz,KRS,KRTS
un,AN,
bindig,PNTK,PNT
worum,VRM,
Sie,S,
hit,HT,
scho,X,
widder,VTR,VT
3/4,,
Stund,XTNT,
z',S,
spot,XPT,
sinn,SN,
Après,APRS,
vous,FS,VS
M.,M,
le,L,
Chef,KF,XF
Reschpektiere,RXPKTR,
Sie,S,
mi,M,
Grad,KRT,
Garn,KRN,
Awer,AVR,AY
sahn,SN,
Sie,S,
Monsieur,MNSR,
Linsespalter,LNSXPLTR,LNSXPLT
das,TS,
mien,MN,M
