forme,key1,key2
's,S,
isch,AX,
Zit,TST,
glaüb,KLP,
liewer,LFR,LV
Domino,TMN,
Ass,AS,
mir,MR,
ufbreche,AFPRX,
meinsch,MNX,
nitt,NT,
o,A,
D',T,
Nacht,NRT,
thüet,TT,
scho,X,
vor,FR,VR
em,AM,
Tag,TK,T
jetz,YTS,
wiche,VX,
Drum,TRM,
will,VL,
ich,A,AX
uf,AF,
mi,M,
Bureau,PR,
schliche,XLX,
…,,
Meinsch,MNX,
ass,AS,
mi,M,
G'sicht,KSXT,
dr,TR,
Idruck,ATRK,
macht,MRT,
Vo,F,V
eim,AM,
wo,V,
g'süecht,KSRT,
hat,HT,
d',T,
ganze,KNTS,
Nacht,NRT,
Ne,N,
Irrung,ARNK,
in,AN,
de,T,
Biecher,PXR,PX
z',S,
finde,FNT,
Denn,TN,
das,TS,
müess,MS,
ich,A,AX
dr,TR,
Fraü,FR,
abinde,APNT,AVNT
's,S,
isch,AX,
d',T,
beste-n,PXTN,
Üsred,ASRT,
wo,V,
-n-,N,
ich,A,AX
kenn,KN,
Also,ALS,
bisch,PX,
Dü,T,
g'hirothe,KRTH,
denn,TN,
He,H,
leider,LTR,LT
jo,Y,
…,,
wenn,VN,
ich,A,AX
sag,SK,S
leider,LTR,LT
So,S,
isch,AX,
's,S,
nitt,NT,
wege,VK,VY
-n-,N,
em,AM,
Verleider,FRLTR,VRLT
Mi,M,
Fraü,FR,
isch,AX,
still,XTL,
un,AN,
brav,PRF,PRV
un,AN,
güet,KT,
Ich,A,AX
bi,P,
nur,NR,
màngmol,MNKML,
iwel,AFL,AVL
z',S,
Müeth,MTH,
Wil,VL,
mich,M,MX
d',T,
Üsrede,ASRT,
thien,TN,T
verdriesse,FRTRS,VRTRS
Wo,V,
-n-,N,
ich,A,AX
müess,MS,
gà,K,
fir,FR,
d',T,
Freiheit,FRHT,
z',S,
g'niesse,KNS,
…,,
Doch,TR,
's,S,
isch,AX,
jetz,YTS,
Zit,TST,
…,,
mr,MR,
wànn,VN,
jetz,YTS,
geh,K,
…,,
Vergiss,FRKS,VRKS
nitt,NT,
uf,AF,
em,AM,
Kanepee,KNP,
Di,T,
Nastüech,NXTR,
dert,TRT,
…,,
Das,TS,
isch,AX,
nitt,NT,
mi,M,
Das,TS,
kenn,KN,
ich,A,AX
nitt,NT,
was,VS,
kunnt,KNT,
Dir,TR,
i,A,
Do,T,
isch,AX,
mi,M,
's,S,
schaü,X,
's,S,
isch,AX,
licht,LXT,
z',S,
erkenne,ARKN,
Ne,N,
Herz,HRS,HRTS
isch,AX,
druf,TRF,
g'stickt,KSTKT,
wo,V,
thüet,TT,
brenne,PRN,
Denn,TN,
vo,F,V
mim,MM,
Mann,MN,
isch,AX,
's,S,
halt,HLT,
e,A,
G'schenk,KXNK,
Fir,FR,
ass,AS,
ich,A,AX
immer,AMR,AM
an,AN,
en,AN,A
denk,TNK,
…,,
So,S,
hat,HT,
's,S,
halt,HLT,
ebber,APR,AP
schint,XNT,XT
's,S,
vergesse,FRKS,VRKS
Wo,V,
vor,FR,VR
uns,ANS,
zwei,TSV,
do,T,
z',S,
Nacht,NRT,
hat,HT,
g'gesse,KKS,
…,,
Isch,AX,
's,S,
mögli,MKL,
…,,
nei,N,
…,,
un,AN,
doch,TR,
isch,AX,
's,S,
so,S,
Ich,A,AX
kenn,KN,
's,S,
…,,
un,AN,
do,T,
isch,AX,
's,S,
zeichent,TSXNT,TSXT
jo,Y,
Was,VS,
isch,AX,
was,VS,
hasch,HX,
worum,VRM,
thüesch,TX,
's,S,
v'risse,FRS,VRS
Un,AN,
thüesch,TX,
eso,AS,
uf,AF,
d',T,
Stockzähn,XTKTSN,
bisse,PS,
…,,
De,T,
wirsch,VRX,
wahrhaft,VRHFT,
ganz,KNS,KNTS
roth,RTH,
un,AN,
blaü,PL,
Me,M,
meint,MNT,MT
's,S,
g'hört,KRT,
Diner,TNR,TN
eig'ne,AKN,
Fraü,FR,
Dü,T,
hasch,HX,
's,S,
errothe,ARTH,
…,,
Was,VS,
dàr,TR,
güete,KT,
Dàr,TR,
brave,PRF,PRV
Fràü,FR,
thüesch,TX,
Dü,T,
's,S,
züemüethe,TSMTH,
Das,TS,
g'fallt,KFLT,
mr,MR,
…,,
ich,A,AX
müess,MS,
lache,LR,
drab,TRP,
Zeig,TSK,TS
zieh,TS,
Di,T,
Larve,LRF,LRV
doch,TR,
jetz,YTS,
ab,AP,
…,,
De,T,
wirsch,VRX,
jo,Y,
gläub,KLP,
jetz,YTS,
wiss,VS,
wie,V,
Kride,KRT,
…,,
's,S,
G'sicht,KSXT,
mächt,MRT,
ich,A,AX
sàh,S,
wo,V,
D',T,
jetz,YTS,
thüesch,TX,
schnide,XNT,
Das,TS,
wàr,VR,
fir,FR,
mich,M,MX
e,A,
wahrer,VRR,VR
G'nuss,KNS,
Doch,TR,
still,XTL,
…,,
hör,HR,
ich,A,AX
nitt,NT,
rede,RT,
duss,TS,
Herrje,HRY,
die,T,
Stimm,XTM,
…,,
's,S,
thüet,TT,
mir,MR,
grad,KRT,
schine,XN,
…,,
Ganz,KNS,KNTS
g'wiss,KVS,
mi,M,
Mann,MN,
will,VL,
jetz,YTS,
do,T,
ine,AN,
Jetz,YTS,
stand,XTNT,
i,A,
schön,XN,
was,VS,
mache,MR,
g'schwind,KXVNT,
Un,AN,
er,AR,A
wo,V,
g'sàit,KST,
hat,HT,
bim,PM,
e,A,
Frind,FRNT,
Wo,V,
g'storwe,KSTRV,
-n-,N,
isch,AX,
gieng,KNK,
er,AR,A
geh,K,
wache,VR,
…,,
Das,TS,
sin,SN,
jetz,YTS,
wieder,VTR,VT
schöne,XN,
Sache,SR,
Kei,K,
Wort,VRT,
…,,
hasch,HX,
g'hört,KRT,
…,,
red',RT,
mich,M,MX
nitt,NT,
a,A,
Nitt,NT,
ass,AS,
er,AR,A
mich,M,MX
erkenne,ARKN,
ka,K,
…,,
Verzeihe,FRTSH,VRTSH
Se,S,
wenn,VN,
ich,A,AX
thüe,T,
störe,XTR,
Ich,A,AX
ha,H,
nur,NR,
miesse,MS,
z',S,
ruck,RK,
halt,HLT,
kehre,KR,
Fir,FR,
ku,K,
ne,N,
Nastüech,NXTR,
z',S,
hole,HL,
do,T,
Wo,V,
mir,MR,
vorher,FRHR,VRH
hàn,HN,
lige,LK,LY
lo,L,
…,,
Do,T,
isch,AX,
's,S,
…,,
Ich,A,AX
dank,TNK,
…,,
Sie,S,
excüsiere,AKSKSR,
Hein,HN,
…,,
was,VS,
…,,
thüe,T,
-n-,N,
ich,A,AX
mich,M,MX
nitt,NT,
trumpiere,TRMPR,
Was,VS,
soll,SL,
das,TS,
heisse,HS,
…,,
Ass,AS,
mir,MR,
Zwe,TSV,
Kei,K,
b'sundre,PSNTR,
Larve,LRF,LRV
brüche,PRR,
meh,M,
…,,
Anstatt,ANXTT,
als,ALS,
so,S,
ne,N,
Ding,TNK,
az'hànke,ASNK,
Thien,TN,T
mir,MR,
an,AN,
d',T,
Fasenacht,FSNRT,
z',S,
ruck,RK,
denke,TNK,
