forme,key1,key2
So,S,
…,,
mi,M,
Romance,RMNK,
avanciert,AFNKRT,AVNKRT
…,,
die,T,
Phrase,FRS,
do,T,
Ihr,AR,
G'sicht,KSXT,
isch,AX,
wiss,VS,
wie,V,
Schnee,XN,
die,T,
isch,AX,
ganz,KNS,KNTS
güet,KT,
erfunde,ARFNT,
…,,
er,AR,A
singt,SNKT,
mi,M,
sol,SL,
do,T,
si,S,
la,L,
sol,SL,
…,,
was,VS,
kunnt,KNT,
jetz,YTS,
…,,
er,AR,A
consultiert,KNSLTRT,
o,A,
Manüscript,MNSKRPT,
uf,AF,
em,AM,
Tisch,TX,
un,AN,
liest,LXT,
Se,S,
stürzt,XTRST,
vom,FM,VM
hoche,HR,
Fels,FLS,
Sich,S,SX
in,AN,
dr,TR,
tiefe,TF,
See,S,
Jetz,YTS,
heisst,HST,
's,S,
e,A,
müsikalische,MSKLX,
Phrase,FRS,
g'funde,KFNT,
fir,FR,
das,TS,
mache,MR,
z',S,
versteh,FRXT,VRXT
er,AR,A
singt,SNKT,
e,A,
Phrase,FRS,
wo,V,
hoch,HR,
afangt,AFNKT,
un,AN,
nieder,NTR,NT
endet,ANTT,
Jà,Y,
halt,HLT,
nei,N,
…,,
fir,FR,
dr,TR,
hoche,HR,
Fels,FLS,
müess,MS,
ich,A,AX
hoche,HR,
Note,NT,
nàh,N,
un,AN,
derno,TRN,
müess,MS,
es,AS,
si,S,
wie,V,
wenn,VN,
ebbes,APS,
in,AN,
dr,TR,
Luft,LFT,
schwebt,XVPT,
er,AR,A
singt,SNKT,
Se,S,
stürzt,XTRST,
vom,FM,VM
hoche,HR,
Fels,FLS,
…,,
Aha,AH,
…,,
das,TS,
isch,AX,
jetz,YTS,
emol,AML,
g'lunge,KLNK,
…,,
dà,T,
point,PNT,PT
d',T,
orgue,ARK,
will,VL,
ich,A,AX
gli,KL,
notiere,NTR,
er,AR,A
prawiert,PRFRT,PRVRT
uf,AF,
em,AM,
Klavier,KLFR,KLV
do,T,
do,T,
do,T,
la,L,
la,L,
do,T,
er,AR,A
sitzt,STST,
an,AN,
Tisch,TX,
un,AN,
schribt,XRPT,
uf,AF,
eimol,AML,
hört,HRT,
me,M,
dur,TR,
's,S,
offene,AFN,
Fenster,FNXTR,FNXT
e,A,
Klavier,KLFR,KLV
Gamme,KM,
spiele,XPL,
Babette,PPT,PVT
…,,
Babette,PPT,PVT
…,,
wo,V,
stecksch,XTKX,
wieder,VTR,VT
Was,VS,
isch,AX,
…,,
wo,V,
fehlt,FLT,
's,S,
wieder,VTR,VT
…,,
Babette,PPT,PVT
…,,
mach,MR,
's,S,
Fenster,FNXTR,FNXT
züe,TS,
…,,
's,S,
isch,AX,
nimmig,NMK,NM
züem,TSM,
üshalte,AXLT,ASHLT
…,,
me,M,
ka,K,
kei,K,
Minüte,MNT,
rüehig,RHK,RH
schaffe,XF,
…,,
das,TS,
isch,AX,
jetz,YTS,
scho,X,
wieder,VTR,VT
's,S,
zweite,TSVT,
mol,ML,
hit,HT,
…,,
Awer,AVR,AY
Herr,HR,
Solo,SL,
…,,
wie,V,
ka,K,
Sie,S,
ne,N,
eifàltig,AFLTK,AFLT
Klavier,KLFR,KLV
in,AN,
eso,AS,
ne,N,
Hitz,HTS,
bringe,PRNK,
…,,
Was,VS,
e,A,
-n-,N,
eifàltig,AFLTK,AFLT
Klavier,KLFR,KLV
…,,
zwei,TSV,
sin,SN,
's,S,
jetz,YTS,
oder,ATR,AT
gar,KR,
drei,TR,
wo,V,
mitnander,MTNNTR,MTNNT
spiele,XPL,
…,,
eins,ANS,
do,T,
unter,ANTR,AT
uns,ANS,
im,AM,
Erste,ARXT,
un,AN,
eins,ANS,
dert,TRT,
àne,AN,
un,AN,
's,S,
andere,ANTR,
was,VS,
weiss,VS,
ich,A,AX
wo,V,
…,,
und,ANT,
alle,AL,
spiele,XPL,
falsch,FLX,
…,,
un,AN,
ich,A,AX
wo,V,
express,AKSPRS,
do,T,
ane,AN,
bi,P,
ku,K,
wohne,VN,
wil,VL,
noch,NR,
keins,KNS,
im,AM,
Hüs,HS,
un,AN,
in,AN,
dr,TR,
Nochberschaft,NRPRXFT,
gsi,KS,
isch,AX,
…,,
awer,AVR,AY
ich,A,AX
zieh,TS,
wieder,VTR,VT
üs,AS,
bis,PS,
ass,AS,
se,S,
mich,M,MX
