forme,key1,key2
Wàre,VR,
mir,MR,
jetz,YTS,
doch,TR,
Wàre,VR,
mir,MR,
jetz,YTS,
doch,TR,
erlöst,ARLXT,
Erlöst,ARLXT,
emol,AML,
Dü,T,
kasch,KX,
passe,PS,
noch,NR,
Dü,T,
kasch,KX,
passe,PS,
noch,NR,
das,TS,
weisch,VX,
Das,TS,
weisch,VX,
Dü,T,
wohl,VL,
Mir,MR,
sin,SN,
halt,HLT,
beide,PT,
so,S,
Mit,MT,
alle,AL,
G'fohre,KFR,
Uf,AF,
dàre,TR,
-n-,N,
Insel,ANSL,
do,T,
Im,AM,
Meer,MR,M
verlore,FRLR,VRLR
Mr,MR,
sin,SN,
im,AM,
Meer,MR,M
verlore,FRLR,VRLR
Kàm,KM,
nur,NR,
e,A,
Schiff,XF,
ku,K,
z',S,
fahre,FR,
Un,AN,
thàt,TT,
uns,ANS,
doch,TR,
ufnàh,AFN,
's,S,
thàt,TT,
uns,ANS,
viel,FL,VL
Leid,LT,
erspare,ARXPR,
Das,TS,
ha,H,
-n-,N,
ich,A,AX
längst,LNKXT,
scho,X,
g'sàh,KS,
Doch,TR,
wenn,VN,
's,S,
noch,NR,
geht,KT,
so,S,
lang,LNK,
Wie,V,
's,S,
jetz,YTS,
scho,X,
gange,KNK,
-n-,N,
isch,AX,
So,S,
wird,VRT,
's,S,
uns,ANS,
g'wiss,KVS,
noch,NR,
bang,PNK,
Bi,P,
unsrer,ANSRR,ANSR
Kost,KXT,
vo,F,V
Fisch,FX,
Wenn,VN,
mir,MR,
doch,TR,
nur,NR,
d',T,
heim,HM,
wieder,VTR,VT
wàre,VR,
Wie,V,
wotte,VT,
mir,MR,
so,S,
glicklig,KLKLK,KLKL
si,S,
Mir,MR,
hätte,HT,
-n-,N,
ab,AP,
e,A,
Last,LXT,
e,A,
schwere,XVR,
Mir,MR,
kàmte,KMT,
g'wiss,KVS,
nimm,NM,
z',S,
ruck,RK,
dohi,TH,
Doch,TR,
wenn,VN,
's,S,
noch,NR,
geht,KT,
so,S,
lang,LNK,
Wie,V,
's,S,
jetz,YTS,
scho,X,
gange,KNK,
-n-,N,
isch,AX,
So,S,
wird,VRT,
's,S,
uns,ANS,
g'wiss,KVS,
noch,NR,
bang,PNK,
Bi,P,
unsrer,ANSRR,ANSR
Kost,KXT,
vo,F,V
Fisch,FX,
Wenn,VN,
mir,MR,
doch,TR,
nur,NR,
d',T,
heim,HM,
wieder,VTR,VT
wàre,VR,
Wie,V,
wotte,VT,
mir,MR,
so,S,
glicklig,KLKLK,KLKL
si,S,
Mir,MR,
hätte,HT,
-n-,N,
ab,AP,
e,A,
Last,LXT,
e,A,
schwere,XVR,
Mir,MR,
kàmte,KMT,
g'wiss,KVS,
nimm,NM,
z',S,
ruck,RK,
dohi,TH,
Doch,TR,
wenn,VN,
's,S,
noch,NR,
geht,KT,
so,S,
lang,LNK,
Wie,V,
's,S,
jetz,YTS,
scho,X,
gange,KNK,
-n-,N,
isch,AX,
So,S,
wird,VRT,
's,S,
uns,ANS,
g'wiss,KVS,
noch,NR,
bang,PNK,
Bi,P,
unsrer,ANSRR,ANSR
Kost,KXT,
vo,F,V
Fisch,FX,
Jetz,YTS,
Franz,FRNS,FRNTS
wo,V,
si,S,
mr,MR,
…,,
ich,A,AX
glaüb,KLP,
mr,MR,
känne,KN,
dr,TR,
Robinson,RPNSN,RVNSN
spiele,XPL,
denn,TN,
's,S,
schint,XNT,XT
mr,MR,
e,A,
-n-,N,
Insle,ANSL,
z',S,
si,S,
wo,V,
Nieme,NM,
druf,TRF,
isch,AX,
…,,
jetz,YTS,
stecke,XTK,
mr,MR,
in,AN,
schöne,XN,
Schüeh,X,
…,,
In,AN,
nasse,NS,
stecke,XTK,
mr,MR,
uf,AF,
jedefall,YTFL,
…,,
isch,AX,
jetz,YTS,
das,TS,
fatal,FTL,
eso,AS,
Schiffbruch,XFPRR,
z',S,
lide,LT,
mittle,MTL,
-n-,N,
uf,AF,
em,AM,
Meer,MR,M
…,,
Natirlig,NTRLK,NTRL
uf,AF,
em,AM,
Meer,MR,M
…,,
d',T,
heim,HM,
in,AN,
dr,TR,
Stuwe,XTF,XTV
kasch,KX,
alleweg,ALFK,ALVK
nitt,NT,
Schiffbruch,XFPRR,
lide,LT,
…,,
Worum,VRM,
si,S,
mr,MR,
awer,AVR,AY
o,A,
furt,FRT,
vo,F,V
d',T,
heim,HM,
Worum,VRM,
hà,H,
mr,MR,
welle,VL,
Di,T,
Tochter,TRTR,TRT
mi,M,
Cüsine,KSN,
wo,V,
mit,MT,
ihrem,ARM,
Liebhawer,LPVR,LPY
uf,AF,
un,AN,
dervo,TRF,TRV
isch,AX,
geh,K,
süeche,SR,
in,AN,
Amerika,AMRK,
…,,
jetz,YTS,
hà,H,
mr,MR,
's,S,
…,,
oh,A,
we,V,
mr,MR,
doch,TR,
nur,NR,
wieder,VTR,VT
z',S,
Milhüse,MLHS,
wàre,VR,
in,AN,
dr,TR,
Fröscheweid,FRXFT,FRXVT
Bisch,PX,
Dü,T,
nitt,NT,
o,A,
vo,F,V
dr,TR,
Familie,FML,
…,,
geht,KT,
's,S,
Dich,T,TX
nitt,NT,
a,A,
wie,V,
mich,M,MX
wenn,VN,
Ihre,AR,
-n-,N,
Ehr,AR,
in,AN,
G'fohr,KFR,
isch,AX,
…,,
un,AN,
Dü,T,
hättsch,HTX,
doch,TR,
Di,T,
alter,ALTR,ALT
Oncle,ANKL,
nitt,NT,
welle,VL,
-n-,N,
allei,AL,
geh,K,
lo,L,
…,,
Mir,MR,
hätte,HT,
jo,Y,
mitnander,MTNNTR,MTNNT
känne,KN,
d',T,
heim,HM,
bliwe,PLF,PLV
…,,
wer,VR,V
weisst,VST,
wo,V,
's,S,
Jettele,YTL,
ane,AN,
-n-,N,
isch,AX,
mit,MT,
sim,SM,
Edi,AT,
…,,
Nach,NR,
Amerika,AMRK,
sin,SN,
se,S,
…,,
De,T,
weisch,VX,
jo,Y,
ass,AS,
me,M,
se,S,
g'sàh,KS,
hat,HT,
ischiffe,AXF,
vor,FR,VR
drei,TR,
Monet,MNT,
…,,
wenn,VN,
ich,A,AX
's,S,
awer,AVR,AY
g'wisst,KVST,
hätt,HT,
so,S,
wàr,VR,
ich,A,AX
eher,AHR,AH
furt,FRT,
…,,
De,T,
weisch,VX,
wenn,VN,
ich,A,AX
ebbes,APS,
im,AM,
Kopf,KPF,
ha,H,
so,S,
müess,MS,
es,AS,
gli,KL,
g'macht,KMRT,
si,S,
's,S,
hat,HT,
is,AS,
viel,FL,VL
g'nutzt,KNTST,
jetz,YTS,
ass,AS,
mr,MR,
furt,FRT,
sin,SN,
…,,
Bàh,P,
…,,
was,VS,
g'schàh,KX,
isch,AX,
das,TS,
isch,AX,
g'schàh,KX,
…,,
was,VS,
nutzt,NTST,
jetz,YTS,
das,TS,
jomere,YMR,
…,,
mr,MR,
wànn,VN,
liewer,LFR,LV
e,A,
-n-,N,
Unterschlupf,ANTRXLPF,ATRXLPF
süeche,SR,
-n-,N,
un,AN,
trachte,TRRT,
ass,AS,
mr,MR,
nitt,NT,
in,AN,
e,A,
paar,PR,
Menschefresser,MNXFRSR,MNXFRS
in,AN,
d',T,
Hànd,HNT,
laüfe,LF,
wo,V,
viellicht,FLXT,VLXT
uf,AF,
dàre,TR,
-n-,N,
Insle,ANSL,
kännte,KNT,
si,S,
…,,
er,AR,A
lüegt,LKT,
ummenander,AMNNTR,AMNNT
was,VS,
ha,H,
-n-,N,
i,A,
g'sàit,KST,
…,,
schaü,X,
do,T,
mien,MN,M
no,N,
nitt,NT,
lang,LNK,
e,A,
paar,PR,
gsi,KS,
si,S,
an,AN,
dem,TM,
Fir,FR,
denn,TN,
's,S,
raücht,RRT,
noch,NR,
e,A,
wenig,VNK,VN
…,,
jetz,YTS,
