forme,key1,key2
's,S,
schlofe,XLF,
noch,NR,
alle,AL,
z',S,
sàmme,SM,
-n-,N,
im,AM,
Hüs,HS,
…,,
's,S,
hat,HT,
mi,M,
nieme,NM,
g'sàh,KS,
do,T,
ane,AN,
ku,K,
…,,
Oscar,ASKR,
…,,
he,H,
Oscar,ASKR,
…,,
schlofsch,XLFX,
noch,NR,
…,,
ich,A,AX
bi,P,
's,S,
…,,
mach,MR,
uf,AF,
…,,
ich,A,AX
bi,P,
allei,AL,
…,,
Do,T,
bin,PN,
i...,A,
's,S,
isch,AX,
güet,KT,
ass,AS,
es,AS,
emol,AML,
Tag,TK,T
isch,AX,
…,,
ich,A,AX
ha,H,
nitt,NT,
känne,KN,
schlofe,XLF,
ich,A,AX
bi,P,
nur,NR,
im,AM,
Fauteuil,FTL,
dert,TRT,
e,A,
wenig,VNK,VN
idirmelt,ATRMLT,
gsi,KS,
…,,
Dü,T,
machsch,MRX,MXX
mr,MR,
jetz,YTS,
emol,AML,
schöne,XN,
Sache,SR,
…,,
wie,V,
ka,K,
me,M,
nur,NR,
wege,VK,VY
me,M,
-n-,N,
eifàltige,AFLTK,AFLTY
Ball,PL,
sich,S,SX
eso,AS,
üssetze,ASTS,
Dü,T,
bisch,PX,
halt,HLT,
noch,NR,
allewil,ALFL,ALVL
dr,TR,
gliche,KLX,
wie,V,
frieiher,FRHR,FRH
als,ALS,
im,AM,
Lycée,LK,
z',S,
Befert,PFRT,
…,,
Dü,T,
traüsch,TRX,
Dich,T,TX
nitt,NT,
z',S,
mücke,MK,
hasch,HX,
allewil,ALFL,ALVL
Angst,ANKXT,
bisch,PX,
schich,X,XX
un,AN,
ärger,ARKR,ARK
as,AS,
e,A,
Jumpfre,YMPFR,
un,AN,
sogar,SKR,SYR
e,A,
wenig,VNK,VN
frumm,FRM,
…,,
isch,AX,
's,S,
nitt,NT,
eso,AS,
…,,
Un,AN,
Dü,T,
bisch,PX,
allewil,ALFL,ALVL
…,,
Ich,A,AX
bi,P,
halt,HLT,
allewil,ALFL,ALVL
o,A,
noch,NR,
dr,TR,
gliche,KLX,
und,ANT,
wird,VRT,
o,A,
nie,N,
changiere,KNKR,XNKR
Fir,FR,
was,VS,
denn,TN,
uf,AF,
dr,TR,
Erde,ART,
do,T,
Ne,N,
trürig,TRRK,TRR
Lewe,LF,LV
fiehre,FR,
So,S,
lang,LNK,
as,AS,
's,S,
End,ANT,
nitt,NT,
kunnt,KNT,
dervo,TRF,TRV
So,S,
will,VL,
ich,A,AX
profetiere,PRFTR,
…,,
Un,AN,
doch,TR,
isch,AX,
eitel,ATL,
nur,NR,
's,S,
Vergniege,FRKNK,VRKNY
-n-,N,
uf,AF,
dr,TR,
Welt,VLT,
Ich,A,AX
ha,H,
mi,M,
Freid,FRT,
derdur,TRTR,
Wil,VL,
's,S,
's,S,
Lewe,LF,LV
mir,MR,
erhellt,ARHLT,
Nur,NR,
emol,AML,
isch,AX,
d',T,
Jugend,YKNT,YYNT
z',S,
g'niesse,KNS,
Wer,VR,V
se,S,
losst,LST,
veriwer,FRFR,VRV
geh,K,
Thüet,TT,
's,S,
als,ALS,
bol,PL,
nochher,NRHR,NRH
verdriesse,FRTRS,VRTRS
Wenn,VN,
vom,FM,VM
Alter,ALTR,ALT
kämme,KM,
d',T,
Weh,V,
Wer,VR,V
z',S,
viel,FL,VL
do,T,
thüet,TT,
d',T,
Jugend,YKNT,YYNT
g'niesse,KNS,
Un,AN,
ihr,AR,
nitt,NT,
ka,K,
widersteh,VTRXT,
Dà,T,
thüet,TT,
's,S,
bol,PL,
nochher,NRHR,NRH
