forme,key1,key2
Isch,AX,
das,TS,
e,A,
trürige,TRRK,TRRY
-n-,N,
Existenz,AKSXTNS,AKSXTNTS
wenn,VN,
eim,AM,
d',T,
Liewe,LF,LV
-n-,N,
eso,AS,
unglicklig,ANKLKLK,ANKLKL
üsfalle,ASFL,
thüet,TT,
…,,
vor,FR,VR
acht,ART,
Tàg,TK,T
noch,NR,
bin,PN,
i,A,
g'licklig,KLKLK,KLKL
gsi,KS,
…,,
's,S,
Finele,FNL,
-n-,N,
un,AN,
ich,A,AX
hàn,HN,
enander,ANNTR,ANNT
gern,KRN,
g'ha,K,
un,AN,
hàn,HN,
ghofft,KFT,
bol,PL,
mitnander,MTNNTR,MTNNT
z',S,
hirothe,HRTH,
…,,
un,AN,
mit,MT,
Freid,FRT,
ha,H,
-n-,N,
ich,A,AX
süeche,SR,
mine,MN,
Seifestange,SFXTNK,
an,AN,
Mann,MN,
z',S,
bringe,PRNK,
fir,FR,
Geld,KLT,
z',S,
verdiene,FRTN,VRTN
…,,
denn,TN,
ich,A,AX
bi,P,
in,AN,
dr,TR,
Seife,SF,
…,,
un,AN,
im,AM,
letschte,LTXT,
Moment,MMNT,MMT
derno,TRN,
wo,V,
-n-,N,
ich,A,AX
um,AM,
ihre,AR,
Hand,HNT,
g'frogt,KFRKT,
ha,H,
so,S,
hàn,HN,
ihre,AR,
-n-,N,
Eltere,ALTR,
refüsiert,RFSRT,
…,,
un,AN,
worum,VRM,
…,,
wil,VL,
se,S,
ne,N,
wenig,VNK,VN
ebbes,APS,
hàn,HN,
un,AN,
hoffe,HF,
ne,N,
bessere,PSR,
Parthie,PRTH,
z',S,
finde,FNT,
fir,FR,
ihre,AR,
Tochter,TRTR,TRT
...,,
ne,N,
bessere,PSR,
Parthie,PRTH,
as,AS,
dr,TR,
Alexander,ALKSNTR,ALKSNT
Kückück,KKK,
Seifefawrikant,SFFVRKNT,SFFVRKT
…,,
niemols,NMLS,
…,,
viellicht,FLXT,VLXT
finde,FNT,
se,S,
mehr,MR,
Geld,KLT,
's,S,
isch,AX,
möglig,MKLK,MKL
awer,AVR,AY
nie,N,
mehr,MR,
Liewe,LF,LV
…,,
mr,MR,
sin,SN,
schier,XR,X
narràchtig,NRRTK,NRRT
worde,VRT,
's,S,
Finele,FNL,
-n-,N,
un,AN,
ich,A,AX
vor,FR,VR
Kummer,KMR,KM
…,,
ich,A,AX
ha,H,
mich,M,MX
vergewes,FRKFS,VRKVS
g'süecht,KSRT,
z',S,
vergesse,FRKS,VRKS
mit,MT,
reise,RS,
…,,
ich,A,AX
bi,P,
uf,AF,
Paris,PRS,
gange,KNK,
wo,V,
-n-,N,
i,A,
grad,KRT,
G'schàfte,KXFT,
g'ha,K,
ha,H,
un,AN,
jetz,YTS,
bin,PN,
i,A,
wieder,VTR,VT
uf,AF,
em,AM,
Heimweg,HMVK,
doch,TR,
allewil,ALFL,ALVL
denk,TNK,
i,A,
nur,NR,
an,AN,
sie,S,
…,,
's,S,
isch,AX,
mr,MR,
verleide,FRLT,VRLT
ich,A,AX
möcht,MRT,
glaüb,KLP,
grad,KRT,
grine,KRN,
…,,
Wie,V,
isch,AX,
mi,M,
Herz,HRS,HRTS
so,S,
schwer,XVR,XV
Wenn,VN,
ich,A,AX
nur,NR,
bi,P,
ihr',AR,
wàr,VR,
Denn,TN,
ich,A,AX
denk,TNK,
hait,HT,
an,AN,
Sie,S,
Wo,V,
-n-,N,
ich,A,AX
nur,NR,
bi,P,
Kännt,KNT,
ich,A,AX
se,S,
b'schaüe,PX,
noch,NR,
Wie,V,
wàr,VR,
ich,A,AX
glicklig,KLKLK,KLKL
doch,TR,
s',S,
g'fallt,KFLT,
mir,MR,
nit,NT,
anders,ANTRS,
meh,M,
Mächt,MRT,
züe,TS,
-n-,N,
ihr',AR,
geh,K,
Ich,A,AX
mächt,MRT,
geh,K,
grine,KRN,
fast,FXT,
D',T,
Seife,SF,
-n-,N,
isch,AX,
mir,MR,
züer,TSR,TS
Last,LXT,
Grad,KRT,
as,AS,
wie,V,
ihre,AR,
Schüm,XM,
Dürt,TRT,
's,S,
Glick,KLK,
nur,NR,
küm,KM,
Mit,MT,
alle,AL,
Farwe,FRV,
drin,TRN,
So,S,
schwebt,XVPT,
's,S,
eim,AM,
vor,FR,VR
em,AM,
Sinn,SN,
Doch,TR,
will,VL,
me,M,
's,S,
hewe,HF,HV
g'schwind,KXVNT,
So,S,
nimmt,NMT,
's,S,
dr,TR,
Wind,VNT,
Ich,A,AX
ha,H,
mich,M,MX
jetz,YTS,
nur,NR,
noch,NR,
ufz'halte,AFSLT,
do,T,
in,AN,
Zillese,TSLS,
zwe,TSV,
oder,ATR,AT
drei,TR,
Tàg,TK,T
derno,TRN,
gang,KNK,
i,A,
halt,HLT,
wieder,VTR,VT
uf,AF,
Milhüse,MLHS,
z',S,
ruck,RK,
…,,
denn,TN,
's,S,
zieht,TST,
mi,M,
wider,VTR,VT
