forme,key1,key2
Se,S,
mage,MK,MY
mr,MR,
sage,SK,SY
was,VS,
Se,S,
wànn,VN,
Herr,HR,
Helder,HLTR,HLT
dr,TR,
Herr,HR,
Fix,FKS,
unser,ANSR,ANS
Nochber,NRPR,NRP
dert,TRT,
àne,AN,
isch,AX,
e,A,
-n-,N,
alter,ALTR,ALT
Giftsack,KFTSK,
ich,A,AX
glaüb,KLP,
allewil,ALFL,ALVL
ass,AS,
es,AS,
e,A,
-n-,N,
alter,ALTR,ALT
Verbrecher,FRPRXR,VRPRX
isch,AX,
wo,V,
ne,N,
Last,LXT,
Mordthate,MRTHT,
-n-,N,
uf,AF,
em,AM,
G'wisse,KVS,
hat,HT,
…,,
uf,AF,
jede,YT,
fall,FL,
isch,AX,
's,S,
nit,NT,
rar,RR,
's,S,
denn,TN,
er,AR,A
git,KT,
eim,AM,
nitt,NT,
emol,AML,
e,A,
Centime,KNTM,KTM
Trinkgeld,TRNKKLT,
am,AM,
Neüjohr,NYR,
…,,
Allons,ALNS,
allons,ALNS,
Fraü,FR,
Simon,SMN,
…,,
's,S,
isch,AX,
wie,V,
-n-,N,
ich,A,AX
Ihne,AN,
sag,SK,S
…,,
Erstens,ARXTNS,
isch,AX,
er,AR,A
scho,X,
zwölf,TSVLF,
Johr,YR,
nitt,NT,
züer,TSR,TS
Thüre,TR,
-n-,N,
üse,AS,
gange,KNK,
er,AR,A
verlosst,FRLST,VRLST
so,S,
wenig,VNK,VN
's,S,
Hüs,HS,
as,AS,
e,A,
Schnàck,XNK,
si,S,
Schaale,XL,
…,,
zwölf,TSVLF,
Johr,YR,
…,,
was,VS,
halte,HLT,
Se,S,
dervo,TRF,TRV
…,,
Er,AR,A
blibt,PLPT,
halt,HLT,
liewer,LFR,LV
d',T,
heim,HM,
dà,T,
Mann,MN,
…,,
Er,AR,A
weisst,VST,
wohl,VL,
worum,VRM,
…,,
er,AR,A
hat,HT,
Angst,ANKXT,
er,AR,A
wird,VRT,
pàckelt,PKLT,
das,TS,
isch,AX,
d',T,
ganze,KNTS,
G'schichte,KXXT,
…,,
Un,AN,
si,S,
Tochter,TRTR,TRT
…,,
weisst,VST,
Se,S,
nit,NT,
iwer,AFR,AV
si,S,
Tochter,TRTR,TRT
z',S,
sage,SK,SY
Fraü,FR,
Simon,SMN,
…,,
D',T,
Jumpfer,YMPFR,YMPF
Elise,ALS,
…,,
wo,V,
allewil,ALFL,ALVL
am,AM,
Fenster,FNXTR,FNXT
steht,XTT,
un,AN,
do,T,
iwere,AFR,AVR
lüegt,LKT,
…,,
Die,T,
isch,AX,
ganz,KNS,KNTS
anderscht,ANTRXT,
's,S,
isch,AX,
wohr,VR,
…,,
Se,S,
geht,KT,
un,AN,
kunnt,KNT,
laüft,LFT,
in,AN,
d',T,
Halle,HL,
macht,MRT,
d',T,
Kuche,KR,
flickt,FLKT,
in,AN,
ihrem,ARM,
Vater,FTR,VT
sine,SN,
Kleider,KLTR,KLT
wo,V,
-n-,N,
er,AR,A
scho,X,
tràit,TRT,
siter,STR,ST
anno,AN,
Düwack,TFK,TVK
…,,
er,AR,A
brücht,PRRT,
o,A,
keine,KN,
neüe,N,
fir,FR,
sich,S,SX
z',S,
verstecke,FRXTK,VRXTK
…,,
Wie,V,
-n-,N,
er,AR,A
hört,HRT,
geh,K,
im,AM,
Hof,HF,
so,S,
laüft,LFT,
er,AR,A
ine,AN,
wie,V,
nitt,NT,
g'scheidt,KXT,
…,,
we,V,
me,M,
lütet,LTT,
an,AN,
dr,TR,
Thüre,TR,
so,S,
zittert,TSTRT,
er,AR,A
an,AN,
alle,AL,
Glieder,KLTR,KLT
un,AN,
losst,LST,
eim,AM,
e,A,
Stund,XTNT,
warte,VRT,
bis,PS,
er,AR,A
ufmacht,AFMRT,
…,,
ich,A,AX
will,VL,
Se,S,
jetz,YTS,
emol,AML,
g'frogt,KFRKT,
ha,H,
eb,AP,
sich,S,SX
e,A,
-n-,N,
ehrliger,ARLKR,ARLY
Christemensch,KRXTMNX,XRXTMNX
eso,AS,
uffiehrt,AFRT,
…,,
Sie,S,
sieht,ST,
iwerall,AFRL,AVRL
nur,NR,
's,S,
Böse,PS,
Fraü,FR,
Simon,SMN,
si,S,
Tochter,TRTR,TRT
isch,AX,
desto,TXT,
ordliger,ARTLKR,ARTLY
…,,
D',T,
Jumpfere,YMPFR,
isch,AX,
e,A,
g'schickte,KXKT,
Person,PRSN,
das,TS,
müess,MS,
me,M,
g'steh,KST,
…,,
flink,FLNK,
un,AN,
g'mutzt,KMTST,
un,AN,
fröhlig,FRLK,FRL
wie,V,
ne,N,
Vögele,FKL,VYL
wo,V,
singt,SNKT,
vo,F,V
Morge,MRK,
bis,PS,
Nacht,NRT,
…,,
Un,AN,
mit,MT,
