forme,key1,key2
Mache,MR,
-n-,N,
ass,AS,
Ihr,AR,
jetz,YTS,
emol,AML,
furt,FRT,
kämme,KM,
Schlüch,XLR,
…,,
Gott,KT,
wie,V,
thüet,TT,
mich,M,MX
dà,T,
Mensch,MNX,
efange,AFNK,
-n-,N,
agaciere,AKKR,AYKR
…,,
Güet,KT,
jetz,YTS,
thüet,TT,
er,AR,A
si,S,
schwarze,XVRTS,
Nase,NS,
noch,NR,
in,AN,
mi,M,
hintere,HNTR,HTR
Kochhafe,KRHF,
stosse,XTS,
…,,
höre,HR,
-n-,N,
Ihr,AR,
denn,TN,
nitt,NT,
ass,AS,
dr,TR,
Herr,HR,
dert,TRT,
in,AN,
sim,SM,
Zimmer,TSMR,TSM
isch,AX,
un,AN,
sich,S,SX
alegt,ALKT,
…,,
fahre,FR,
-n-,N,
ab,AP,
jetz,YTS,
nitt,NT,
ass,AS,
er,AR,A
I,A,
hit,HT,
scho,X,
wieder,VTR,VT
do,T,
atrifft,ATRFT,
er,AR,A
ka,K,
wohl,VL,
denke,TNK,
ass,AS,
mi,M,
Kàmi,KM,
nitt,NT,
alle,AL,
Tag,TK,T
z',S,
putze,PTS,
-n-,N,
isch,AX,
…,,
Marie,MR,
…,,
Höre-n',HRN,
r,R,
…,,
dr,TR,
Herr,HR,
wo,V,
mr,MR,
rieft,RFT,
…,,
Was,VS,
b'liebt,PLPT,
Herr,HR,
Wo,V,
hasch,HX,
mine,MN,
Hosetràger,HSTRKR,HSTRY
ane,AN,
tho,T,
Ihre,AR,
Hosetràger,HSTRKR,HSTRY
Herr,HR,
…,,
sine,SN,
Hosetràger,HSTRKR,HSTRY
wo,V,
känne,KN,
jetz,YTS,
sine,SN,
Hosetràger,HSTRKR,HSTRY
si,S,
Aha,AH,
se,S,
sin,SN,
in,AN,
dr,TR,
Zuckerbichse,TSKRPKS,TSKRPX
Herr,HR,
…,,
So,S,
jetz,YTS,
versüecht,FRSRT,VRSRT
er,AR,A
noch,NR,
mine,MN,
Sauce,SK,
…,,
Wenn,VN,
dr,TR,
Herr,HR,
Tannezapfe,TNTSPF,
das,TS,
thàt,TT,
sàh,S,
…,,
Eüer,AR,A
Herr,HR,
Marie,MR,
Eüer,AR,A
Herr,HR,
Tannebibele,TNPPL,TNVVL
Zapfe,TSPF,
…,,
Eüer,AR,A
Zapfe,TSPF,
das,TS,
isch,AX,
mir,MR,
doch,TR,
eithüen,ATHN,ATH
wo,V,
-n-,N,
Ihr,AR,
alles,ALS,
mit,MT,
em,AM,
mache,MR,
was,VS,
Ihr,AR,
wànn,VN,
…,,
er,AR,A
hat,HT,
jo,Y,
ne,N,
kurz,KRS,KRTS
G'sicht,KSXT,
Ihr,AR,
sage,SK,SY
-n-,N,
em,AM,
ich,A,AX
sei,S,
's,S,
Wiehnàchtskindle,VNRTSKNTL,
wenn,VN,
er,AR,A
kunnt,KNT,
awer,AVR,AY
er,AR,A
isch,AX,
jo,Y,
erst,ARXT,
an,AN,
de,T,
