forme,key1,key2
So,S,
…,,
jetz,YTS,
schribt,XRPT,
mir,MR,
grad,KRT,
mi,M,
Oncle,ANKL,
do,T,
vo,F,V
Colmer,KLMR,KLM
ass,AS,
er,AR,A
uf,AF,
hie,H,
kunnt,KNT,
un,AN,
bi,P,
mir,MR,
will,VL,
ku,K,
z',S,
Nacht,NRT,
esse,AS,
…,,
grad,KRT,
jetz,YTS,
hit,HT,
wo,V,
-n-,N,
ich,A,AX
Gäst,KXT,
ha,H,
…,,
ich,A,AX
mächt,MRT,
ewe,AF,AV
hit,HT,
z',S,
Owe,AF,AV
mi,M,
Züekünftiger,TSKNFTKR,TSKFTY
dr,TR,
Herr,HR,
Ledig,LTK,LT
in,AN,
dr,TR,
G'sellschaft,KSLXFT,
vorstelle,FRXTL,VRXTL
un,AN,
ha,H,
's,S,
ig'richtet,AKRXTT,
g'ha,K,
ass,AS,
mr,MR,
grad,KRT,
zwölf,TSVLF,
gsi,KS,
wàre,VR,
am,AM,
Tisch,TX,
…,,
kunnt,KNT,
awer,AVR,AY
mi,M,
Oncle,ANKL,
so,S,
si,S,
mr,MR,
drizehne,TRTSN,
…,,
me,M,
meint,MNT,MT
grad,KRT,
er,AR,A
macht,MRT,
's,S,
express,AKSPRS,
…,,
un,AN,
züedem,TSTM,
isch,AX,
's,S,
e,A,
-n-,N,
Original,ARKNL,ARYNL
mi,M,
Oncle,ANKL,
…,,
er,AR,A
hat,HT,
allewil,ALFL,ALVL
ganz,KNS,KNTS
andere,ANTR,
-n-,N,
Idee,AT,
as,AS,
andre,ANTR,
Lit,LT,
…,,
wenn,VN,
ich,A,AX
en,AN,A
ig'lade,AKLT,
hätt,HT,
so,S,
wàr,VR,
er,AR,A
sicher,SXR,SX
nitt,NT,
ku,K,
…,,
was,VS,
isch,AX,
jetz,YTS,
z',S,
mache,MR,
…,,
ich,A,AX
ka,K,
doch,TR,
Nieme,NM,
furtschicke,FRTXK,
un,AN,
will,VL,
's,S,
o,A,
in,AN,
Nieme,NM,
sage,SK,SY
sunscht,SNXT,
thàte,TT,
se,S,
mich,M,MX
üslache,ASLR,
…,,
un,AN,
drizehne,TRTSN,
will,VL,
ich,A,AX
durchüs,TRXS,
nitt,NT,
ass,AS,
mr,MR,
sin,SN,
…,,
unter,ANTR,AT
keine,KN,
Umstànde,AMSTNT,
's,S,
mag,MK,M
geh,K,
wie,V,
's,S,
will,VL,
derf,TRF,
das,TS,
meh,M,
g'schàh,KX,
…,,
ich,A,AX
thàt,TT,
eher,AHR,AH
dr,TR,
erste,ARXT,
beste,PXT,
Bettler,PTLR,PTL
derzüe,TRTS,
riefe,RF,
…,,
's,S,
isch,AX,
mr,MR,
nur,NR,
emol,AML,
vorku,FRK,VRK
un,AN,
gli,KL,
druf,TRF,
isch,AX,
mi,M,
Mann,MN,
selig,SLK,SL
g'storwe,KSTRV,
…,,
ich,A,AX
will,VL,
nitt,NT,
ass,AS,
es,AS,
mir,MR,
noch,NR,
emol,AML,
eso,AS,
geht,KT,
wenn,VN,
ich,A,AX
derno,TRN,
küm,KM,
wieder,VTR,VT
g'hirothe,KRTH,
bi,P,
…,,
Drizehne,TRTSN,
-n-,N,
isch,AX,
e,A,
-n-,N,
Unglickszahl,ANKLKSTSL,
Wo,V,
mir,MR,
brocht,PRRT,
hat,HT,
mi,M,
grösste,KRST,
Qual,KVL,
Drum,TRM,
mach,MR,
ich,A,AX
mir,MR,
halt,HLT,
drüs,TRS,
e,A,
G'setz,KSTS,
Fir,FR,
sie,S,
als,ALS,
z',S,
vermeide,FRMT,VRMT
jetz,YTS,
Ich,A,AX
will,VL,
halt,HLT,
doch,TR,
nitt,NT,
riskiere,RSKR,
Jetz,YTS,
wieder,VTR,VT
gli,KL,
mi,M,
Mann,MN,
z',S,
verliere,FRLR,VRLR
Denn,TN,
fir,FR,
einer,ANR,AN
wieder,VTR,VT
z',S,
ha,H,
Ha,H,
-n-,N,
ich,A,AX
nitt,NT,
iwel,AFL,AVL
Mieih,M,
scho,X,
g'ha,K,
Ich,A,AX
sieh,S,
nit,NT,
anders,ANTRS,
as,AS,
ich,A,AX
müess,MS,
im,AM,
Herr,HR,
Ledig,LTK,LT
Hàndel,HNTL,
süeche,SR,
fir,FR,
ass,AS,
er,AR,A
blàit,PLT,
un,AN,
nitt,NT,
bim,PM,
Esse,AS,
