forme,key1,key2
Das,TS,
isch,AX,
jetz,YTS,
emol,AML,
e,A,
Wunder,VNTR,VNT
ass,AS,
dr,TR,
Herr,HR,
Lerch,LRX,
no,N,
nitt,NT,
do,T,
isch,AX,
ku,K,
si,S,
Visite,FST,VST
mache,MR,
…,,
ich,A,AX
erwart,ARVRT,
ne,N,
sicher,SXR,SX
hit,HT,
…,,
mir,MR,
singe,SNK,
-n-,N,
als,ALS,
ewe,AF,AV
mitnander,MTNNTR,MTNNT
…,,
er,AR,A
singt,SNKT,
pràchtig,PRRTK,PRRT
dr,TR,
Herr,HR,
Lerch,LRX,
un,AN,
accompagniert,AKKMPKNRT,
is,AS,
noch,NR,
derzüe,TRTS,
uf,AF,
em,AM,
Klavier,KLFR,KLV
…,,
d',T,
Müsik,MSK,
un,AN,
's,S,
G'sang,KSNK,
geht,KT,
mr,MR,
ewe,AF,AV
vor,FR,VR
allem,ALM,
b'sunders,PSNTRS,
wenn,VN,
's,S,
recht,RXT,
sentimental,SNTMNTL,STMTL
züegeht,TSKT,TSYT
…,,
drum,TRM,
süech,SR,
ich,A,AX
so,S,
viel,FL,VL
as,AS,
möglig,MKLK,MKL
Bekanntschaft,PKNTXFT,
z',S,
mache,MR,
mit,MT,
Müsikante,MSKNT,MSKT
…,,
Ich,A,AX
ha,H,
derno,TRN,
noch,NR,
dr,TR,
Herr,HR,
Büechfink,PRFNK,
wo,V,
kunnt,KNT,
…,,
awer,AVR,AY
am,AM,
e,A,
-n-,N,
andere,ANTR,
Tag,TK,T
…,,
dà,T,
singt,SNKT,
nitt,NT,
so,S,
güet,KT,
awer,AVR,AY
er,AR,A
spielt,XPLT,
besser,PSR,PS
Klavier,KLFR,KLV
…,,
ich,A,AX
ha,H,
se,S,
beide,PT,
gern,KRN,
…,,
als,ALS,
Müsikante,MSKNT,MSKT
…,,
nur,NR,
isch,AX,
's,S,
fatale,FTL,
dervo,TRF,TRV
ass,AS,
se,S,
mr,MR,
beide,PT,
dr,TR,
Hof,HF,
mache,MR,
…,,
ich,A,AX
ka,K,
se,S,
doch,TR,
nitt,NT,
beide,PT,
hirothe,HRTH,
…,,
un,AN,
nimm,NM,
ich,A,AX
einer,ANR,AN
so,S,
blibt,PLPT,
dr,TR,
andere,ANTR,
furt,FRT,
das,TS,
isch,AX,
klar,KLR,
…,,
se,S,
sin,SN,
jaloux,YLKS,
iwernander,AFRNNTR,AVRNNT
as,AS,
wie,V,
Tiger,TKR,TY
…,,
ich,A,AX
weiss,VS,
do,T,
kei,K,
Üsweg,ASVK,
…,,
ich,A,AX
süech,SR,
se,S,
halt,HLT,
so,S,
lang,LNK,
as,AS,
möglig,MKLK,MKL
üsez'schifle,ASSXFL,
…,,
wenn,VN,
ich,A,AX
als,ALS,
hör,HR,
ass,AS,
se,S,
wànn,VN,
Ernst,ARNXT,
mache,MR,
so,S,
sag,SK,S
ich,A,AX
als,ALS,
gli,KL,
Herr,HR,
Lerch,LRX,
oder,ATR,AT
Herr,HR,
Büechfink,PRFNK,
d',T,
Singstund,SNKXTNT,
isch,AX,
fertig,FRTK,FRT
un,AN,
mach,MR,
mich,M,MX
dervo,TRF,TRV
…,,
ich,A,AX
nenn,NN,
ewe,AF,AV
das,TS,
mi,M,
Singstund,SNKXTNT,
…,,
doch,TR,
do,T,
kunnt,KNT,
jetz,YTS,
dr,TR,
Herr,HR,
Lerch,LRX,
…,,
entrez,ANTRS,ATRTS
…,,
Jumpfer,YMPFR,YMPF
Wachtle,VRTL,
ich,A,AX
wünsch,VNX,
Ere,AR,
ne,N,
güeter,KTR,KT
Morge,MRK,
…,,
ich,A,AX
bin,PN,
e,A,
wenig,VNK,VN
spot,XPT,
hit,HT,
…,,
ich,A,AX
ha,H,
noch,NR,
miesse,MS,
mi,M,
böser,PSR,PS
Finger,FNKR,FNK
verbinde,FRPNT,VRPNT
…,,
Siter,STR,ST
wenn,VN,
hàn,HN,
Sie,S,
ne,N,
böser,PSR,PS
Finger,FNKR,FNK
Scho,X,
drei,TR,
Tàg,TK,T
…,,
's,S,
isch,AX,
glaüb,KLP,
dr,TR,
Umlaüf,AMLF,
…,,
un,AN,
grad,KRT,
noch,NR,
am,AM,
Zeigfinger,TSKFNKR,TSKFNK
an,AN,
dr,TR,
rechte,RXT,
Hand,HNT,
…,,
Se,S,
känne,KN,
-n-,N,
is,AS,
awer,AVR,AY
doch,TR,
e,A,
wenig,VNK,VN
accompagniere,AKKMPKNR,
…,,
Was,VS,
denkt,TNKT,
Se,S,
…,,
Se,S,
sieht,ST,
jo,Y,
ass,AS,
ich,A,AX
ne,N,
verbunde,FRPNT,VRPNT
ha,H,
…,,
ich,A,AX
wott,VT,
schön,XN,
Dings,TNKS,
mache,MR,
Un,AN,
ich,A,AX
ha,H,
mich,M,MX
eso,AS,
g'freit,KFRT,
fir,FR,
Müsik,MSK,
z',S,
mache,MR,
…,,
unsre,ANSR,
schöne,XN,
Romance,RMNK,
do,T,
wo,V,
mr,MR,
hätte,HT,
känne,KN,
singe,SNK,
Ich,A,AX
ka,K,
jo,Y,
doch,TR,
singe,SNK,
wenn,VN,
ich,A,AX
scho,X,
dr,TR,
Finger,FNKR,FNK
verbunde,FRPNT,VRPNT
ha,H,
…,,
mir,MR,
singe,SNK,
-n-,N,
ohne,AN,
Klavier,KLFR,KLV
Das,TS,
geht,KT,
nitt,NT,
Herr,HR,
Lerch,LRX,
…,,
's,S,
hat,HT,
jo,Y,
kei,K,
Art,ART,
eso,AS,
…,,
Thàt,TT,
Sie,S,
-n-,N,
emol,AML,
prawiere,PRFR,PRVR
z',S,
accompagniere,AKKMPKNR,
…,,
's,S,
isch,AX,
jo,Y,
-n-,N,
eso,AS,
licht,LXT,
das,TS,
Lied,LT,
…,,
Derno,TRN,
ka,K,
-n-,N,
ich,A,AX
nitt,NT,
güet,KT,
singe,SNK,
…,,
ich,A,AX
müess,MS,
