forme,key1,key2
G'wiss,KVS,
Rosele,RSL,
…,,
g'wiss,KVS,
mi,M,
lieb,LP,
Kind,KNT,
schaü,X,
glaüb,KLP,
mir,MR,
…,,
schla,XL,
Dir,TR,
das,TS,
Ding,TNK,
üs,AS,
em,AM,
Kopf,KPF,
mit,MT,
Dim,TM,
Herr,HR,
Alfred,ALFRT,
…,,
De,T,
wirsch,VRX,
sàh,S,
's,S,
isch,AX,
besser,PSR,PS
fir,FR,
Dich,T,TX
…,,
ich,A,AX
ka,K,
jo,Y,
üs,AS,
Erfahrung,ARFRNK,
rede,RT,
…,,
lüeg,LK,
vo,F,V
dàne,TN,
junge,YNK,
alle,AL,
z',S,
àmme,AM,
isch,AX,
nie,N,
Keiner,KNR,KN
kei,K,
Duwle,TVL,
werth,VRTH,
gsi,KS,
ich,A,AX
wird,VRT,
's,S,
ebbe,AP,
wisse,VS,
Awer,AVR,AY
dr,TR,
Herr,HR,
Alfred,ALFRT,
Tante,TNT,TT
…,,
Dr,TR,
Herr,HR,
Alfred,ALFRT,
lieb,LP,
Kind,KNT,
wird,VRT,
grad,KRT,
si,S,
as,AS,
wie,V,
alle,AL,
-n-,N,
andere,ANTR,
…,,
gang,KNK,
mr,MR,
eweg,AFK,AVK
mit,MT,
de,T,
Mànner,MNR,MN
wenn,VN,
Dü,T,
wisse,VS,
thàtsch,TTX,
was,VS,
me,M,
sich,S,SX
ufladet,AFLTT,
mit,MT,
em,AM,
hirothe,HRTH,
Awer,AVR,AY
e,A,
Zuckerbäck,TSKRPK,
Tante,TNT,TT
ne,N,
Zuckerback,TSKRPK,
wie,V,
dr,TR,
Herr,HR,
Alfred,ALFRT,
einer,ANR,AN
isch,AX,
…,,
Das,TS,
müess,MS,
doch,TR,
güet,KT,
si,S,
ne,N,
Zuckerback,TSKRPK,
…,,
un,AN,
's,S,
isch,AX,
e,A,
güet,KT,
Handwerk,HNTVRK,
we,V,
me,M,
-n-,N,
als,ALS,
ebbes,APS,
verfuchst,FRFKST,VRFXT
so,S,
ka,K,
me,M,
's,S,
jo,Y,
selwer,SLVR,SLV
esse,AS,
's,S,
geht,KT,
nitt,NT,
verlore,FRLR,VRLR
Ne,N,
Zuckerbäck,TSKRPK,
Rosele,RSL,
isch,AX,
vom,FM,VM
ganz,KNS,KNTS
gliche,KLX,
Teig,TK,T
g'macht,KMRT,
wie,V,
alle,AL,
-n-,N,
andere,ANTR,
…,,
Meinsch,MNX,
Dü,T,
wil,VL,
er,AR,A
Dich,T,TX
als,ALS,
eso,AS,
siess,SS,
alüegt,ALKT,
…,,
So,S,
sin,SN,
alle,AL,
Zuckerbäck,TSKRPK,
bis,PS,
ass,AS,
se,S,
-n-,N,
eim,AM,
als,ALS,
hàn,HN,
am,AM,
Bàndel,PNTL,
…,,
doch,TR,
nochher,NRHR,NRH
Rosele,RSL,
sin,SN,
's,S,
nit,NT,
meh,M,
as,AS,
Salzfàsser,SLSFSR,SLSFS
…,,
Schaü,X,
um,AM,
Dich,T,TX
umme,AM,
…,,
isch,AX,
unsere,ANSR,
Nochbere,NRPR,
dert,TRT,
àne,AN,
glicklig,KLKLK,KLKL
mit,MT,
ihrem,ARM,
Mann,MN,
Sie,S,
hat,HT,
o,A,
-n-,N,
eso,AS,
ne,N,
Schnüfer,XNFR,XNF
gnu,KN,
…,,
jetz,YTS,
zieht,TST,
er,AR,A
d',T,
halwe,HLV,
Zit,TST,
mit,MT,
Andre,ANTR,
-n-,N,
umme,AM,
un,AN,
losst,LST,
si,S,
Fraü,FR,
d',T,
heim,HM,
sitze,STS,
Wie,V,
màngmol,MNKML,
isch,AX,
se,S,
mir,MR,
ku,K,
klage,KLK,KLY
die,T,
güete,KT,
Person,PRSN,
…,,
Un,AN,
die,T,
andere,ANTR,
dert,TRT,
die,T,
hat,HT,
o,A,
so,S,
jung,YNK,
g'hirothe,KRTH,
…,,
gang,KNK,
lüeg,LK,
emol,AML,
was,VS,
das,TS,
fir,FR,
e,A,
Hüshaltung,HXLTNK,HSHLTNK
isch,AX,
…,,
er,AR,A
thüet,TT,
sich,S,SX
voll,FL,VL
trinke,TRNK,
-n-,N,
un,AN,
macht,MRT,
alles,ALS,
dure,TR,
diemol,TML,
hat,HT,
er,AR,A
sogar,SKR,SYR
Prison,PRSN,
biku,PK,
vo,F,V
wege,VK,VY
Handel,HNTL,
wo,V,
-n-,N,
er,AR,A
g'ha,K,
hat,HT,
…,,
un,AN,
weisch,VX,
was,VS,
er,AR,A
g'sàit,KST,
hat,HT,
züe,TS,
sim,SM,
Kamerad,KMRT,
wo,V,
-n-,N,
er,AR,A
isch,AX,
geh,K,
si,S,
Zit,TST,
mache,MR,
…,,
Ich,A,AX
hinterloss,HNTRLS,HTRLS
Dir,TR,
mi,M,
Fraü,FR,
un,AN,
mi,M,
Pfiffe,PFF,
Hans,HNS,
…,,
gib,KP,
mr,MR,
nur,NR,
recht,RXT,
Achtung,ARTNK,
züe,TS,
dr,TR,
Pfiffe,PFF,
…,,
Un,AN,
derno,TRN,
wie,V,
isch,AX,
's,S,
mir,MR,
selbst,SLPXT,
nitt,NT,
gange,KNK,
Rosele,RSL,
…,,
Wie,V,
isch,AX,
's,S,
Dir,TR,
gange,KNK,
Tante,TNT,TT
verzähl,FRTSL,VRTSL
mr,MR,
's,S,
emol,AML,
…,,
Nit,NT,
nit,NT,
…,,
glaüb,KLP,
mir,MR,
Rosele,RSL,
hiroth,HRTH,
Dü,T,
dr,TR,
Herr,HR,
Gàlfink,KLFNK,
unser,ANSR,ANS
Nochber,NRPR,NRP
…,,
das,TS,
isch,AX,
e,A,
Mann,MN,
vo,F,V
me,M,
g'wisse,KVS,
-n-,N,
Alter,ALTR,ALT
un,AN,
wo,V,
ne,N,
bitzi,PTS,
ebbes,APS,
hat,HT,
…,,
Jo,Y,
eso,AS,
ne,N,
-n-,N,
Alter,ALTR,ALT
Tante,TNT,TT
…,,
dr,TR,
Herr,HR,
Alfred,ALFRT,
isch,AX,
o,A,
kei,K,
schlechte,XLXT,
Parthie,PRTH,
un,AN,
hat,HT,
erst,ARXT,
noch,NR,
e,A,
richer,RXR,RX
Oncle,ANKL,
wo,V,
-n-,N,
er,AR,A
emol,AML,
erbt,ARPT,
Jo,Y,
so,S,
ne,N,
-n-,N,
alter,ALTR,ALT
Seeràiwer,SRFR,SRV
wo,V,
schint,XNT,XT
's,S,
si,S,
Vermöge,FRMK,VRMY
-n-,N,
in,AN,
Amerika,AMRK,
g'macht,KMRT,
hat,HT,
…,,
grad,KRT,
wege,VK,VY
dem,TM,
will,VL,
er,AR,A
nitt,NT,
ass,AS,
si,S,
Neuveu,NF,NV
Dich,T,TX
hirothet,HRTHT,
…,,
mir,MR,
sin,SN,
em,AM,
z',S,
g'mein,KMN,
wil,VL,
mir,MR,
in,AN,
dr,TR,
Cité,KT,
wohne,VN,
…,,
d',T,
beste,PXT,
Glättere,KLTR,
wit,VT,
un,AN,
breit,PRT,
wo,V,
bis,PS,
am,AM,
e,A,
Sunntig,SNTK,SNT
z',S,
Mittag,MTK,MT
z',S,
schaffe,XF,
hat,HT,
fir,FR,
ihre,AR,
Pratike,PRTK,
-n-,N,
alle,AL,
z',S,
friede,FRT,
z',S,
stelle,XTL,
…,,
Jo,Y,
's,S,
isch,AX,
wohr,VR,
ich,A,AX
wird,VRT,
wieder,VTR,VT
g'ar,KR,
nitt,NT,
fertig,FRTK,FRT
hit,HT,
…,,
's,S,
isch,AX,
jetz,YTS,
bol,PL,
Eins,ANS,
…,,
ich,A,AX
müess,MS,
jetz,YTS,
doch,TR,
mache,MR,
ass,AS,
ich,A,AX
e,A,
Sach,SR,
furttrage,FRTRK,FRTRY
ka,K,
Sonige,SNK,SNY
brüche,PRR,
-n-,N,
unserein,ANSRN,
's,S,
noch,NR,
z',S,
verachte,FRRT,VRRT
so,S,
Herg'loffene,HRKLFN,
wo,V,
me,M,
gar,KR,
nitt,NT,
weisst,VST,
wo,V,
se,S,
herkämme,HRKM,
Oh,A,
Tante,TNT,TT
's,S,
isch,AX,
nitt,NT,
halwer,HLVR,HLV
so,S,
g'fàhrlig,KFRLK,KFRL
wie,V,
Dü,T,
machsch,MRX,MXX
…,,
er,AR,A
hat,HT,
nitt,NT,
gern,KRN,
ass,AS,
si,S,
Neveu,NF,NV
hirothet,HRTHT,
's,S,
isch,AX,
wohr,VR,
wil,VL,
er,AR,A
noch,NR,
gar,KR,
jung,YNK,
isch,AX,
awer,AVR,AY
er,AR,A
kennt,KNT,
uns,ANS,
jo,Y,
nitt,NT,
emol,AML,
un,AN,
dr,TR,
Herr,HR,
Alfred,ALFRT,
hat,HT,
g'sàit,KST,
wenn,VN,
nur,NR,
Dü,T,
-n-,N,
emol,AML,
z',S,
friede,FRT,
wàrsch,VRX,
so,S,
thàt,TT,
er,AR,A
si,S,
Oncle,ANKL,
scho,X,
wisse,VS,
z',S,
iwerrede,AFRT,AVRT
…,,
was,VS,
die,T,
Seeràiwerg'schichte,SRFRKXXT,SRVRKXXT
abelangt,APLNKT,AVLNKT
wo,V,
Dü,T,
druf,TRF,
stupfsch,XTPFX,
so,S,
isch,AX,
gar,KR,
nit,NT,
wohr,VR,
dervo,TRF,TRV
…,,
dr,TR,
Herr,HR,
Alfred,ALFRT,
hat,HT,
mir,MR,
alles,ALS,
verzählt,FRTSLT,VRTSLT
si,S,
Oncle,ANKL,
isch,AX,
schints,XNTS,XTS
e,A,
wenig,VNK,VN
schlimm,XLM,
gsi,KS,
in,AN,
siner,SNR,SN
Jugend,YKNT,YYNT
un,AN,
hat,HT,
e,A,
paar,PR,
dumme,TM,
Streich,XTR,XTRX
g'macht,KMRT,
un,AN,
do,T,
hat,HT,
me,M,
ne,N,
furt,FRT,
tho,T,
züe,TS,
sim,SM,
altere,ALTR,
Brüeder,PRTR,PRT
in,AN,
Arnerika,ARNRK,
im,AM,
Herr,HR,
Alfred,ALFRT,
si,S,
Vater,FTR,VT
wo,V,
dert,TRT,
e,A,
G'schàft,KXFT,
g'ha,K,
hat,HT,
un,AN,
derno,TRN,
isch,AX,
er,AR,A
dert,TRT,
bliwe,PLF,PLV
bis,PS,
vor,FR,VR
ebbene,APN,
sechs,SKS,SX
Monet,MNT,
isch,AX,
er,AR,A
als,ALS,
e,A,
richer,RXR,RX
Mann,MN,
z',S,
ruckku,RKK,
un,AN,
dr,TR,
Herr,HR,
Alfred,ALFRT,
mit,MT,
em,AM,
…,,
das,TS,
isch,AX,
d',T,
ganze,KNTS,
G'schichte,KXXT,
Dr,TR,
Herr,HR,
Alfred,ALFRT,
ka,K,
Dir,TR,
verzähle,FRTSL,VRTSL
was,VS,
er,AR,A
will,VL,
lieb,LP,
Kind,KNT,
…,,
schaü,X,
De,T,
glaübsch,KLPX,
nitt,NT,
wie,V,
-n-,N,
eim,AM,
d',T,
junge,YNK,
Lit,LT,
hintergehn,HNTRKN,HTRKN
ich,A,AX
ka,K,
jo,Y,
üs,AS,
Erfahrung,ARFRNK,
rede,RT,
dr,TR,
Herr,HR,
Gàlfink,KLFNK,
hingege,HNKK,HNKY
isch,AX,
scho,X,
im,AM,
e,A,
g'wisse,KVS,
-n-,N,
Alter,ALTR,ALT
…,,
serios,SRS,
un,AN,
posiert,PSRT,
…,,
Kind,KNT,
glaüb,KLP,
Dü,T,
mir,MR,
E,A,
Junger,YNKR,YNK
müesch,MX,
nitt,NT,
nàmme,NM,
Drum,TRM,
roth,RTH,
ich,A,AX
Dir,TR,
Dr,TR,
Herr,HR,
Gàlfink,KLFNK,
jetz,YTS,
z',S,
nàh,N,
's,S,
wàr,VR,
mi,M,
Unglick,ANKLK,
Ich,A,AX
miesst,MST,
mich,M,MX
mit,MT,
ihm,AM,
schàmme,XM,
Er,AR,A
isch,AX,
mr,MR,
z',S,
flick,FLK,
Ich,A,AX
will,VL,
ihn,AN,
gar,KR,
nit,NT,
