forme,key1,key2
Enfin,ANFN,AFN
decidier,TKTR,TKT
Di,T,
…,,
entweder,ANTVTR,ATVT
hasch,HX,
ne,N,
gern,KRN,
oder,ATR,AT
hasch,HX,
ne,N,
nitt,NT,
gern,KRN,
…,,
wenn,VN,
De,T,
ne,N,
gern,KRN,
hasch,HX,
so,S,
hiroth,HRTH,
ne,N,
mir,MR,
wàr,VR,
's,S,
recht,RXT,
…,,
hasch,HX,
ne,N,
-n-,N,
awer,AVR,AY
nitt,NT,
gern,KRN,
so,S,
will,VL,
ich,A,AX
Di,T,
wege,VK,VY
dem,TM,
doch,TR,
nitt,NT,
zwinge,TSVNK,
derzüe,TRTS,
Ich,A,AX
ha,H,
-n-,N,
en,AN,A
glaüb,KLP,
nitt,NT,
ungern,ANKRN,
…,,
awer,AVR,AY
eso,AS,
ne,N,
Chineser,KNSR,XNS
hirothe,HRTH,
Vater,FTR,VT
…,,
's,S,
isch,AX,
jo,Y,
kei,K,
Chineser,KNSR,XNS
…,,
Dü,T,
weisch,VX,
's,S,
wohl,VL,
Sobol,SPL,SVL
ass,AS,
er,AR,A
eso,AS,
ne,N,
Wàdele,VTL,
am,AM,
Kopf,KPF,
hat,HT,
hànke,HNK,
un,AN,
eso,AS,
Moustaches,MXTRS,
as,AS,
wie,V,
schwarze,XVRTS,
Schnier,XNR,XN
un,AN,
wie,V,
ne,N,
Chineser,KNSR,XNS
ag'legt,AKLKT,
isch,AX,
so,S,
isch,AX,
's,S,
fir,FR,
mich,M,MX
e,A,
Chineser,KNSR,XNS
Das,TS,
Ding,TNK,
kàm,KM,
mir,MR,
chinesisch,KNSX,XNSX
vor,FR,VR
Wenn,VN,
ich,A,AX
ne,N,
thàt,TT,
hirothe,HRTH,
Ich,A,AX
kännt,KNT,
ne,N,
doch,TR,
isch,AX,
's,S,
jetz,YTS,
nitt,NT,
wohr,VR,
Nie,N,
packe,PK,
-n-,N,
an,AN,
de,T,
Hoor,HR,
Was,VS,
wott,VT,
ich,A,AX
ihm,AM,
üsrupfe,ASRPF,
Wenn,VN,
's,S,
Strit,XTRT,
gàb,KP,
hi,H,
uns,ANS,
zwei,TSV,
Ich,A,AX
wàr,VR,
üsg'setzt,ASKSTST,
allei,AL,
Un,AN,
er,AR,A
thàt,TT,
dure,TR,
schlupfe,XLPF,
Fir,FR,
ass,AS,
d',T,
Hiroth,HRTH,
thüet,TT,
g'linge,KLNK,
Müess,MS,
z',S,
allererst,ALRRXT,
druf,TRF,
hi,H,
D',T,
Paricke,PRK,
Fest,FXT,
als,ALS,
si,S,
Fir,FR,
ass,AS,
me,M,
güet,KT,
ka,K,
ringe,RNK,
Das,TS,
Ding,TNK,
kàm,KM,
etc.,ATK,
Das,TS,
Ding,TNK,
kunnt,KNT,
Dir,TR,
chinesisch,KNSX,XNSX
vor,FR,VR
Un,AN,
doch,TR,
sollsch,SLX,
ihn,AN,
hirothe,HRTH,
Er,AR,A
ka,K,
nochher,NRHR,NRH
isch,AX,
's,S,
jetz,YTS,
nitt,NT,
wohr,VR,
Lo,L,
wachse,VKS,VX
sine,SN,
Hoor,HR,
Wenn,VN,
ihr,AR,
hirothe,HRTH,
mitnander,MTNNTR,MTNNT
so,S,
wird,VRT,
er,AR,A
wohrschinlig,VRXNLK,VRXNL
abfahre,APFR,
mit,MT,
sim,SM,
Wàdele,VTL,
un,AN,
sich,S,SX
wieder,VTR,VT
kleide,KLT,
wie,V,
d',T,
andere,ANTR,
Lit,LT,
Meinsch,MNX,
…,,
er,AR,A
isch,AX,
awer,AVR,AY
jetz,YTS,
scho,X,
vierzeh,FRTS,VRTS
Tàg,TK,T
do,T,
un,AN,
laüft,LFT,
noch,NR,
immer,AMR,AM
als,ALS,
Chineser,KNSR,XNS
umme,AM,
Was,VS,
witt,VT,
halt,HLT,
…,,
er,AR,A
isch,AX,
's,S,
g'wöhnt,KVNT,
…,,
siter,STR,ST
im,AM,
zehnte,TSNT,
Johr,YR,
isch,AX,
er,AR,A
jetz,YTS,
in,AN,
China,KN,XN
gsi,KS,
Warum,VRM,
haltsch,HLTX,
Dü,T,
awer,AVR,AY
jetz,YTS,
eso,AS,
an,AN,
dere,TR,
Hochzit,HRTST,
…,,
zeig,TSK,TS
Pape,PP,
Los,LS,
Kàtele,KTL,
…,,
ich,A,AX
sott,ST,
Dir,TR,
's,S,
eigentlig,AKNTLK,AYTL
nitt,NT,
sage,SK,SY
…,,
awer,AVR,AY
ich,A,AX
will,VL,
Dir,TR,
's,S,
jetz,YTS,
avertraüe,AFRTR,AVRTR
fir,FR,
ass,AS,
De,T,
siehsch,SX,
ass,AS,
es,AS,
Di,T,
Intresse,ANTRS,ATRS
-n-,N,
isch,AX,
Di,T,
Cüsin,KSN,
z',S,
hirothe,HRTH,
…,,
awer,AVR,AY
versprich,FRXPR,VRXPRX
mir,MR,
ass,AS,
De,T,
nieme,NM,
nit,NT,
sage,SK,SY
witt,VT,
