forme,key1,key2
Was,VS,
fir,FR,
e,A,
herrlige,HRLK,HRLY
G'stalt,KSTLT,
…,,
was,VS,
fir,FR,
schöne,XN,
-n-,N,
Aüge,AK,AY
Oh,A,
wenn,VN,
ich,A,AX
doch,TR,
nur,NR,
noch,NR,
e,A,
wenig,VNK,VN
jünger,YNKR,YNK
war,VR,
…,,
Aha,AH,
…,,
dr,TR,
Herr,HR,
Guld,KLT,
kunnt,KNT,
wieder,VTR,VT
ku,K,
lüege,LK,LY
eb,AP,
er,AR,A
si,S,
Geld,KLT,
no,N,
nitt,NT,
bol,PL,
bikunnt,PKNT,
…,,
Herr,HR,
Guld,KLT,
ich,A,AX
wünsch,VNX,
Ene,AN,
ne,N,
güeter,KTR,KT
Morge,MRK,
Ah,A,
Sie,S,
sin,SN,
's,S,
Herr,HR,
Kalt,KLT,
…,,
was,VS,
macht,MRT,
d',T,
G'sundheit,KSNTHT,
…,,
geht,KT,
's,S,
allewil,ALFL,ALVL
…,,
D',T,
G'sundheit,KSNTHT,
gieng,KNK,
scho,X,
Herr,HR,
Guld,KLT,
…,,
awer,AVR,AY
d',T,
G'schàfte,KXFT,
die,T,
wànn,VN,
nitt,NT,
recht,RXT,
geh,K,
…,,
Bàh,P,
…,,
's,S,
himpelt,HMPLT,
e,A,
wenig,VNK,VN
in,AN,
dem,TM,
Moment,MMNT,MMT
's,S,
isch,AX,
wohr,VR,
awer,AVR,AY
's,S,
wird,VRT,
sich,S,SX
scho,X,
wieder,VTR,VT
mache,MR,
Ich,A,AX
mag,MK,M
noch,NR,
so,S,
nogeh,NK,NY
un,AN,
nolüege,NLK,NLY
's,S,
hilft,HLFT,
alles,ALS,
nit,NT,
meh,M,
Wie,V,
schön,XN,
as,AS,
se,S,
doch,TR,
g'wachse,KVKS,KVX
-n-,N,
isch,AX,
's,S,
macht,MRT,
mr,MR,
g'wiss,KVS,
Mieih,M,
Herr,HR,
Guld,KLT,
…,,
awer,AVR,AY
ich,A,AX
weiss,VS,
sicher,SXR,SX
nitt,NT,
wenn,VN,
ass,AS,
ich,A,AX
Ihne,AN,
Ihr,AR,
Geld,KLT,
wieder,VTR,VT
ka,K,
z',S,
ruckgà,RKK,
…,,
Ich,A,AX
glaüb,KLP,
misegs,MSKS,
se,S,
hat,HT,
mi,M,
vorig,FRK,VR
ag'làchelt,AKLRLT,
im,AM,
Duregeh,TRK,TRY
Fünftaüsend,FNFTSNT,FFTSNT
Franke,FRNK,
Ich,A,AX
denk,TNK,
nitt,NT,
emol,AML,
dra,TR,
an,AN,
das,TS,
