forme,key1,key2
's,S,
hat,HT,
's,S,
doch,TR,
noch,NR,
nie,N,
kei,K,
Bedienter,PTNTR,PTT
besser,PSR,PS
g'ha,K,
as,AS,
ich,A,AX
…,,
niene,NN,
thàt,TT,
ich,A,AX
eso,AS,
ne,N,
Platz,PLTS,
finde,FNT,
…,,
mi,M,
Herr,HR,
isch,AX,
Astronom,AXTRNM,
das,TS,
heisst,HST,
mit,MT,
andere,ANTR,
Worte,VRT,
er,AR,A
isch,AX,
narràchtig,NRRTK,NRRT
…,,
er,AR,A
isch,AX,
awer,AVR,AY
güet,KT,
z',S,
ha,H,
…,,
wenn,VN,
ich,A,AX
ihm,AM,
nur,NR,
allewil,ALFL,ALVL
Recht,RXT,
gib,KP,
un,AN,
si,S,
Specktifig,XPKTFK,XPKTF
un,AN,
si,S,
Weltkugle,VLTKKL,
dert,TRT,
abstàib,APXTP,
so,S,
geht,KT,
alles,ALS,
güet,KT,
er,AR,A
bekümmert,PKMRT,
sich,S,SX
sunscht,SNXT,
um,AM,
nit,NT,
…,,
er,AR,A
isch,AX,
allewil,ALFL,ALVL
in,AN,
de,T,
Wulke,VLK,
…,,
mr,MR,
känne,KN,
mache,MR,
was,VS,
mr,MR,
wànn,VN,
's,S,
Kàtele,KTL,
un,AN,
ich,A,AX
…,,
's,S,
isch,AX,
mi,M,
Fraü,FR,
wo,V,
Kàtele,KTL,
heisst,HST,
…,,
mr,MR,
hàn,HN,
jetz,YTS,
sogar,SKR,SYR
e,A,
Bureau,PR,
de,T,
placement,PLKMNT,PLKMT
ag'fange,AKFNK,
…,,
mr,MR,
verschaffe,FRXF,VRXF
-n-,N,
in,AN,
de,T,
Dienstbote,TNXTPT,
Plàtz,PLTS,
…,,
um,AM,
Bezahlung,PTSLNK,
un,AN,
iwerhaüpt,AFRHPT,AVRHPT
was,VS,
sich,S,SX
presentiert,PRSNTRT,PRSTRT
fir,FR,
Geld,KLT,
z',S,
verdiene,FRTN,VRTN
das,TS,
iwernàmme,AFRNM,AVRNM
mr,MR,
seig,SK,S
's,S,
was,VS,
es,AS,
will,VL,
…,,
hitigstags,HTKXTKS,
derf,TRF,
me,M,
