forme,key1,key2
Endlig,ANTLK,ANTL
sin,SN,
jetz,YTS,
uns're,ANSR,
Hochzitsgäst,HRTSTSKXT,
emol,AML,
heim,HM,
geh,K,
schlofe,XLF,
un,AN,
ich,A,AX
bin,PN,
allei,AL,
ass,AS,
ich,A,AX
doch,TR,
ka,K,
mine,MN,
-n-,N,
Idee,AT,
ne,N,
wenig,VNK,VN
z',S,
àmmesüeche,AMSR,
…,,
g'hirothe,KRTH,
siter,STR,ST
dà,T,
Morge,MRK,
-n-,N,
am,AM,
Elfe,ALF,
…,,
isch,AX,
's,S,
denn,TN,
wirklig,VRKLK,VRKL
wohr,VR,
un,AN,
isch,AX,
mi,M,
Wunsch,VNX,
mi,M,
heisser,HSR,HS
Wunsch,VNX,
denn,TN,
wirklig,VRKLK,VRKL
in,AN,
Erfillung,ARFLNK,
gange,KNK,
…,,
nei,N,
's,S,
isch,AX,
kei,K,
Traürn,TRRN,
denn,TN,
do,T,
isch,AX,
jo,Y,
dr,TR,
Eh'ring,ARNK,
…,,
siter,STR,ST
am,AM,
Elfe,ALF,
dà,T,
Morge,MRK,
isch,AX,
's,S,
Lenele,LNL,
mi,M,
Fraü,FR,
…,,
d',T,
Hochzit,HRTST,
hà,H,
mr,MR,
dunte,TNT,TT
g'halte,KLT,
im,AM,
Erste,ARXT,
bim,PM,
Lenele,LNL,
sin're,SNR,
Tante,TNT,TT
…,,
's,S,
isch,AX,
jetz,YTS,
dert,TRT,
's,S,
Lenele,LNL,
in,AN,
dr,TR,
Schlofstuwe,XLFXTF,XLFXTV
's,S,
zieht,TST,
si,S,
Kranz,KRNS,KRNTS
ab,AP,
…,,
ich,A,AX
ha,H,
-n-,N,
em,AM,
awer,AVR,AY
versproche,FRXPRR,VRXPRR
ass,AS,
mr,MR,
ne,N,
-n-,N,
ufbewahre,AFPFR,AFPVR
unter,ANTR,AT
eme,AM,
Globe,KLP,KLV
ass,AS,
kei,K,
Staüb,XTP,
dra,TR,
kunnt,KNT,
…,,
tiens,TNS,
…,,
do,T,
ligt,LKT,
ein,AN,
vo,F,V
sine,SN,
Hàndschig,HNTXK,HNTX
…,,
's,S,
isch,AX,
schint,XNT,XT
's,S,
noch,NR,
do,T,
g'si,KS,
im,AM,
Salon,SLN,
vor,FR,VR
ebb,AP,
's,S,
ins,ANS,
Schlofzimmer,XLFTSMR,XLFTSM
isch,AX,
…,,
's,S,
isch,AX,
ewe,AF,AV
vor,FR,VR
mir,MR,
ufe,AF,
un,AN,
vor,FR,VR
ebb,AP,
's,S,
gange,KNK,
-n-,N,
isch,AX,
ha,H,
-n-,N,
ich,A,AX
ihm,AM,
miesse,MS,
verspreche,FRXPRX,VRXPRX
ass,AS,
ich,A,AX
nitt,NT,
vor,FR,VR
de,T,
Zwölfe,TSVLF,
-n-,N,
in,AN,
d',T,
Schlofstuwe,XLFXTF,XLFXTV
kumm,KM,
…,,
's,S,
isch,AX,
jetz,YTS,
halwer,HLVR,HLV
…,,
o,A,
mi,M,
Lenele,LNL,
…,,
ihr,AR,
känne,KN,
-n-,N,
eüch,AR,
kei,K,
Begriff,PKRF,
mache,MR,
wie,V,
gern,KRN,
ass,AS,
ich,A,AX
's,S,
ha,H,
…,,
das,TS,
Ding,TNK,
hat,HT,
scho,X,
lang,LNK,
dürt,TRT,
im,AM,
