forme,key1,key2
's,S,
isch,AX,
doch,TR,
efange,AFNK,
züe,TS,
arg,ARK,
wie,V,
d',T,
G'chàfte,KXFT,
ne,N,
so,S,
schlecht,XLXT,
geh'n,KN,
…,,
Wer,VR,V
hätt,HT,
das,TS,
glaübt,KLPT,
vor,FR,VR
ebbe,AP,
-n-,N,
e,A,
zeh',TS,
Johr,YR,
Ich,A,AX
Meister,MXTR,MXT
Scharfmesser,XRFMSR,XRFMS
wo,V,
doch,TR,
vo,F,V
jeher,YHR,YH
ein,AN,
vo,F,V
de,T,
-n-,N,
erste,ARXT,
Balwierer,PLVRR,PLVR
gsi,KS,
bi,P,
wit,VT,
un,AN,
breit,PRT,
wo,V,
alles,ALS,
mache,MR,
ka,K,
Zähn,TSN,
üszieh,ASTS,
Schràpfe,XRPF,
z',S,
Oder,ATR,AT
lo,L,
Dampfbäder,TMPFPTR,TMPFPT
gà,K,
oh,A,
fir,FR,
d',T,
Lit,LT,
mache,MR,
z',S,
schwitze,XVTS,
bin,PN,
ich,A,AX
allewil,ALFL,ALVL
e,A,
Meister,MXTR,MXT
gsi,KS,
im,AM,
Zähn,TSN,
üszieh,ASTS,
isch,AX,
mr,MR,
no,N,
nie,N,
Kein,KN,
vorku,FRK,VRK
we,V,
me,M,
ne,N,
so,S,
Instrumente,ANXTRMNT,ANXTRMT
hat,HT,
so,S,
wàr,VR,
's,S,
doch,TR,
dr,TR,
Kückück,KKK,
we,V,
me,M,
nitt,NT,
e,A,
Zahn,TSN,
kännt,KNT,
üsebringe,ASPRNK,
un,AN,
wenn,VN,
er,AR,A
fufzig,FFTSK,FFTS
Wurzle,VRTSL,
hätt,HT,
…,,
Kurz,KRS,KRTS
's,S,
hat,HT,
allewil,ALFL,ALVL
nur,NR,
g'heisse,KS,
der,TR,T
Herr,HR,
Scharfmesser,XRFMSR,XRFMS
hinte,HNT,HT
der,TR,T
Herr,HR,
Scharfmesser,XRFMSR,XRFMS
vorne,FRN,VRN
…,,
ich,A,AX
ha,H,
nur,NR,
z',S,
laüfe,LF,
g'ha,K,
fir,FR,
alle,AL,
Lit,LT,
kanne,KN,
z',S,
friede,FRT,
stelle,XTL,
un,AN,
jetz,YTS,
…,,
jetz,YTS,
sitz,STS,
i,A,
mangmol,MNKML,
halwe,HLV,
Tàg,TK,T
do,T,
ohne,AN,
ass,AS,
sich,S,SX
e,A,
Mensch,MNX,
blicke,PLK,
losst,LST,
…,,
Züem,TSM,
Glick,KLK,
ha,H,
-n-,N,
i,A,
g'erbt,KRPT,
do,T,
no,N,
nitt,NT,
lang,LNK,
…,,
ziemlig,TSMLK,TSML
ich,A,AX
ha,H,
jetz,YTS,
im,AM,
Sinn,SN,
mich,M,MX
z',S,
ruck,RK,
z',S,
zieh,TS,
un,AN,
will,VL,
süeche,SR,
mi,M,
Tochter,TRTR,TRT
mit,MT,
eme,AM,
güete,KT,
Mann,MN,
z',S,
verhirothe,FRHRTH,VRHRTH
…,,
Wenn,VN,
nur,NR,
mi,M,
G'sell,KSL,
dr,TR,
Hans,HNS,
e,A,
wenig,VNK,VN
Geld,KLT,
hätt,HT,
un,AN,
nitt,NT,
eso,AS,
eifach,AFR,
wàr,VR,
fir,FR,
nitt,NT,
z',S,
sage,SK,SY
Simpel,SMPL,
…,,
Doch,TR,
still,XTL,
…,,
do,T,
isch,AX,
er,AR,A
glaüb,KLP,
…,,
dasmol,TSML,
isch,AX,
er,AR,A
flink,FLNK,
gsi,KS,
…,,
i,A,
ha,H,
-n-,N,
en,AN,A
g'schickt,KXKT,
geh,K,
dr,TR,
Herr,HR,
Pappedeckel,PPTKL,
rasiere,RSR,
im,AM,
Kàiwegàssle,KFKSL,KVYSL
hinte,HNT,HT
un,AN,
dr,TR,
Herr,HR,
Mülkorb,MLKRP,
im,AM,
siess',SS,
Winkel,VNKL,
bisch,PX,
Dü,T,
's,S,
scho,X,
Hans,HNS,
…,,
De,T,
hasch,HX,
g'schwind,KXVNT,
fertig,FRTK,FRT
g'ha,K,
hit,HT,
…,,
Isch,AX,
's,S,
e,A,
Wunder,VNTR,VNT
Meister,MXTR,MXT
…,,
Wo,V,
-n-,N,
i,A,
züem,TSM,
Herr,HR,
Pappedeckel,PPTKL,
ku,K,
bi,P,
un,AN,
ha,H,
mine,MN,
Messer,MSR,MS
üse,AS,
g'nu,KN,
so,S,
hat,HT,
er,AR,A
sich,S,SX
höflig,HFLK,HFL
bedankt,PTNKT,
un,AN,
hat,HT,
g'sàit,KST,
er,AR,A
thàt,TT,
sich,S,SX
jetz,YTS,
selbscht,SLPXT,
rasiere,RSR,
bi,P,
dàne,TN,
schlechte,XLXT,
Zite,TST,
…,,
Was,VS,
ha,H,
-n-,N,
ich,A,AX
g'sàit,KST,
's,S,
isch,AX,
nimmig,NMK,NM
züem,TSM,
üshalte,AXLT,ASHLT
…,,
A,A,
propos,PRPS,
Hans,HNS,
De,T,
weisch,VX,
ass,AS,
ich,A,AX
im,AM,
Sinn,SN,
ha,H,
mich,M,MX
z',S,
ruck,RK,
z',S,
zieh,TS,
…,,
das,TS,
wàr,VR,
jetz,YTS,
so,S,
ne,N,
G'schaftle,KXFTL,
fir,FR,
Dich,T,TX
…,,
zeig,TSK,TS
hasch,HX,
kei,K,
alte,ALT,
Tante,TNT,TT
wo,V,
De,T,
-n-,N,
emol,AML,
erbsch,ARPX,
un,AN,
wo,V,
Dr,TR,
viellicht,FLXT,VLXT
thàt,TT,
's,S,
Geld,KLT,
vorstrecke,FRXTRK,VRXTRK
O,A,
liewer,LFR,LV
Meister,MXTR,MXT
wenn,VN,
alle,AL,
Misle,MSL,
z',S,
Grund,KRNT,
giengte,KNKT,
so,S,
thàt,TT,
ich,A,AX
nitt,NT,
emol,AML,
e,A,
Wàdele,VTL,
-n-,N,
erwe,ARV,
Süech,SR,
Dr,TR,
e,A,
riche,RX,
Fraü,FR,
anstatt,ANXTT,
im,AM,
alte,ALT,
Bemol,PML,
im,AM,
Clavierstimmer,KLFRXTMR,KLVRXTM
siner,SNR,SN
Tochter,TRTR,TRT
noz'laüfe,NSLF,
er,AR,A
will,VL,
jo,Y,
ohnedem,ANTM,
nit,NT,
wisse,VS,
vo,F,V
Dr,TR,
so,S,
lang,LNK,
as,AS,
D',T,
nitt,NT,
etabliert,ATPLRT,
bisch,PX,
…,,
We,V,
me,M,
will,VL,
Balwierer,PLVRR,PLVR
werde,VRT,
Müess,MS,
me,M,
ha,H,
ne,N,
güete,KT,
Lehr,LR,
Ass,AS,
me,M,
heile,HL,
ka,K,
die,T,
B'schwerde,PXVRT,
Do,T,
in,AN,
uns'rem,ANSRM,
Thrànemeer,TRNMR,TRNM
Instrumente,ANXTRMNT,ANXTRMT
müess,MS,
me,M,
ha,H,
Ass,AS,
me,M,
-n-,N,
operiere,APRR,
ka,K,
Alles,ALS,
was,VS,
sich,S,SX
presentiert,PRSNTRT,PRSTRT
Un,AN,
derf,TRF,
jo,Y,
nitt,NT,
si,S,
g'geniert,KKNRT,
Denn,TN,
verleide,FRLT,VRLT
kännt,KNT,
eim,AM,
sunscht,SNXT,
Gar,KR,
glich,KL,KLX
unser,ANSR,ANS
schöne,XN,
Kunst,KNXT,
Hans,HNS,
De,T,
hasch,HX,
kei,K,
d',T,
Zit,TST,
z',S,
verliere,FRLR,VRLR
Schaff,XF,
e,A,
riche,RX,
Fraü,FR,
Dir,TR,
a,A,
Wenn,VN,
Dü,T,
's,S,
witt,VT,
fir,FR,
Dich,T,TX
prawiere,PRFR,PRVR
So,S,
müesch,MX,
gar,KR,
viel,FL,VL
Sache,SR,
ha,H,
Faux-cols,FKSKLS,
Seife,SF,
fir,FR,
dr,TR,
Bart,PRT,
Un,AN,
Cravatte,KRFT,KRVT
-n-,N,
aller,ALR,AL
Art,ART,
O,A,
Pommade,PMT,
bis,PS,
genüe,KN,
Hànschig,HNXK,HNX
mien,MN,M
o,A,
noch,NR,
derzüe,TRTS,
Un,AN,
sogar,SKR,SYR
fir,FR,
wer,VR,V
gern,KRN,
lacht,LRT,
Larve,LRF,LRV
-n-,N,
an,AN,
dr,TR,
Fasenacht,FSNRT,
Was,VS,
wànn,VN,
Se,S,
halt,HLT,
Meister,MXTR,MXT
ich,A,AX
weiss,VS,
das,TS,
alles,ALS,
awer,AVR,AY
ich,A,AX
ha,H,
halt,HLT,
's,S,
Trinele,TRNL,
gern,KRN,
denn,TN,
's,S,
heisst,HST,
o,A,
Trinele,TRNL,
wie,V,
Ihre,AR,
Tochter,TRTR,TRT
…,,
O,A,
was,VS,
hat,HT,
die,T,
fir,FR,
schöne,XN,
Aüge,AK,AY
…,,
nitt,NT,
Ihre,AR,
Tochter,TRTR,TRT
das,TS,
heisst,HST,
doch,TR,
Ihre,AR,
Tochter,TRTR,TRT
hat,HT,
o,A,
schöne,XN,
Aüge,AK,AY
…,,
awer,AVR,AY
's,S,
Trinele,TRNL,
erscht,ARXT,
…,,
in,AN,
's,S,
Herr,HR,
Ducommun,TKMN,
's,S,
ihre,AR,
Lumière,LMR,
électrique,ALKTRKV,
isch,AX,
nur,NR,
e,A,
Narr,NR,
drgege,TRKK,TRKY
…,,
Allons,ALNS,
allons,ALNS,
Hans,HNS,
gib,KP,
Achtung,ARTNK,
ass,AS,
De,T,
nitt,NT,
emol,AML,
agehsch,AKX,AYX
dra,TR,
…,,
O,A,
ich,A,AX
versicher,FRSXR,VRSX
Sie,S,
Meister,MXTR,MXT
Versicher,FRSXR,VRSX
Dü,T,
Dich,T,TX
's,S,
isch,AX,
g'scheidter,KXTR,KXT
…,,
Scho,X,
zwei,TSV,
ich,A,AX
ha,H,
in,AN,
eim,AM,
versproche,FRXPRR,VRXPRR
ne,N,
Zahn,TSN,
üsz'zieh,ASSTS,
am,AM,
Zwei,TSV,
Dà,T,
wird,VRT,
blange,PLNK,
…,,
ich,A,AX
will,VL,
jetz,YTS,
g'schwind,KXVNT,
geh,K,
…,,
b'sorg,PSRK,
derwilst,TRVLST,
e,A,
Sach,SR,
güet,KT,
Hans,HNS,
…,,
Verlehn,FRLN,VRLN
Sie,S,
sich,S,SX
uf,AF,
mich,M,MX
Meister,MXTR,MXT
Das,TS,
isch,AX,
jetz,YTS,
alles,ALS,
güet,KT,
awer,AVR,AY
mit,MT,
dem,TM,
allem,ALM,
bin,PN,
ich,A,AX
noch,NR,
allewil,ALFL,ALVL
nitt,NT,
Millionär,MLNR,
…,,
Oh,A,
das,TS,
Geld,KLT,
…,,
nur,NR,
allewil,ALFL,ALVL
Geld,KLT,
…,,
ich,A,AX
wott,VT,
jo,Y,
keins,KNS,
verlange,FRLNK,VRLNK
kei,K,
Geld,KLT,
wenn,VN,
ich,A,AX
nur,NR,
mi,M,
Trinele,TRNL,
hätt,HT,
…,,
Wenn,VN,
ich,A,AX
soll,SL,
glicklig,KLKLK,KLKL
werde,VRT,
Müess,MS,
ich,A,AX
ihr',AR,
Liewe,LF,LV
ha,H,
Nur,NR,
sie,S,
ka,K,
do,T,
uf,AF,
Erde,ART,
Mi,M,
Herz,HRS,HRTS
g'schwind,KXVNT,
mache,MR,
schla,XL,
Wenn,VN,
ich,A,AX
soll,SL,
glicklig,KLKLK,KLKL
werde,VRT,
Müess,MS,
ich,A,AX
ihr',AR,
Liewe,LF,LV
ha,H,
Kei,K,
Stern,XTRN,
wo,V,
dert,TRT,
thüet,TT,
schwewe,XVF,XVV
Isch,AX,
so,S,
schön,XN,
wie,V,
ihr',AR,
Blick,PLK,
Mi,M,
Herz,HRS,HRTS
fir,FR,
's,S,
ganze,KNTS,
Lewe,LF,LV
Ihr',AR,
z',S,
gà,K,
das,TS,
wàr,VR,
mi,M,
Glick,KLK,
Kei,K,
Stern,XTRN,
wo,V,
dert,TRT,
thüet,TT,
schwewe,XVF,XVV
Isch,AX,
schön,XN,
as,AS,
wie,V,
ihr',AR,
Blick,PLK,
Eh,A,
tiens,TNS,
dr,TR,
Meister,MXTR,MXT
Bemol,PML,
wie,V,
geht,KT,
's,S,
Schwiegervater,XVKRFTR,XVYRVT
was,VS,
macht,MRT,
Ihr,AR,
Töchterle,TRTRL,
…,,
So,S,
lang,LNK,
as,AS,
Dü,T,
nitt,NT,
etabliert,ATPLRT,
bisch,PX,
Hans,HNS,
so,S,
isch,AX,
nit,NT,
z',S,
mache,MR,
…,,
un,AN,
züedem,TSTM,
obschon,APXN,
mi,M,
Trinele,TRNL,
nit,NT,
hat,HT,
so,S,
isch,AX,
's,S,
doch,TR,
e,A,
schöne,XN,
Jumpfere,YMPFR,
wo,V,
viellicht,FLXT,VLXT
noch,NR,
e,A,
güete,KT,
Parthie,PRTH,
ka,K,
mache,MR,
…,,
Doch,TR,
'5,,
handelt,HNTLT,
sich,S,SX
jetz,YTS,
nitt,NT,
um,AM,
das,TS,
…,,
ich,A,AX
soll,SL,
ku,K,
in,AN,
dr,TR,
Jumpfer,YMPFR,YMPF
Scharfmesser,XRFMSR,XRFMS
ihr,AR,
Klavier,KLFR,KLV
stimme,XTM,
…,,
isch,AX,
se,S,
d',T,
heim,HM,
's,S,
weisst,VST,
's,S,
gwiss,KVS,
Nieme,NM,
besser,PSR,PS
as,AS,
ich,A,AX
ass,AS,
's,S,
Trinele,TRNL,
ne,N,
scheene,XN,
Jumpfere,YMPFR,
isch,AX,
…,,
Setze,STS,
Sie,S,
sich,S,SX
e,A,
wenig,VNK,VN
Herr,HR,
Bemol,PML,
ich,A,AX
will,VL,
