forme,key1,key2
Ich,A,AX
bi,P,
noch,NR,
ganz,KNS,KNTS
verwundert,FRVNTRT,VRVNTRT
un,AN,
iwerrascht,AFRXT,AVRXT
…,,
grad,KRT,
kunnt,KNT,
's,S,
Emma,AM,
mi,M,
güete,KT,
Frindin,FRNTN,
vo,F,V
Strossburg,XTRSPRK,
do,T,
züe,TS,
mr,MR,
als,ALS,
Herr,HR,
ag'Iegt,AKKT,
un,AN,
sàit,ST,
mr,MR,
ass,AS,
es,AS,
furtg'loffe,FRTKLF,
seig,SK,S
vo,F,V
d',T,
heim,HM,
…,,
's,S,
thüet,TT,
sich,S,SX
jetz,YTS,
grad,KRT,
changiere,KNKR,XNKR
dert,TRT,
die,T,
Mannerkleider,MNRKLTR,MNRKLT
hàn,HN,
's,S,
e,A,
wenig,VNK,VN
g',K,
geniert,KNRT,
…,,
tiens,TNS,
do,T,
isch,AX,
's,S,
jo,Y,
scho,X,
…,,
Kumm,KM,
g'schwind,KXVNT,
un,AN,
verzähl,FRTSL,VRTSL
mr...,MR,
ich,A,AX
bi,P,
wunderfitzig,VNTRFTSK,VNTRFTS
was,VS,
das,TS,
eigentlig,AKNTLK,AYTL
fir,FR,
e,A,
G'schichte,KXXT,
-n-,N,
isch,AX,
…,,
vor,FR,VR
allem,ALM,
sag,SK,S
mr...,MR,
hat,HT,
Di,T,
Nieme,NM,
g'sàh,KS,
do,T,
ane,AN,
ku,K,
…,,
Kei,K,
Mensch,MNX,
…,,
worum,VRM,
hasch,HX,
Dü,T,
-n-,N,
eso,AS,
Angst,ANKXT,
D',T,
Lit,LT,
hàn,HN,
gar,KR,
böse,PS,
Miler,MLR,ML
…,,
wenn,VN,
ebber,APR,AP
g'sàh,KS,
hätt,HT,
e,A,
junger,YNKR,YNK
Mensch,MNX,
züe,TS,
mir,MR,
ku,K,
so,S,
kännte,KNT,
se,S,
Sache,SR,
denke,TNK,
…,,
De,T,
weisch,VX,
z',S,
Milhüse,MLHS,
thüet,TT,
me,M,
-n-,N,
eim,AM,
ewe,AF,AV
nitt,NT,
verschone,FRXN,VRXN
…,,
Un,AN,
wie,V,
isch,AX,
's,S,
jetz,YTS,
mit,MT,
mim,MM,
Kuffer,KFR,KF
…,,
Die,T,
Fraü,FR,
dunte,TNT,TT
nimmt,NMT,
ne,N,
in,AN,
Empfang,AMPFNK,
wenn,VN,
er,AR,A
akunnt,AKNT,
…,,
ich,A,AX
ha,H,
mit,MT,
ere,AR,
g'redt,KRT,
vorig,FRK,VR
…,,
un,AN,
züedem,TSTM,
De,T,
brüchsch,PRXX,
ne,N,
jo,Y,
nitt,NT,
glich,KL,KLX
…,,
mine,MN,
Räck,RK,
gehn,KN,
Dr,TR,
jo,Y,
pràchtig,PRRTK,PRRT
wie,V,
-n-,N,
i,A,
sieh,S,
…,,
