forme,key1,key2
Lose,LS,
Se,S,
Herr,HR,
Ungeduld,ANKTLT,
wenn,VN,
Sie,S,
jetz,YTS,
scho,X,
wànn,VN,
dr,TR,
Jaloux,YLKS,
mache,MR,
vor,FR,VR
ebb,AP,
mr,MR,
g'hirothe,KRTH,
sin,SN,
so,S,
isch,AX,
's,S,
gli,KL,
ferig,FRK,FR
zwische,TSVX,
-n-,N,
uns,ANS,
Verzeiht,FRTST,VRTST
Se,S,
mr,MR,
Jumpfer,YMPFR,YMPF
Fingerhüet,FNKRHT,
's,S,
isch,AX,
jo,Y,
nur,NR,
üs,AS,
Liewe,LF,LV
…,,
wenn,VN,
ich,A,AX
Se,S,
jo,Y,
nitt,NT,
gern,KRN,
hätt,HT,
so,S,
wàr,VR,
ich,A,AX
nitt,NT,
jaloux,YLKS,
…,,
un,AN,
wenn,VN,
ich,A,AX
's,S,
bi,P,
so,S,
isch,AX,
's,S,
g'wiss,KVS,
kei,K,
Wunder,VNTR,VNT
…,,
Un,AN,
worum,VRM,
denn,TN,
das,TS,
Wenn,VN,
ich,A,AX
denk,TNK,
ass,AS,
Sie,S,
do,T,
newe,NF,NV
dem,TM,
Espèce,AXPK,
Professer,PRFSR,PRFS
newe,NF,NV
dem,TM,
Herr,HR,
Liftling,LFTLNK,
wohnt,VNT,
urt,ART,
ass,AS,
nur,NR,
e,A,
Thüre,TR,
eüre,AR,
zwei,TSV,
Zimmer,TSMR,TSM
trennt,TRNT,
…,,
Oho,AH,
Herr,HR,
Ungeduld,ANKTLT,
…,,
Sie,S,
gehn,KN,
e,A,
wenig,VNK,VN
z',S,
witt,VT,
…,,
die,T,
Thüre,TR,
-n-,N,
isch,AX,
jo,Y,
condamniert,KNTMNRT,
…,,
un,AN,
mi,M,
Tisch,TX,
steht,XTT,
jo,Y,
sogar,SKR,SYR
noch,NR,
dervor,TRFR,TRVR
…,,
un,AN,
züedem,TSTM,
isch,AX,
jo,Y,
dr,TR,
Herr,HR,
Liftling,LFTLNK,
d',T,
ganze,KNTS,
Zit,TST,
bi,P,
dere,TR,
Wittfraü,VTFR,
dunte,TNT,TT
bi,P,
dr,TR,
Fraü,FR,
Strumpf,XTRMPF,
…,,
's,S,
isch,AX,
möglig,MKLK,MKL
…,,
awer,AVR,AY
er,AR,A
trifft,TRFT,
Sie,S,
doch,TR,
als,ALS,
a,A,
im,AM,
Hüsgang,HSKNK,
…,,
un,AN,
uf,AF,
dr,TR,
Stege,XTK,XTY
…,,
un,AN,
er,AR,A
lehnt,LNT,
Ihre,AR,
-n-,N,
als,ALS,
Romane,RMN,
…,,
's,S,
isch,AX,
e,A,
lichtsinniger,LXTSNKR,LXTSNY
Mensch,MNX,
dà,T,
Herr,HR,
Liftling,LFTLNK,
…,,
er,AR,A
hat,HT,
si,S,
Name,NM,
nitt,NT,
g'stohle,KSTL,
…,,
was,VS,
isch,AX,
er,AR,A
…,,
's,S,
heisst,HST,
er,AR,A
git,KT,
franzesche,FRNTSX,
Stunde,XTNT,
…,,
nit,NT,
macht,MRT,
er,AR,A
as,AS,
dumme,TM,
Streich,XTR,XTRX
Er,AR,A
soll,SL,
doch,TR,
mache,MR,
was,VS,
er,AR,A
will,VL,
…,,
was,VS,
froge,FRK,FRY
mir,MR,
derno,TRN,
…,,
Das,TS,
isch,AX,
e,A,
schlechte,XLXT,
Nochberschaft,NRPRXFT,
fir,FR,
Sie,S,
…,,
's,S,
beste,PXT,
wàr,VR,
mir,MR,
thàte,TT,
jetz,YTS,
emol,AML,
unser,ANSR,ANS
Hochzit,HRTST,
vora,FR,VR
mache,MR,
z',S,
geh,K,
Sie,S,
wisse,VS,
jo,Y,
wohl,VL,
ass,AS,
ich,A,AX
erst,ARXT,
d',T,
letschte,LTXT,
Wuche,VR,
in,AN,
mim,MM,
Oncle,ANKL,
g'schriwe,KXRF,KXRV
ha,H,
fir,FR,
's,S,
Jowort,YFRT,YVRT
z',S,
erhalte,ARHLT,
wenn,VN,
noch,NR,
kei,K,
Antwort,ANTVRT,ATVRT
ku,K,
isch,AX,
so,S,
ka,K,
-n-,N,
ich,A,AX
jo,Y,
nit,NT,
derfir,TRFR,
…,,
ich,A,AX
ha,H,
dert,TRT,
grad,KRT,
wieder,VTR,VT
e,A,
Brief,PRF,
g'ristet,KRXTT,
fir,FR,
ne,N,
…,,
Se,S,
kännte,KNT,
ne,N,
viellicht,FLXT,VLXT
gli,KL,
geh,K,
uf,AF,
d',T,
Post,PXT,
trage,TRK,TRY
…,,
Mi,M,
Oncle,ANKL,
müess,MS,
ich,A,AX
doch,TR,
z',S,
erst,ARXT,
froge,FRK,FRY
Eb,AP,
ich,A,AX
's,S,
ka,K,
woge,VK,VY
Erlaüwe,ARLF,ARLV
müess,MS,
er,AR,A
mir,MR,
dà,T,
Schritt,XRT,
Denn,TN,
sicher,SXR,SX
sunscht,SNXT,
hiroth,HRTH,
ich,A,AX
nitt,NT,
Wenn,VN,
er,AR,A
jetz,YTS,
dasmol,TSML,
nitt,NT,
will,VL,
schriwe,XRF,XRV
Soll,SL,
er,AR,A
's,S,
lo,L,
bliwe,PLF,PLV
Dr,TR,
letschte,LTXT,
Brief,PRF,
isch,AX,
jetz,YTS,
das,TS,
hit,HT,
Denn,TN,
sicher,SXR,SX
ich,A,AX
wart,VRT,
langer,LNKR,LNK
nitt,NT,
Worum,VRM,
denn,TN,
thien,TN,T
Sie,S,
so,S,
pressiere,PRSR,
Fir,FR,
Dir,TR,
z',S,
flattiere,FLTR,
Mr,MR,
hàn,HN,
derzüe,TRTS,
