forme,key1,key2
Hat,HT,
Se,S,
Ihre,AR,
Schnàpsle,XNPSL,
scho,X,
gha,K,
Fraü,FR,
Rattegift,RTKFT,RTYFT
Eh,A,
jo,Y,
grad,KRT,
ha,H,
-n-,N,
i,A,
's,S,
gnu,KN,
dert,TRT,
am,AM,
Ecke,AK,
's,S,
isch,AX,
doch,TR,
sunderbar,SNTRPR,
ass,AS,
me,M,
-n-,N,
ohne,AN,
Schnaps,XNPS,
nitt,NT,
wische,VX,
ka,K,
nitt,NT,
wohr,VR,
Jà,Y,
das,TS,
sin,SN,
halt,HLT,
veritawlige,FRTVLK,VRTVLY
Magetropfe,MKTRPF,MYTRPF
ohne,AN,
die,T,
ka,K,
me,M,
's,S,
nitt,NT,
mache,MR,
me,M,
hat,HT,
ohne,AN,
das,TS,
scho,X,
genüe,KN,
Mieih,M,
fir,FR,
dr,TR,
Bàse,PS,
z',S,
hewe,HF,HV
Ich,A,AX
wenn,VN,
ich,A,AX
nitt,NT,
glich,KL,KLX
dr,TR,
Schnaps,XNPS,
nimm,NM,
am,AM,
Morge,MRK,
frieih,FR,
so,S,
ha,H,
-n-,N,
i,A,
's,S,
Herzwasser,HRTSVSR,HRTSVS
do,T,
ka,K,
-n-,N,
i,A,
sicher,SXR,SX
si,S,
Un,AN,
ich,A,AX
dr,TR,
Schlotteri,XLTR,
…,,
's,S,
isch,AX,
nur,NR,
noch,NR,
güet,KT,
ass,AS,
me,M,
das,TS,
hat,HT,
…,,
denn,TN,
vom,FM,VM
Wi,V,
isch,AX,
gar,KR,
kei,K,
Red,RT,
meh,M,
Jo,Y,
ich,A,AX
wo,V,
g'wöhnt,KVNT,
gsi,KS,
bi,P,
alle,AL,
Tag,TK,T
mi,M,
Schäpple,XPL,
z',S,
nàh,N,
ich,A,AX
müess,MS,
es,AS,
jetz,YTS,
o,A,
fahre,FR,
lo,L,
er,AR,A
isch,AX,
efange,AFNK,
züe,TS,
arg,ARK,
thir,TR,
ich,A,AX
ka,K,
's,S,
nimmig,NMK,NM
prestiere,PRXTR,
…,,
grad,KRT,
jetz,YTS,
wo,V,
-n-,N,
ich,A,AX
alt,ALT,
wird,VRT,
un,AN,
wo,V,
-n-,N,
i,A,
's,S,
am,AM,
nothwendigste,NTHVNTKXT,
hätt,HT,
Me,M,
müess,MS,
sich,S,SX
halt,HLT,
jetz,YTS,
e,A,
wenig,VNK,VN
mehr,MR,
uf,AF,
's,S,
Kaffee,KF,
lege,LK,LY
züem,TSM,
Glick,KLK,
isch,AX,
jetz,YTS,
d',T,
Milchhalle,MLXHL,
do,T,
wo,V,
eim,AM,
d',T,
Milch,MLX,
wohlfeiler,VLFLR,VLFL
git,KT,
…,,
Meine,MN,
-n-,N,
Ihr,AR,
bringe,PRNK,
se,S,
's,S,
züe,TS,
ebbes,APS,
…,,
ich,A,AX
find,FNT,
nur,NR,
se,S,
thien,TN,T
gar,KR,
vielerlei,FLRL,VLRL
Wàgele,VKL,VYL
mache,MR,
…,,
Zeige,TSK,TSY
-n-,N,
ihr,AR,
Wiwer,VFR,VV
me,M,
sieht,ST,
wieder,VTR,VT
nit,NT,
as,AS,
d',T,
Miler,MLR,ML
geh,K,
awer,AVR,AY
kei,K,
einziger,ANTSKR,ANTSY
Bàse,PS,
Fir,FR,
was,VS,
solle,SL,
mir,MR,
awer,AVR,AY
o,A,
wische,VX,
d',T,
Eigethümer,AKTHMR,AYTHM
thien,TN,T
jo,Y,
doch,TR,
allewil,ALFL,ALVL
reklamiere,RKLMR,
's,S,
will,VL,
kein,KN,
dr,TR,
Dreck,TRK,
vor,FR,VR
si,S,
Thüre,TR,
g'wischt,KVXT,
ha,H,
un,AN,
do,T,
lehn,LN,
mr,MR,
ne,N,
ringer,RNKR,RNK
iwerall,AFRL,AVRL
liege,LK,LY
eso,AS,
sin,SN,
alle,AL,
z',S,
friede,FRT,
So,S,
thien,TN,T
doch,TR,
nur,NR,
e,A,
wenig,VNK,VN
dr,TR,
gliche,KLX,
as,AS,
wie,V,
-n-,N,
Ihr,AR,
wische,VX,
wotte,VT,
we,V,
me,M,
nitt,NT,
allewil,ALFL,ALVL
hinte,HNT,HT
dra,TR,
steht,XTT,
so,S,
mache,MR,
se,S,
nit,NT,
ich,A,AX
ha,H,
doch,TR,
miesse,MS,
geh,K,
mi,M,
Schnaps,XNPS,
g'schwind,KXVNT,
nàh,N,
ich,A,AX
bi,P,
nitt,NT,
im,AM,
Stand,XTNT,
ebbes,APS,
z',S,
mache,MR,
vor,FR,VR
ebb,AP,
ich,A,AX
dr,TR,
Schnaps,XNPS,
gnu,KN,
ha,H,
Z',S,
erst,ARXT,
müess,MS,
me,M,
spretze,XPRTS,
Vor,FR,VR
ebb,AP,
me,M,
wische,VX,
thüet,TT,
Wer,VR,V
nitt,NT,
thüet,TT,
netze,NTS,
Da,T,
wischt,VXT,
nitt,NT,
güet,KT,
's,S,
Spretze,XPRTS,
gieng,KNK,
nitt,NT,
so,S,
schwer,XVR,XV
Wenn,VN,
's,S,
Wische,VX,
nur,NR,
nitt,NT,
wàr,VR,
Nei,N,
sicher,SXR,SX
's,S,
Spretze,XPRTS,
Das,TS,
isch,AX,
nitt,NT,
schwer,XVR,XV
Allons,ALNS,
ihr,AR,
Wiwer,VFR,VV
…,,
ufpackt,AFPKT,
mr,MR,
thien,TN,T
dr,TR,
Place,PLK,
les,LS,
lapins,LPNS,
noch,NR,
geh,K,
z',S,
àmme,AM,
wische,VX,
Stehn,XTN,
in,AN,
d',T,
Range,RNK,
Portez,PRTS,PRTTS
armes,ARMS,
Armes,ARMS,
sur,SR,
l'épaule,LPL,
droite,TRT,
en,AN,A
avant,AFNT,AVT
pas,PS,
acceléré,AKKLR,
marche,MRX,
Jà,Y,
jà,Y,
…,,
do,T,
ka,K,
me,M,
geh,K,
hirothe,HRTH,
…,,
Küm,KM,
isch,AX,
's,S,
jetz,YTS,
vier,FR,V
Wuche,VR,
ass,AS,
