forme,key1,key2
Was,VS,
fir,FR,
e,A,
Handwerk,HNTVRK,
dü,T,
liewe,LF,LV
Zit,TST,
…,,
was,VS,
fir,FR,
e,A,
Handwerk,HNTVRK,
…,,
alle,AL,
Wuche,VR,
-n-,N,
eso,AS,
ne,N,
Kàsblättle,KXPLTL,
miesse,MS,
z',S,
schriwe,XRF,XRV
im,AM,
eso,AS,
ne,N,
Nest,NXT,
wie,V,
unser,ANSR,ANS
Städle,XTTL,
-n-,N,
eins,ANS,
isch,AX,
…,,
woher,VHR,VH
Neüigkeite,NKKT,
her,HR,H
nàh,N,
's,S,
kunnt,KNT,
nie,N,
nit,NT,
vor,FR,VR
do,T,
…,,
ich,A,AX
ha,H,
hit,HT,
vergewes,FRKFS,VRKVS
alleweg,ALFK,ALVK
e,A,
Stund,XTNT,
g'warte,KVRT,
bis,PS,
ass,AS,
e,A,
Mürer,MRR,MR
awe,AV,AY
fallt,FLT,
dert,TRT,
àne,AN,
wo,V,
me,M,
sàll,SL,
Hüs,HS,
baüt,PT,
awer,AVR,AY
se,S,
sin,SN,
afange,AFNK,
-n-,N,
ärger,ARKR,ARK
as,AS,
Seiltànzer,SLTNTSR,SLTNTS
…,,
un,AN,
keine,KN,
Hàndel,HNTL,
keine,KN,
Prügel,PRKL,PRYL
nit,NT,
…,,
ich,A,AX
müess,MS,
in,AN,
alle,AL,
-n-,N,
andere,ANTR,
Zitunge,TSTNK,
ihre,AR,
-n-,N,
Artikel,ARTKL,
stehle,XTL,
fir,FR,
mine,MN,
üsz'fille,ASSFL,
…,,
's,S,
isch,AX,
g'wiss,KVS,
kei,K,
Kilwe,KLV,
ihr,AR,
derfe,TRF,
's,S,
glaüwe,KLF,KLV
Wenn,VN,
ich,A,AX
müess,MS,
mi,M,
Zitung,TSTNK,
schriwe,XRF,XRV
Bin,PN,
ich,A,AX
iwel,AFL,AVL
dra,TR,
Ich,A,AX
thàt,TT,
's,S,
liewer,LFR,LV
als,ALS,
lo,L,
bliwe,PLF,PLV
Denn,TN,
s',S,
isch,AX,
halt,HLT,
wie,V,
g'sàit,KST,
G'wiss,KVS,
kei,K,
Freid,FRT,
Denn,TN,
s',S,
isch,AX,
hait,HT,
wie,V,
g'sàit,KST,
Denn,TN,
wie,V,
g'sàit,KST,
's,S,
isch,AX,
g'wiss,KVS,
kei,K,
Freid,FRT,
Wenn,VN,
ich,A,AX
lieg,LK,
so,S,
thien,TN,T
d',T,
Lit,LT,
klage,KLK,KLY
Un,AN,
doch,TR,
derf,TRF,
i,A,
halt,HLT,
D',T,
