forme,key1,key2
Wie,V,
heimelig,HMLK,HML
un,AN,
güet,KT,
isch,AX,
's,S,
doch,TR,
eso,AS,
allei,AL,
in,AN,
sim,SM,
Stiwle,XTVL,
z',S,
Owe,AF,AV
we,V,
me,M,
si,S,
Herr,HR,
un,AN,
Meister,MXTR,MXT
isch,AX,
…,,
das,TS,
heisst,HST,
we,V,
me,M,
ledig,LTK,LT
isch,AX,
…,,
do,T,
hat,HT,
me,M,
keine,KN,
Kinder,KNTR,KNT
z',S,
wàsche,VX,
un,AN,
z',S,
b'sorge,PSRK,
un,AN,
ins,ANS,
Bett,PT,
z',S,
lege,LK,LY
un,AN,
brücht,PRRT,
o,A,
uf,AF,
kei,K,
Mann,MN,
z',S,
warte,VRT,
un,AN,
's,S,
Nachtesse,NRTS,
in,AN,
dr,TR,
Wärme,VRM,
-n-,N,
umme,AM,
z',S,
stelle,XTL,
bis,PS,
ass,AS,
es,AS,
ihm,AM,
g'fallt,KFLT,
heime,HM,
z',S,
ku,K,
wenn,VN,
er,AR,A
genüe,KN,
in,AN,
alle,AL,
Bierhiser,PRHSR,PRHS
umme,AM,
g'rutscht,KRTXT,
isch,AX,
…,,
isch,AX,
's,S,
ebbe,AP,
nitt,NT,
eso,AS,
…,,
un,AN,
do,T,
heisst,HST,
's,S,
als,ALS,
noch,NR,
ich,A,AX
seig,SK,S
e,A,
-n-,N,
Original,ARKNL,ARYNL
wil,VL,
ich,A,AX
nitt,NT,
hirothe,HRTH,
will,VL,
…,,
nei,N,
nei,N,
…,,
nur,NR,
das,TS,
nitt,NT,
…,,
ne,N,
so,S,
isch,AX,
me,M,
riehig,RHK,RH
un,AN,
frei,FR,
un,AN,
ka,K,
esse,AS,
und,ANT,
schlofe,XLF,
we,V,
me,M,
will,VL,
…,,
tiens,TNS,
me,M,
klopft,KLPFT,
a...,A,
wer,VR,V
mag,MK,M
jetz,YTS,
das,TS,
si,S,
…,,
entrez,ANTRS,ATRTS
Jumpfer,YMPFR,YMPF
Herz,HRS,HRTS
…,,
Finele,FNL,
lieb,LP,
Finele,FNL,
…,,
endlig,ANTLK,ANTL
hat,HT,
Sie,S,
sich,S,SX
denn,TN,
jetz,YTS,
doch,TR,
entschlosse,ANTXLS,ATXLS
mir,MR,
Ihre,AR,
Hàndle,HNTL,
z',S,
gà,K,
…,,
wenn,VN,
Sie,S,
wisse,VS,
thàt,TT,
wie,V,
glicklig,KLKLK,KLKL
ass,AS,
ich,A,AX
bi,P,
siter,STR,ST
ass,AS,
ich,A,AX
weiss,VS,
ass,AS,
Sie,S,
mi,M,
lieb,LP,
Wiwele,VFL,VVL
will,VL,
gà,K,
…,,
Was,VS,
isch,AX,
jetz,YTS,
das,TS,
…,,
was,VS,
