forme,key1,key2
Ihr,AR,
Herre,HR,
-n-,N,
un,AN,
Dame,TM,
's,S,
isch,AX,
is,AS,
Leid,LT,
awer,AVR,AY
mr,MR,
känne,KN,
hit,HT,
z',S,
Owe,AF,AV
nitt,NT,
Theater,TTR,TT
spiele,XPL,
…,,
dà,T,
junge,YNK,
Mensch,MNX,
wo,V,
d',T,
Madame,MTM,
hätt,HT,
solle,SL,
mache,MR,
isch,AX,
nitt,NT,
ku,K,
un,AN,
mir,MR,
wisse,VS,
nitt,NT,
wo,V,
-n-,N,
er,AR,A
isch,AX,
Das,TS,
isch,AX,
jetz,YTS,
wieder,VTR,VT
g'scheidt,KXT,
…,,
un,AN,
ich,A,AX
wo,V,
express,AKSPRS,
vo,F,V
Burzwiller,PRTSVLR,PRTSVL
ku,K,
bi,P,
mit,MT,
em,AM,
Tramwày,TRMV,
fir,FR,
in,AN,
dem,TM,
Ding,TNK,
züe,TS,
z',S,
lüege,LK,LY
He,H,
Herr,HR,
Dings,TNKS,
…,,
warte,VRT,
Se,S,
ne,N,
wenig,VNK,VN
…,,
wenn,VN,
ihr,AR,
nitt,NT,
spiele,XPL,
wànn,VN,
so,S,
gà,K,
mr,MR,
mi,M,
Geld,KLT,
wieder,VTR,VT
z',S,
ruck,RK,
…,,
ich,A,AX
ha,H,
zahlt,TSLT,
…,,
oder,ATR,AT
ich,A,AX
mach,MR,
Scandal,SKNTL,
…,,
C'est,KXT,
ça,,
das,TS,
isch,AX,
kummod,KMT,
…,,
me,M,
sàit,ST,
nur,NR,
mr,MR,
känne,KN,
nitt,NT,
spiele,XPL,
un,AN,
dermit,TRMT,
isch,AX,
's,S,
ferig,FRK,FR
…,,
G'spielt,KXPLT,
müess,MS,
si,S,
Ich,A,AX
kumm,KM,
express,AKSPRS,
Vo,F,V
Burzwiller,PRTSVLR,PRTSVL
hit,HT,
Bis,PS,
dohi,TH,
Mi,M,
Platz,PLTS,
isch,AX,
zahlt,TSLT,
Un,AN,
furt,FRT,
gang,KNK,
i,A,
nitt,NT,
Ich,A,AX
will,VL,
fir,FR,
mi,M,
Geld,KLT,
G'spielt,KXPLT,
will,VL,
ich,A,AX
ha,H,
Das,TS,
geht,KT,
nitt,NT,
eso,AS,
Ich,A,AX
gang,KNK,
nitt,NT,
